;victoire;not_lose;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att;FDA;FDD;score_df_mean;score_mf_mean;score_fw_mean;score_dm_mean;score_gk_mean;top_GK;top_MF;top_DM;top_DF;top_FW;year;cluster;result;Domicile;reste;3-5-2;4-3-3;4-4-2;4-5-1;Cluster1;Cluster2;Cluster3;key;opp_cluster
36;0;0;0;64.0;24.1;4-5-1;3.0;24.7;81.0;12.0;9.0;41.66999999999999;3;1;3-5-2;Bologna;reste;14.0;0;0;0;10.0;0.0;11.0;Genoa;524.88;648.0;1.3119231713303876;-0.3720238095238094;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;D;0;1;0;0;0;1;0;0;1;BolognaGenoa2021;0.0
37;1;1;1;48.0;24.1;4-5-1;4.0;17.1;72.2;14.0;15.0;-3.6100000000000136;7;1;3-4-3;Bologna;reste;19.0;1;2;0;8.0;1.0;10.0;Hellas-Verona;345.116;478.0;1.869747177221404;-1.4708333333333332;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;V;1;1;0;0;0;1;0;0;1;BolognaHellas-Verona2021;
38;0;0;1;49.0;24.1;4-5-1;5.0;19.7;76.9;7.0;13.0;-394.18;6;1;4-5-1;Bologna;reste;11.0;0;2;0;13.0;1.0;12.0;Milan;362.968;472.0;1.3833456062837506;-2.1791666666666667;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;D;1;1;0;0;0;1;0;0;1;BolognaMilan2021;1.0
40;1;1;0;42.0;24.1;4-5-1;5.0;20.8;78.0;19.0;13.0;24.90000000000001;8;2;3-4-3;Bologna;reste;15.0;0;1;0;15.0;1.0;13.0;Parma;347.88;446.0;1.6689064801178204;-1.4553571428571428;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;V;0;1;0;0;0;1;0;0;1;BolognaParma2021;
41;0;1;1;58.0;24.1;4-5-1;2.0;18.8;80.3;11.0;17.0;103.47;5;2;4-5-1;Bologna;reste;12.0;0;3;0;14.0;0.0;10.0;Benevento;440.847;549.0;1.4118802160039272;-1.2101190476190475;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;N;1;1;0;0;0;1;0;0;1;BolognaBenevento2021;0.0
43;0;1;0;27.0;24.1;4-5-1;2.0;24.5;64.3;17.0;8.0;-88.14000000000001;8;2;4-5-1;Bologna;reste;5.0;0;0;1;30.0;1.0;14.0;Sassuolo;163.965;255.0;0.7109229258713792;-2.2857142857142856;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;N;0;1;0;0;0;1;0;0;1;BolognaSassuolo2021;3.0
44;1;1;1;40.0;24.1;4-5-1;6.0;20.1;73.9;10.0;9.0;-172.73;7;2;3-5-2;Bologna;reste;11.0;0;1;0;19.0;1.0;18.0;Lazio;294.8610000000001;399.0;1.702012763868434;-2.114880952380952;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;V;1;1;0;0;0;1;0;0;1;BolognaLazio2021;2.0
46;0;0;0;63.0;24.1;4-5-1;5.0;15.5;82.8;6.0;18.0;-34.23000000000002;4;3;3-5-2;Bologna;reste;13.0;0;2;0;11.0;0.0;16.0;Cagliari;481.896;582.0;2.053411880216004;-1.4297619047619048;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;D;0;1;0;0;0;1;0;0;1;BolognaCagliari2021;3.0
48;0;0;0;57.0;24.1;4-5-1;4.0;22.0;77.6;6.0;14.0;-376.6;4;3;4-5-1;Bologna;reste;16.0;0;0;0;14.0;0.0;12.0;Napoli;453.184;584.0;1.6064555719194893;-1.3797619047619047;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;D;0;1;0;0;0;1;0;0;1;BolognaNapoli2021;1.0
50;1;1;1;44.0;24.1;4-5-1;6.0;16.6;76.6;15.0;16.0;26.41999999999999;7;3;4-5-1;Bologna;reste;10.0;0;2;0;18.0;1.0;11.0;Sampdoria;327.082;427.0;1.4104013254786447;-2.128571428571429;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;V;1;1;0;0;0;1;0;0;1;BolognaSampdoria2021;0.0
51;1;1;0;51.0;24.1;4-5-1;9.0;15.3;74.9;12.0;16.0;100.85;6;3;3-5-2;Bologna;reste;21.0;0;7;0;16.0;2.0;11.0;Crotone;325.0660000000001;434.0;2.1905068728522332;-3.2095238095238083;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;V;0;1;0;0;0;1;0;0;1;BolognaCrotone2021;0.0
53;0;0;1;56.0;24.1;4-5-1;2.0;18.6;82.8;6.0;17.0;-510.3;14;4;3-5-2;Bologna;reste;12.0;0;4;0;14.0;3.0;15.0;Internazionale;486.864;588.0;1.7644513991163473;-4.567261904761905;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;D;1;1;0;0;0;1;0;0;1;BolognaInternazionale2021;1.0
55;0;0;0;56.0;24.1;4-5-1;4.0;17.5;82.4;7.0;14.0;-242.05;8;4;3-4-3;Bologna;reste;12.0;0;1;0;14.0;0.0;14.0;Roma;496.87200000000007;603.0;1.7538905252822778;-1.3083333333333331;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;D;0;1;0;0;0;1;0;0;1;BolognaRoma2021;
56;0;1;1;48.0;24.1;4-5-1;1.0;24.6;70.1;10.0;26.0;-21.68000000000001;3;4;3-5-2;Bologna;reste;8.0;0;4;0;18.0;3.0;15.0;Torino;267.081;381.0;1.0373159057437409;-5.110714285714286;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;N;1;1;0;0;0;1;0;0;1;BolognaTorino2021;3.0
57;0;1;0;49.0;24.1;4-5-1;5.0;17.0;77.8;12.0;17.0;-3.6100000000000136;5;5;3-4-3;Bologna;reste;13.0;0;3;0;12.0;1.0;19.0;Hellas-Verona;346.21;445.0;2.1040684830633283;-2.0053571428571426;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;N;0;1;0;0;0;1;0;0;1;BolognaHellas-Verona2021;
58;0;0;0;33.0;25.7;3-5-2;4.0;14.8;77.1;10.0;11.0;-377.1;7;9;3-5-2;Fiorentina;automne;10.0;0;1;0;21.0;0.0;14.0;Internazionale;272.163;353.0;1.696637211585665;-1.3732142857142855;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.984873085081268;0;0;0;1;0;2021;3;D;0;0;1;0;0;0;0;0;1;FiorentinaInternazionale2021;1.0
59;1;1;1;45.0;25.7;3-5-2;3.0;14.2;77.2;9.0;16.0;113.8;7;10;3-5-2;Fiorentina;automne;5.0;0;1;0;16.0;0.0;14.0;Udinese;301.08;390.0;1.3954221894943544;-1.4238095238095236;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.984873085081268;0;0;0;1;0;2021;3;V;1;0;1;0;0;0;0;0;1;FiorentinaUdinese2021;3.0
61;0;0;0;59.0;25.7;3-5-2;1.0;19.4;82.7;13.0;16.0;-108.84999999999997;4;11;3-4-3;Fiorentina;automne;8.0;0;2;1;17.0;0.0;17.0;Roma;492.89200000000005;596.0;1.5803571428571428;-1.2047619047619047;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.984873085081268;0;0;0;1;0;2021;3;D;0;0;1;0;0;0;0;0;1;FiorentinaRoma2021;
62;0;1;0;64.0;25.7;3-5-2;4.0;19.7;88.7;8.0;17.0;158.10000000000005;6;11;3-5-2;Fiorentina;automne;6.0;0;2;0;5.0;2.0;17.0;Parma;666.137;751.0;1.5029884634266075;-2.824404761904762;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.984873085081268;0;0;0;1;0;2021;3;N;0;0;1;0;0;0;0;0;1;FiorentinaParma2021;0.0
63;0;0;1;62.0;25.7;4-5-1;2.0;10.0;81.9;7.0;14.0;236.67;15;11;4-5-1;Fiorentina;automne;7.0;0;2;0;13.0;1.0;17.0;Benevento;484.029;591.0;1.9887027491408933;-2.2416666666666667;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.984873085081268;0;0;0;1;0;2021;2;D;1;0;0;0;0;1;0;1;0;FiorentinaBenevento2021;0.0
64;0;0;0;47.0;25.7;4-5-1;2.0;18.0;76.9;18.0;13.0;-143.2;6;12;3-4-3;Fiorentina;reste;4.0;0;2;0;21.0;1.0;17.0;Atalanta;372.19600000000014;484.0;1.3168078055964652;-1.926785714285714;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.984873085081268;0;0;0;1;0;2021;2;D;0;1;0;0;0;1;0;1;0;FiorentinaAtalanta2021;2.0
65;0;1;1;34.0;25.7;3-5-2;3.0;19.6;73.9;8.0;19.0;45.06;3;12;4-5-1;Fiorentina;reste;15.0;1;4;0;13.0;1.0;12.0;Sassuolo;260.12800000000004;352.0;1.619452626411389;-2.482738095238095;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.984873085081268;0;0;0;1;0;2021;3;N;1;1;1;0;0;0;0;0;1;FiorentinaSassuolo2021;3.0
67;1;1;0;46.0;25.7;3-5-2;5.0;16.0;81.5;6.0;17.0;-346.49999999999994;3;12;3-5-2;Fiorentina;reste;9.0;0;4;0;13.0;2.0;9.0;Juventus;361.045;443.0;1.307995827196858;-3.5005952380952383;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.984873085081268;0;0;0;1;0;2021;3;V;0;1;1;0;0;0;0;0;1;FiorentinaJuventus2021;1.0
69;0;1;1;47.0;25.7;3-5-2;0.0;18.2;81.8;6.0;8.0;133.20000000000002;12;1;4-5-1;Fiorentina;reste;9.0;0;4;0;7.0;0.0;11.0;Bologna;390.186;477.0;1.3231651939126168;-0.5380952380952382;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.984873085081268;0;0;0;1;0;2021;3;N;1;1;1;0;0;0;0;0;1;FiorentinaBologna2021;3.0
70;0;0;0;55.0;25.7;3-5-2;4.0;14.4;82.7;12.0;11.0;-39.529999999999966;3;1;3-5-2;Fiorentina;reste;11.0;1;1;0;13.0;1.0;11.0;Lazio;444.926;538.0;1.6630891016200295;-1.6970238095238095;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.984873085081268;0;0;0;1;0;2021;3;D;0;1;1;0;0;0;0;0;1;FiorentinaLazio2021;2.0
72;1;1;1;45.0;25.7;3-5-2;6.0;18.1;80.4;14.0;12.0;234.05;6;1;3-5-2;Fiorentina;reste;13.0;0;2;0;10.0;1.0;17.0;Crotone;340.89600000000013;424.0;1.9533198330878745;-1.4166666666666663;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.984873085081268;0;0;0;1;0;2021;3;V;1;1;1;0;0;0;0;0;1;FiorentinaCrotone2021;0.0
74;0;1;0;48.0;25.7;3-5-2;1.0;17.0;77.1;13.0;15.0;111.52;6;1;3-5-2;Fiorentina;reste;8.0;0;2;2;15.0;2.0;20.0;Torino;323.81999999999994;420.0;1.8249018163966613;-3.008928571428571;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.984873085081268;0;0;0;1;0;2021;3;N;0;1;1;0;0;0;0;0;1;FiorentinaTorino2021;3.0
75;0;0;0;51.0;25.7;3-5-2;6.0;18.4;69.7;15.0;12.0;159.62;9;2;4-5-1;Fiorentina;reste;16.0;0;3;0;8.0;0.0;14.0;Sampdoria;333.86300000000006;479.0;1.8229749631811487;-0.21190476190476185;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.984873085081268;0;0;0;1;0;2021;3;D;0;1;1;0;0;0;0;0;1;FiorentinaSampdoria2021;0.0
76;0;0;0;54.0;25.7;3-5-2;2.0;19.3;78.2;8.0;20.0;113.8;9;2;3-5-2;Fiorentina;reste;8.0;0;2;0;9.0;0.0;12.0;Udinese;391.0;500.0;1.219440353460972;-1.2785714285714287;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.984873085081268;0;0;0;1;0;2021;3;D;0;1;1;0;0;0;0;0;1;FiorentinaUdinese2021;3.0
