;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att;FDD;FDA;Squad;DF;DM;FW;GK;MF;score_df_mean;score_mf_mean;score_fw_mean;score_dm_mean;score_gk_mean;n_form;n;top_GK;top_MF;top_DM;top_DF;top_FW;top_MO;top_AIL;top_MIL;nb_def;nb_opp_def;nb_att;nb_opp_att;nb_mil;nb_opp_mil;diff_avant;diff_def;diff_mil;sup_def
43;2021-02-07;W;1;1;Away;0;42.0;24,1;4-5-1;5.0;20.8;78.0;19.0;13.0;24.90000000000001;8;2;3-4-3;Bologna;reste;15.0;0;1;0;2.0;15.0;1.0;13.0;Parma;347.88;446.0;-1.4553571428571428;1.6689064801178204;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;99;160;0;1;1;1;0;0;0;0;4;3;1;3;5;4;-2;1;1;1
44;2021-02-12;D;0;1;Home;1;58.0;24,1;4-5-1;2.0;18.8;80.3;11.0;17.0;103.47;5;2;4-5-1;Bologna;reste;12.0;0;3;0;2.0;14.0;0.0;10.0;Benevento;440.847;549.0;-1.2101190476190475;1.4118802160039272;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;212;160;0;1;1;1;0;0;0;0;4;4;1;1;5;5;-3;3;0;1
45;2021-02-20;D;0;1;Away;0;27.0;24,1;4-5-1;2.0;24.5;64.3;17.0;8.0;-88.14000000000001;8;2;4-5-1;Bologna;reste;5.0;0;0;1;1.0;30.0;1.0;14.0;Sassuolo;163.965;255.0;-2.2857142857142856;0.7109229258713792;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;212;160;0;1;1;1;0;0;0;0;4;4;1;1;5;5;-3;3;0;1
46;2021-02-27;W;1;1;Home;1;40.0;24,1;4-5-1;6.0;20.1;73.9;10.0;9.0;-172.73;7;2;3-5-2;Bologna;reste;11.0;0;1;0;2.0;19.0;1.0;18.0;Lazio;294.8610000000001;399.0;-2.114880952380952;1.702012763868434;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;264;160;0;1;1;1;0;0;0;0;4;3;1;2;5;5;-2;2;0;1
47;2021-03-03;L;0;0;Away;0;63.0;24,1;4-5-1;5.0;15.5;82.8;6.0;18.0;-34.23000000000002;4;3;3-5-2;Bologna;reste;13.0;0;2;0;2.0;11.0;0.0;16.0;Cagliari;481.896;582.0;-1.4297619047619048;2.0534118802160037;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;264;160;0;1;1;1;0;0;0;0;4;3;1;2;5;5;-2;2;0;1
48;2021-03-07;L;0;0;Away;0;57.0;24,1;4-5-1;4.0;22.0;77.6;6.0;14.0;-376.6;4;3;4-5-1;Bologna;reste;16.0;0;0;0;2.0;14.0;0.0;12.0;Napoli;453.184;584.0;-1.3797619047619047;1.6064555719194893;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;212;160;0;1;1;1;0;0;0;0;4;4;1;1;5;5;-3;3;0;1
49;2021-03-14;W;1;1;Home;1;44.0;24,1;4-5-1;6.0;16.6;76.6;15.0;16.0;26.41999999999999;7;3;4-5-1;Bologna;reste;10.0;0;2;0;2.0;18.0;1.0;11.0;Sampdoria;327.082;427.0;-2.128571428571429;1.4104013254786447;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;212;160;0;1;1;1;0;0;0;0;4;4;1;1;5;5;-3;3;0;1
50;2021-03-20;W;1;1;Away;0;51.0;24,1;4-5-1;9.0;15.3;74.9;12.0;16.0;100.85;6;3;3-5-2;Bologna;reste;21.0;0;7;0;4.0;16.0;2.0;11.0;Crotone;325.0660000000001;434.0;-3.2095238095238092;2.1905068728522332;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;264;160;0;1;1;1;0;0;0;0;4;3;1;2;5;5;-2;2;0;1
51;2021-04-03;L;0;0;Home;1;56.0;24,1;4-5-1;2.0;18.6;82.8;6.0;17.0;-510.3;14;4;3-5-2;Bologna;reste;12.0;0;4;0;4.0;14.0;3.0;15.0;Internazionale;486.864;588.0;-4.567261904761905;1.7644513991163473;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;264;160;0;1;1;1;0;0;0;0;4;3;1;2;5;5;-2;2;0;1
52;2021-04-11;L;0;0;Away;0;56.0;24,1;4-5-1;4.0;17.5;82.4;7.0;14.0;-242.05;8;4;3-4-3;Bologna;reste;12.0;0;1;0;3.0;14.0;0.0;14.0;Roma;496.87200000000007;603.0;-1.3083333333333333;1.7538905252822778;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538716;2.6994822989826703;0.3994292855263661;99;160;0;1;1;1;0;0;0;0;4;3;1;3;5;4;-2;1;1;1
