;Date;Time;Comp;Round;Day;Venue;Result;GF;GA;Opponent;xG;xGA;Poss;Attendance;Captain;Formation;Referee;Match Report;Notes;team;key;Sh;SoT;Dist;FK;PK;Att;Cmp%;CrdY;CrdR;2CrdY;Fls;Off;Int;age;value;repos
29;2021-02-06;15:00;Serie A;Matchweek 21;Sat;Home;D;3;3;Torino;1.8;2.8;57.0;;Rafael Tolói;3-4-3;Francesco Fourneau;Match Report;;Atalanta;2021-02-0615:00Serie AMatchweek 21HomeDTorinoAtalanta;11.0;4.0;12.4;0.0;0;554.0;77.6;3;0;0;23.0;3.0;14.0;24.5;€398.75m;3
30;2021-02-10;20:45;Coppa Italia;Semi-finals;Wed;Home;W;3;1;Napoli;;;40.0;;Rafael Tolói;3-4-1-2;Federico La Penna;Match Report;"Leg 2 of 2; Atalanta won";Atalanta;2021-02-1020:45Coppa ItaliaSemi-finalsHomeWNapoliAtalanta;19.0;7.0;;;0;;;1;0;0;16.0;0.0;20.0;24.5;€398.75m;4
31;2021-02-14;15:00;Serie A;Matchweek 22;Sun;Away;W;1;0;Cagliari;0.6;0.2;64.0;;Remo Freuler;3-4-3;Marco Piccinini;Match Report;;Atalanta;2021-02-1415:00Serie AMatchweek 22AwayWCagliariAtalanta;10.0;2.0;15.4;1.0;0;699.0;79.5;3;0;0;14.0;2.0;15.0;24.5;€398.75m;4
32;2021-02-21;18:00;Serie A;Matchweek 23;Sun;Home;W;4;2;Napoli;2.2;0.7;47.0;;Rafael Tolói;3-4-1-2;Marco Di Bello;Match Report;;Atalanta;2021-02-2118:00Serie AMatchweek 23HomeWNapoliAtalanta;18.0;5.0;12.7;0.0;0;535.0;81.7;2;0;0;19.0;0.0;19.0;24.5;€398.75m;7
33;2021-02-24;21:00;Champions Lg;Round of 16;Wed;Home;L;0;1;es Real Madrid;0.1;1.5;32.0;;Rafael Tolói;3-4-1-2;Tobias Stieler;Match Report;Leg 1 of 2;Atalanta;2021-02-2421:00Champions LgRound of 16HomeLes Real MadridAtalanta;2.0;0.0;17.3;0.0;0;394.0;74.1;1;1;0;8.0;2.0;20.0;24.5;€398.75m;3
34;2021-02-28;12:30;Serie A;Matchweek 24;Sun;Away;W;2;0;Sampdoria;1.6;0.4;55.0;;Rafael Tolói;3-5-2;Livio Marinelli;Match Report;;Atalanta;2021-02-2812:30Serie AMatchweek 24AwayWSampdoriaAtalanta;20.0;8.0;17.8;0.0;0;640.0;79.4;3;0;0;17.0;2.0;11.0;24.5;€398.75m;4
35;2021-03-03;20:45;Serie A;Matchweek 25;Wed;Home;W;5;1;Crotone;3.0;0.7;66.0;;Remo Freuler;3-4-3;Simone Sozza;Match Report;;Atalanta;2021-03-0320:45Serie AMatchweek 25HomeWCrotoneAtalanta;21.0;11.0;15.7;1.0;0;691.0;83.1;0;0;0;7.0;1.0;9.0;24.5;€398.75m;3
36;2021-03-08;20:45;Serie A;Matchweek 26;Mon;Away;L;0;1;Inter;0.9;0.2;56.0;;Rafael Tolói;3-4-3;Maurizio Mariani;Match Report;;Atalanta;2021-03-0820:45Serie AMatchweek 26AwayLInterAtalanta;13.0;2.0;13.3;0.0;0;649.0;83.7;1;0;0;17.0;0.0;18.0;24.5;€398.75m;5
37;2021-03-12;20:45;Serie A;Matchweek 27;Fri;Home;W;3;1;Spezia;1.6;1.4;47.0;;Rafael Tolói;3-4-1-2;Valerio Marini;Match Report;;Atalanta;2021-03-1220:45Serie AMatchweek 27HomeWSpeziaAtalanta;14.0;7.0;14.5;0.0;0;544.0;80.1;2;0;0;17.0;2.0;12.0;24.5;€398.75m;4
38;2021-03-16;21:00;Champions Lg;Round of 16;Tue;Away;L;1;3;es Real Madrid;1.3;2.7;47.0;;Rafael Tolói;3-4-3;Danny Makkelie;Match Report;"Leg 2 of 2; Real Madrid won";Atalanta;2021-03-1621:00Champions LgRound of 16AwayLes Real MadridAtalanta;13.0;5.0;20.1;1.0;0;524.0;79.8;1;0;0;13.0;0.0;12.0;24.5;€398.75m;4
39;2021-03-21;12:30;Serie A;Matchweek 28;Sun;Away;W;2;0;Hellas Verona;2.0;0.5;48.0;;Rafael Tolói;4-2-3-1;Luca Pairetto;Match Report;;Atalanta;2021-03-2112:30Serie AMatchweek 28AwayWHellas VeronaAtalanta;15.0;5.0;16.4;1.0;1;445.0;65.8;2;0;0;20.0;3.0;16.0;24.5;€398.75m;5
40;2021-04-03;15:00;Serie A;Matchweek 29;Sat;Home;W;3;2;Udinese;2.5;0.8;58.0;;Rafael Tolói;3-4-1-2;Gianluca Manganiello;Match Report;;Atalanta;2021-04-0315:00Serie AMatchweek 29HomeWUdineseAtalanta;23.0;8.0;19.0;2.0;0;627.0;83.9;0;0;0;15.0;1.0;14.0;24.5;€398.75m;13
41;2021-04-11;20:45;Serie A;Matchweek 30;Sun;Away;W;3;2;Fiorentina;3.0;1.4;60.0;;Rafael Tolói;3-4-1-2;Juan Sacchi;Match Report;;Atalanta;2021-04-1120:45Serie AMatchweek 30AwayWFiorentinaAtalanta;14.0;7.0;17.1;2.0;1;627.0;82.3;1;0;0;13.0;2.0;15.0;24.5;€398.75m;8
42;2021-04-18;15:00;Serie A;Matchweek 31;Sun;Home;W;1;0;Juventus;0.9;0.8;45.0;;Rafael Tolói;3-4-1-2;Daniele Orsato;Match Report;;Atalanta;2021-04-1815:00Serie AMatchweek 31HomeWJuventusAtalanta;14.0;2.0;21.2;1.0;0;493.0;86.6;3;0;0;18.0;0.0;18.0;24.5;€398.75m;7
43;2021-04-22;18:30;Serie A;Matchweek 32;Thu;Away;D;1;1;Roma;2.1;1.2;41.0;;Remo Freuler;3-4-3;Giampaolo Calvarese;Match Report;;Atalanta;2021-04-2218:30Serie AMatchweek 32AwayDRomaAtalanta;22.0;8.0;18.5;2.0;0;413.0;77.2;2;1;1;7.0;1.0;16.0;24.5;€398.75m;4
44;2021-04-25;20:45;Serie A;Matchweek 33;Sun;Home;W;5;0;Bologna;3.6;1.3;56.0;;Rafael Tolói;3-4-3;Michael Fabbri;Match Report;;Atalanta;2021-04-2520:45Serie AMatchweek 33HomeWBolognaAtalanta;24.0;8.0;17.4;1.0;1;542.0;81.9;0;0;0;12.0;1.0;8.0;24.5;€398.75m;3
45;2021-05-02;15:00;Serie A;Matchweek 34;Sun;Away;D;1;1;Sassuolo;2.1;1.3;37.0;;Rafael Tolói;3-4-1-2;Luca Pairetto;Match Report;;Atalanta;2021-05-0215:00Serie AMatchweek 34AwayDSassuoloAtalanta;9.0;6.0;21.4;1.0;0;368.0;77.4;1;1;0;12.0;1.0;10.0;24.5;€398.75m;7
46;2021-05-09;15:00;Serie A;Matchweek 35;Sun;Away;W;5;2;Parma;3.3;0.9;56.0;;Remo Freuler;3-4-3;Antonio Giua;Match Report;;Atalanta;2021-05-0915:00Serie AMatchweek 35AwayWParmaAtalanta;18.0;12.0;13.8;0.0;0;620.0;85.3;1;0;0;15.0;4.0;10.0;24.5;€398.75m;7
