;Date;Time;Comp;Round;Day;Venue;Result;GF;GA;Opponent;xG;xGA;Poss;Attendance;Captain;Formation;Referee;Match Report;Notes;team;key;Sh;SoT;Dist;FK;PK;Att;Cmp%;CrdY;CrdR;2CrdY;Fls;Off;Int;age;value
37;2022-03-10;21:00;Europa Lg;Round of 16;Thu;Home;W;3;2;de Leverkusen;1.7;0.5;46.0;13134.0;Rafael Tolói;3-4-1-2;Srđan Jovanović;Match Report;Leg 1 of 2;Atalanta;2022-03-1021:00Europa LgRound of 16HomeWde LeverkusenAtalanta;18.0;9.0;16.2;0.0;0;543.0;76.2;1;0;0;7.0;1.0;16.0;24.5;€398.75m
38;2022-03-13;18:00;Serie A;Matchweek 29;Sun;Home;D;0;0;Genoa;0.9;1.1;58.0;9140.0;José Luis Palomino;3-4-1-2;Rosario Abisso;Match Report;;Atalanta;2022-03-1318:00Serie AMatchweek 29HomeDGenoaAtalanta;11.0;2.0;15.1;0.0;0;622.0;71.4;2;0;0;13.0;2.0;14.0;24.5;€398.75m
39;2022-03-17;18:45;Europa Lg;Round of 16;Thu;Away;W;1;0;de Leverkusen;1.2;1.5;37.0;19871.0;Rafael Tolói;3-4-3;François Letexier;Match Report;"Leg 2 of 2; Atalanta won";Atalanta;2022-03-1718:45Europa LgRound of 16AwayWde LeverkusenAtalanta;13.0;3.0;18.1;2.0;0;394.0;71.1;0;0;0;12.0;1.0;20.0;24.5;€398.75m
40;2022-03-20;20:45;Serie A;Matchweek 30;Sun;Away;W;1;0;Bologna;1.6;1.3;40.0;1323.0;Remo Freuler;3-4-3;Fabio Maresca;Match Report;;Atalanta;2022-03-2020:45Serie AMatchweek 30AwayWBolognaAtalanta;15.0;2.0;17.8;0.0;0;396.0;69.4;1;0;0;12.0;5.0;23.0;24.5;€398.75m
41;2022-04-03;15:00;Serie A;Matchweek 31;Sun;Home;L;1;3;Napoli;1.7;1.4;55.0;17709.0;Remo Freuler;3-4-1-2;Marco Di Bello;Match Report;;Atalanta;2022-04-0315:00Serie AMatchweek 31HomeLNapoliAtalanta;19.0;3.0;15.8;1.0;0;587.0;83.8;2;0;0;15.0;0.0;13.0;24.5;€398.75m
42;2022-04-07;18:45;Europa Lg;Quarter-finals;Thu;Away;D;1;1;de RB Leipzig;1.9;2.5;44.0;36029.0;Remo Freuler;4-2-3-1;Michael Oliver;Match Report;Leg 1 of 2;Atalanta;2022-04-0718:45Europa LgQuarter-finalsAwayDde RB LeipzigAtalanta;20.0;4.0;15.9;0.0;0;503.0;78.1;1;0;0;11.0;2.0;11.0;24.5;€398.75m
43;2022-04-10;15:00;Serie A;Matchweek 32;Sun;Away;L;1;2;Sassuolo;1.8;1.4;50.0;7842.0;Rafael Tolói;3-4-3;Juan Sacchi;Match Report;;Atalanta;2022-04-1015:00Serie AMatchweek 32AwayLSassuoloAtalanta;15.0;4.0;14.2;0.0;0;518.0;82.8;1;0;0;14.0;4.0;9.0;24.5;€398.75m
44;2022-04-14;18:45;Europa Lg;Quarter-finals;Thu;Home;L;0;2;de RB Leipzig;1.3;2.4;57.0;17905.0;Remo Freuler;3-4-3;Antonio Matéu Lahoz;Match Report;"Leg 2 of 2; RB Leipzig won";Atalanta;2022-04-1418:45Europa LgQuarter-finalsHomeLde RB LeipzigAtalanta;16.0;3.0;17.0;2.0;0;570.0;81.2;6;0;0;12.0;1.0;9.0;24.5;€398.75m
45;2022-04-18;21:00;Serie A;Matchweek 33;Mon;Home;L;1;2;Hellas Verona;1.8;3.8;56.0;14537.0;Marten de Roon;3-4-3;Marco Piccinini;Match Report;;Atalanta;2022-04-1821:00Serie AMatchweek 33HomeLHellas VeronaAtalanta;17.0;4.0;15.4;0.0;0;565.0;76.5;3;0;0;13.0;1.0;8.0;24.5;€398.75m
46;2022-04-23;15:00;Serie A;Matchweek 34;Sat;Away;W;3;1;Venezia;3.9;0.9;60.0;6132.0;Remo Freuler;3-4-1-2;Francesco Fourneau;Match Report;;Atalanta;2022-04-2315:00Serie AMatchweek 34AwayWVeneziaAtalanta;19.0;4.0;12.0;0.0;0;660.0;82.0;3;0;0;13.0;0.0;11.0;24.5;€398.75m
47;2022-04-27;20:15;Serie A;Matchweek 20;Wed;Home;D;4;4;Torino;2.8;2.3;49.0;;Remo Freuler;3-4-3;Rosario Abisso;Match Report;;Atalanta;2022-04-2720:15Serie AMatchweek 20HomeDTorinoAtalanta;15.0;3.0;16.9;1.0;2;462.0;76.8;2;0;0;12.0;2.0;5.0;24.5;€398.75m
48;2022-05-02;20:45;Serie A;Matchweek 35;Mon;Home;D;1;1;Salernitana;2.0;1.1;62.0;17011.0;Remo Freuler;3-4-3;Marco Guida;Match Report;;Atalanta;2022-05-0220:45Serie AMatchweek 35HomeDSalernitanaAtalanta;20.0;5.0;17.5;1.0;0;613.0;80.9;3;0;0;13.0;2.0;4.0;24.5;€398.75m
49;2022-05-08;12:30;Serie A;Matchweek 36;Sun;Away;W;3;1;Spezia;1.9;0.9;65.0;9000.0;Remo Freuler;3-4-3;Fabio Maresca;Match Report;;Atalanta;2022-05-0812:30Serie AMatchweek 36AwayWSpeziaAtalanta;17.0;6.0;17.7;1.0;0;605.0;84.3;3;0;0;12.0;3.0;6.0;24.5;€398.75m
50;2022-05-15;18:00;Serie A;Matchweek 37;Sun;Away;L;0;2;Milan;0.9;1.9;54.0;73304.0;Remo Freuler;3-4-3;Daniele Orsato;Match Report;;Atalanta;2022-05-1518:00Serie AMatchweek 37AwayLMilanAtalanta;12.0;2.0;16.7;0.0;0;484.0;82.0;4;0;0;14.0;1.0;7.0;24.5;€398.75m
51;2022-05-21;20:45;Serie A;Matchweek 38;Sat;Home;L;0;1;Empoli;3.7;0.3;62.0;17654.0;Remo Freuler;3-4-1-2;Rosario Abisso;Match Report;;Atalanta;2022-05-2120:45Serie AMatchweek 38HomeLEmpoliAtalanta;40.0;9.0;16.5;0.0;0;646.0;83.9;1;0;0;6.0;2.0;11.0;24.5;€398.75m
0;2021-08-16;18:00;Coppa Italia;First round;Mon;Home;L;4;5;Ternana;;;64.0;5360.0;Roberto Soriano;4-2-3-1;Luca Zufferli;Match Report;;Bologna;2021-08-1618:00Coppa ItaliaFirst roundHomeLTernanaBologna;23.0;11.0;;;1;;;1;0;0;14.0;3.0;17.0;23.7;€186.20m
1;2021-08-22;18:30;Serie A;Matchweek 1;Sun;Home;W;3;2;Salernitana;1.6;1.5;71.0;8375.0;Roberto Soriano;4-2-3-1;Antonio Rapuano;Match Report;;Bologna;2021-08-2218:30Serie AMatchweek 1HomeWSalernitanaBologna;18.0;7.0;17.5;2.0;0;588.0;82.1;6;2;2;13.0;0.0;6.0;23.7;€186.20m
2;2021-08-28;18:30;Serie A;Matchweek 2;Sat;Away;D;0;0;Atalanta;0.3;1.2;41.0;7912.0;Lorenzo De Silvestri;4-3-3;Daniele Orsato;Match Report;;Bologna;2021-08-2818:30Serie AMatchweek 2AwayDAtalantaBologna;4.0;1.0;15.4;0.0;0;415.0;69.6;5;0;0;14.0;0.0;14.0;23.7;€186.20m
3;2021-09-13;20:45;Serie A;Matchweek 3;Mon;Home;W;1;0;Hellas Verona;1.4;0.3;43.0;10218.0;Roberto Soriano;4-2-3-1;Ivan Pezzuto;Match Report;;Bologna;2021-09-1320:45Serie AMatchweek 3HomeWHellas VeronaBologna;15.0;3.0;17.3;0.0;0;366.0;71.6;1;0;0;14.0;0.0;15.0;23.7;€186.20m
4;2021-09-18;18:00;Serie A;Matchweek 4;Sat;Away;L;1;6;Inter;0.7;3.2;55.0;35278.0;Roberto Soriano;4-2-3-1;Giovanni Ayroldi;Match Report;;Bologna;2021-09-1818:00Serie AMatchweek 4AwayLInterBologna;7.0;2.0;15.5;0.0;0;557.0;86.9;3;0;0;10.0;0.0;5.0;23.7;€186.20m
5;2021-09-21;18:30;Serie A;Matchweek 5;Tue;Home;D;2;2;Genoa;2.5;1.6;60.0;9707.0;Roberto Soriano;4-2-3-1;Francesco Fourneau;Match Report;;Bologna;2021-09-2118:30Serie AMatchweek 5HomeDGenoaBologna;16.0;4.0;15.3;1.0;1;574.0;82.1;3;0;0;14.0;0.0;5.0;23.7;€186.20m
6;2021-09-26;15:00;Serie A;Matchweek 6;Sun;Away;L;2;4;Empoli;3.0;2.1;63.0;5022.0;Roberto Soriano;4-2-3-1;Piero Giacomelli;Match Report;;Bologna;2021-09-2615:00Serie AMatchweek 6AwayLEmpoliBologna;19.0;5.0;15.9;0.0;0;513.0;81.5;2;0;0;22.0;1.0;6.0;23.7;€186.20m
7;2021-10-03;12:30;Serie A;Matchweek 7;Sun;Home;W;3;0;Lazio;0.7;0.6;41.0;12975.0;Roberto Soriano;3-4-3;Davide Massa;Match Report;;Bologna;2021-10-0312:30Serie AMatchweek 7HomeWLazioBologna;10.0;3.0;18.5;0.0;0;458.0;80.3;2;0;0;5.0;1.0;15.0;23.7;€186.20m
8;2021-10-17;15:00;Serie A;Matchweek 8;Sun;Away;D;1;1;Udinese;1.7;1.0;59.0;10627.0;Roberto Soriano;3-4-3;Rosario Abisso;Match Report;;Bologna;2021-10-1715:00Serie AMatchweek 8AwayDUdineseBologna;24.0;11.0;20.2;1.0;0;526.0;86.5;7;0;0;11.0;0.0;8.0;23.7;€186.20m
9;2021-10-23;20:45;Serie A;Matchweek 9;Sat;Home;L;2;4;Milan;0.8;1.2;37.0;22167.0;Roberto Soriano;3-4-3;Paolo Valeri;Match Report;;Bologna;2021-10-2320:45Serie AMatchweek 9HomeLMilanBologna;9.0;4.0;14.5;0.0;0;380.0;78.2;1;2;0;7.0;0.0;3.0;23.7;€186.20m
10;2021-10-28;20:45;Serie A;Matchweek 10;Thu;Away;L;0;3;Napoli;0.3;2.7;35.0;20000.0;Lorenzo De Silvestri;3-4-3;Marco Serra;Match Report;;Bologna;2021-10-2820:45Serie AMatchweek 10AwayLNapoliBologna;8.0;1.0;23.2;1.0;0;386.0;81.9;1;0;0;5.0;1.0;6.0;23.7;€186.20m
11;2021-11-01;20:45;Serie A;Matchweek 11;Mon;Home;W;2;0;Cagliari;1.3;0.7;57.0;10126.0;Roberto Soriano;3-4-3;Davide Massa;Match Report;;Bologna;2021-11-0120:45Serie AMatchweek 11HomeWCagliariBologna;8.0;3.0;20.7;0.0;0;637.0;86.3;3;0;0;11.0;1.0;5.0;23.7;€186.20m
12;2021-11-07;15:00;Serie A;Matchweek 12;Sun;Away;W;2;1;Sampdoria;1.4;1.2;53.0;5694.0;Roberto Soriano;3-4-3;Gianluca Manganiello;Match Report;;Bologna;2021-11-0715:00Serie AMatchweek 12AwayWSampdoriaBologna;14.0;6.0;16.9;0.0;0;510.0;78.0;1;0;0;12.0;2.0;10.0;23.7;€186.20m
13;2021-11-21;15:00;Serie A;Matchweek 13;Sun;Home;L;0;1;Venezia;2.0;0.9;67.0;15255.0;Roberto Soriano;3-4-3;Daniele Chiffi;Match Report;;Bologna;2021-11-2115:00Serie AMatchweek 13HomeLVeneziaBologna;22.0;6.0;19.7;0.0;0;711.0;84.0;0;0;0;6.0;1.0;7.0;23.7;€186.20m
14;2021-11-28;15:00;Serie A;Matchweek 14;Sun;Away;W;1;0;Spezia;2.6;0.9;57.0;6265.0;Roberto Soriano;3-4-3;Luca Massimi;Match Report;;Bologna;2021-11-2815:00Serie AMatchweek 14AwayWSpeziaBologna;16.0;4.0;18.3;1.0;1;558.0;83.0;1;0;0;12.0;0.0;14.0;23.7;€186.20m
15;2021-12-01;18:30;Serie A;Matchweek 15;Wed;Home;W;1;0;Roma;0.3;1.0;43.0;15780.0;Roberto Soriano;3-4-3;Luca Pairetto;Match Report;;Bologna;2021-12-0118:30Serie AMatchweek 15HomeWRomaBologna;6.0;3.0;25.3;0.0;0;420.0;77.9;3;0;0;9.0;2.0;13.0;23.7;€186.20m
