;Date;Time;Comp;Round;Day;Venue;Result;GF;GA;Opponent;xG;xGA;Poss;Attendance;Captain;Formation;Referee;Match Report;Notes;team;key;Sh;SoT;Dist;FK;PK;Att;Cmp%;CrdY;CrdR;2CrdY;Fls;Off;Int;age;value
38;2022-03-19;20:45;Serie A;Matchweek 30;Sat;Away;W;1;0;Cagliari;2.1;1.4;58.0;12309.0;Davide Calabria;4-2-3-1;Marco Di Bello;Match Report;;Milan;2022-03-1920:45Serie AMatchweek 30AwayWCagliariMilan;21.0;5.0;17.0;0.0;0;504.0;78.4;0;0;0;14.0;0.0;10.0;25.3;€546.95m
39;2022-04-04;20:45;Serie A;Matchweek 31;Mon;Home;D;0;0;Bologna;2.6;0.7;53.0;68136.0;Davide Calabria;4-2-3-1;Livio Marinelli;Match Report;;Milan;2022-04-0420:45Serie AMatchweek 31HomeDBolognaMilan;33.0;7.0;18.1;0.0;0;479.0;76.6;0;0;0;10.0;4.0;7.0;25.3;€546.95m
40;2022-04-10;20:45;Serie A;Matchweek 32;Sun;Away;D;0;0;Torino;0.8;1.1;56.0;23472.0;Davide Calabria;4-2-3-1;Daniele Doveri;Match Report;;Milan;2022-04-1020:45Serie AMatchweek 32AwayDTorinoMilan;14.0;3.0;20.3;1.0;0;471.0;77.3;2;0;0;6.0;1.0;3.0;25.3;€546.95m
41;2022-04-15;21:00;Serie A;Matchweek 33;Fri;Home;W;2;0;Genoa;1.4;0.3;59.0;70259.0;Franck Kessié;4-3-3;Daniele Chiffi;Match Report;;Milan;2022-04-1521:00Serie AMatchweek 33HomeWGenoaMilan;10.0;5.0;14.2;0.0;0;534.0;81.5;1;0;0;10.0;3.0;8.0;25.3;€546.95m
42;2022-04-19;21:00;Coppa Italia;Semi-finals;Tue;Away;L;0;3;Inter;;;52.0;75000.0;Davide Calabria;4-2-3-1;Maurizio Mariani;Match Report;"Leg 2 of 2; Inter won";Milan;2022-04-1921:00Coppa ItaliaSemi-finalsAwayLInterMilan;19.0;6.0;;;0;;;2;0;0;12.0;1.0;8.0;25.3;€546.95m
43;2022-04-24;20:45;Serie A;Matchweek 34;Sun;Away;W;2;1;Lazio;2.6;0.5;53.0;25000.0;Davide Calabria;4-2-3-1;Marco Guida;Match Report;;Milan;2022-04-2420:45Serie AMatchweek 34AwayWLazioMilan;25.0;8.0;18.3;2.0;0;509.0;78.0;4;0;0;15.0;2.0;11.0;25.3;€546.95m
44;2022-05-01;15:00;Serie A;Matchweek 35;Sun;Home;W;1;0;Fiorentina;1.6;1.0;49.0;71542.0;Davide Calabria;4-2-3-1;Paolo Valeri;Match Report;;Milan;2022-05-0115:00Serie AMatchweek 35HomeWFiorentinaMilan;13.0;2.0;15.0;0.0;0;439.0;77.2;1;0;0;17.0;6.0;17.0;25.3;€546.95m
45;2022-05-08;20:45;Serie A;Matchweek 36;Sun;Away;W;3;1;Hellas Verona;3.1;1.1;53.0;30154.0;Davide Calabria;4-2-3-1;Daniele Doveri;Match Report;;Milan;2022-05-0820:45Serie AMatchweek 36AwayWHellas VeronaMilan;18.0;8.0;17.8;0.0;0;447.0;77.6;1;0;0;7.0;2.0;5.0;25.3;€546.95m
46;2022-05-15;18:00;Serie A;Matchweek 37;Sun;Home;W;2;0;Atalanta;1.9;0.9;46.0;73304.0;Davide Calabria;4-2-3-1;Daniele Orsato;Match Report;;Milan;2022-05-1518:00Serie AMatchweek 37HomeWAtalantaMilan;12.0;6.0;21.5;1.0;0;415.0;79.0;3;0;0;8.0;0.0;7.0;25.3;€546.95m
47;2022-05-22;18:00;Serie A;Matchweek 38;Sun;Away;W;3;0;Sassuolo;3.3;0.5;47.0;21584.0;Davide Calabria;4-2-3-1;Daniele Doveri;Match Report;;Milan;2022-05-2218:00Serie AMatchweek 38AwayWSassuoloMilan;18.0;11.0;14.3;0.0;0;391.0;80.8;1;0;0;13.0;3.0;3.0;25.3;€546.95m
0;2021-08-22;20:45;Serie A;Matchweek 1;Sun;Home;W;2;0;Venezia;2.3;0.7;56.0;20000.0;Lorenzo Insigne;4-3-3;Gianluca Aureliano;Match Report;;Napoli;2021-08-2220:45Serie AMatchweek 1HomeWVeneziaNapoli;11.0;3.0;23.4;3.0;1;591.0;88.2;1;1;0;5.0;3.0;12.0;25.3;€477.23m
1;2021-08-29;18:30;Serie A;Matchweek 2;Sun;Away;W;2;1;Genoa;1.4;0.5;61.0;20000.0;Lorenzo Insigne;4-3-3;Marco Di Bello;Match Report;;Napoli;2021-08-2918:30Serie AMatchweek 2AwayWGenoaNapoli;13.0;8.0;17.8;1.0;0;621.0;84.1;3;0;0;15.0;2.0;13.0;25.3;€477.23m
2;2021-09-11;18:00;Serie A;Matchweek 3;Sat;Home;W;2;1;Juventus;2.3;1.2;67.0;23500.0;Lorenzo Insigne;4-3-3;Massimiliano Irrati;Match Report;;Napoli;2021-09-1118:00Serie AMatchweek 3HomeWJuventusNapoli;25.0;6.0;17.6;1.0;0;676.0;88.5;2;0;0;14.0;1.0;3.0;25.3;€477.23m
3;2021-09-16;20:00;Europa Lg;Group stage;Thu;Away;D;2;2;eng Leicester City;2.1;0.7;54.0;29579.0;Lorenzo Insigne;4-3-3;Tiago Martins;Match Report;;Napoli;2021-09-1620:00Europa LgGroup stageAwayDeng Leicester CityNapoli;22.0;7.0;19.0;2.0;0;555.0;83.4;2;0;0;7.0;2.0;10.0;25.3;€477.23m
4;2021-09-20;20:45;Serie A;Matchweek 4;Mon;Away;W;4;0;Udinese;3.1;0.3;62.0;11484.0;Lorenzo Insigne;4-3-3;Gianluca Manganiello;Match Report;;Napoli;2021-09-2020:45Serie AMatchweek 4AwayWUdineseNapoli;18.0;8.0;15.4;2.0;0;680.0;90.4;1;0;0;11.0;3.0;6.0;25.3;€477.23m
5;2021-09-23;18:30;Serie A;Matchweek 5;Thu;Away;W;4;0;Sampdoria;2.0;0.8;52.0;4596.0;Lorenzo Insigne;4-3-3;Paolo Valeri;Match Report;;Napoli;2021-09-2318:30Serie AMatchweek 5AwayWSampdoriaNapoli;17.0;9.0;19.6;0.0;0;547.0;86.8;1;0;0;7.0;1.0;11.0;25.3;€477.23m
6;2021-09-26;20:45;Serie A;Matchweek 6;Sun;Home;W;2;0;Cagliari;1.9;0.2;67.0;20000.0;Lorenzo Insigne;4-3-3;Marco Piccinini;Match Report;;Napoli;2021-09-2620:45Serie AMatchweek 6HomeWCagliariNapoli;16.0;6.0;23.8;1.0;1;771.0;91.3;2;0;0;12.0;1.0;7.0;25.3;€477.23m
7;2021-09-30;18:45;Europa Lg;Group stage;Thu;Home;L;2;3;ru Spartak Moscow;2.1;2.4;49.0;13373.0;Lorenzo Insigne;4-3-3;Ivan Kružliak;Match Report;;Napoli;2021-09-3018:45Europa LgGroup stageHomeLru Spartak MoscowNapoli;11.0;4.0;11.1;0.0;0;458.0;81.2;4;1;0;11.0;6.0;2.0;25.3;€477.23m
8;2021-10-03;18:00;Serie A;Matchweek 7;Sun;Away;W;2;1;Fiorentina;1.6;0.5;46.0;15264.0;Lorenzo Insigne;4-2-3-1;Simone Sozza;Match Report;;Napoli;2021-10-0318:00Serie AMatchweek 7AwayWFiorentinaNapoli;11.0;5.0;16.0;1.0;0;430.0;80.9;3;0;0;13.0;0.0;6.0;25.3;€477.23m
9;2021-10-17;18:00;Serie A;Matchweek 8;Sun;Home;W;1;0;Torino;1.6;1.1;51.0;27579.0;Lorenzo Insigne;4-2-3-1;Juan Sacchi;Match Report;;Napoli;2021-10-1718:00Serie AMatchweek 8HomeWTorinoNapoli;9.0;2.0;19.7;0.0;0;426.0;75.8;2;0;0;6.0;2.0;13.0;25.3;€477.23m
10;2021-10-21;21:00;Europa Lg;Group stage;Thu;Home;W;3;0;pl Legia Warsaw;2.3;0.4;70.0;10346.0;Lorenzo Insigne;4-3-3;Carlos Grande Rabadán;Match Report;;Napoli;2021-10-2121:00Europa LgGroup stageHomeWpl Legia WarsawNapoli;29.0;10.0;18.4;2.0;0;715.0;86.3;2;0;0;11.0;4.0;8.0;25.3;€477.23m
11;2021-10-24;18:00;Serie A;Matchweek 9;Sun;Away;D;0;0;Roma;1.1;1.5;62.0;47801.0;Lorenzo Insigne;4-2-3-1;Davide Massa;Match Report;;Napoli;2021-10-2418:00Serie AMatchweek 9AwayDRomaNapoli;11.0;2.0;19.0;1.0;0;578.0;84.8;1;0;0;10.0;6.0;8.0;25.3;€477.23m
12;2021-10-28;20:45;Serie A;Matchweek 10;Thu;Home;W;3;0;Bologna;2.7;0.3;65.0;20000.0;Lorenzo Insigne;4-2-3-1;Marco Serra;Match Report;;Napoli;2021-10-2820:45Serie AMatchweek 10HomeWBolognaNapoli;16.0;4.0;21.0;0.0;2;720.0;92.1;1;0;0;20.0;1.0;6.0;25.3;€477.23m
13;2021-10-31;18:00;Serie A;Matchweek 11;Sun;Away;W;1;0;Salernitana;1.9;0.5;63.0;17043.0;Kalidou Koulibaly;4-2-3-1;Michael Fabbri;Match Report;;Napoli;2021-10-3118:00Serie AMatchweek 11AwayWSalernitanaNapoli;18.0;3.0;16.9;0.0;0;566.0;84.6;2;1;0;13.0;2.0;4.0;25.3;€477.23m
14;2021-11-04;18:45;Europa Lg;Group stage;Thu;Away;W;4;1;pl Legia Warsaw;4.3;0.6;70.0;25706.0;Kalidou Koulibaly;4-2-3-1;Lawrence Visser;Match Report;;Napoli;2021-11-0418:45Europa LgGroup stageAwayWpl Legia WarsawNapoli;25.0;9.0;19.2;1.0;2;724.0;89.4;1;0;0;15.0;2.0;5.0;25.3;€477.23m
15;2021-11-07;18:00;Serie A;Matchweek 12;Sun;Home;D;1;1;Hellas Verona;0.9;1.2;59.0;28000.0;Lorenzo Insigne;4-2-3-1;Giovanni Ayroldi;Match Report;;Napoli;2021-11-0718:00Serie AMatchweek 12HomeDHellas VeronaNapoli;16.0;1.0;21.9;3.0;0;544.0;82.2;2;0;0;16.0;1.0;14.0;25.3;€477.23m
16;2021-11-21;18:00;Serie A;Matchweek 13;Sun;Away;L;2;3;Inter;0.9;2.1;55.0;56649.0;Lorenzo Insigne;4-2-3-1;Paolo Valeri;Match Report;;Napoli;2021-11-2118:00Serie AMatchweek 13AwayLInterNapoli;9.0;3.0;15.9;0.0;0;503.0;84.5;3;0;0;16.0;0.0;7.0;25.3;€477.23m
17;2021-11-24;18:30;Europa Lg;Group stage;Wed;Away;L;1;2;ru Spartak Moscow;2.5;1.8;70.0;25706.0;Kalidou Koulibaly;4-2-3-1;Clément Turpin;Match Report;;Napoli;2021-11-2418:30Europa LgGroup stageAwayLru Spartak MoscowNapoli;19.0;8.0;12.4;1.0;0;700.0;85.7;1;0;0;9.0;2.0;7.0;25.3;€477.23m
18;2021-11-28;20:45;Serie A;Matchweek 14;Sun;Home;W;4;0;Lazio;1.1;0.4;61.0;36000.0;Lorenzo Insigne;4-3-3;Daniele Orsato;Match Report;;Napoli;2021-11-2820:45Serie AMatchweek 14HomeWLazioNapoli;18.0;8.0;20.3;1.0;0;819.0;92.7;2;0;0;10.0;2.0;8.0;25.3;€477.23m
19;2021-12-01;20:45;Serie A;Matchweek 15;Wed;Away;D;2;2;Sassuolo;1.1;0.5;50.0;8192.0;Lorenzo Insigne;4-3-3;Ivan Pezzuto;Match Report;;Napoli;2021-12-0120:45Serie AMatchweek 15AwayDSassuoloNapoli;9.0;4.0;15.9;0.0;0;499.0;83.0;2;0;0;19.0;2.0;8.0;25.3;€477.23m
20;2021-12-04;20:45;Serie A;Matchweek 16;Sat;Home;L;2;3;Atalanta;1.5;2.1;55.0;30000.0;Dries Mertens;3-4-3;Maurizio Mariani;Match Report;;Napoli;2021-12-0420:45Serie AMatchweek 16HomeLAtalantaNapoli;15.0;4.0;18.4;1.0;0;569.0;84.4;2;0;0;16.0;0.0;4.0;25.3;€477.23m
21;2021-12-09;18:45;Europa Lg;Group stage;Thu;Home;W;3;2;eng Leicester City;1.6;2.0;47.0;14646.0;Piotr Zieliński;4-2-3-1;Antonio Matéu Lahoz;Match Report;;Napoli;2021-12-0918:45Europa LgGroup stageHomeWeng Leicester CityNapoli;11.0;5.0;15.1;0.0;0;486.0;84.0;2;0;0;12.0;1.0;1.0;25.3;€477.23m
22;2021-12-12;18:00;Serie A;Matchweek 17;Sun;Home;L;0;1;Empoli;2.5;0.8;60.0;20000.0;Dries Mertens;4-2-3-1;Livio Marinelli;Match Report;;Napoli;2021-12-1218:00Serie AMatchweek 17HomeLEmpoliNapoli;30.0;6.0;18.4;0.0;0;611.0;84.0;0;0;0;8.0;1.0;3.0;25.3;€477.23m
23;2021-12-19;20:45;Serie A;Matchweek 18;Sun;Away;W;1;0;Milan;1.0;0.6;51.0;54647.0;Piotr Zieliński;4-2-3-1;Davide Massa;Match Report;;Napoli;2021-12-1920:45Serie AMatchweek 18AwayWMilanNapoli;11.0;2.0;16.7;0.0;0;543.0;79.9;2;0;0;18.0;0.0;11.0;25.3;€477.23m
24;2021-12-22;20:45;Serie A;Matchweek 19;Wed;Home;L;0;1;Spezia;2.4;0.6;65.0;25000.0;Dries Mertens;4-2-3-1;Luca Massimi;Match Report;;Napoli;2021-12-2220:45Serie AMatchweek 19HomeLSpeziaNapoli;26.0;6.0;16.7;0.0;0;656.0;85.8;2;0;0;14.0;3.0;1.0;25.3;€477.23m
25;2022-01-06;20:45;Serie A;Matchweek 20;Thu;Away;D;1;1;Juventus;1.0;1.6;56.0;19301.0;Lorenzo Insigne;4-2-3-1;Simone Sozza;Match Report;;Napoli;2022-01-0620:45Serie AMatchweek 20AwayDJuventusNapoli;16.0;4.0;21.2;1.0;0;615.0;86.8;1;0;0;11.0;1.0;16.0;25.3;€477.23m
26;2022-01-09;16:30;Serie A;Matchweek 21;Sun;Home;W;1;0;Sampdoria;1.6;0.5;68.0;9000.0;Lorenzo Insigne;4-2-3-1;Marco Di Bello;Match Report;;Napoli;2022-01-0916:30Serie AMatchweek 21HomeWSampdoriaNapoli;22.0;5.0;18.2;1.0;0;755.0;87.7;0;0;0;12.0;1.0;4.0;25.3;€477.23m
27;2022-01-13;18:00;Coppa Italia;Round of 16;Thu;Home;L;2;5;Fiorentina;;;48.0;4500.0;Dries Mertens;4-2-3-1;Giovanni Ayroldi;Match Report;Required Extra Time;Napoli;2022-01-1318:00Coppa ItaliaRound of 16HomeLFiorentinaNapoli;14.0;5.0;;;0;;;4;2;1;23.0;2.0;3.0;25.3;€477.23m
28;2022-01-17;18:30;Serie A;Matchweek 22;Mon;Away;W;2;0;Bologna;2.5;0.9;61.0;5000.0;Dries Mertens;4-2-3-1;Livio Marinelli;Match Report;;Napoli;2022-01-1718:30Serie AMatchweek 22AwayWBolognaNapoli;14.0;5.0;18.0;1.0;0;672.0;84.8;1;0;0;11.0;2.0;13.0;25.3;€477.23m
29;2022-01-23;15:00;Serie A;Matchweek 23;Sun;Home;W;4;1;Salernitana;4.4;0.2;82.0;3000.0;Dries Mertens;4-2-3-1;Luca Pairetto;Match Report;;Napoli;2022-01-2315:00Serie AMatchweek 23HomeWSalernitanaNapoli;24.0;12.0;18.3;2.0;2;975.0;91.2;0;0;0;9.0;3.0;1.0;25.3;€477.23m
30;2022-02-06;15:00;Serie A;Matchweek 24;Sun;Away;W;2;0;Venezia;2.1;0.4;66.0;5554.0;Lorenzo Insigne;4-2-3-1;Maurizio Mariani;Match Report;;Napoli;2022-02-0615:00Serie AMatchweek 24AwayWVeneziaNapoli;16.0;6.0;16.4;0.0;0;780.0;85.9;2;0;0;11.0;0.0;4.0;25.3;€477.23m
31;2022-02-12;18:00;Serie A;Matchweek 25;Sat;Home;D;1;1;Inter;1.9;0.7;48.0;27000.0;Lorenzo Insigne;4-2-3-1;Daniele Doveri;Match Report;;Napoli;2022-02-1218:00Serie AMatchweek 25HomeDInterNapoli;12.0;3.0;14.7;0.0;1;525.0;85.3;1;0;0;7.0;0.0;10.0;25.3;€477.23m
32;2022-02-17;18:45;Europa Lg;Knockout round play-offs;Thu;Away;D;1;1;es Barcelona;0.8;2.4;34.0;73525.0;Lorenzo Insigne;4-2-3-1;István Kovács;Match Report;Leg 1 of 2;Napoli;2022-02-1718:45Europa LgKnockout round play-offsAwayDes BarcelonaNapoli;4.0;4.0;12.5;0.0;0;406.0;77.8;4;0;0;8.0;4.0;13.0;25.3;€477.23m
33;2022-02-21;19:00;Serie A;Matchweek 26;Mon;Away;D;1;1;Cagliari;1.2;2.1;53.0;12063.0;Kalidou Koulibaly;3-4-3;Maurizio Mariani;Match Report;;Napoli;2022-02-2119:00Serie AMatchweek 26AwayDCagliariNapoli;7.0;3.0;17.1;1.0;0;483.0;72.3;2;0;0;22.0;4.0;5.0;25.3;€477.23m
34;2022-02-24;21:00;Europa Lg;Knockout round play-offs;Thu;Home;L;2;4;es Barcelona;1.3;1.9;44.0;37858.0;Lorenzo Insigne;4-2-3-1;Sergey Karasev;Match Report;"Leg 2 of 2; Barcelona won";Napoli;2022-02-2421:00Europa LgKnockout round play-offsHomeLes BarcelonaNapoli;6.0;2.0;18.1;0.0;1;480.0;82.5;2;0;0;19.0;6.0;4.0;25.3;€477.23m
35;2022-02-27;20:50;Serie A;Matchweek 27;Sun;Away;W;2;1;Lazio;1.3;1.3;55.0;25000.0;Lorenzo Insigne;4-2-3-1;Marco Di Bello;Match Report;;Napoli;2022-02-2720:50Serie AMatchweek 27AwayWLazioNapoli;15.0;7.0;18.3;0.0;0;692.0;87.3;2;0;0;14.0;2.0;6.0;25.3;€477.23m
36;2022-03-06;20:45;Serie A;Matchweek 28;Sun;Home;L;0;1;Milan;0.4;1.2;60.0;42000.0;Lorenzo Insigne;4-2-3-1;Daniele Orsato;Match Report;;Napoli;2022-03-0620:45Serie AMatchweek 28HomeLMilanNapoli;9.0;2.0;20.4;0.0;0;588.0;84.9;4;0;0;7.0;1.0;8.0;25.3;€477.23m
37;2022-03-13;15:00;Serie A;Matchweek 29;Sun;Away;W;2;1;Hellas Verona;1.6;0.7;50.0;18782.0;Kalidou Koulibaly;4-3-3;Daniele Doveri;Match Report;;Napoli;2022-03-1315:00Serie AMatchweek 29AwayWHellas VeronaNapoli;13.0;4.0;16.4;0.0;0;473.0;78.4;0;0;0;9.0;1.0;13.0;25.3;€477.23m
38;2022-03-19;15:00;Serie A;Matchweek 30;Sat;Home;W;2;1;Udinese;1.3;0.6;63.0;37363.0;Lorenzo Insigne;4-3-3;Francesco Fourneau;Match Report;;Napoli;2022-03-1915:00Serie AMatchweek 30HomeWUdineseNapoli;20.0;8.0;18.7;1.0;0;620.0;85.3;2;0;0;10.0;1.0;4.0;25.3;€477.23m
39;2022-04-03;15:00;Serie A;Matchweek 31;Sun;Away;W;3;1;Atalanta;1.4;1.7;45.0;17709.0;Lorenzo Insigne;4-2-3-1;Marco Di Bello;Match Report;;Napoli;2022-04-0315:00Serie AMatchweek 31AwayWAtalantaNapoli;5.0;4.0;20.6;0.0;1;475.0;77.5;3;0;0;11.0;3.0;13.0;25.3;€477.23m
40;2022-04-10;15:00;Serie A;Matchweek 32;Sun;Home;L;2;3;Fiorentina;1.3;0.8;50.0;50000.0;Lorenzo Insigne;4-3-3;Maurizio Mariani;Match Report;;Napoli;2022-04-1015:00Serie AMatchweek 32HomeLFiorentinaNapoli;15.0;3.0;17.3;2.0;0;531.0;82.3;0;0;0;10.0;5.0;7.0;25.3;€477.23m
41;2022-04-18;19:00;Serie A;Matchweek 33;Mon;Home;D;1;1;Roma;0.9;0.9;49.0;41822.0;Lorenzo Insigne;4-3-3;Marco Di Bello;Match Report;;Napoli;2022-04-1819:00Serie AMatchweek 33HomeDRomaNapoli;8.0;3.0;21.2;0.0;1;453.0;81.2;4;0;0;21.0;1.0;7.0;25.3;€477.23m
42;2022-04-24;15:00;Serie A;Matchweek 34;Sun;Away;L;2;3;Empoli;1.5;1.8;59.0;10245.0;Lorenzo Insigne;4-2-3-1;Livio Marinelli;Match Report;;Napoli;2022-04-2415:00Serie AMatchweek 34AwayLEmpoliNapoli;16.0;2.0;15.2;0.0;0;563.0;79.8;1;0;0;9.0;2.0;21.0;25.3;€477.23m
43;2022-04-30;15:00;Serie A;Matchweek 35;Sat;Home;W;6;1;Sassuolo;3.0;1.4;53.0;20000.0;Lorenzo Insigne;4-2-3-1;Antonio Rapuano;Match Report;;Napoli;2022-04-3015:00Serie AMatchweek 35HomeWSassuoloNapoli;18.0;8.0;13.0;0.0;0;574.0;89.4;0;0;0;10.0;5.0;8.0;25.3;€477.23m
44;2022-05-07;15:00;Serie A;Matchweek 36;Sat;Away;W;1;0;Torino;1.6;0.6;57.0;14619.0;Lorenzo Insigne;4-2-3-1;Alessandro Prontera;Match Report;;Napoli;2022-05-0715:00Serie AMatchweek 36AwayWTorinoNapoli;10.0;5.0;19.5;1.0;0;509.0;83.5;3;0;0;11.0;1.0;3.0;25.3;€477.23m
45;2022-05-15;15:00;Serie A;Matchweek 37;Sun;Home;W;3;0;Genoa;2.5;1.2;66.0;54000.0;Lorenzo Insigne;4-2-3-1;Michael Fabbri;Match Report;;Napoli;2022-05-1515:00Serie AMatchweek 37HomeWGenoaNapoli;16.0;8.0;17.4;0.0;1;574.0;83.6;1;0;0;13.0;3.0;4.0;25.3;€477.23m
46;2022-05-22;12:30;Serie A;Matchweek 38;Sun;Away;W;3;0;Spezia;1.2;2.1;68.0;10000.0;Faouzi Ghoulam;4-2-3-1;Matteo Marchetti;Match Report;;Napoli;2022-05-2212:30Serie AMatchweek 38AwayWSpeziaNapoli;10.0;4.0;20.2;0.0;0;714.0;88.8;2;0;0;9.0;0.0;4.0;25.3;€477.23m
0;2021-08-19;20:30;Conf Lg;Play-off round;Thu;Away;W;2;1;tr Trabzonspor;;;;12870.0;Lorenzo Pellegrini;4-2-3-1;Matej Jug;Match Report;Leg 1 of 2;Roma;2021-08-1920:30Conf LgPlay-off roundAwayWtr TrabzonsporRoma;;;;;0;;;1;0;0;;;;23.8;€381.25m
1;2021-08-22;20:45;Serie A;Matchweek 1;Sun;Home;W;3;1;Fiorentina;2.5;1.2;42.0;26997.0;Lorenzo Pellegrini;4-2-3-1;Luca Pairetto;Match Report;;Roma;2021-08-2220:45Serie AMatchweek 1HomeWFiorentinaRoma;11.0;6.0;14.8;0.0;0;405.0;81.7;3;1;1;12.0;4.0;11.0;23.8;€381.25m
2;2021-08-26;19:00;Conf Lg;Play-off round;Thu;Home;W;3;0;tr Trabzonspor;;;;25906.0;Lorenzo Pellegrini;4-2-3-1;Srđan Jovanović;Match Report;"Leg 2 of 2; Roma won";Roma;2021-08-2619:00Conf LgPlay-off roundHomeWtr TrabzonsporRoma;;;;;0;;;2;0;0;;;;23.8;€381.25m
3;2021-08-29;20:45;Serie A;Matchweek 2;Sun;Away;W;4;0;Salernitana;2.4;0.4;79.0;12500.0;Lorenzo Pellegrini;4-2-3-1;Rosario Abisso;Match Report;;Roma;2021-08-2920:45Serie AMatchweek 2AwayWSalernitanaRoma;28.0;9.0;18.3;0.0;0;760.0;87.0;2;0;0;11.0;3.0;8.0;23.8;€381.25m
4;2021-09-12;20:45;Serie A;Matchweek 3;Sun;Home;W;2;1;Sassuolo;2.0;1.9;49.0;29604.0;Lorenzo Pellegrini;4-2-3-1;Simone Sozza;Match Report;;Roma;2021-09-1220:45Serie AMatchweek 3HomeWSassuoloRoma;17.0;6.0;15.2;0.0;0;485.0;85.4;2;0;0;7.0;1.0;3.0;23.8;€381.25m
5;2021-09-16;21:00;Conf Lg;Group stage;Thu;Home;W;5;1;bg CSKA Sofia;3.0;0.5;61.0;29876.0;Lorenzo Pellegrini;4-2-3-1;Glenn Nyberg;Match Report;;Roma;2021-09-1621:00Conf LgGroup stageHomeWbg CSKA SofiaRoma;16.0;7.0;18.7;2.0;0;575.0;85.0;0;0;0;12.0;0.0;11.0;23.8;€381.25m
6;2021-09-19;18:00;Serie A;Matchweek 4;Sun;Away;L;2;3;Hellas Verona;0.9;1.0;47.0;10148.0;Lorenzo Pellegrini;4-2-3-1;Fabio Maresca;Match Report;;Roma;2021-09-1918:00Serie AMatchweek 4AwayLHellas VeronaRoma;15.0;2.0;20.4;0.0;0;423.0;68.3;2;0;0;13.0;2.0;9.0;23.8;€381.25m
7;2021-09-23;20:45;Serie A;Matchweek 5;Thu;Home;W;1;0;Udinese;1.7;0.8;51.0;29593.0;Lorenzo Pellegrini;4-2-3-1;Antonio Rapuano;Match Report;;Roma;2021-09-2320:45Serie AMatchweek 5HomeWUdineseRoma;12.0;2.0;18.9;0.0;0;543.0;83.8;4;1;1;22.0;1.0;9.0;23.8;€381.25m
8;2021-09-26;18:00;Serie A;Matchweek 6;Sun;Away;L;2;3;Lazio;2.6;2.3;51.0;32000.0;Gianluca Mancini;4-2-3-1;Marco Guida;Match Report;;Roma;2021-09-2618:00Serie AMatchweek 6AwayLLazioRoma;19.0;7.0;14.7;0.0;1;488.0;82.8;4;0;0;13.0;1.0;11.0;23.8;€381.25m
9;2021-09-30;19:45;Conf Lg;Group stage;Thu;Away;W;3;0;ua Zorya Luhansk;3.1;0.7;53.0;7622.0;Lorenzo Pellegrini;4-2-3-1;Luís Godinho;Match Report;;Roma;2021-09-3019:45Conf LgGroup stageAwayWua Zorya LuhanskRoma;18.0;10.0;17.5;0.0;0;528.0;80.3;2;0;0;14.0;0.0;8.0;23.8;€381.25m
10;2021-10-03;18:00;Serie A;Matchweek 7;Sun;Home;W;2;0;Empoli;1.6;0.7;63.0;31946.0;Lorenzo Pellegrini;4-2-3-1;Giovanni Ayroldi;Match Report;;Roma;2021-10-0318:00Serie AMatchweek 7HomeWEmpoliRoma;18.0;6.0;16.2;2.0;0;651.0;89.6;2;0;0;11.0;3.0;7.0;23.8;€381.25m
11;2021-10-17;20:45;Serie A;Matchweek 8;Sun;Away;L;0;1;Juventus;1.9;1.0;53.0;20239.0;Lorenzo Pellegrini;4-2-3-1;Daniele Orsato;Match Report;;Roma;2021-10-1720:45Serie AMatchweek 8AwayLJuventusRoma;14.0;3.0;19.1;0.0;0;566.0;85.0;5;0;0;13.0;3.0;4.0;23.8;€381.25m
12;2021-10-21;18:45;Conf Lg;Group stage;Thu;Away;L;1;6;no Bodø/Glimt;0.6;3.2;46.0;5652.0;Stephan El Shaarawy;4-2-3-1;Ali Palabıyık;Match Report;;Roma;2021-10-2118:45Conf LgGroup stageAwayLno Bodø/GlimtRoma;6.0;2.0;25.3;1.0;0;493.0;82.4;1;0;0;9.0;2.0;13.0;23.8;€381.25m
13;2021-10-24;18:00;Serie A;Matchweek 9;Sun;Home;D;0;0;Napoli;1.5;1.1;38.0;47801.0;Lorenzo Pellegrini;4-2-3-1;Davide Massa;Match Report;;Roma;2021-10-2418:00Serie AMatchweek 9HomeDNapoliRoma;13.0;1.0;17.1;0.0;0;352.0;76.1;4;0;0;14.0;0.0;16.0;23.8;€381.25m
14;2021-10-27;20:45;Serie A;Matchweek 10;Wed;Away;W;2;1;Cagliari;2.8;0.9;58.0;8547.0;Lorenzo Pellegrini;4-2-3-1;Ivan Pezzuto;Match Report;;Roma;2021-10-2720:45Serie AMatchweek 10AwayWCagliariRoma;22.0;3.0;13.6;1.0;0;493.0;81.9;4;0;0;16.0;0.0;11.0;23.8;€381.25m
15;2021-10-31;20:45;Serie A;Matchweek 11;Sun;Home;L;1;2;Milan;1.7;1.9;50.0;51001.0;Lorenzo Pellegrini;4-2-3-1;Fabio Maresca;Match Report;;Roma;2021-10-3120:45Serie AMatchweek 11HomeLMilanRoma;24.0;6.0;19.3;1.0;0;420.0;82.6;4;0;0;19.0;2.0;4.0;23.8;€381.25m
