;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;n_form;Penalty;Rouge;periode;nb_def
278;2021-05-12;L;0;0;Home;1;65.0;25.0;4-5-1;2.0;20.5;90.8;10.0;10.0;-391.5;3;5;4-4-2;Sassuolo;reste;18.0;0;1;0;162;0;0;2021-05;4
279;2021-05-23;W;1;1;Home;1;56.0;25.0;4-5-1;3.0;21.9;85.5;6.0;12.0;-13.480000000000016;7;5;3-5-2;Sassuolo;reste;9.0;1;2;1;322;1;1;2021-05;4
280;2020-09-27;L;0;0;Home;1;34.0;23.6;4-3-3;5.0;16.5;78.2;12.0;13.0;-172.5;10;9;4-5-1;Spezia;automne;12.0;0;2;0;327;0;0;2020-09;4
281;2020-09-30;W;1;1;Away;0;51.0;23.6;4-3-3;2.0;13.5;82.7;14.0;17.0;-63.80000000000001;3;9;3-5-2;Spezia;automne;4.0;0;5;1;322;0;1;2020-09;4
282;2020-10-04;L;0;0;Away;0;38.0;23.6;4-3-3;2.0;23.4;74.7;13.0;19.0;-468.4500000000001;4;10;4-5-1;Spezia;automne;4.0;0;2;0;327;0;0;2020-10;4
283;2020-10-18;D;0;1;Home;1;52.0;23.6;4-3-3;2.0;21.7;82.0;10.0;15.0;-247.3;14;10;3-5-2;Spezia;automne;12.0;0;2;0;322;0;0;2020-10;4
284;2020-11-01;L;0;0;Home;1;44.0;23.6;4-3-3;3.0;20.9;83.4;8.0;14.0;-564.0;4;11;4-4-2;Spezia;automne;16.0;0;3;0;162;0;0;2020-11;4
285;2020-11-21;D;0;1;Home;1;55.0;23.6;4-3-3;2.0;19.7;75.7;10.0;19.0;-320.25;14;11;3-4-3;Spezia;automne;9.0;0;3;0;155;0;0;2020-11;4
286;2020-11-29;D;0;1;Away;0;60.0;23.6;4-3-3;4.0;16.5;79.0;20.0;18.0;-56.03;4;11;4-5-1;Spezia;automne;14.0;1;4;0;327;1;0;2020-11;4
288;2020-12-16;D;0;1;Home;1;45.0;23.6;4-3-3;4.0;11.4;65.2;12.0;19.0;-107.7;4;12;4-5-1;Spezia;reste;10.0;0;6;0;327;0;0;2020-12;4
289;2020-12-23;L;0;0;Home;1;67.0;23.6;4-3-3;4.0;17.4;81.9;7.0;19.0;-42.78;3;12;3-5-2;Spezia;reste;8.0;0;3;0;322;0;0;2020-12;4
290;2021-01-06;W;1;1;Away;0;38.0;23.6;4-3-3;2.0;25.7;78.6;8.0;16.0;-398.73;3;1;4-5-1;Spezia;reste;8.0;1;5;1;327;1;1;2021-01;4
291;2021-01-11;W;1;1;Home;1;56.0;23.6;4-3-3;3.0;13.5;77.4;12.0;16.0;-50.05000000000001;5;1;4-5-1;Spezia;reste;8.0;1;4;0;327;1;0;2021-01;4
292;2021-01-16;D;0;1;Away;0;34.0;23.6;4-3-3;3.0;16.9;74.4;7.0;14.0;-144.9;5;1;3-5-2;Spezia;reste;6.0;0;4;1;322;0;1;2021-01;4
293;2021-01-23;L;0;0;Away;0;52.0;23.6;4-3-3;3.0;11.5;80.7;11.0;13.0;-302.75;4;1;3-4-3;Spezia;reste;6.0;0;1;0;155;0;0;2021-01;4
295;2021-02-06;W;1;1;Away;0;46.0;23.6;4-3-3;5.0;13.5;72.7;9.0;15.0;-172.5;6;2;4-5-1;Spezia;reste;13.0;0;3;0;327;0;0;2021-02;4
296;2021-02-13;W;1;1;Home;1;46.0;23.6;4-3-3;4.0;16.7;75.4;15.0;18.0;-468.4500000000001;7;2;4-5-1;Spezia;reste;17.0;0;3;0;327;0;0;2021-02;4
297;2021-02-19;L;0;0;Away;0;62.0;23.6;4-3-3;2.0;17.1;82.1;11.0;11.0;-247.3;6;2;3-5-2;Spezia;reste;10.0;0;0;0;322;0;0;2021-02;4
298;2021-03-02;L;0;0;Away;0;53.0;23.6;4-3-3;0.0;23.2;83.3;18.0;13.0;-564.0;3;3;4-4-2;Spezia;reste;11.0;0;0;0;162;0;0;2021-03;4
299;2021-03-12;L;0;0;Away;0;53.0;23.6;4-3-3;3.0;14.5;78.8;13.0;6.0;-320.25;6;3;3-5-2;Spezia;reste;7.0;0;0;0;322;0;0;2021-03;4
300;2021-03-20;W;1;1;Home;1;54.0;23.6;4-3-3;5.0;18.8;76.0;10.0;12.0;-56.03;8;3;3-5-2;Spezia;reste;12.0;0;1;0;322;0;0;2021-03;4
301;2021-04-03;L;0;0;Away;0;49.0;23.6;4-3-3;3.0;12.9;76.7;11.0;20.0;-185.98;14;4;3-5-2;Spezia;reste;7.0;0;3;0;322;0;0;2021-04;4
302;2021-04-18;L;0;0;Away;0;59.0;23.6;4-3-3;4.0;17.6;81.5;9.0;12.0;-107.7;8;4;4-5-1;Spezia;reste;8.0;0;1;0;327;0;0;2021-04;4
303;2021-04-24;L;0;0;Away;0;65.0;23.6;4-3-3;1.0;21.1;84.0;6.0;14.0;-42.78;3;4;3-5-2;Spezia;reste;9.0;0;2;0;322;0;0;2021-04;4
304;2021-05-08;L;0;0;Home;1;48.0;23.6;4-3-3;2.0;14.9;82.6;6.0;15.0;-398.73;7;5;4-4-2;Spezia;reste;8.0;0;3;0;162;0;0;2021-05;4
305;2021-05-12;D;0;1;Away;0;39.0;23.6;4-4-2;6.0;11.8;77.7;13.0;17.0;-50.05000000000001;4;5;4-4-2;Spezia;reste;15.0;0;2;0;162;0;0;2021-05;4
306;2021-05-15;W;1;1;Home;1;41.0;23.6;4-3-3;7.0;13.7;67.2;9.0;25.0;-144.9;3;5;3-5-2;Spezia;reste;13.0;1;3;0;322;1;0;2021-05;4
307;2021-05-23;D;0;1;Home;1;43.0;23.6;4-3-3;8.0;15.3;80.0;11.0;13.0;-302.75;8;5;4-5-1;Spezia;reste;17.0;0;0;0;327;0;0;2021-05;4
308;2020-09-19;L;0;0;Away;0;50.0;24.8;4-4-2;3.0;18.7;81.9;11.0;20.0;-102.4;10;9;3-5-2;Torino;automne;6.0;0;1;0;322;0;0;2020-09;4
309;2020-09-26;L;0;0;Home;1;45.0;24.8;4-4-2;4.0;15.7;77.8;8.0;11.0;-175.35;7;9;3-5-2;Torino;automne;7.0;0;1;0;322;0;0;2020-09;4
310;2020-10-18;L;0;0;Home;1;58.0;24.8;4-<NA>-<NA>;5.0;18.0;87.5;11.0;14.0;88.87;22;10;4-4-2;Torino;automne;12.0;1;2;1;162;1;1;2020-10;4
311;2020-10-23;D;0;1;Away;0;28.0;24.8;4-4-2;10.0;14.3;76.5;15.0;12.0;-27.599999999999994;5;10;4-5-1;Torino;automne;17.0;0;2;0;327;0;0;2020-10;4
312;2020-11-01;L;0;0;Home;1;45.0;24.8;4-4-2;3.0;20.3;83.9;8.0;11.0;-41.08000000000001;4;11;3-5-2;Torino;automne;10.0;1;2;0;322;1;0;2020-11;4
313;2020-11-04;W;1;1;Away;0;49.0;24.8;4-4-2;1.0;21.6;79.5;21.0;18.0;102.12;3;11;4-5-1;Torino;automne;7.0;0;4;0;327;0;0;2020-11;4
314;2020-11-30;D;0;1;Home;1;53.0;24.8;3-5-2;7.0;13.1;82.4;14.0;17.0;94.85;4;11;4-5-1;Torino;automne;14.0;0;1;0;327;0;0;2020-11;3
315;2020-12-05;L;0;0;Away;0;35.0;24.8;3-5-2;2.0;15.9;74.9;17.0;10.0;-419.1;5;12;4-4-2;Torino;reste;7.0;0;3;0;162;0;0;2020-12;3
316;2020-12-12;L;0;0;Home;1;60.0;24.8;3-5-2;3.0;21.2;82.4;10.0;9.0;81.1;7;12;3-5-2;Torino;reste;8.0;0;3;0;322;0;0;2020-12;3
317;2020-12-17;L;0;0;Away;0;37.0;24.8;3-6-1;6.0;19.4;84.6;12.0;16.0;-157.85;5;12;3-4-3;Torino;reste;17.0;0;3;1;155;0;1;2020-12;3
318;2020-12-20;D;0;1;Home;1;51.0;24.8;4-4-2;4.0;18.1;78.5;13.0;14.0;37.200000000000024;3;12;4-5-1;Torino;reste;14.0;0;1;0;327;0;0;2020-12;4
319;2020-12-23;D;0;1;Away;0;35.0;24.8;3-5-2;3.0;18.4;78.8;10.0;16.0;-253.83;3;12;4-5-1;Torino;reste;10.0;0;3;0;327;0;0;2020-12;3
320;2021-01-09;L;0;0;Away;0;54.0;24.8;3-6-1;1.0;18.7;82.3;3.0;15.0;-323.55000000000007;3;1;4-5-1;Torino;reste;9.0;0;2;0;327;0;0;2021-01;3
321;2021-01-16;D;0;1;Home;1;66.0;24.8;3-5-2;1.0;12.1;85.8;11.0;12.0;144.9;4;1;4-3-3;Torino;reste;10.0;0;3;0;207;0;0;2021-01;3
322;2021-01-29;D;0;1;Home;1;52.0;24.8;3-5-2;3.0;13.3;76.7;9.0;20.0;-102.4;7;1;3-5-2;Torino;reste;15.0;0;2;0;322;0;0;2021-01;3
323;2021-02-06;D;0;1;Away;0;43.0;24.8;3-5-2;4.0;16.7;71.3;17.0;17.0;-175.35;8;2;3-4-3;Torino;reste;20.0;0;2;0;155;0;0;2021-02;3
324;2021-02-13;D;0;1;Home;1;46.0;24.8;3-5-2;2.0;22.9;71.0;13.0;13.0;102.12;7;2;3-5-2;Torino;reste;10.0;0;2;0;322;0;0;2021-02;3
325;2021-02-19;W;1;1;Away;0;53.0;24.8;3-5-2;5.0;18.4;68.8;23.0;19.0;88.87;6;2;3-5-2;Torino;reste;10.0;0;2;0;322;0;0;2021-02;3
326;2021-03-17;W;1;1;Home;1;51.0;24.8;3-5-2;11.0;16.5;77.2;10.0;10.0;-27.599999999999994;3;3;4-5-1;Torino;reste;22.0;0;1;0;327;0;0;2021-03;3
327;2021-03-21;L;0;0;Away;0;64.0;24.8;3-5-2;0.0;18.7;77.1;8.0;18.0;94.85;4;3;4-4-2;Torino;reste;11.0;0;1;0;162;0;0;2021-03;3
328;2021-04-03;D;0;1;Home;1;30.0;24.8;3-5-2;6.0;19.6;73.0;9.0;16.0;-419.1;13;4;4-4-2;Torino;reste;10.0;0;3;0;162;0;0;2021-04;3
330;2021-04-18;W;1;1;Home;1;49.0;24.8;3-5-2;11.0;15.5;75.5;10.0;13.0;-157.85;8;4;3-4-3;Torino;reste;27.0;0;2;0;155;0;0;2021-04;3
331;2021-04-21;D;0;1;Away;0;52.0;24.8;3-5-2;3.0;18.4;71.2;12.0;15.0;37.200000000000024;3;4;4-5-1;Torino;reste;18.0;0;2;0;327;0;0;2021-04;3
332;2021-04-26;L;0;0;Home;1;48.0;24.8;3-5-2;5.0;16.1;81.9;8.0;15.0;-253.83;5;4;4-5-1;Torino;reste;15.0;0;3;1;327;0;1;2021-04;3
333;2021-05-12;L;0;0;Home;1;42.0;24.8;3-5-2;1.0;22.8;83.1;16.0;15.0;-323.55000000000007;3;5;4-5-1;Torino;reste;14.0;0;2;0;327;0;0;2021-05;3
334;2021-05-15;L;0;0;Away;0;59.0;24.8;3-5-2;2.0;25.0;74.1;10.0;17.0;144.9;3;5;4-3-3;Torino;reste;5.0;1;5;0;207;1;0;2021-05;3
335;2021-05-18;D;0;1;Away;0;29.0;24.8;3-5-2;3.0;24.0;57.1;8.0;13.0;-41.08000000000001;3;5;3-5-2;Torino;reste;6.0;0;0;0;322;0;0;2021-05;3
336;2020-09-30;L;0;0;Home;1;49.0;25.0;3-5-2;3.0;16.4;80.4;3.0;13.0;63.80000000000001;3;9;4-3-3;Udinese;automne;13.0;0;0;0;207;0;0;2020-09;3
337;2020-10-03;L;0;0;Home;1;45.0;25.0;3-5-2;4.0;19.7;76.5;17.0;15.0;-238.95;3;10;3-4-3;Udinese;automne;10.0;0;1;0;155;0;0;2020-10;3
338;2020-10-25;L;0;0;Away;0;55.0;25.0;3-5-2;6.0;16.8;79.3;10.0;14.0;-183.5;7;10;3-5-2;Udinese;automne;16.0;0;3;0;322;0;0;2020-10;3
339;2020-11-01;L;0;0;Home;1;40.0;25.0;4-3-3;1.0;26.1;77.1;13.0;14.0;-404.65;4;11;4-5-1;Udinese;automne;8.0;1;2;0;327;1;0;2020-11;4
340;2020-11-06;D;0;1;Away;0;38.0;25.0;5-3-2;0.0;14.1;76.4;12.0;13.0;-108.7;5;11;3-4-3;Udinese;automne;2.0;0;2;0;155;0;0;2020-11;5
341;2020-11-22;W;1;1;Home;1;46.0;25.0;3-5-2;2.0;22.6;81.4;15.0;16.0;21.02000000000001;16;11;3-5-2;Udinese;automne;8.0;0;2;0;322;0;0;2020-11;3
342;2020-11-29;W;1;1;Away;0;44.0;25.0;3-5-2;4.0;16.7;81.8;16.0;10.0;-122.18;4;11;3-5-2;Udinese;automne;9.0;0;4;0;322;0;0;2020-11;3
343;2020-12-12;W;1;1;Away;0;40.0;25.0;3-5-2;3.0;16.0;80.1;21.0;17.0;-81.1;13;12;3-5-2;Udinese;reste;10.0;0;3;0;322;0;0;2020-12;3
344;2020-12-20;D;0;1;Away;0;47.0;25.0;3-5-2;4.0;15.3;81.0;11.0;13.0;7.770000000000009;5;12;4-5-1;Udinese;reste;13.0;0;1;0;327;0;0;2020-12;3
345;2021-01-03;L;0;0;Away;0;37.0;25.0;3-5-2;3.0;15.4;81.3;4.0;8.0;-500.2;11;1;4-4-2;Udinese;reste;10.0;0;0;0;162;0;0;2021-01;3
346;2021-01-06;D;0;1;Away;0;63.0;25.0;3-5-2;6.0;17.0;83.0;7.0;13.0;-43.899999999999984;3;1;4-5-1;Udinese;reste;17.0;0;3;0;327;0;0;2021-01;3
347;2021-01-10;L;0;0;Home;1;37.0;25.0;3-6-1;8.0;16.7;79.9;14.0;19.0;-334.93;4;1;4-5-1;Udinese;reste;17.0;0;3;0;327;0;0;2021-01;3
348;2021-01-16;L;0;0;Away;0;46.0;25.0;3-6-1;4.0;16.5;76.9;13.0;11.0;13.75;6;1;4-5-1;Udinese;reste;15.0;0;1;0;327;0;0;2021-01;3
349;2021-01-20;D;0;1;Home;1;34.0;25.0;3-6-1;1.0;22.3;70.7;17.0;20.0;-256.45;4;1;3-4-3;Udinese;reste;6.0;0;3;0;155;0;0;2021-01;3
350;2021-01-31;W;1;1;Away;0;37.0;25.0;3-6-1;2.0;17.5;76.1;12.0;19.0;63.80000000000001;8;1;4-3-3;Udinese;reste;5.0;1;4;1;207;1;1;2021-01;3
351;2021-02-14;L;0;0;Away;0;49.0;25.0;3-5-2;1.0;21.6;83.5;17.0;7.0;-238.95;7;2;3-4-3;Udinese;reste;6.0;0;0;0;155;0;0;2021-02;3
352;2021-02-28;W;1;1;Home;1;46.0;25.0;3-5-2;3.0;18.9;76.5;7.0;12.0;-183.5;7;2;3-5-2;Udinese;reste;9.0;0;1;0;322;0;0;2021-02;3
353;2021-03-03;D;0;1;Away;0;39.0;25.0;3-6-1;1.0;15.7;73.8;7.0;13.0;-404.65;3;3;4-5-1;Udinese;reste;5.0;0;1;0;327;0;0;2021-03;3
355;2021-03-13;D;0;1;Away;0;43.0;25.0;3-5-2;2.0;16.9;80.3;9.0;6.0;21.02000000000001;7;3;3-5-2;Udinese;reste;8.0;1;1;0;322;1;0;2021-03;3
356;2021-03-21;L;0;0;Home;1;51.0;25.0;3-5-2;3.0;16.6;81.3;7.0;9.0;-122.18;8;3;3-5-2;Udinese;reste;12.0;0;1;0;322;0;0;2021-03;3
357;2021-04-03;L;0;0;Away;0;42.0;25.0;3-5-2;3.0;20.7;77.0;11.0;9.0;-256.45;13;4;3-5-2;Udinese;reste;9.0;0;2;0;322;0;0;2021-04;3
358;2021-04-10;L;0;0;Home;1;64.0;25.0;3-6-1;4.0;20.9;84.2;8.0;20.0;-81.1;7;4;3-5-2;Udinese;reste;16.0;0;0;0;322;0;0;2021-04;3
359;2021-04-21;L;0;0;Home;1;57.0;25.0;3-5-2;2.0;19.6;82.3;6.0;11.0;7.770000000000009;4;4;3-5-2;Udinese;reste;12.0;0;0;0;322;0;0;2021-04;3
360;2021-05-02;L;0;0;Home;1;42.0;25.0;3-6-1;2.0;20.1;80.8;3.0;14.0;-500.2;7;5;4-4-2;Udinese;reste;8.0;0;3;0;162;0;0;2021-05;3
361;2021-05-08;D;0;1;Home;1;47.0;25.0;3-6-1;3.0;22.1;80.3;8.0;12.0;-43.899999999999984;6;5;4-5-1;Udinese;reste;9.0;0;1;0;327;0;0;2021-05;3
362;2021-05-11;L;0;0;Away;0;48.0;25.0;3-6-1;1.0;17.8;84.8;17.0;14.0;-334.93;3;5;4-5-1;Udinese;reste;4.0;0;1;0;327;0;0;2021-05;3
364;2020-09-20;D;0;1;Away;0;33.0;25.0;4-5-1;4.0;15.9;80.5;11.0;18.0;-116.47;10;9;4-5-1;Cagliari;automne;8.0;0;3;0;327;0;0;2020-09;4
365;2020-09-26;L;0;0;Home;1;45.0;25.0;4-3-3;2.0;18.0;80.7;11.0;8.0;-129.95000000000002;6;9;3-5-2;Cagliari;automne;9.0;0;1;0;322;0;0;2020-09;4
366;2020-10-04;L;0;0;Away;0;41.0;25.0;4-4-2;3.0;16.5;77.9;16.0;9.0;-264.22;8;10;3-5-2;Cagliari;automne;12.0;0;0;0;322;0;0;2020-10;4
368;2020-10-31;L;0;0;Away;0;48.0;25.0;4-5-1;3.0;15.2;72.0;21.0;18.0;-51.66999999999999;3;10;4-5-1;Cagliari;automne;7.0;0;3;0;327;0;0;2020-10;4
369;2020-11-07;W;1;1;Home;1;56.0;25.0;4-5-1;4.0;19.6;81.5;7.0;12.0;5.979999999999991;7;11;4-4-2;Cagliari;automne;12.0;1;0;0;162;1;0;2020-11;4
370;2020-11-21;L;0;0;Away;0;34.0;25.0;3-4-3;0.0;29.0;82.4;12.0;7.0;-507.97;14;11;4-4-2;Cagliari;automne;4.0;0;2;0;162;0;0;2020-11;3
371;2020-11-29;D;0;1;Home;1;40.0;25.0;4-5-1;5.0;14.4;69.7;17.0;16.0;56.03;4;11;4-3-3;Cagliari;automne;12.0;0;0;0;207;0;0;2020-11;4
372;2020-12-20;D;0;1;Home;1;53.0;25.0;4-5-1;3.0;19.8;80.5;10.0;13.0;-7.770000000000009;4;12;3-5-2;Cagliari;reste;12.0;0;2;0;322;0;0;2020-12;4
373;2020-12-23;L;0;0;Away;0;38.0;25.0;3-5-2;1.0;16.3;73.8;20.0;20.0;-246.72;3;12;3-4-3;Cagliari;reste;9.0;1;2;0;155;1;0;2020-12;3
374;2021-01-03;L;0;0;Home;1;38.0;25.0;4-5-1;1.0;13.2;82.7;4.0;11.0;-342.7000000000001;11;1;4-5-1;Cagliari;reste;8.0;0;4;1;327;0;1;2021-01;4
375;2021-01-10;L;0;0;Away;0;48.0;25.0;4-<NA>-<NA>;1.0;23.9;78.0;11.0;14.0;-191.27;4;1;3-4-3;Cagliari;reste;8.0;0;3;0;155;0;0;2021-01;4
376;2021-01-18;L;0;0;Home;1;45.0;25.0;4-5-1;2.0;17.2;80.4;11.0;9.0;-412.42000000000013;4;1;4-5-1;Cagliari;reste;17.0;0;2;0;327;0;0;2021-01;4
377;2021-01-24;L;0;0;Away;0;59.0;25.0;4-5-1;4.0;19.2;80.7;9.0;6.0;13.25;6;1;3-5-2;Cagliari;reste;14.0;0;2;0;322;0;0;2021-01;4
378;2021-01-31;D;0;1;Home;1;30.0;25.0;4-5-1;4.0;19.8;74.9;13.0;10.0;-116.47;7;1;4-5-1;Cagliari;reste;10.0;0;2;0;327;0;0;2021-01;4
379;2021-02-07;L;0;0;Away;0;37.0;25.0;3-4-3;2.0;15.1;71.1;12.0;14.0;-129.95000000000002;7;2;3-5-2;Cagliari;reste;7.0;0;2;0;322;0;0;2021-02;3
380;2021-02-14;L;0;0;Home;1;36.0;25.0;3-5-2;1.0;22.3;63.5;13.0;17.0;-264.22;7;2;3-4-3;Cagliari;reste;4.0;0;3;0;155;0;0;2021-02;3
381;2021-02-19;L;0;0;Home;1;47.0;25.0;3-5-2;1.0;18.4;62.5;15.0;20.0;-88.87;5;2;3-5-2;Cagliari;reste;18.0;0;3;0;322;0;0;2021-02;3
382;2021-03-03;W;1;1;Home;1;37.0;25.0;3-5-2;3.0;14.4;60.6;10.0;16.0;-51.66999999999999;3;3;4-5-1;Cagliari;reste;11.0;0;2;0;327;0;0;2021-03;3
383;2021-03-07;D;0;1;Away;0;49.0;25.0;3-5-2;4.0;16.2;77.9;7.0;14.0;5.979999999999991;4;3;4-4-2;Cagliari;reste;9.0;0;3;0;162;0;0;2021-03;3
384;2021-03-14;L;0;0;Home;1;51.0;25.0;3-5-2;4.0;22.4;82.2;8.0;12.0;-507.97;7;3;4-4-2;Cagliari;reste;12.0;0;0;0;162;0;0;2021-03;3
385;2021-03-20;L;0;0;Away;0;46.0;25.0;3-5-2;6.0;12.9;72.8;7.0;16.0;56.03;6;3;4-3-3;Cagliari;reste;13.0;0;2;0;207;0;0;2021-03;3
386;2021-04-21;W;1;1;Away;0;43.0;25.0;3-5-2;3.0;18.5;81.3;8.0;15.0;-7.770000000000009;4;4;3-5-2;Cagliari;reste;14.0;1;2;0;322;1;0;2021-04;3
387;2021-04-25;W;1;1;Home;1;30.0;25.0;3-5-2;6.0;18.0;70.8;10.0;14.0;-246.72;4;4;3-4-3;Cagliari;reste;11.0;0;3;0;155;0;0;2021-04;3
388;2021-05-02;D;0;1;Away;0;45.0;25.0;4-5-1;4.0;15.5;79.4;9.0;14.0;-342.7000000000001;7;5;4-5-1;Cagliari;reste;14.0;0;3;0;327;0;0;2021-05;4
389;2021-05-12;D;0;1;Home;1;56.0;25.0;4-5-1;0.0;13.0;81.6;5.0;18.0;-191.27;3;5;3-5-2;Cagliari;reste;8.0;0;1;0;322;0;0;2021-05;4
390;2021-05-16;D;0;1;Away;0;39.0;25.0;3-5-2;2.0;19.8;76.2;19.0;8.0;-412.42000000000013;4;5;4-5-1;Cagliari;reste;7.0;0;2;0;327;0;0;2021-05;3
391;2021-05-22;L;0;0;Home;1;51.0;25.0;5-3-2;4.0;14.3;83.8;2.0;9.0;13.25;6;5;3-5-2;Cagliari;reste;16.0;0;1;0;322;0;0;2021-05;5
392;2020-09-27;L;0;0;Away;0;43.0;26.1;3-5-2;0.0;18.4;86.2;11.0;13.0;-355.9500000000001;7;9;4-5-1;Genoa;automne;6.0;0;2;0;327;0;0;2020-09;3
393;2020-11-01;D;0;1;Away;0;45.0;26.1;4-5-1;4.0;19.5;76.6;23.0;11.0;-7.270000000000009;4;11;4-4-2;Genoa;automne;11.0;0;1;0;162;0;0;2020-11;4
394;2020-11-04;L;0;0;Home;1;51.0;26.1;4-5-1;2.0;17.9;79.4;15.0;10.0;-102.12;3;11;4-4-2;Genoa;automne;17.0;0;2;0;162;0;0;2020-11;4
395;2020-11-08;L;0;0;Home;1;51.0;26.1;4-5-1;5.0;19.9;82.2;9.0;10.0;-259.97;4;11;3-4-3;Genoa;automne;7.0;0;1;0;155;0;0;2020-11;4
396;2020-11-22;L;0;0;Away;0;54.0;26.1;3-5-2;1.0;18.5;79.9;13.0;15.0;-21.02000000000001;14;11;3-5-2;Genoa;automne;11.0;0;3;1;322;0;1;2020-11;3
397;2020-12-07;D;0;1;Away;0;39.0;26.1;4-<NA>-<NA>;3.0;15.6;74.1;20.0;20.0;-204.52;7;12;4-3-3;Genoa;reste;5.0;0;2;0;207;0;0;2020-12;4
398;2020-12-13;L;0;0;Home;1;31.0;26.1;4-4-2;2.0;20.4;67.9;12.0;14.0;-521.22;6;12;3-5-2;Genoa;reste;3.0;0;3;0;322;0;0;2020-12;4
399;2020-12-16;D;0;1;Home;1;42.0;26.1;4-4-2;4.0;12.8;75.4;17.0;18.0;-425.67000000000013;3;12;4-5-1;Genoa;reste;9.0;0;2;0;327;0;0;2020-12;4
400;2020-12-23;W;1;1;Away;0;33.0;26.1;3-5-2;4.0;20.9;67.9;13.0;20.0;42.78;3;12;4-3-3;Genoa;reste;6.0;1;4;0;207;1;0;2020-12;3
401;2021-01-03;D;0;1;Home;1;40.0;26.1;3-5-2;3.0;17.2;72.1;9.0;11.0;-143.20000000000005;11;1;3-5-2;Genoa;reste;10.0;0;2;0;322;0;0;2021-01;3
402;2021-01-06;L;0;0;Away;0;37.0;26.1;3-5-2;2.0;9.2;74.2;13.0;10.0;-129.72;3;1;4-5-1;Genoa;reste;7.0;0;3;0;327;0;0;2021-01;3
403;2021-01-09;W;1;1;Home;1;36.0;26.1;3-5-2;7.0;14.0;65.6;9.0;11.0;-64.91999999999999;3;1;4-5-1;Genoa;reste;10.0;0;2;0;327;0;0;2021-01;3
404;2021-01-17;D;0;1;Away;0;36.0;26.1;3-5-2;3.0;17.0;70.0;13.0;13.0;-277.47;4;1;3-4-3;Genoa;reste;7.0;0;2;0;155;0;0;2021-01;3
405;2021-01-24;W;1;1;Home;1;41.0;26.1;3-5-2;5.0;14.5;74.8;14.0;11.0;-13.25;7;1;4-5-1;Genoa;reste;11.0;0;1;0;327;0;0;2021-01;3
406;2021-02-06;W;1;1;Home;1;34.0;26.1;3-5-2;2.0;11.8;72.5;13.0;13.0;-355.9500000000001;6;2;4-3-3;Genoa;reste;4.0;0;2;0;207;0;0;2021-02;3
407;2021-02-13;D;0;1;Away;0;54.0;26.1;3-5-2;2.0;21.6;77.1;11.0;15.0;-102.12;7;2;3-5-2;Genoa;reste;6.0;0;4;0;322;0;0;2021-02;3
408;2021-03-03;D;0;1;Home;1;50.0;26.1;3-5-2;1.0;19.0;79.3;15.0;15.0;-7.270000000000009;3;3;4-4-2;Genoa;reste;6.0;0;1;0;162;0;0;2021-03;3
409;2021-03-07;L;0;0;Away;0;46.0;26.1;3-5-2;2.0;22.1;83.7;16.0;15.0;-259.97;4;3;3-4-3;Genoa;reste;6.0;0;4;0;155;0;0;2021-03;3
410;2021-03-13;D;0;1;Home;1;57.0;26.1;3-5-2;2.0;15.0;84.0;16.0;14.0;-21.02000000000001;6;3;3-5-2;Genoa;reste;11.0;0;3;0;322;0;0;2021-03;3
411;2021-04-03;D;0;1;Home;1;56.0;26.1;3-5-2;1.0;16.7;82.0;9.0;17.0;-204.52;15;4;3-5-2;Genoa;reste;8.0;0;2;0;322;0;0;2021-04;3
412;2021-04-11;L;0;0;Away;0;43.0;26.1;3-5-2;3.0;18.6;85.8;9.0;11.0;-521.22;8;4;4-4-2;Genoa;reste;10.0;0;3;0;162;0;0;2021-04;3
413;2021-04-18;L;0;0;Away;0;47.0;26.1;3-5-2;2.0;18.2;79.4;17.0;13.0;-425.67000000000013;7;4;4-5-1;Genoa;reste;12.0;0;1;0;327;0;0;2021-04;3
414;2021-04-24;W;1;1;Home;1;35.0;26.1;3-5-2;6.0;16.7;72.4;18.0;18.0;42.78;3;4;4-3-3;Genoa;reste;10.0;0;2;0;207;0;0;2021-04;3
415;2021-05-02;L;0;0;Away;0;48.0;26.1;3-5-2;4.0;21.3;81.0;14.0;12.0;-143.20000000000005;8;5;3-5-2;Genoa;reste;8.0;1;4;0;322;1;0;2021-05;3
416;2021-05-09;L;0;0;Home;1;40.0;26.1;3-5-2;4.0;15.8;72.8;10.0;18.0;-129.72;7;5;4-5-1;Genoa;reste;14.0;0;2;0;327;0;0;2021-05;3
417;2021-05-12;W;1;1;Away;0;34.0;26.1;4-4-2;6.0;21.0;65.6;14.0;11.0;-64.91999999999999;3;5;4-5-1;Genoa;reste;10.0;1;2;0;327;1;0;2021-05;4
418;2021-05-15;L;0;0;Home;1;40.0;26.1;3-5-2;5.0;23.6;82.6;15.0;13.0;-277.47;3;5;3-4-3;Genoa;reste;9.0;1;1;0;155;1;0;2021-05;3
420;2021-08-21;W;1;1;Away;0;52.0;24.5;3-4-3;2.0;14.9;72.1;8.0;13.0;175.35;10;8;3-4-3;Atalanta;reste;7.0;0;2;0;155;0;0;2021-08;3
421;2021-08-28;D;0;1;Home;1;59.0;24.5;3-4-3;3.0;20.0;79.4;9.0;11.0;212.55;7;8;4-3-3;Atalanta;reste;22.0;0;2;0;207;0;0;2021-08;3
