;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;n_form;Penalty;Rouge;periode;nb_def
44;2021-02-27;W;1;1;Home;1;40.0;23.7;4-5-1;6.0;20.1;73.9;10.0;9.0;-78.28000000000003;7;2;3-5-2;Bologna;reste;11.0;0;1;0;322;0;0;2021-02;4
45;2021-03-03;L;0;0;Away;0;63.0;23.7;4-5-1;5.0;15.5;82.8;6.0;18.0;51.66999999999999;4;3;3-5-2;Bologna;reste;13.0;0;2;0;322;0;0;2021-03;4
46;2021-03-07;L;0;0;Away;0;57.0;23.7;4-5-1;4.0;22.0;77.6;6.0;14.0;-291.0300000000001;4;3;4-5-1;Bologna;reste;16.0;0;0;0;327;0;0;2021-03;4
47;2021-03-14;W;1;1;Home;1;44.0;23.7;4-5-1;6.0;16.6;76.6;15.0;16.0;57.649999999999984;7;3;4-5-1;Bologna;reste;10.0;0;2;0;327;0;0;2021-03;4
48;2021-04-11;L;0;0;Away;0;56.0;23.7;4-5-1;4.0;17.5;82.4;7.0;14.0;-195.05;8;4;3-4-3;Bologna;reste;12.0;0;1;0;155;0;0;2021-04;4
49;2021-04-18;W;1;1;Home;1;41.0;23.7;4-5-1;4.0;13.6;74.8;12.0;15.0;107.7;7;4;4-3-3;Bologna;reste;10.0;1;1;0;207;1;0;2021-04;4
50;2021-04-21;D;0;1;Home;1;48.0;23.7;4-5-1;1.0;24.6;70.1;10.0;26.0;-37.200000000000024;3;4;3-5-2;Bologna;reste;8.0;0;4;0;322;0;0;2021-04;4
51;2021-04-25;L;0;0;Away;0;44.0;23.7;5-3-2;3.0;20.1;78.0;16.0;8.0;-212.55;4;4;3-4-3;Bologna;reste;8.0;0;1;1;155;0;1;2021-04;5
52;2021-05-02;D;0;1;Home;1;62.0;23.7;3-4-3;6.0;16.7;84.9;6.0;16.0;-139.60000000000002;7;5;3-5-2;Bologna;reste;12.0;0;2;0;322;0;0;2021-05;3
54;2021-05-12;L;0;0;Home;1;66.0;23.7;4-5-1;6.0;17.3;79.8;5.0;9.0;64.91999999999999;4;5;4-4-2;Bologna;reste;22.0;0;1;0;162;0;0;2021-05;4
55;2021-05-23;L;0;0;Home;1;49.0;23.7;4-5-1;5.0;22.4;84.2;10.0;7.0;-456.3;6;5;4-4-2;Bologna;reste;20.0;0;1;0;162;0;0;2021-05;4
