;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Drib_pct;Mis;Dis;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
35;Dénys Bain;DF;Brest;28;2.0;2;180.0;2.0;0.0;0.0;0.0;0.0;5065d67d;Dénys BainDFBrest;0;0;;79.0;84.0;94.0;1.0;3.0;3;100.0;3.0;1.0;2.0;3;6.0;5.0;0.0;;0.0;0.0;4;0;0;66.7;;;;;
36;Stefan Bajic;GK;Saint-Étienne;19;7.0;4;510.0;5.7;0.0;0.0;0.0;0.0;be13e5a8;Stefan BajicGKSaint-Étienne;0;0;;130.0;186.0;69.9;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;4.0;0.0;;0.0;0.0;0;0;0;75.0;62.1;0.0;4.9;;
37;Cédric Bakambu;FW;Marseille;30;12.0;5;356.0;4.0;4.0;0.0;1.0;0.0;0af4dcf0;Cédric BakambuFWMarseille;19;8;42.1;50.0;67.0;74.6;13.0;2.0;0;0.0;2.0;0.0;2.0;0;2.0;1.0;0.0;50.0;10.0;1.0;6;5;3;38.9;;;;;
38;Abdoulaye Bakayoko;DF;Saint-Étienne;18;4.0;4;307.0;3.4;0.0;0.0;0.0;0.0;ee95585f;Abdoulaye BakayokoDFSaint-Étienne;0;0;;93.0;136.0;68.4;3.0;15.0;9;66.7;5.0;4.0;1.0;12;27.0;15.0;0.0;80.0;6.0;2.0;7;0;0;50.0;;;;;
39;Dilane Bakwa;MF;Bordeaux;18;5.0;0;43.0;0.5;0.0;0.0;0.0;0.0;2b5a35e5;Dilane BakwaFWMFBordeaux;2;1;50.0;7.0;14.0;50.0;0.0;1.0;1;50.0;0.0;0.0;0.0;0;1.0;1.0;0.0;33.3;1.0;1.0;2;0;0;75.0;;;;;
40;Ibrahima Baldé;MF;Lens;18;4.0;0;58.0;0.6;0.0;0.0;0.0;0.0;a30cb0d4;Ibrahima BaldéFWMFLens;0;0;;7.0;11.0;63.6;1.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;3.0;0.0;0;1;1;66.7;;;;;
41;Leonardo Balerdi;DF;Marseille;22;17.0;10;950.0;10.6;0.0;0.0;4.0;1.0;7c3ed041;Leonardo BalerdiDFMarseille;2;0;0.0;753.0;819.0;91.9;6.0;9.0;6;35.7;11.0;4.0;7.0;19;28.0;30.0;0.0;84.6;8.0;6.0;10;0;0;56.7;;;;;
42;Abdoulaye Bamba;MF;Angers;31;10.0;4;458.0;5.1;0.0;0.0;1.0;0.0;7fecbcdb;Abdoulaye BambaDFFWAngers;1;0;0.0;140.0;183.0;76.5;7.0;6.0;5;36.4;5.0;1.0;4.0;9;15.0;13.0;0.0;0.0;10.0;1.0;5;0;10;54.5;;;;;
43;Jonathan Bamba;MF;Lille;25;31.0;28;2428.0;27.0;1.0;2.0;3.0;0.0;b2bd0f6c;Jonathan BambaMFFWLille;51;12;23.5;866.0;1148.0;75.4;89.0;30.0;12;36.1;24.0;1.0;23.0;21;51.0;10.0;0.0;33.0;76.0;57.0;11;14;115;45.7;;;;;
44;Simon Banza;FW;Lens;24;4.0;1;124.0;1.4;1.0;1.0;0.0;0.0;be47b750;Simon BanzaFWLens;6;4;66.7;18.0;31.0;58.1;4.0;2.0;1;0.0;1.0;0.0;1.0;1;3.0;2.0;0.0;66.7;2.0;3.0;3;0;1;54.5;;;;;
45;Danilo Barbosa;DF;Nice;25;1.0;1;90.0;1.0;0.0;0.0;0.0;0.0;0557ff4f;Danilo BarbosaDFNice;0;0;;32.0;42.0;76.2;0.0;0.0;0;;1.0;1.0;0.0;2;2.0;10.0;0.0;;4.0;0.0;0;0;0;44.4;;;;;
46;Bradley Barcola;MF;Lyon;18;11.0;2;263.0;2.9;0.0;1.0;0.0;0.0;a0d55a09;Bradley BarcolaFWMFLyon;5;2;40.0;57.0;81.0;70.4;11.0;7.0;4;12.5;7.0;1.0;6.0;2;9.0;1.0;0.0;25.0;6.0;3.0;5;1;4;50.0;;;;;
47;Melvin Bard;DF;Nice;20;33.0;30;2589.0;28.8;2.0;2.0;3.0;0.0;1ddbc7ca;Melvin BardDFNice;5;2;40.0;1508.0;1878.0;80.3;45.0;59.0;37;65.1;33.0;10.0;23.0;51;110.0;56.0;0.0;59.5;41.0;17.0;21;1;87;56.9;;;;;
48;Toma Bašić;MF;Bordeaux;24;3.0;3;209.0;2.3;0.0;1.0;0.0;0.0;80556f08;Toma BašićMFBordeaux;2;0;0.0;67.0;95.0;70.5;6.0;2.0;2;0.0;4.0;1.0;3.0;2;4.0;0.0;0.0;25.0;4.0;0.0;6;0;18;0.0;;;;;
49;Amine Bassi;MF;Metz;23;5.0;2;184.0;2.0;0.0;0.0;0.0;0.0;ced1d98f;Amine BassiMFFWMetz;4;1;25.0;85.0;117.0;72.6;12.0;6.0;3;33.3;5.0;0.0;5.0;0;6.0;0.0;0.0;75.0;5.0;3.0;4;0;16;20.0;;;;;
50;Paul Baysse;MF;Bordeaux;33;2.0;0;11.0;0.1;0.0;0.0;0.0;0.0;2515040a;Paul BaysseMFDFBordeaux;0;0;;2.0;4.0;50.0;0.0;1.0;1;;0.0;0.0;0.0;0;1.0;1.0;0.0;;0.0;0.0;0;0;0;;;;;;
51;Youcef Belaïli;MF;Brest;29;13.0;11;825.0;9.2;3.0;2.0;2.0;0.0;1a248246;Youcef BelaïliMFFWBrest;16;6;37.5;271.0;390.0;69.5;36.0;2.0;1;22.2;5.0;1.0;4.0;7;9.0;4.0;0.0;49.0;21.0;16.0;12;2;50;41.7;;;;;
52;Haris Belkebla;MF;Brest;27;31.0;26;2310.0;25.7;0.0;0.0;2.0;0.0;2b1bed19;Haris BelkeblaMFBrest;4;1;25.0;826.0;986.0;83.8;34.0;46.0;23;46.2;26.0;6.0;20.0;48;94.0;30.0;1.0;73.2;33.0;18.0;27;0;11;55.3;;;;;
53;Jean-Ricner Bellegarde;MF;Strasbourg;23;36.0;26;2332.0;25.9;2.0;3.0;5.0;0.0;10f0fdd3;Jean-Ricner BellegardeMFStrasbourg;31;7;22.6;876.0;1073.0;81.6;52.0;51.0;32;41.5;29.0;4.0;25.0;27;78.0;19.0;0.0;60.3;60.0;33.0;36;0;54;48.6;;;;;
54;Jeanöel Belocian;DF;Rennes;16;1.0;0;12.0;0.1;0.0;0.0;0.0;0.0;c678ddd7;Jeanöel BelocianDFRennes;0;0;;8.0;10.0;80.0;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;;0.0;0.0;0;0;0;;;;;;
