,victoire,y_pred
331,0,0.14936295685624948
333,1,0.6258213231952597
334,0,0.09181159187364041
335,0,0.004661159014043793
336,1,0.12612888172856535
337,1,0.1516563823912055
338,1,0.04715514820392726
339,0,0.02948579027461328
340,1,0.3108680664400911
341,1,0.6639497535647897
342,1,0.15231976143701384
379,0,0.2135451787269934
380,0,0.5932181985371553
381,0,0.12349588315567586
384,0,0.06446108148510571
385,1,0.4405281842254471
386,0,0.05072791583698091
388,0,0.1251500031469046
389,0,0.042431748632998624
390,0,0.07971149268839976
391,0,0.13141504519294703
392,1,0.13897229809365252
393,0,0.09308154988382025
394,1,0.5423549266635164
395,1,0.23413499312996627
396,0,0.057052380599547745
397,0,0.0273864933878222
398,0,0.12691441776207205
399,0,0.009150318456218382
400,0,0.09318433351832715
401,0,0.3503807089183985
402,0,0.17832588442361044
403,0,0.13865981420031429
404,0,0.15608416146862736
407,1,0.37879814427563263
408,1,0.22569706969183903
409,1,0.2767910174045333
410,0,0.27880824302482327
411,0,0.19526567610862708
412,0,0.05119691397812481
413,0,0.11007508247891883
417,0,0.03637781105950306
419,0,0.027873615849089862
420,1,0.1829648246694062
422,0,0.4023545109105941
423,0,0.07509763126861019
424,0,0.11488949594201765
426,0,0.05359561277907336
431,0,0.3837805393704001
434,1,0.6459413796974302
435,0,0.08037747516866145
436,0,0.06077810186317988
437,0,0.033845815147739385
438,0,0.054450534984038054
439,0,0.0534014071620618
440,0,0.022114852075832452
441,0,0.04573652351587827
443,0,0.00825639593919856
444,0,0.06280824125031789
445,0,0.3911288879544882
447,0,0.06322888819592126
448,0,0.011020262768807423
449,1,0.167784071810906
450,1,0.18829706253336845
451,0,0.06571616578663866
452,0,0.004023007692659459
453,1,0.1614082316924807
454,1,0.36848712533800926
455,0,0.025702082302307222
456,1,0.09542560716716533
457,0,0.008998762623003097
458,0,0.011016576199432875
460,1,0.5112646666627265
461,0,0.008524312089280086
462,0,0.17638925828855523
463,0,0.018640533283346025
464,0,0.17673680761185986
465,0,0.021578889513678725
466,0,0.1664821278813685
470,0,0.13725057609473015
471,0,0.108827398003226
472,1,0.6198905437209261
473,0,0.06619559677025015
474,1,0.3090278399260824
475,1,0.20798822834762368
476,0,0.027728791720169427
477,0,0.08756824452844468
478,0,0.006293800078482847
479,0,0.024230556028396875
480,0,0.02882935562518507
481,0,0.027042136490771196
482,0,0.0076953525124473805
483,0,0.09406664622166505
484,0,0.1519847557135163
485,0,0.15860681052853656
487,0,0.291429669600073
488,0,0.17942995088905722
489,0,0.022433341638293115
492,0,0.17400310206897313
493,0,0.09406475463364847
494,0,0.05631923628030137
495,0,0.032190368043720406
496,0,0.04363258859824636
497,0,0.061889109731306215
498,1,0.42372324534878464
499,0,0.02152945059145071
500,0,0.08292360536357243
501,0,0.023956253901096566
502,1,0.41035130862425256
503,0,0.03278841473673651
504,0,0.197277502307757
505,0,0.012437296951321829
