,victoire,y_pred,diff,dif_pred,dif_vic,dif_moy
115,0,0.014842973436427143,0.014842973436427143,-0.014842973436427143,0.014842973436427143,-0.39364303178484106
116,1,0.298206531281201,0.701793468718799,0.701793468718799,-0.701793468718799,0.6063569682151589
117,0,0.07803854177300194,0.07803854177300194,-0.07803854177300194,0.07803854177300194,-0.39364303178484106
118,0,0.33704148664500544,0.33704148664500544,-0.33704148664500544,0.33704148664500544,-0.39364303178484106
119,1,0.4091493905157284,0.5908506094842716,0.5908506094842716,-0.5908506094842716,0.6063569682151589
120,0,0.0269489956984991,0.0269489956984991,-0.0269489956984991,0.0269489956984991,-0.39364303178484106
121,0,0.21243115252622824,0.21243115252622824,-0.21243115252622824,0.21243115252622824,-0.39364303178484106
122,0,0.3599388062737743,0.3599388062737743,-0.3599388062737743,0.3599388062737743,-0.39364303178484106
123,0,0.48022048372070125,0.48022048372070125,-0.48022048372070125,0.48022048372070125,-0.39364303178484106
124,0,0.20026956407244798,0.20026956407244798,-0.20026956407244798,0.20026956407244798,-0.39364303178484106
125,1,0.9098966012305056,0.09010339876949436,0.09010339876949436,-0.09010339876949436,0.6063569682151589
126,1,0.8494058152382136,0.15059418476178643,0.15059418476178643,-0.15059418476178643,0.6063569682151589
127,0,0.6859943415592978,0.6859943415592978,-0.6859943415592978,0.6859943415592978,-0.39364303178484106
128,1,0.8236481814383304,0.1763518185616696,0.1763518185616696,-0.1763518185616696,0.6063569682151589
129,0,0.12854829377887078,0.12854829377887078,-0.12854829377887078,0.12854829377887078,-0.39364303178484106
130,1,0.34746401123735926,0.6525359887626407,0.6525359887626407,-0.6525359887626407,0.6063569682151589
131,0,0.3741680070903033,0.3741680070903033,-0.3741680070903033,0.3741680070903033,-0.39364303178484106
132,0,0.23194301830469022,0.23194301830469022,-0.23194301830469022,0.23194301830469022,-0.39364303178484106
133,1,0.6185996499380076,0.38140035006199235,0.38140035006199235,-0.38140035006199235,0.6063569682151589
134,1,0.9256602212099386,0.07433977879006137,0.07433977879006137,-0.07433977879006137,0.6063569682151589
135,1,0.9264199982063562,0.07358000179364377,0.07358000179364377,-0.07358000179364377,0.6063569682151589
136,1,0.9255014810746055,0.0744985189253945,0.0744985189253945,-0.0744985189253945,0.6063569682151589
137,1,0.22215257691673806,0.7778474230832619,0.7778474230832619,-0.7778474230832619,0.6063569682151589
138,1,0.6337085893288369,0.3662914106711631,0.3662914106711631,-0.3662914106711631,0.6063569682151589
139,0,0.5683648675048352,0.5683648675048352,-0.5683648675048352,0.5683648675048352,-0.39364303178484106
