;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att
36;2021-03-08;L;0;0;Away;0;56.0;25,0;3-4-3;2.0;13.3;83.7;18.0;17.0;-233.89999999999998;5;3;3-5-2;Atalanta;reste;13.0;0;1;0;0.0;5.0;0.0;11.0;Internazionale;543.2130000000001;649.0
37;2021-03-12;W;1;1;Home;1;47.0;25,0;3-5-2;7.0;14.5;80.1;12.0;17.0;358.32;4;3;4-3-3;Atalanta;reste;14.0;0;2;0;0.0;7.0;0.0;6.0;Spezia;435.7439999999999;544.0
38;2021-03-16;L;0;0;Away;0;47.0;25,0;3-4-3;5.0;20.1;79.8;12.0;13.0;;4;3;<NA>-<NA>-<NA>;Atalanta;reste;13.0;0;1;0;;;;;es Real Madrid;418.152;524.0
39;2021-03-21;W;1;1;Away;0;48.0;25,0;4-5-1;5.0;16.4;65.8;16.0;20.0;272.78999999999996;5;3;3-4-3;Atalanta;reste;15.0;1;2;0;3.0;3.0;0.0;23.0;Hellas-Verona;292.81;445.0
40;2021-04-03;W;1;1;Home;1;58.0;25,0;3-5-2;8.0;19.0;83.9;14.0;15.0;257.0;13;4;3-5-2;Atalanta;reste;23.0;0;0;0;2.0;9.0;1.0;9.0;Udinese;526.053;627.0
41;2021-04-11;W;1;1;Away;0;60.0;25,0;3-5-2;7.0;17.1;82.3;15.0;13.0;143.2;8;4;3-5-2;Atalanta;reste;14.0;1;1;0;3.0;10.0;1.0;15.0;Fiorentina;516.021;627.0
42;2021-04-18;W;1;1;Home;1;45.0;25,0;3-5-2;2.0;21.2;86.6;18.0;18.0;-203.29999999999995;7;4;4-4-2;Atalanta;reste;14.0;0;3;0;2.0;11.0;0.0;16.0;Juventus;426.93799999999993;493.0
43;2021-04-22;D;0;1;Away;0;41.0;25,0;3-4-3;8.0;18.5;77.2;16.0;7.0;34.35000000000002;4;4;4-5-1;Atalanta;reste;22.0;0;2;1;5.0;14.0;1.0;16.0;Roma;318.836;413.0
44;2021-04-25;W;1;1;Home;1;56.0;25,0;3-4-3;8.0;17.4;81.9;8.0;12.0;276.4;3;4;5-3-2;Atalanta;reste;24.0;1;0;0;2.0;8.0;0.0;8.0;Bologna;443.898;542.0
45;2021-05-02;D;0;1;Away;0;37.0;25,0;3-5-2;6.0;21.4;77.4;10.0;12.0;188.26;7;5;4-5-1;Atalanta;reste;9.0;0;1;1;7.0;10.0;3.0;18.0;Sassuolo;284.832;368.0
46;2021-05-09;W;1;1;Away;0;56.0;25,0;3-4-3;12.0;13.8;85.3;10.0;15.0;301.3;7;5;4-4-2;Atalanta;reste;18.0;0;1;0;1.0;7.0;0.0;12.0;Parma;528.86;620.0
47;2021-05-12;W;1;1;Home;1;71.0;25,0;4-5-1;4.0;16.0;87.9;6.0;19.0;379.87;3;5;3-5-2;Atalanta;reste;15.0;0;2;0;6.0;4.0;0.0;11.0;Benevento;654.855;745.0
48;2021-05-15;W;1;1;Away;0;60.0;25,0;3-4-3;6.0;13.3;86.7;11.0;8.0;318.07;3;5;3-5-2;Atalanta;reste;12.0;0;2;0;1.0;9.0;3.0;13.0;Genoa;618.1709999999999;713.0
49;2021-05-19;L;0;0;Home;1;57.0;25,0;3-4-3;4.0;;;10.0;15.0;-203.29999999999995;4;5;4-4-2;Atalanta;reste;11.0;0;5;1;2.0;14.0;;17.0;Juventus;;
