;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Drib_pct;Mis;Dis;Touches;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
156;Samuel Di Carmine;MF;Cremonese;34-179;2.0;0;28.0;0.3;0.0;0.0;0.0;0.0;ef94dc2f;Samuel Di CarmineFWMFCremonese;1;0;0.0;6.0;8.0;75.0;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;100.0;0.0;0.0;9.0;0;0;0;0.0;;;;;
157;Federico Di Francesco;MF;Lecce;28-286;26.0;17;1413.0;15.7;1.0;2.0;4.0;0.0;1fca9171;Federico Di FrancescoFWMFLecce;27;12;44.4;257.0;381.0;67.5;38.0;21.0;13;42.9;11.0;0.0;11.0;6;27.0;11.0;0.0;32.3;41.0;21.0;547.0;33;8;31;35.3;;;;;
158;Michele Di Gregorio;GK;Monza;25-243;26.0;26;2340.0;26.0;0.0;0.0;0.0;0.0;4e0c8d66;Michele Di GregorioGKMonza;0;0;;785.0;1032.0;76.1;1.0;0.0;0;0.0;0.0;0.0;0.0;3;3.0;14.0;2.0;100.0;0.0;0.0;1092.0;0;0;0;80.0;68.8;26.9;3.5;;
159;Giovanni Di Lorenzo;DF;Napoli;29-235;27.0;27;2418.0;26.9;1.0;4.0;2.0;0.0;230a2fac;Giovanni Di LorenzoDFNapoli;20;7;35.0;1692.0;1986.0;85.2;87.0;44.0;21;48.6;23.0;6.0;17.0;22;66.0;47.0;0.0;29.2;15.0;15.0;2178.0;23;4;64;56.1;;;;;
160;Ángel Di María;MF;Juventus;35-041;16.0;11;876.0;9.7;4.0;4.0;0.0;1.0;19cda00b;Ángel Di MaríaFWMFJuventus;25;8;32.0;312.0;425.0;73.4;53.0;6.0;3;13.3;7.0;0.0;7.0;4;10.0;0.0;0.0;37.0;19.0;22.0;535.0;4;4;61;50.0;;;;;
161;Boulaye Dia;FW;Salernitana;26-131;24.0;19;1764.0;19.6;10.0;4.0;3.0;0.0;244bc2c8;Boulaye DiaFWSalernitana;33;15;45.5;316.0;419.0;75.4;47.0;9.0;4;0.0;4.0;0.0;4.0;4;13.0;16.0;1.0;40.3;53.0;43.0;616.0;20;9;6;26.0;;;;;
162;Brahim Díaz;MF;Milan;23-236;23.0;19;1308.0;14.5;4.0;3.0;2.0;0.0;407feb71;Brahim DíazMFMilan;24;10;41.7;395.0;494.0;80.0;62.0;21.0;9;37.5;9.0;0.0;9.0;5;26.0;4.0;0.0;48.1;48.0;41.0;673.0;21;2;14;13.3;;;;;
163;Federico Dimarco;DF;Internazionale;25-137;25.0;21;1677.0;18.6;3.0;2.0;0.0;0.0;970b8574;Federico DimarcoDFInter;36;9;25.0;760.0;1043.0;72.9;81.0;25.0;19;56.3;15.0;4.0;11.0;14;39.0;20.0;0.0;25.0;16.0;10.0;1203.0;10;4;173;30.8;;;;;
164;Koffi Djidji;DF;Torino;30-117;24.0;20;1831.0;20.3;1.0;0.0;2.0;0.0;933d3b51;Koffi DjidjiDFTorino;8;4;50.0;902.0;1055.0;85.5;12.0;37.0;19;61.9;18.0;10.0;8.0;27;64.0;56.0;0.0;100.0;5.0;5.0;1231.0;20;1;13;45.8;;;;;
165;Berat Djimsiti;DF;Atalanta;30-036;14.0;10;936.0;10.4;0.0;0.0;2.0;0.0;6eee05f1;Berat DjimsitiDFAtalanta;3;0;0.0;535.0;619.0;86.4;3.0;21.0;12;78.6;9.0;4.0;5.0;19;40.0;37.0;1.0;75.0;6.0;5.0;725.0;6;0;0;59.5;;;;;
166;Dodô;DF;Fiorentina;24-130;23.0;20;1661.0;18.5;0.0;2.0;5.0;1.0;b5f7d10b;DodôDFFiorentina;7;3;42.9;882.0;1072.0;82.3;47.0;27.0;16;55.2;17.0;1.0;16.0;18;45.0;26.0;0.0;51.7;29.0;9.0;1219.0;24;0;40;65.2;;;;;
167;Josh Doig;DM;Hellas-Verona;20-313;19.0;14;1240.0;13.8;2.0;3.0;1.0;0.0;2f69d881;Josh DoigDFHellas Verona;18;6;33.3;324.0;488.0;66.4;31.0;19.0;7;41.7;22.0;6.0;16.0;9;28.0;11.0;1.0;42.6;31.0;15.0;645.0;14;2;44;38.2;;;;Josh Doig;1.0
168;Nicolás Domínguez;DM;Bologna;24-272;21.0;18;1581.0;17.6;1.0;2.0;7.0;0.0;20b3a502;Nicolás DomínguezMFBologna;24;8;33.3;717.0;897.0;79.9;48.0;56.0;35;50.0;19.0;2.0;17.0;12;68.0;17.0;1.0;61.5;39.0;17.0;1088.0;35;1;12;52.5;;;;Nicolás Domínguez;1.0
169;Giulio Donati;DF;Monza;33-050;6.0;3;309.0;3.4;1.0;0.0;3.0;1.0;22051fbe;Giulio DonatiDFMonza;2;1;50.0;176.0;210.0;83.8;2.0;3.0;1;40.0;3.0;1.0;2.0;4;7.0;6.0;0.0;0.0;1.0;0.0;231.0;4;0;9;40.0;;;;;
170;Bartłomiej Drągowski;GK;Spezia;25-220;25.0;25;2136.0;23.7;0.0;0.0;1.0;0.0;085e71a7;Bartłomiej DrągowskiGKSpezia;0;0;;569.0;832.0;68.4;5.0;1.0;0;20.0;0.0;0.0;0.0;0;1.0;14.0;3.0;;0.0;0.0;909.0;0;0;0;85.7;73.1;16.0;2.8;;
171;Ondrej Duda;MF;Hellas-Verona;28-112;8.0;7;624.0;6.9;0.0;0.0;3.0;0.0;79ca3e23;Ondrej DudaMFHellas Verona;9;3;33.3;204.0;275.0;74.2;15.0;14.0;11;63.6;9.0;0.0;9.0;8;22.0;5.0;0.0;59.3;12.0;9.0;366.0;8;0;7;50.0;;;;;
172;Denzel Dumfries;DF;Internazionale;26-343;24.0;18;1561.0;17.3;1.0;3.0;4.0;0.0;481c9ece;Denzel DumfriesDFInter;26;10;38.5;488.0;673.0;72.5;56.0;18.0;8;52.6;23.0;5.0;18.0;10;28.0;21.0;0.0;36.4;28.0;15.0;855.0;23;2;58;53.6;;;;;
173;Alfred Duncan;MF;Fiorentina;30-017;16.0;7;611.0;6.8;0.0;0.0;2.0;0.0;528492ea;Alfred DuncanMFFiorentina;3;1;33.3;240.0;310.0;77.4;20.0;12.0;7;57.1;5.0;0.0;5.0;4;16.0;4.0;0.0;41.7;10.0;10.0;370.0;14;0;12;72.7;;;;;
174;Paulo Dybala;MF;Roma;29-132;20.0;18;1431.0;15.9;9.0;6.0;3.0;0.0;e0921a4f;Paulo DybalaMFFWRoma;46;17;37.0;504.0;654.0;77.1;77.0;13.0;3;38.9;10.0;0.0;10.0;7;20.0;3.0;0.0;39.6;50.0;27.0;857.0;10;5;66;22.2;;;;;
175;Edin Džeko;FW;Internazionale;37-010;27.0;17;1566.0;17.4;7.0;3.0;3.0;0.0;3bb7f478;Edin DžekoFWInter;63;21;33.3;318.0;457.0;69.6;55.0;2.0;2;0.0;14.0;1.0;13.0;3;5.0;23.0;0.0;30.4;43.0;15.0;655.0;23;9;19;52.1;;;;;
176;Festy Ebosele;MF;Udinese;20-237;9.0;1;154.0;1.7;0.0;0.0;3.0;0.0;dbfa4f16;Festy EboseleDFFWUdinese;3;1;33.3;36.0;52.0;69.2;6.0;9.0;7;33.3;3.0;0.0;3.0;1;10.0;4.0;0.0;33.3;7.0;3.0;89.0;5;0;10;60.0;;;;;
177;Enzo Ebosse;DF;Udinese;24-016;20.0;9;930.0;10.3;0.0;0.0;3.0;0.0;9ba7b4fa;Enzo EbosseDFUdinese;3;0;0.0;453.0;557.0;81.3;8.0;15.0;9;69.2;27.0;6.0;21.0;11;26.0;29.0;0.0;57.1;8.0;3.0;667.0;9;1;15;51.7;;;;;
178;Tyronne Ebuehi;DF;Empoli;27-101;16.0;12;1070.0;11.9;2.0;1.0;0.0;0.0;6af30900;Tyronne EbuehiDFEmpoli;12;4;33.3;371.0;485.0;76.5;14.0;13.0;8;71.4;16.0;9.0;7.0;6;19.0;39.0;1.0;30.8;7.0;7.0;596.0;6;1;17;22.2;;;;;
179;Éderson;DM;Atalanta;23-263;24.0;16;1446.0;16.1;1.0;0.0;3.0;0.0;a9202def;ÉdersonMFAtalanta;25;6;24.0;594.0;736.0;80.7;35.0;49.0;27;48.8;36.0;4.0;32.0;22;71.0;19.0;0.0;42.5;33.0;17.0;981.0;21;0;12;44.8;;;;Éderson;1.0
180;Kingsley Ehizibue;DF;Udinese;27-306;21.0;10;1055.0;11.7;2.0;0.0;5.0;0.0;76b2817e;Kingsley EhizibueDFUdinese;7;3;42.9;289.0;408.0;70.8;24.0;32.0;22;65.7;12.0;1.0;11.0;5;37.0;30.0;1.0;25.0;15.0;8.0;546.0;24;1;29;56.5;;;;;
181;Albin Ekdal;MF;Spezia;33-242;20.0;9;953.0;10.6;0.0;2.0;4.0;1.0;f503ea63;Albin EkdalMFSpezia;10;1;10.0;336.0;431.0;78.0;20.0;24.0;17;34.5;15.0;1.0;14.0;16;40.0;23.0;0.0;71.4;17.0;7.0;558.0;16;0;1;60.9;;;;;
182;Emmanuel Ekong;MF;Empoli;20-275;2.0;0;20.0;0.2;0.0;0.0;0.0;0.0;c20892ee;Emmanuel EkongFWMFEmpoli;1;0;0.0;3.0;4.0;75.0;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0;1;0;0.0;;;;;
183;Mikael Ellertsson;MF;Spezia;21-016;11.0;1;171.0;1.9;0.0;0.0;3.0;0.0;c55967eb;Mikael EllertssonMFDFSpezia;2;0;0.0;24.0;40.0;60.0;5.0;4.0;2;0.0;2.0;1.0;1.0;2;6.0;0.0;0.0;33.3;2.0;2.0;60.0;6;0;3;50.0;;;;;
184;Elif Elmas;MF;Napoli;23-184;26.0;7;1019.0;11.3;6.0;2.0;3.0;0.0;cf007308;Elif ElmasFWMFNapoli;21;8;38.1;491.0;582.0;84.4;38.0;13.0;7;70.0;5.0;0.0;5.0;10;23.0;4.0;0.0;43.2;22.0;16.0;703.0;15;3;15;8.3;;;;;
185;Martin Erlic;DF;Sassuolo;25-062;20.0;19;1698.0;18.9;0.0;0.0;2.0;0.0;0fee6bda;Martin ErlicDFSassuolo;1;0;0.0;815.0;948.0;86.0;7.0;20.0;10;56.3;29.0;18.0;11.0;25;45.0;85.0;1.0;50.0;11.0;1.0;1145.0;16;0;0;50.8;;;;;
186;Gonzalo Escalante;MF;Cremonese;30-000;9.0;7;555.0;6.2;0.0;1.0;0.0;1.0;3f79a1c8;Gonzalo EscalanteMFCremonese;6;1;16.7;222.0;290.0;76.6;10.0;16.0;8;76.9;7.0;1.0;6.0;10;26.0;4.0;0.0;20.0;7.0;7.0;352.0;6;0;1;50.0;;;;;
187;Salvatore Esposito;MF;Spezia;22-171;5.0;2;216.0;2.4;0.0;0.0;3.0;1.0;5cf5c9ad;Salvatore EspositoMFSpezia;1;0;0.0;122.0;158.0;77.2;4.0;3.0;3;22.2;2.0;0.0;2.0;3;6.0;3.0;0.0;33.3;4.0;3.0;175.0;4;0;7;100.0;;;;;
188;Nicolò Fagioli;MF;Juventus;22-043;18.0;10;955.0;10.6;2.0;3.0;2.0;0.0;366be751;Nicolò FagioliMFJuventus;8;5;62.5;327.0;391.0;83.6;27.0;16.0;10;33.3;8.0;2.0;6.0;7;23.0;5.0;0.0;40.0;25.0;17.0;491.0;19;1;18;0.0;;;;;
189;Wladimiro Falcone;GK;Lecce;27-349;27.0;27;2430.0;27.0;0.0;0.0;1.0;0.0;9f5a610b;Wladimiro FalconeGKLecce;0;0;;451.0;879.0;51.3;2.0;2.0;0;100.0;0.0;0.0;0.0;2;4.0;16.0;2.0;;1.0;0.0;962.0;1;0;0;100.0;75.9;11.1;5.0;;
190;Davide Faraoni;DM;Hellas-Verona;31-153;13.0;11;791.0;8.8;1.0;2.0;4.0;0.0;aae9d04a;Davide FaraoniDFHellas Verona;12;4;33.3;220.0;327.0;67.3;15.0;18.0;12;37.5;15.0;4.0;11.0;9;27.0;17.0;0.0;37.5;5.0;2.0;417.0;8;1;24;35.0;;;;Davide Faraoni;1.0
191;Federico Fazio;DF;Salernitana;36-010;13.0;12;1063.0;11.8;1.0;0.0;2.0;1.0;4e358a2d;Federico FazioDFSalernitana;11;2;18.2;409.0;532.0;76.9;12.0;15.0;12;36.4;9.0;4.0;5.0;28;43.0;61.0;0.0;50.0;11.0;5.0;673.0;11;0;4;73.5;;;;;
192;Jacopo Fazzini;DM;Empoli;20-011;14.0;3;366.0;4.1;0.0;0.0;3.0;0.0;06b08c45;Jacopo FazziniMFEmpoli;5;0;0.0;135.0;158.0;85.4;10.0;17.0;9;60.0;10.0;2.0;8.0;5;22.0;8.0;0.0;35.7;11.0;15.0;241.0;13;0;3;27.3;;;;Jacopo Fazzini;1.0
193;Lewis Ferguson;MF;Bologna;23-215;21.0;18;1539.0;17.1;4.0;0.0;4.0;0.0;ee64a822;Lewis FergusonMFBologna;30;11;36.7;599.0;720.0;83.2;43.0;27.0;17;50.0;13.0;5.0;8.0;16;43.0;14.0;0.0;52.9;25.0;14.0;888.0;36;4;8;40.5;;;;;
194;Alex Ferrari;DF;Sampdoria;28-269;12.0;10;868.0;9.6;0.0;0.0;3.0;0.0;d0dbca9f;Alex FerrariDFSampdoria;5;0;0.0;384.0;456.0;84.2;4.0;9.0;5;50.0;21.0;10.0;11.0;19;28.0;25.0;0.0;50.0;10.0;3.0;560.0;12;0;4;58.3;;;;;
195;Alex Ferrari;DF;Cremonese;28-269;10.0;9;682.0;7.6;0.0;0.0;3.0;0.0;d0dbca9f;Alex FerrariDFCremonese;0;0;;249.0;336.0;74.1;4.0;30.0;18;80.8;10.0;3.0;7.0;17;47.0;30.0;1.0;25.0;3.0;1.0;429.0;7;0;2;71.4;;;;;
196;Salvador Ferrer;DF;Spezia;25-065;3.0;0;102.0;1.1;0.0;0.0;0.0;0.0;eb76987d;Salvador FerrerDFSpezia;0;0;;53.0;65.0;81.5;1.0;2.0;1;100.0;1.0;1.0;0.0;1;3.0;2.0;0.0;;2.0;1.0;76.0;1;0;1;50.0;;;;;
197;Alessandro Florenzi;DF;Milan;32-016;3.0;1;111.0;1.2;0.0;0.0;0.0;0.0;e288d4b3;Alessandro FlorenziDFMilan;1;0;0.0;68.0;88.0;77.3;3.0;3.0;2;66.7;0.0;0.0;0.0;1;4.0;1.0;0.0;;2.0;0.0;96.0;1;0;8;;;;;;
198;Davide Frattesi;MF;Sassuolo;23-156;27.0;26;2150.0;23.9;6.0;0.0;3.0;0.0;2a7d27c1;Davide FrattesiMFSassuolo;45;20;44.4;587.0;766.0;76.6;69.0;49.0;26;56.7;18.0;3.0;15.0;9;58.0;30.0;0.0;47.5;41.0;31.0;1055.0;31;0;14;48.6;;;;;
199;Matteo Gabbia;DF;Milan;23-157;11.0;6;603.0;6.7;0.0;0.0;2.0;0.0;c235e803;Matteo GabbiaDFMilan;1;0;0.0;281.0;351.0;80.1;4.0;17.0;10;75.0;8.0;3.0;5.0;5;22.0;28.0;0.0;;1.0;0.0;418.0;8;0;2;78.9;;;;;
200;Manolo Gabbiadini;MF;Sampdoria;31-121;24.0;16;1451.0;16.1;6.0;1.0;5.0;0.0;8f866fe8;Manolo GabbiadiniFWMFSampdoria;55;22;40.0;258.0;398.0;64.8;38.0;10.0;5;18.2;9.0;1.0;8.0;2;12.0;19.0;0.0;11.1;41.0;18.0;586.0;26;10;22;39.3;;;;;
201;Gianluca Gaetano;MF;Napoli;22-326;5.0;0;40.0;0.4;0.0;1.0;0.0;0.0;3b387cc7;Gianluca GaetanoMFNapoli;3;1;33.3;25.0;33.0;75.8;2.0;3.0;2;;1.0;0.0;1.0;0;3.0;0.0;0.0;100.0;0.0;4.0;40.0;2;0;0;;;;;;
202;Roberto Gagliardini;MF;Internazionale;28-354;12.0;3;414.0;4.6;0.0;0.0;1.0;0.0;ce30bfc8;Roberto GagliardiniMFInter;10;2;20.0;147.0;187.0;78.6;9.0;14.0;5;50.0;7.0;2.0;5.0;1;15.0;8.0;0.0;0.0;3.0;2.0;246.0;7;0;6;66.7;;;;;
203;Adolfo Gaich;FW;Hellas-Verona;24-029;7.0;4;371.0;4.1;0.0;0.0;0.0;0.0;8dfed6e9;Adolfo GaichFWHellas Verona;11;2;18.2;61.0;100.0;61.0;12.0;5.0;3;33.3;2.0;1.0;1.0;1;6.0;5.0;0.0;60.0;12.0;7.0;152.0;8;2;0;32.0;;;;;
204;Pablo Galdames Millán;MF;Cremonese;26-087;4.0;2;184.0;2.0;0.0;0.0;0.0;0.0;dd403465;Pablo Galdames MillánMFDFCremonese;1;0;0.0;66.0;95.0;69.5;9.0;8.0;6;25.0;7.0;1.0;6.0;3;11.0;2.0;0.0;0.0;2.0;0.0;119.0;3;0;9;33.3;;;;;
205;Antonino Gallo;DF;Lecce;23-081;22.0;19;1692.0;18.8;0.0;1.0;4.0;1.0;c74d63ac;Antonino GalloDFLecce;5;1;20.0;617.0;908.0;68.0;41.0;45.0;28;73.2;24.0;3.0;21.0;11;56.0;45.0;0.0;65.0;17.0;7.0;1085.0;11;2;66;54.1;;;;;
206;Federico Gatti;DF;Juventus;24-276;8.0;7;634.0;7.0;0.0;0.0;3.0;0.0;18dd3219;Federico GattiDFJuventus;6;1;16.7;328.0;401.0;81.8;10.0;8.0;5;100.0;8.0;6.0;2.0;12;20.0;33.0;1.0;100.0;3.0;3.0;486.0;8;0;1;51.9;;;;;
207;Valentin Gendrey;DF;Lecce;22-279;27.0;25;2251.0;25.0;0.0;1.0;3.0;0.0;822ed0ec;Valentin GendreyDFLecce;8;0;0.0;764.0;1078.0;70.9;29.0;68.0;43;56.0;36.0;4.0;32.0;34;102.0;62.0;0.0;38.5;37.0;11.0;1355.0;17;1;49;49.3;;;;;
208;Paolo Ghiglione;DF;Cremonese;26-053;11.0;6;534.0;5.9;0.0;1.0;2.0;0.0;71dc23da;Paolo GhiglioneDFCremonese;3;0;0.0;118.0;223.0;52.9;14.0;11.0;7;46.7;9.0;4.0;5.0;3;14.0;10.0;0.0;0.0;5.0;4.0;277.0;10;2;33;28.6;;;;;
209;Mario Gila;DF;Lazio;22-210;4.0;0;90.0;1.0;0.0;0.0;0.0;0.0;9c435456;Mario GilaDFLazio;0;0;;56.0;61.0;91.8;0.0;3.0;1;0.0;0.0;0.0;0.0;3;6.0;3.0;0.0;;1.0;1.0;71.0;1;0;0;0.0;;;;;
210;Gvidas Gineitis;MF;Torino;18-346;2.0;1;46.0;0.5;0.0;0.0;1.0;0.0;548bd0de;Gvidas GineitisMFTorino;0;0;;21.0;29.0;72.4;1.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1.0;1.0;34.0;3;0;0;0.0;;;;;
211;Olivier Giroud;FW;Milan;36-178;24.0;19;1577.0;17.5;8.0;4.0;7.0;1.0;16ceb862;Olivier GiroudFWMilan;63;22;34.9;253.0;410.0;61.7;39.0;7.0;5;14.3;10.0;3.0;7.0;2;9.0;16.0;0.0;45.5;50.0;11.0;602.0;30;13;2;62.2;;;;;
212;Pierluigi Gollini;GK;Fiorentina;28-009;3.0;3;270.0;3.0;0.0;0.0;0.0;0.0;f0f7f62f;Pierluigi GolliniGKFiorentina;0;0;;96.0;126.0;76.2;0.0;1.0;0;100.0;0.0;0.0;0.0;0;1.0;2.0;0.0;;0.0;0.0;131.0;0;0;0;;75.0;66.7;4.2;;
213;Pierluigi Gollini;GK;Napoli;28-009;1.0;1;90.0;1.0;0.0;0.0;0.0;0.0;f0f7f62f;Pierluigi GolliniGKNapoli;0;0;;31.0;37.0;83.8;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;;0.0;0.0;38.0;0;0;0;;100.0;100.0;8.3;;
214;Joan Gonzàlez;MF;Lecce;21-054;26.0;22;1851.0;20.6;1.0;3.0;6.0;0.0;f025eade;Joan GonzàlezMFLecce;16;3;18.8;500.0;651.0;76.8;34.0;39.0;21;32.6;30.0;6.0;24.0;14;53.0;26.0;0.0;33.3;39.0;22.0;900.0;31;1;21;36.8;;;;;
215;Nicolás González;MF;Fiorentina;24-355;17.0;9;905.0;10.1;4.0;1.0;3.0;0.0;2374aaca;Nicolás GonzálezFWMFFiorentina;33;10;30.3;246.0;377.0;65.3;42.0;9.0;4;14.3;10.0;0.0;10.0;2;11.0;4.0;0.0;28.9;35.0;10.0;535.0;11;3;24;63.1;;;;;
216;Robin Gosens;DM;Internazionale;28-265;23.0;5;664.0;7.4;1.0;0.0;1.0;0.0;2d970560;Robin GosensDFFWInter;14;2;14.3;320.0;432.0;74.1;22.0;25.0;14;77.8;11.0;0.0;11.0;14;39.0;7.0;0.0;46.2;14.0;2.0;530.0;10;1;29;70.0;;;;Robin Gosens;1.0
217;Alberto Grassi;MF;Empoli;28-020;15.0;7;569.0;6.3;0.0;0.0;2.0;0.0;6cc97b6a;Alberto GrassiMFEmpoli;6;2;33.3;209.0;258.0;81.0;6.0;17.0;15;76.9;12.0;8.0;4.0;17;34.0;25.0;0.0;0.0;9.0;6.0;357.0;12;0;0;63.2;;;;;
218;Andrew Gravillon;DF;Torino;25-047;4.0;2;151.0;1.7;0.0;0.0;1.0;0.0;49136c42;Andrew GravillonDFTorino;0;0;;53.0;67.0;79.1;0.0;1.0;1;;2.0;1.0;1.0;8;9.0;6.0;0.0;50.0;0.0;1.0;92.0;4;0;2;33.3;;;;;
219;Koray Günter;DF;Hellas-Verona;28-223;13.0;11;1003.0;11.1;1.0;0.0;3.0;0.0;f1f1f238;Koray GünterDFHellas Verona;9;1;11.1;323.0;422.0;76.5;13.0;10.0;6;57.1;24.0;15.0;9.0;30;40.0;46.0;0.0;75.0;3.0;1.0;557.0;17;0;3;51.2;;;;;
220;Koray Günter;MF;Sampdoria;28-223;3.0;2;236.0;2.6;0.0;0.0;0.0;0.0;f1f1f238;Koray GünterDFMFSampdoria;0;0;;110.0;135.0;81.5;2.0;5.0;4;80.0;4.0;2.0;2.0;3;8.0;16.0;0.0;;0.0;0.0;166.0;1;0;1;70.0;;;;;
221;Emmanuel Gyasi;FW;Spezia;29-075;24.0;24;1967.0;21.9;1.0;0.0;6.0;0.0;f9758dae;Emmanuel GyasiFWDFSpezia;27;10;37.0;466.0;581.0;80.2;31.0;14.0;8;25.0;19.0;5.0;14.0;7;21.0;18.0;0.0;25.9;52.0;33.0;794.0;32;18;14;31.3;;;;;
222;Norbert Gyömbér;DF;Salernitana;30-267;19.0;15;1150.0;12.8;0.0;0.0;3.0;0.0;0be276c6;Norbert GyömbérDFSalernitana;2;0;0.0;431.0;510.0;84.5;9.0;24.0;18;68.8;23.0;17.0;6.0;23;47.0;56.0;0.0;0.0;1.0;1.0;642.0;13;0;2;64.3;;;;;
223;Christian Gytkjær;FW;Monza;32-325;18.0;3;501.0;5.6;1.0;0.0;0.0;0.0;9250bcff;Christian GytkjærFWMonza;11;5;45.5;64.0;95.0;67.4;9.0;6.0;2;50.0;3.0;1.0;2.0;0;6.0;1.0;0.0;60.0;14.0;5.0;143.0;9;10;1;30.8;;;;;
224;Nicolas Haas;DM;Empoli;27-063;18.0;10;956.0;10.6;1.0;0.0;2.0;0.0;fa449bba;Nicolas HaasMFEmpoli;7;3;42.9;237.0;320.0;74.1;17.0;22.0;11;45.0;13.0;4.0;9.0;7;29.0;22.0;0.0;16.7;17.0;7.0;448.0;18;1;10;30.0;;;;Nicolas Haas;1.0
225;Samir Handanović;GK;Internazionale;38-256;10.0;10;900.0;10.0;0.0;0.0;0.0;0.0;74419746;Samir HandanovićGKInter;0;0;;326.0;366.0;89.1;3.0;0.0;0;;0.0;0.0;0.0;0;0.0;3.0;0.0;;1.0;0.0;385.0;0;0;0;;61.5;20.0;2.1;;
226;Abdou Harroui;MF;Sassuolo;25-073;16.0;2;338.0;3.8;1.0;0.0;1.0;0.0;65fd099c;Abdou HarrouiMFSassuolo;10;3;30.0;126.0;160.0;78.8;7.0;8.0;1;16.7;3.0;1.0;2.0;0;8.0;6.0;0.0;50.0;6.0;8.0;207.0;8;0;8;62.5;;;;;
227;Hans Hateboer;DM;Atalanta;29-077;17.0;17;1397.0;15.5;1.0;1.0;7.0;0.0;3b333ac3;Hans HateboerDFAtalanta;12;4;33.3;560.0;702.0;79.8;22.0;21.0;13;40.7;23.0;4.0;19.0;12;33.0;25.0;0.0;44.4;8.0;7.0;823.0;19;1;23;63.2;;;;Hans Hateboer;1.0
228;Liam Henderson;MF;Empoli;26-336;18.0;9;783.0;8.7;0.0;1.0;8.0;0.0;d7918b13;Liam HendersonMFEmpoli;9;5;55.6;322.0;395.0;81.5;27.0;9.0;8;23.5;8.0;2.0;6.0;8;17.0;8.0;0.0;0.0;11.0;3.0;460.0;30;2;19;36.4;;;;;
229;Jack Hendry;DF;Cremonese;27-324;4.0;2;220.0;2.4;0.0;0.0;1.0;0.0;ffed43e3;Jack HendryDFCremonese;0;0;;118.0;137.0;86.1;4.0;0.0;0;0.0;2.0;1.0;1.0;1;1.0;7.0;0.0;0.0;0.0;0.0;148.0;2;0;1;72.7;;;;;
230;Matheus Henrique;DM;Sassuolo;25-098;19.0;12;1196.0;13.3;2.0;0.0;2.0;0.0;a2d9f138;Matheus HenriqueMFSassuolo;15;9;60.0;475.0;557.0;85.3;44.0;14.0;8;40.0;11.0;3.0;8.0;10;24.0;6.0;0.0;54.3;15.0;8.0;661.0;8;1;4;40.9;;;;Matheus Henrique;1.0
231;Thomas Henry;FW;Hellas-Verona;28-188;16.0;13;1030.0;11.4;2.0;0.0;4.0;0.0;9ef42479;Thomas HenryFWHellas Verona;18;5;27.8;115.0;226.0;50.9;22.0;5.0;3;25.0;6.0;2.0;4.0;0;5.0;14.0;0.0;21.4;52.0;25.0;374.0;27;9;5;54.1;;;;;
232;Theo Hernández;DF;Milan;25-172;23.0;23;2009.0;22.3;3.0;3.0;5.0;0.0;d4c9725f;Theo HernándezDFMilan;41;8;19.5;875.0;1143.0;76.6;66.0;37.0;21;64.3;29.0;6.0;23.0;11;48.0;22.0;1.0;29.4;34.0;12.0;1385.0;17;0;67;66.7;;;;;
233;Isak Hien;DF;Hellas-Verona;24-073;22.0;18;1736.0;19.3;0.0;0.0;8.0;0.0;12806697;Isak HienDFHellas Verona;1;0;0.0;546.0;742.0;73.6;14.0;50.0;24;59.5;27.0;10.0;17.0;20;70.0;57.0;1.0;45.0;19.0;10.0;953.0;42;0;1;58.7;;;;;
234;Morten Hjulmand;MF;Lecce;23-275;25.0;25;2127.0;23.6;0.0;4.0;7.0;1.0;d4456fb3;Morten HjulmandMFLecce;9;1;11.1;711.0;915.0;77.7;40.0;65.0;35;53.5;29.0;7.0;22.0;56;121.0;46.0;0.0;61.5;22.0;17.0;1169.0;46;0;10;58.8;;;;;
235;Emil Holm;DF;Spezia;22-318;20.0;17;1393.0;15.5;1.0;1.0;4.0;0.0;c2357b65;Emil HolmDFSpezia;15;5;33.3;342.0;573.0;59.7;36.0;26.0;15;51.6;21.0;6.0;15.0;9;35.0;41.0;0.0;40.9;47.0;22.0;804.0;22;2;50;51.2;;;;;
236;Martin Hongla;DM;Hellas-Verona;25-011;9.0;6;523.0;5.8;0.0;0.0;4.0;0.0;b85bf253;Martin HonglaMFHellas Verona;5;2;40.0;166.0;212.0;78.3;11.0;8.0;5;100.0;7.0;1.0;6.0;6;14.0;9.0;0.0;57.1;4.0;3.0;258.0;11;0;8;38.5;;;;Martin Hongla;1.0
