;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Drib_pct;Mis;Dis;Touches;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
50;Rodrigo Becão;DF;Udinese;27-067;21.0;21;1862.0;20.7;2.0;1.0;10.0;0.0;19e4eab9;Rodrigo BecãoDFUdinese;14;4;28.6;783.0;1018.0;76.9;23.0;62.0;30;80.4;37.0;21.0;16.0;16;78.0;53.0;1.0;44.4;13.0;2.0;1231.0;28;5;13;66.7;;;;;
51;Julius Beck;MF;Spezia;17-334;1.0;0;10.0;0.1;0.0;0.0;0.0;0.0;e892c325;Julius BeckMFSpezia;0;0;;5.0;5.0;100.0;1.0;2.0;1;;0.0;0.0;0.0;0;2.0;0.0;0.0;;1.0;1.0;8.0;1;0;0;0.0;;;;;
52;Raoul Bellanova;MF;Internazionale;22-314;11.0;0;167.0;1.9;0.0;0.0;0.0;0.0;e3756e72;Raoul BellanovaDFMFInter;2;0;0.0;95.0;126.0;75.4;4.0;5.0;2;66.7;2.0;1.0;1.0;3;8.0;5.0;0.0;40.0;2.0;2.0;154.0;0;0;16;66.7;;;;;
53;Andrea Belotti;FW;Roma;29-097;22.0;4;614.0;6.8;0.0;0.0;0.0;0.0;d705ba44;Andrea BelottiFWRoma;10;6;60.0;100.0;149.0;67.1;11.0;9.0;5;42.9;7.0;1.0;6.0;3;12.0;2.0;0.0;22.2;23.0;8.0;239.0;16;4;3;30.4;;;;;
54;Marco Benassi;DF;Fiorentina;28-200;2.0;1;93.0;1.0;0.0;0.0;0.0;0.0;0000acda;Marco BenassiDFFiorentina;0;0;;91.0;105.0;86.7;1.0;3.0;3;75.0;0.0;0.0;0.0;1;4.0;1.0;0.0;0.0;1.0;1.0;112.0;1;0;7;60.0;;;;;
55;Marco Benassi;MF;Cremonese;28-200;9.0;7;664.0;7.4;0.0;0.0;1.0;0.0;0000acda;Marco BenassiMFCremonese;11;5;45.5;166.0;237.0;70.0;15.0;14.0;9;55.6;11.0;0.0;11.0;9;23.0;8.0;0.0;85.7;8.0;7.0;310.0;5;0;24;25.0;;;;;
56;Ismaël Bennacer;MF;Milan;25-116;22.0;19;1625.0;18.1;1.0;2.0;5.0;0.0;db092d3b;Ismaël BennacerMFMilan;11;2;18.2;1019.0;1179.0;86.4;79.0;51.0;29;62.2;19.0;7.0;12.0;21;72.0;14.0;1.0;53.5;30.0;17.0;1375.0;33;1;58;51.3;;;;;
57;Domenico Berardi;FW;Sassuolo;28-238;17.0;14;1174.0;13.0;6.0;5.0;5.0;0.0;53a0e358;Domenico BerardiFWSassuolo;53;11;20.8;385.0;564.0;68.3;63.0;16.0;11;25.9;9.0;0.0;9.0;12;28.0;12.0;0.0;46.2;43.0;19.0;741.0;20;5;46;36.4;;;;;
58;Bartosz Bereszyński;DF;Sampdoria;30-258;15.0;15;1198.0;13.3;0.0;0.0;1.0;0.0;61b3978f;Bartosz BereszyńskiDFSampdoria;3;0;0.0;471.0;644.0;73.1;8.0;28.0;18;65.4;18.0;4.0;14.0;21;49.0;25.0;0.0;26.7;12.0;5.0;759.0;13;0;31;62.1;;;;;
59;Beto;FW;Udinese;25-055;27.0;19;1709.0;19.0;9.0;1.0;2.0;0.0;ed5c0319;BetoFWUdinese;44;16;36.4;159.0;252.0;63.1;38.0;15.0;9;26.7;14.0;1.0;13.0;3;18.0;23.0;0.0;44.3;93.0;35.0;533.0;30;8;9;49.6;;;;;
60;Matteo Bianchetti;DF;Cremonese;30-010;20.0;18;1693.0;18.8;1.0;0.0;3.0;0.0;b3a20f18;Matteo BianchettiDFCremonese;6;4;66.7;559.0;725.0;77.1;13.0;25.0;14;59.3;25.0;15.0;10.0;16;41.0;91.0;0.0;66.7;4.0;2.0;914.0;14;0;2;61.7;;;;;
61;Alessandro Bianco;DM;Fiorentina;20-177;3.0;2;112.0;1.2;0.0;0.0;0.0;0.0;d65cf468;Alessandro BiancoMFFiorentina;2;1;50.0;46.0;54.0;85.2;3.0;3.0;1;100.0;1.0;0.0;1.0;0;3.0;0.0;0.0;0.0;2.0;4.0;64.0;3;0;1;50.0;;;;Alessandro Bianco;1.0
62;Jaka Bijol;DF;Udinese;24-050;22.0;22;1833.0;20.4;3.0;1.0;6.0;0.0;6fdac234;Jaka BijolDFUdinese;13;4;30.8;701.0;831.0;84.4;13.0;22.0;15;56.3;31.0;17.0;14.0;22;44.0;132.0;0.0;33.3;7.0;2.0;1086.0;15;0;1;63.4;;;;;
63;Cristiano Biraghi;DF;Fiorentina;30-207;25.0;23;1982.0;22.0;1.0;2.0;0.0;0.0;9e1577aa;Cristiano BiraghiDFFiorentina;16;2;12.5;1110.0;1558.0;71.2;106.0;50.0;29;56.3;21.0;6.0;15.0;11;61.0;32.0;1.0;37.5;14.0;6.0;1719.0;22;1;236;42.4;;;;;
64;Samuele Birindelli;DF;Monza;23-251;22.0;13;1087.0;12.1;0.0;1.0;6.0;0.0;204ac005;Samuele BirindelliDFMonza;13;4;30.8;430.0;597.0;72.0;29.0;25.0;13;69.6;21.0;7.0;14.0;13;38.0;23.0;0.0;47.1;20.0;10.0;735.0;12;2;60;36.4;;;;;
