;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Drib_pct;Mis;Dis;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
28;Mattia Bani;DF;Parma;26;15.0;14;1145.0;12.7;0.0;0.0;6.0;0.0;0821331c;Mattia BaniDFParma;8;2;25.0;633.0;712.0;88.9;6.0;20.0;11;50.0;10.0;6.0;4.0;33;53.0;50.0;0.0;;3.0;1.0;16;0;3;58.6;;;;;
29;Antonín Barák;MF;Hellas-Verona;25;34.0;32;2765.0;30.7;7.0;3.0;5.0;1.0;01efac19;Antonín BarákMFHellas Verona;45;16;35.6;1017.0;1311.0;77.6;56.0;30.0;19;29.8;26.0;7.0;19.0;12;42.0;38.0;1.0;65.9;44.0;28.0;60;4;14;44.5;;;;;
30;Federico Barba;DF;Benevento;26;32.0;31;2659.0;29.5;0.0;2.0;8.0;0.0;c010b898;Federico BarbaDFBenevento;13;3;23.1;1095.0;1396.0;78.4;29.0;31.0;16;60.0;39.0;18.0;21.0;48;79.0;94.0;4.0;62.5;14.0;6.0;27;1;38;42.3;;;;;
31;Nicolò Barella;MF;Internazionale;23;36.0;32;2896.0;32.2;3.0;7.0;5.0;0.0;6928979a;Nicolò BarellaMFInter;36;8;22.2;1591.0;1931.0;82.4;105.0;58.0;31;31.9;29.0;4.0;25.0;26;84.0;14.0;0.0;67.3;63.0;28.0;43;2;64;51.7;;;;;
32;Antonio Barreca;DF;Fiorentina;25;3.0;1;85.0;0.9;0.0;0.0;0.0;0.0;6a189491;Antonio BarrecaDFFiorentina;2;1;50.0;32.0;51.0;62.7;2.0;1.0;0;100.0;0.0;0.0;0.0;0;1.0;1.0;0.0;;1.0;0.0;1;1;11;60.0;;;;;
33;Musa Barrow;MF;Bologna;21;38.0;34;2921.0;32.5;8.0;8.0;0.0;0.0;e5bf73f3;Musa BarrowFWMFBologna;88;38;43.2;818.0;1165.0;70.2;111.0;26.0;10;40.0;37.0;2.0;35.0;11;37.0;15.0;0.0;47.9;103.0;53.0;17;11;138;24.0;;;;;
34;Paolo Bartolomei;DM;Spezia;30;6.0;3;320.0;3.6;0.0;1.0;1.0;0.0;6029a945;Paolo BartolomeiMFSpezia;4;0;0.0;91.0;124.0;73.4;9.0;6.0;2;57.1;1.0;0.0;1.0;1;7.0;2.0;0.0;66.7;6.0;3.0;4;0;13;50.0;;;;Paolo Bartolomei;1.0
35;Daniele Baselli;MF;Torino;28;15.0;3;396.0;4.4;0.0;0.0;2.0;0.0;ea06dd97;Daniele BaselliMFTorino;5;2;40.0;163.0;217.0;75.1;14.0;12.0;7;60.0;2.0;0.0;2.0;9;21.0;5.0;0.0;57.1;4.0;2.0;6;0;14;50.0;;;;;
36;Alessandro Bastoni;DF;Internazionale;21;33.0;33;2922.0;32.5;0.0;3.0;6.0;0.0;75b86fb3;Alessandro BastoniDFInter;10;1;10.0;2065.0;2306.0;89.5;41.0;36.0;22;63.0;34.0;16.0;18.0;40;76.0;75.0;0.0;80.0;19.0;6.0;40;0;24;60.0;;;;;
37;Simone Bastoni;DF;Spezia;23;22.0;19;1522.0;16.9;1.0;7.0;7.0;0.0;1ac232b8;Simone BastoniDFSpezia;21;4;19.0;794.0;1068.0;74.3;48.0;50.0;29;51.9;19.0;1.0;18.0;16;66.0;31.0;0.0;62.5;28.0;19.0;35;2;93;51.9;;;;;
