;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att;FDD;FDA;Squad;DF;DM;FW;GK;MF;score_df_mean;score_mf_mean;score_fw_mean;score_dm_mean;score_gk_mean;n_form;n;top_GK;top_MF;top_DM;top_DF;top_FW;nb_def;nb_opp_def;nb_att;nb_opp_att;nb_mil;nb_opp_mil;diff_avant;diff_def;diff_mil;sup_def
22;2023-02-26;L;0;0;Away;0;52.0;26.4;3-5-2;0.0;28.1;79.5;8.0;11.0;-217.75;7;2;3-4-3;Atalanta;reste;3.0;0;1;0;3.0;13.0;1.0;11.0;Milan;454.74;572.0;-1.818560606060606;0.4526225632117349;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;93;134;0;1;1;1;1;3;3;2;3;5;4;-1;0;1;0
23;2023-03-04;D;0;1;Home;1;67.0;26.4;3-4-3;5.0;14.9;81.8;12.0;12.0;186.45;6;3;3-5-2;Atalanta;reste;17.0;0;2;0;3.0;5.0;0.0;12.0;Udinese;569.328;696.0;-0.021590909090909216;2.0947794827253423;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;156;84;0;1;1;1;1;3;3;3;2;4;5;0;1;-1;1
24;2023-03-11;L;0;0;Away;0;40.0;26.4;3-5-2;3.0;17.4;79.1;12.0;11.0;-299.5;7;3;4-3-3;Atalanta;reste;6.0;0;2;0;1.0;18.0;1.0;12.0;Napoli;333.802;422.0;-1.7674242424242426;1.247163674966223;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;107;134;0;1;1;1;1;3;4;2;3;5;3;-2;0;2;0
25;2022-08-14;L;0;0;Away;0;58.0;25.6;3-5-2;2.0;20.9;85.1;8.0;18.0;-139.2;6;8;4-3-3;Bologna;reste;10.0;1;6;1;3.0;9.0;0.0;11.0;Lazio;416.139;489.0;-1.0352272727272727;1.3248803319822426;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;107;134;0;1;0;0;0;3;4;2;3;5;3;-2;0;2;0
26;2022-08-21;D;0;1;Home;1;52.0;25.6;3-5-2;5.0;23.1;72.1;5.0;10.0;50.85;7;8;3-5-2;Bologna;reste;17.0;0;3;1;3.0;19.0;0.0;14.0;Hellas-Verona;284.074;394.0;-1.399621212121212;1.6927026635784594;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;156;134;0;1;0;0;0;3;3;2;2;5;5;-1;1;0;1
27;2022-08-27;L;0;0;Away;0;52.0;25.6;3-5-2;0.0;24.5;81.3;5.0;9.0;-411.55;6;8;4-5-1;Bologna;reste;8.0;0;1;0;2.0;19.0;0.0;13.0;Milan;408.126;502.0;-1.3329545454545455;1.1037135688091102;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;65;134;0;1;0;0;0;3;4;2;1;5;5;-2;2;0;1
28;2022-09-01;D;0;1;Home;1;47.0;25.6;3-5-2;3.0;19.1;73.4;11.0;10.0;36.019999999999975;5;9;3-5-2;Bologna;automne;10.0;1;2;0;2.0;20.0;0.0;11.0;Salernitana;306.812;418.0;-0.9166666666666665;1.2747818953869907;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;156;134;0;1;0;0;0;3;3;2;2;5;5;-1;1;0;1
29;2022-09-04;D;0;1;Away;0;55.0;25.6;3-5-2;6.0;23.0;77.8;11.0;5.0;49.39999999999999;3;9;3-5-2;Bologna;automne;13.0;0;1;0;4.0;15.0;0.0;12.0;Spezia;392.112;504.0;-0.27083333333333326;1.3835557807373096;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;156;134;0;1;0;0;0;3;3;2;2;5;5;-1;1;0;1
30;2022-09-11;W;1;1;Home;1;39.0;25.6;3-5-2;4.0;18.5;75.4;5.0;8.0;-100.60000000000002;7;9;4-3-3;Bologna;automne;12.0;0;1;0;5.0;13.0;0.0;13.0;Fiorentina;251.082;333.0;-0.8912878787878786;1.587930901370392;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;107;134;0;1;0;0;0;3;4;2;3;5;3;-2;0;2;0
31;2022-10-08;D;0;1;Home;1;51.0;25.6;4-5-1;3.0;19.8;74.8;11.0;17.0;64.24999999999999;6;10;4-5-1;Bologna;automne;10.0;0;2;0;3.0;9.0;0.0;21.0;Sampdoria;332.112;444.0;-0.6958333333333333;1.9227494692144373;Bologna;0.0;0.0;0.0;0.0;1.0;1.5384894931684838;2.1014249606589543;2.745701955758978;2.3330305419637383;0.822759813397016;65;67;0;1;0;0;0;4;4;1;1;5;5;-3;3;0;1
