;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Touches;Drib_pct;Mis;Dis;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
62;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;110.0;151.0;72.8;2.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;188.0;44.4;5.0;8.0;2;0;17;40.0;;;;;
63;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;110.0;151.0;72.8;2.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;101.0;50.0;3.0;0.0;3;1;5;25.0;;;;;
64;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;110.0;151.0;72.8;2.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;101.0;50.0;3.0;0.0;2;0;17;40.0;;;;;
65;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;110.0;151.0;72.8;2.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;188.0;44.4;5.0;8.0;3;1;5;25.0;;;;;
66;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;110.0;151.0;72.8;2.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;188.0;44.4;5.0;8.0;2;0;17;40.0;;;;;
67;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;110.0;151.0;72.8;15.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;101.0;50.0;3.0;0.0;3;1;5;25.0;;;;;
68;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;110.0;151.0;72.8;15.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;101.0;50.0;3.0;0.0;2;0;17;40.0;;;;;
69;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;110.0;151.0;72.8;15.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;188.0;44.4;5.0;8.0;3;1;5;25.0;;;;;
70;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;110.0;151.0;72.8;15.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;188.0;44.4;5.0;8.0;2;0;17;40.0;;;;;
71;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;110.0;151.0;72.8;15.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;101.0;50.0;3.0;0.0;3;1;5;25.0;;;;;
72;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;110.0;151.0;72.8;15.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;101.0;50.0;3.0;0.0;2;0;17;40.0;;;;;
73;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;110.0;151.0;72.8;15.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;188.0;44.4;5.0;8.0;3;1;5;25.0;;;;;
74;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;1;0;0.0;110.0;151.0;72.8;15.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;188.0;44.4;5.0;8.0;2;0;17;40.0;;;;;
75;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;5;0;0.0;64.0;89.0;71.9;2.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;101.0;50.0;3.0;0.0;3;1;5;25.0;;;;;
76;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;5;0;0.0;64.0;89.0;71.9;2.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;101.0;50.0;3.0;0.0;2;0;17;40.0;;;;;
77;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;5;0;0.0;64.0;89.0;71.9;2.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;188.0;44.4;5.0;8.0;3;1;5;25.0;;;;;
78;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;5;0;0.0;64.0;89.0;71.9;2.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;188.0;44.4;5.0;8.0;2;0;17;40.0;;;;;
79;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;5;0;0.0;64.0;89.0;71.9;2.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;101.0;50.0;3.0;0.0;3;1;5;25.0;;;;;
80;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;5;0;0.0;64.0;89.0;71.9;2.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;101.0;50.0;3.0;0.0;2;0;17;40.0;;;;;
81;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;5;0;0.0;64.0;89.0;71.9;2.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;188.0;44.4;5.0;8.0;3;1;5;25.0;;;;;
82;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;5;0;0.0;64.0;89.0;71.9;2.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;188.0;44.4;5.0;8.0;2;0;17;40.0;;;;;
83;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;5;0;0.0;64.0;89.0;71.9;15.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;101.0;50.0;3.0;0.0;3;1;5;25.0;;;;;
84;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;5;0;0.0;64.0;89.0;71.9;15.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;101.0;50.0;3.0;0.0;2;0;17;40.0;;;;;
85;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;5;0;0.0;64.0;89.0;71.9;15.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;188.0;44.4;5.0;8.0;3;1;5;25.0;;;;;
86;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;5;0;0.0;64.0;89.0;71.9;15.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;188.0;44.4;5.0;8.0;2;0;17;40.0;;;;;
87;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;5;0;0.0;64.0;89.0;71.9;15.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;101.0;50.0;3.0;0.0;3;1;5;25.0;;;;;
88;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;5;0;0.0;64.0;89.0;71.9;15.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;101.0;50.0;3.0;0.0;2;0;17;40.0;;;;;
89;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;5;0;0.0;64.0;89.0;71.9;15.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;188.0;44.4;5.0;8.0;3;1;5;25.0;;;;;
90;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;5;0;0.0;64.0;89.0;71.9;15.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;188.0;44.4;5.0;8.0;2;0;17;40.0;;;;;
91;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;5;0;0.0;110.0;151.0;72.8;2.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;101.0;50.0;3.0;0.0;3;1;5;25.0;;;;;
92;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;5;0;0.0;110.0;151.0;72.8;2.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;101.0;50.0;3.0;0.0;2;0;17;40.0;;;;;
93;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;5;0;0.0;110.0;151.0;72.8;2.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;188.0;44.4;5.0;8.0;3;1;5;25.0;;;;;
94;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;5;0;0.0;110.0;151.0;72.8;2.0;3.0;3;33.3;0.0;0.0;0.0;1;4.0;2.0;0.0;188.0;44.4;5.0;8.0;2;0;17;40.0;;;;;
95;Daniele Baselli;Milieu;Torino;29;6;0;150;1.7;0;0;0;0;ea06dd97;5;0;0.0;110.0;151.0;72.8;2.0;6.0;5;20.0;2.0;0.0;2.0;2;8.0;5.0;0.0;101.0;50.0;3.0;0.0;3;1;5;25.0;;;;;
