;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;FDD;FDA
65;2020-12-20;D;0;1;Away;0;49.0;23.7;4-5-1;6.0;17.7;78.1;10.0;17.0;-37.200000000000024;4;12;4-4-2;Bologna;reste;16.0;0;3;0;1.0;14.0;1.0;14.0;-2.168269230769231;1.8315878983172218
66;2020-12-23;D;0;1;Home;1;47.0;23.7;4-5-1;3.0;17.2;80.6;13.0;12.0;-212.55;3;12;3-5-2;Bologna;reste;9.0;0;2;0;2.0;11.0;1.0;14.0;-1.4375;1.3845103831006087
67;2021-01-03;D;0;1;Away;0;53.0;23.7;4-5-1;3.0;17.0;84.6;4.0;11.0;-139.60000000000002;11;1;3-5-2;Bologna;reste;7.0;0;3;0;4.0;9.0;0.0;8.0;-0.9423076923076923;0.9999776226279986
68;2021-01-06;D;0;1;Home;1;37.0;23.7;4-5-1;6.0;19.9;78.2;8.0;16.0;43.899999999999984;3;1;3-5-2;Bologna;reste;10.0;0;4;1;3.0;17.0;1.0;13.0;-2.4471153846153846;1.0713166845685642
69;2021-01-09;L;0;0;Away;0;64.0;23.7;4-5-1;3.0;24.7;81.0;12.0;9.0;64.91999999999999;3;1;3-5-2;Bologna;reste;14.0;0;0;0;2.0;10.0;0.0;11.0;-0.26442307692307687;1.4251029359112066
70;2021-01-16;W;1;1;Home;1;48.0;23.7;4-5-1;4.0;17.1;72.2;14.0;15.0;23.22;7;1;3-4-3;Bologna;reste;19.0;1;2;0;1.0;8.0;1.0;10.0;-1.3605769230769231;1.7821562835660578
71;2021-01-24;L;0;0;Away;0;47.0;23.7;4-5-1;2.0;19.3;83.4;11.0;17.0;-456.3;8;1;4-4-2;Bologna;reste;11.0;0;2;0;3.0;23.0;1.0;11.0;-2.6538461538461537;1.2148675259577515
72;2021-01-30;L;0;0;Home;1;49.0;23.7;4-5-1;5.0;19.7;76.9;7.0;13.0;-360.75000000000006;6;1;4-5-1;Bologna;reste;11.0;0;2;0;1.0;13.0;1.0;12.0;-2.0865384615384617;1.292047081990691
75;2021-02-20;D;0;1;Away;0;27.0;23.7;4-5-1;2.0;24.5;64.3;17.0;8.0;-64.80000000000001;8;2;4-5-1;Bologna;reste;5.0;0;0;1;1.0;30.0;1.0;14.0;-2.0673076923076925;0.4111842105263157
76;2021-02-27;W;1;1;Home;1;40.0;23.7;4-5-1;6.0;20.1;73.9;10.0;9.0;-78.28000000000003;7;2;3-5-2;Bologna;reste;11.0;0;1;0;2.0;19.0;1.0;18.0;-1.9807692307692308;1.4887441818832796
77;2021-03-03;L;0;0;Away;0;63.0;23.7;4-5-1;5.0;15.5;82.8;6.0;18.0;51.66999999999999;4;3;3-5-2;Bologna;reste;13.0;0;2;0;2.0;11.0;0.0;16.0;-1.3509615384615383;2.126946831364125
