;team;Formation;year;Poss;age;Dist;Fls;diff_value;PK;coup_arret;nb_top;cluster
60;Juventus;3-5-2;2023;45.42857142857143;26.900000000000002;17.857142857142858;10.428571428571429;212.27714285714288;0.14285714285714285;0.14285714285714285;3.0;2
61;Juventus;4-3-3;2023;48.6;26.9;16.060000000000002;13.4;299.014;0.0;0.8;3.0;1
62;Juventus;4-4-2;2023;50.0;26.899999999999995;16.8;8.333333333333334;135.91666666666666;0.3333333333333333;0.0;3.0;2
63;Juventus;4-5-1;2023;60.5;26.9;21.1;14.5;215.06;0.0;0.0;3.0;2
64;Lazio;3-5-2;2021;53.61290322580645;25.600000000000012;17.306451612903224;13.387096774193548;41.11483870967739;0.12903225806451613;0.5161290322580645;1.0;2
65;Lazio;4-3-3;2022;55.457142857142856;27.200000000000017;17.59428571428571;11.714285714285714;-0.35685714285713055;0.14285714285714285;0.45714285714285713;1.0;3
66;Lazio;4-5-1;2022;57.0;27.2;16.8;8.0;143.20000000000005;0.0;1.0;1.0;2
67;Lazio;4-3-3;2023;52.12;26.899999999999988;18.459999999999997;10.44;35.464399999999976;0.12;0.24;1.0;2
68;Lazio;4-4-2;2023;61.0;26.9;15.3;10.0;175.21999999999997;0.0;0.0;1.0;2
69;Lazio;4-5-1;2023;50.0;26.9;16.9;10.0;103.49999999999996;1.0;0.0;1.0;2
70;Milan;4-5-1;2021;50.041666666666664;23.89999999999999;18.345833333333335;12.708333333333334;270.0345833333333;0.4583333333333333;0.375;4.0;1
71;Milan;4-3-3;2022;49.5;25.3;16.799999999999997;12.5;247.69500000000005;0.0;0.0;3.0;1
72;Milan;4-5-1;2022;54.27777777777778;25.299999999999986;18.566666666666663;12.222222222222221;299.38972222222225;0.1388888888888889;0.3611111111111111;3.0;1
73;Milan;3-4-3;2023;52.5;26.900000000000002;16.933333333333334;13.333333333333334;365.1233333333333;0.16666666666666666;0.6666666666666666;3.0;1
74;Milan;3-5-2;2023;53.5;26.9;20.1;12.0;247.575;0.0;0.0;3.0;1
75;Milan;4-5-1;2023;54.588235294117645;26.89999999999999;17.917647058823526;13.058823529411764;331.7505882352941;0.11764705882352941;0.6470588235294118;3.0;1
76;Napoli;4-5-1;2021;55.03703703703704;26.0;17.988888888888887;10.185185185185185;264.22;0.14814814814814814;0.5185185185185185;4.0;1
77;Napoli;3-4-3;2022;54.0;25.3;17.75;19.0;210.59000000000006;0.0;0.0;3.0;2
78;Napoli;4-3-3;2022;57.333333333333336;25.300000000000008;18.95;11.916666666666666;245.73416666666665;0.25;0.25;3.0;1
79;Napoli;4-5-1;2022;59.208333333333336;25.3;18.066666666666663;11.625;213.1095833333333;0.2916666666666667;0.625;3.0;2
80;Napoli;4-3-3;2023;60.54545454545455;26.100000000000012;16.740909090909092;9.727272727272727;415.1686363636363;0.22727272727272727;0.2727272727272727;3.0;1
81;Napoli;4-5-1;2023;61.333333333333336;26.100000000000005;16.166666666666668;11.666666666666666;427.22333333333336;0.0;0.3333333333333333;3.0;1
82;Parma;3-5-2;2021;39.666666666666664;25.100000000000005;24.733333333333334;14.666666666666666;-156.2566666666667;0.0;0.6666666666666666;1.0;0
83;Parma;4-5-1;2021;51.0;25.1;18.55;16.0;-63.79000000000002;0.0;1.0;1.0;3
84;Roma;4-5-1;2021;53.8;24.6;18.619999999999997;12.6;91.02799999999999;0.2;0.8;3.0;2
85;Roma;3-4-3;2022;51.0;23.800000000000004;17.442857142857143;12.714285714285714;165.50142857142856;0.42857142857142855;1.1428571428571428;2.0;2
86;Roma;3-5-2;2022;49.11764705882353;23.800000000000008;16.794117647058822;13.235294117647058;126.6029411764706;0.11764705882352941;0.5294117647058824;2.0;2
87;Roma;4-5-1;2022;51.0;23.800000000000008;17.34166666666667;13.666666666666666;60.30833333333334;0.16666666666666666;0.5;2.0;2
88;Roma;3-4-3;2023;50.05263157894737;26.0;17.473684210526315;11.631578947368421;87.16736842105263;0.10526315789473684;0.8947368421052632;2.0;2
89;Roma;3-5-2;2023;49.5;26.0;17.424999999999997;12.0;45.687499999999986;0.25;0.0;2.0;2
90;Salernitana;3-4-3;2022;54.0;25.9;17.0;15.0;-152.84;0.0;1.0;1.0;0
91;Salernitana;3-5-2;2022;40.15384615384615;25.899999999999995;18.76923076923077;14.615384615384615;-157.30461538461537;0.15384615384615385;0.7692307692307693;1.0;0
92;Salernitana;4-3-3;2022;55.0;25.9;18.2;13.0;-10.420000000000002;0.0;1.0;1.0;3
93;Salernitana;4-4-2;2022;40.5;25.9;18.975;12.5;-168.125;0.0;1.25;1.0;0
94;Salernitana;4-5-1;2022;41.1;25.9;19.12;11.7;-302.93600000000004;0.0;1.1;1.0;0
95;Salernitana;3-4-3;2023;39.0;26.7;16.660000000000004;11.2;-129.11999999999998;0.0;0.8;1.0;3
96;Salernitana;3-5-2;2023;47.625;26.699999999999992;18.65;13.125;-92.30499999999999;0.0625;0.5625;1.0;3
97;Salernitana;4-3-3;2023;47.0;26.7;22.8;10.0;-157.73499999999999;0.0;0.5;1.0;0
98;Salernitana;4-5-1;2023;26.0;26.7;14.8;14.0;-529.3199999999998;0.0;1.0;1.0;0
