;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att
41;2022-04-03;L;0;0;Home;1;55.0;24.5;3-5-2;3.0;15.8;83.8;13.0;15.0;-78.48000000000002;14;4;4-5-1;Atalanta;reste;19.0;0;2;0;3.0;5.0;1.0;11.0;Napoli;491.906;587.0
42;2022-04-07;D;0;1;Away;0;44.0;24.5;4-5-1;4.0;15.9;78.1;11.0;11.0;;4;4;<NA>-<NA>-<NA>;Atalanta;reste;20.0;0;1;0;;;;;de RB Leipzig;392.84299999999996;503.0
43;2022-04-10;L;0;0;Away;0;50.0;24.5;3-4-3;4.0;14.2;82.8;9.0;14.0;147.75;3;4;4-5-1;Atalanta;reste;15.0;0;1;0;2.0;14.0;0.0;18.0;Sassuolo;428.904;518.0
44;2022-04-14;L;0;0;Home;1;57.0;24.5;3-4-3;3.0;17.0;81.2;9.0;12.0;;4;4;<NA>-<NA>-<NA>;Atalanta;reste;16.0;0;6;0;;;;;de RB Leipzig;462.84;570.0
45;2022-04-18;L;0;0;Home;1;56.0;24.5;3-4-3;4.0;15.4;76.5;8.0;13.0;235.77;4;4;3-4-3;Atalanta;reste;17.0;0;3;0;3.0;21.0;1.0;13.0;Hellas-Verona;432.225;565.0
46;2022-04-23;W;1;1;Away;0;60.0;24.5;3-5-2;4.0;12.0;82.0;11.0;13.0;317.77;5;4;4-3-3;Atalanta;reste;19.0;0;3;0;0.0;8.0;1.0;12.0;Venezia;541.2;660.0
47;2022-04-27;D;0;1;Home;1;49.0;24.5;3-4-3;3.0;16.9;76.8;5.0;12.0;175.35;4;4;3-4-3;Atalanta;reste;15.0;2;2;0;2.0;3.0;2.0;11.0;Torino;354.816;462.0
48;2022-05-02;D;0;1;Home;1;62.0;24.5;3-4-3;5.0;17.5;80.9;4.0;13.0;328.19;5;5;3-5-2;Atalanta;reste;20.0;0;3;0;2.0;11.0;1.0;9.0;Salernitana;495.91700000000003;613.0
49;2022-05-08;W;1;1;Away;0;65.0;24.5;3-4-3;6.0;17.7;84.3;6.0;12.0;320.25;6;5;4-4-2;Atalanta;reste;17.0;0;3;0;2.0;5.0;1.0;10.0;Spezia;510.015;605.0
50;2022-05-15;L;0;0;Away;0;54.0;24.5;3-4-3;2.0;16.7;82.0;7.0;14.0;-148.20000000000005;7;5;4-5-1;Atalanta;reste;12.0;0;4;0;3.0;12.0;1.0;8.0;Milan;396.88;484.0
51;2022-05-21;L;0;0;Home;1;62.0;24.5;3-5-2;9.0;16.5;83.9;11.0;6.0;272.25;6;5;4-4-2;Atalanta;reste;40.0;0;1;0;1.0;7.0;1.0;7.0;Empoli;541.994;646.0
52;2021-08-16;L;0;0;Home;1;64.0;23.7;4-5-1;11.0;;;17.0;14.0;;10;8;<NA>-<NA>-<NA>;Bologna;reste;23.0;1;1;0;;;;;Ternana;;
53;2021-08-22;W;1;1;Home;1;71.0;23.7;4-5-1;7.0;17.5;82.1;6.0;13.0;115.63999999999999;6;8;3-5-2;Bologna;reste;18.0;0;6;2;4.0;9.0;2.0;15.0;Salernitana;482.74799999999993;588.0
54;2021-08-28;D;0;1;Away;0;41.0;23.7;4-3-3;1.0;15.4;69.6;14.0;14.0;-212.55;6;8;3-4-3;Bologna;reste;4.0;0;5;0;2.0;22.0;2.0;11.0;Atalanta;288.84;415.0
55;2021-09-13;W;1;1;Home;1;43.0;23.7;4-5-1;3.0;17.3;71.6;15.0;14.0;23.22;16;9;3-4-3;Bologna;automne;15.0;0;1;0;3.0;5.0;0.0;21.0;Hellas-Verona;262.056;366.0
56;2021-09-18;L;0;0;Away;0;55.0;23.7;4-5-1;2.0;15.5;86.9;5.0;10.0;-372.34999999999997;5;9;3-5-2;Bologna;automne;7.0;0;3;0;0.0;19.0;0.0;10.0;Internazionale;484.033;557.0
57;2021-09-21;D;0;1;Home;1;60.0;23.7;4-5-1;4.0;15.3;82.1;5.0;14.0;64.91999999999999;3;9;4-5-1;Bologna;automne;16.0;1;3;0;4.0;10.0;1.0;15.0;Genoa;471.25399999999996;574.0
58;2021-09-26;L;0;0;Away;0;63.0;23.7;4-5-1;5.0;15.9;81.5;6.0;22.0;59.69999999999999;5;9;4-4-2;Bologna;automne;19.0;0;2;0;2.0;14.0;2.0;15.0;Empoli;418.095;513.0
59;2021-10-03;W;1;1;Home;1;41.0;23.7;3-4-3;3.0;18.5;80.3;15.0;5.0;-78.28000000000003;7;10;4-3-3;Bologna;automne;10.0;0;2;0;6.0;8.0;0.0;16.0;Lazio;367.774;458.0
60;2021-10-17;D;0;1;Away;0;59.0;23.7;3-4-3;11.0;20.2;86.5;8.0;11.0;43.89999999999998;14;10;3-5-2;Bologna;automne;24.0;0;7;0;4.0;10.0;0.0;15.0;Udinese;454.99;526.0
61;2021-10-23;L;0;0;Home;1;37.0;23.7;3-4-3;4.0;14.5;78.2;3.0;7.0;-360.75000000000006;6;10;4-5-1;Bologna;automne;9.0;0;1;2;3.0;15.0;1.0;15.0;Milan;297.16;380.0
62;2021-10-28;L;0;0;Away;0;35.0;23.7;3-4-3;1.0;23.2;81.9;6.0;5.0;-291.03000000000003;5;10;4-5-1;Bologna;automne;8.0;0;1;0;1.0;16.0;2.0;20.0;Napoli;316.134;386.0
63;2021-11-01;W;1;1;Home;1;57.0;23.7;3-4-3;3.0;20.7;86.3;5.0;11.0;51.66999999999999;4;11;5-3-2;Bologna;automne;8.0;0;3;0;3.0;9.0;2.0;9.0;Cagliari;549.731;637.0
64;2021-11-07;W;1;1;Away;0;53.0;23.7;3-4-3;6.0;16.9;78.0;10.0;12.0;57.64999999999998;6;11;4-4-2;Bologna;automne;14.0;0;1;0;4.0;10.0;0.0;14.0;Sampdoria;397.8;510.0
