;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Touches;Drib_pct;Mis;Dis;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
201;Bruno Guimarães;MF;Newcastle Utd;23;17.0;11;1034.0;11.5;5.0;1.0;4.0;0.0;82518f62;Bruno GuimarãesMFNewcastle Utd;23;12;52.2;441.0;522.0;84.5;31.0;44.0;23;55.3;25.0;6.0;19.0;9;53.0;13.0;0.0;701.0;55.0;24.0;29.0;13;4;12;30.8;;;;;
202;İlkay Gündoğan;MF;Manchester City;30;27.0;20;1857.0;20.6;8.0;4.0;1.0;0.0;819b3158;İlkay GündoğanMFManchester City;55;18;32.7;1175.0;1340.0;87.7;84.0;23.0;9;38.7;11.0;1.0;10.0;15;38.0;10.0;0.0;1522.0;68.6;25.0;19.0;13;2;67;47.8;;;;;
203;Angus Gunn;GK;Norwich City;25;9.0;9;810.0;9.0;0.0;0.0;0.0;0.0;e082af5b;Angus GunnGKNorwich City;0;0;;208.0;307.0;67.8;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;11.0;0.0;343.0;;0.0;0.0;0;0;0;66.7;64.9;11.1;1.7;;
204;Grant Hanley;DF;Norwich City;29;33.0;33;2897.0;32.2;1.0;0.0;2.0;0.0;e9254eec;Grant HanleyDFNorwich City;20;4;20.0;1089.0;1310.0;83.1;14.0;44.0;25;51.4;56.0;45.0;11.0;56;100.0;176.0;2.0;1702.0;33.3;9.0;1.0;22;2;0;75.6;;;;;
205;Jack Harrison;MF;Leeds United;24;35.0;32;2639.0;29.3;8.0;1.0;3.0;0.0;aa849a12;Jack HarrisonFWMFLeeds United;43;17;39.5;656.0;1045.0;62.8;86.0;57.0;37;40.8;35.0;1.0;34.0;21;78.0;19.0;0.0;1448.0;47.4;87.0;66.0;29;4;142;26.0;;;;;
206;Kortney Hause;DF;Aston Villa;26;7.0;4;397.0;4.4;1.0;0.0;0.0;0.0;bf8fad51;Kortney HauseDFAston Villa;2;2;100.0;175.0;222.0;78.8;2.0;3.0;3;75.0;8.0;5.0;3.0;6;9.0;13.0;0.0;266.0;75.0;4.0;1.0;6;1;0;71.4;;;;;
207;Kai Havertz;MF;Chelsea;22;29.0;22;1809.0;20.1;8.0;3.0;3.0;0.0;fed7cb61;Kai HavertzFWMFChelsea;56;23;41.1;537.0;669.0;80.3;61.0;17.0;8;28.6;28.0;1.0;27.0;4;21.0;32.0;1.0;943.0;42.9;66.0;32.0;40;12;8;42.2;;;;;
208;Isaac Hayden;MF;Newcastle Utd;26;14.0;12;1002.0;11.1;1.0;0.0;5.0;0.0;c951a6df;Isaac HaydenMFDFNewcastle Utd;5;1;20.0;261.0;341.0;76.5;6.0;28.0;14;41.4;17.0;8.0;9.0;14;42.0;24.0;0.0;467.0;60.0;16.0;8.0;14;0;8;55.9;;;;;
209;Hwang Hee-chan;MF;Wolves;25;30.0;20;1816.0;20.2;5.0;1.0;2.0;0.0;169fd162;Hwang Hee-chanFWMFWolves;27;12;44.4;513.0;639.0;80.3;37.0;27.0;13;31.8;10.0;0.0;10.0;13;40.0;7.0;1.0;844.0;47.8;47.0;24.0;29;3;7;25.0;;;;;
210;Jordan Henderson;MF;Liverpool;31;35.0;29;2597.0;28.9;2.0;5.0;3.0;0.0;935e6b8f;Jordan HendersonMFLiverpool;31;6;19.4;1886.0;2246.0;84.0;96.0;36.0;20;38.6;25.0;1.0;24.0;23;59.0;14.0;0.0;2444.0;64.0;28.0;12.0;23;3;56;58.1;;;;;
211;Jeff Hendrick;MF;Newcastle Utd;29;3.0;0;72.0;0.8;1.0;0.0;0.0;0.0;989d5705;Jeff HendrickMFNewcastle Utd;1;1;100.0;27.0;29.0;93.1;1.0;1.0;1;100.0;0.0;0.0;0.0;0;1.0;1.0;0.0;37.0;0.0;2.0;1.0;1;0;0;50.0;;;;;
212;Wayne Hennessey;GK;Burnley;34;2.0;2;180.0;2.0;0.0;0.0;0.0;0.0;76eca7e2;Wayne HennesseyGKBurnley;0;0;;41.0;79.0;51.9;3.0;0.0;0;;0.0;0.0;0.0;1;1.0;0.0;1.0;84.0;;0.0;0.0;0;0;0;100.0;53.8;0.0;0.0;;
213;Rico Henry;DF;Brentford;24;34.0;33;2776.0;30.8;3.0;0.0;2.0;0.0;8a3c1dc7;Rico HenryDFBrentford;14;5;35.7;876.0;1215.0;72.1;50.0;28.0;20;35.3;31.0;10.0;21.0;26;54.0;76.0;1.0;1542.0;45.0;40.0;34.0;20;1;74;40.3;;;;;
214;Son Heung-min;MF;Tottenham;29;35.0;35;3006.0;33.4;23.0;7.0;2.0;0.0;92e7e919;Son Heung-minMFFWTottenham;86;48;55.8;928.0;1219.0;76.1;135.0;15.0;6;21.7;27.0;6.0;21.0;13;28.0;8.0;0.0;1545.0;55.4;75.0;46.0;14;17;192;31.4;;;;;
215;Ki-Jana Hoever;MF;Wolves;19;8.0;4;308.0;3.4;0.0;0.0;1.0;0.0;9a71e978;Ki-Jana HoeverDFMFWolves;1;0;0.0;110.0;160.0;68.8;3.0;10.0;6;58.3;6.0;0.0;6.0;6;16.0;8.0;0.0;200.0;57.1;2.0;4.0;5;1;8;60.0;;;;;
216;Rob Holding;DF;Arsenal;25;15.0;9;845.0;9.4;1.0;0.0;4.0;1.0;d79a8c87;Rob HoldingDFArsenal;4;1;25.0;420.0;483.0;87.0;3.0;13.0;9;83.3;23.0;18.0;5.0;10;23.0;42.0;1.0;587.0;0.0;4.0;3.0;9;0;0;56.0;;;;;
217;Mason Holgate;DF;Everton;24;25.0;23;2134.0;23.7;2.0;1.0;7.0;1.0;d0042ab9;Mason HolgateDFEverton;7;2;28.6;584.0;876.0;66.7;5.0;35.0;18;42.3;25.0;17.0;8.0;26;61.0;95.0;1.0;1091.0;50.0;3.0;7.0;26;0;4;66.3;;;;;
218;Callum Hudson-Odoi;MF;Chelsea;20;15.0;11;962.0;10.7;1.0;2.0;1.0;0.0;15f3ec41;Callum Hudson-OdoiMFFWChelsea;18;7;38.9;317.0;399.0;79.4;55.0;14.0;10;34.8;8.0;0.0;8.0;2;16.0;6.0;1.0;497.0;61.5;22.0;20.0;10;4;32;33.3;;;;;
219;Will Hughes;MF;Crystal Palace;26;16.0;13;1053.0;11.7;0.0;1.0;6.0;0.0;a0666d3e;Will HughesMFCrystal Palace;6;0;0.0;436.0;537.0;81.2;23.0;29.0;14;43.8;13.0;7.0;6.0;8;37.0;10.0;0.0;653.0;66.7;15.0;9.0;18;0;35;35.5;;;;;
220;Pierre Højbjerg;MF;Tottenham;25;36.0;36;3196.0;35.5;2.0;2.0;3.0;0.0;8b04d6c1;Pierre HøjbjergMFTottenham;31;10;32.3;2287.0;2570.0;89.0;86.0;78.0;45;44.7;61.0;13.0;48.0;48;126.0;54.0;0.0;2903.0;70.0;32.0;22.0;28;0;18;54.8;;;;;
