;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Touches;Drib_pct;Mis;Dis;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
35;Ashley Barnes;FW;Burnley;31;23.0;8;808.0;9.0;1.0;0.0;4.0;0.0;2691c772;Ashley BarnesFWBurnley;15;5;33.3;122.0;198.0;61.6;18.0;11.0;2;22.2;8.0;1.0;7.0;2;13.0;5.0;0.0;302.0;62.5;37.0;22.0;21;9;2;43.0;;;;;
36;Harvey Barnes;MF;Leicester City;23;32.0;24;2101.0;23.3;6.0;10.0;2.0;0.0;3ea50f67;Harvey BarnesFWMFLeicester City;66;24;36.4;550.0;756.0;72.8;63.0;31.0;16;30.4;24.0;1.0;23.0;5;36.0;7.0;0.0;1052.0;41.3;58.0;43.0;19;10;45;36.9;;;;;
37;Lewis Bate;MF;Leeds United;18;3.0;1;146.0;1.6;0.0;0.0;0.0;0.0;cd4256d3;Lewis BateMFLeeds United;1;0;0.0;45.0;61.0;73.8;3.0;1.0;0;0.0;1.0;0.0;1.0;1;2.0;1.0;0.0;86.0;20.0;9.0;2.0;3;0;0;0.0;;;;;
38;Mads Bech Sørensen;DF;Brentford;22;11.0;9;835.0;9.3;0.0;0.0;3.0;0.0;30db8574;Mads Bech SørensenDFBrentford;2;0;0.0;393.0;514.0;76.5;11.0;8.0;7;85.7;9.0;6.0;3.0;6;14.0;25.0;0.0;576.0;0.0;2.0;0.0;8;0;10;69.2;;;;;
39;Jan Bednarek;DF;Southampton;25;31.0;30;2629.0;29.2;4.0;0.0;10.0;0.0;4115ce4e;Jan BednarekDFSouthampton;19;7;36.8;1201.0;1490.0;80.6;22.0;32.0;15;57.6;48.0;27.0;21.0;72;104.0;141.0;0.0;1828.0;100.0;7.0;4.0;30;1;1;70.5;;;;;
40;Donny van de Beek;MF;Manchester Utd;24;8.0;0;75.0;0.8;1.0;0.0;0.0;0.0;50dc94ce;Donny van de BeekMFManchester Utd;2;1;50.0;26.0;34.0;76.5;6.0;6.0;4;50.0;5.0;1.0;4.0;2;8.0;1.0;0.0;56.0;20.0;3.0;3.0;2;0;0;33.3;;;;;
41;Donny van de Beek;MF;Everton;24;7.0;5;483.0;5.4;1.0;0.0;1.0;0.0;50dc94ce;Donny van de BeekMFEverton;5;1;20.0;206.0;250.0;82.4;8.0;15.0;7;46.2;6.0;2.0;4.0;6;21.0;4.0;0.0;306.0;33.3;5.0;6.0;7;0;6;58.3;;;;;
42;Asmir Begović;GK;Everton;34;3.0;3;270.0;3.0;0.0;0.0;0.0;0.0;7b4de647;Asmir BegovićGKEverton;0;0;;39.0;85.0;45.9;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;3.0;0.0;97.0;;0.0;0.0;0;0;0;100.0;61.1;33.3;6.0;;
43;Saïd Benrahma;MF;West Ham;25;32.0;26;2168.0;24.1;8.0;6.0;0.0;0.0;5a04fd92;Saïd BenrahmaFWMFWest Ham;63;20;31.7;632.0;841.0;75.1;75.0;28.0;17;39.5;17.0;1.0;16.0;9;37.0;8.0;0.0;1121.0;46.3;62.0;30.0;9;9;74;34.5;;;;;
44;Rodrigo Bentancur;DM;Tottenham;24;17.0;16;1361.0;15.1;0.0;4.0;5.0;0.0;3b8674e6;Rodrigo BentancurMFTottenham;14;2;14.3;912.0;1019.0;89.5;38.0;36.0;18;50.0;24.0;9.0;15.0;20;56.0;35.0;0.0;1184.0;70.0;12.0;13.0;22;0;9;53.8;;;;Rodrigo Bentancur;1.0
45;Christian Benteke;FW;Crystal Palace;30;25.0;11;1145.0;12.7;4.0;1.0;3.0;0.0;ab070c55;Christian BentekeFWCrystal Palace;39;13;33.3;196.0;305.0;64.3;23.0;3.0;2;33.3;7.0;3.0;4.0;2;5.0;33.0;0.0;450.0;69.2;39.0;17.0;16;10;0;61.2;;;;;
46;Jóhann Berg Guðmundsson;MF;Burnley;30;18.0;13;1102.0;12.2;0.0;1.0;2.0;0.0;f72293fc;Jóhann Berg GuðmundssonMFBurnley;19;5;26.3;209.0;341.0;61.3;23.0;16.0;6;25.0;11.0;2.0;9.0;12;28.0;22.0;0.0;474.0;63.6;15.0;19.0;16;3;44;42.9;;;;;
47;Steven Bergwijn;MF;Tottenham;23;25.0;4;565.0;6.3;3.0;1.0;1.0;0.0;a29b1131;Steven BergwijnFWMFTottenham;19;10;52.6;144.0;177.0;81.4;21.0;3.0;2;10.0;3.0;0.0;3.0;1;4.0;8.0;0.0;258.0;50.0;28.0;14.0;9;1;8;44.4;;;;;
48;Ryan Bertrand;DF;Leicester City;31;4.0;4;337.0;3.7;0.0;0.0;1.0;0.0;01226327;Ryan BertrandDFLeicester City;0;0;;151.0;191.0;79.1;2.0;8.0;5;40.0;8.0;3.0;5.0;1;9.0;7.0;0.0;229.0;;6.0;4.0;3;0;12;11.1;;;;;
49;Mads Bidstrup;MF;Brentford;20;4.0;0;41.0;0.5;0.0;0.0;0.0;0.0;407db0d5;Mads BidstrupMFBrentford;0;0;;10.0;13.0;76.9;0.0;1.0;0;0.0;0.0;0.0;0.0;1;2.0;2.0;0.0;20.0;;2.0;1.0;1;0;0;;;;;;
50;Yves Bissouma;MF;Brighton;24;26.0;25;2111.0;23.5;1.0;2.0;10.0;0.0;6c203af0;Yves BissoumaMFBrighton;21;5;23.8;1061.0;1193.0;88.9;31.0;76.0;49;56.8;33.0;3.0;30.0;50;126.0;49.0;0.0;1505.0;66.7;32.0;25.0;30;0;2;51.6;;;;;
51;Willy Boly;DF;Wolves;30;10.0;10;900.0;10.0;0.0;0.0;1.0;0.0;a4ac4b8f;Willy BolyDFWolves;2;1;50.0;468.0;558.0;83.9;3.0;25.0;19;53.3;14.0;6.0;8.0;14;39.0;35.0;0.0;663.0;50.0;3.0;3.0;7;1;0;50.0;;;;;
52;Jarrod Bowen;FW;West Ham;24;36.0;34;2983.0;33.1;12.0;10.0;6.0;0.0;79c84d1c;Jarrod BowenFWWest Ham;79;34;43.0;574.0;863.0;66.5;98.0;36.0;20;38.6;29.0;2.0;27.0;21;57.0;14.0;0.0;1225.0;56.8;65.0;52.0;25;14;141;36.9;;;;;
53;Jarrad Branthwaite;DF;Everton;19;6.0;4;388.0;4.3;1.0;0.0;0.0;1.0;c1949191;Jarrad BranthwaiteDFEverton;3;2;66.7;89.0;117.0;76.1;0.0;4.0;1;37.5;3.0;2.0;1.0;1;5.0;20.0;0.0;158.0;50.0;4.0;1.0;3;0;0;68.8;;;;;
54;Armando Broja;FW;Southampton;19;32.0;21;1975.0;21.9;6.0;0.0;2.0;0.0;97220da2;Armando BrojaFWSouthampton;45;19;42.2;243.0;404.0;60.1;38.0;12.0;5;22.2;17.0;1.0;16.0;3;15.0;11.0;0.0;673.0;47.1;68.0;50.0;29;13;8;34.6;;;;;
55;Josh Brownhill;MF;Burnley;25;35.0;32;2955.0;32.8;2.0;3.0;10.0;0.0;47369df8;Josh BrownhillMFBurnley;29;9;31.0;891.0;1196.0;74.5;75.0;73.0;37;39.6;37.0;12.0;25.0;68;141.0;42.0;1.0;1528.0;50.0;40.0;18.0;39;0;53;59.5;;;;;
56;Lewis Brunt;MF;Leicester City;20;1.0;0;24.0;0.3;0.0;0.0;0.0;0.0;a2081c6b;Lewis BruntMFLeicester City;0;0;;21.0;21.0;100.0;0.0;0.0;0;;1.0;0.0;1.0;0;0.0;0.0;0.0;26.0;100.0;1.0;2.0;0;0;0;0.0;;;;;
57;Bryan;MF;Tottenham;20;9.0;0;94.0;1.0;0.0;0.0;0.0;0.0;7b5ab7f2;BryanFWMFTottenham;1;1;100.0;50.0;64.0;78.1;5.0;3.0;0;50.0;2.0;0.0;2.0;0;3.0;0.0;0.0;79.0;66.7;6.0;2.0;1;0;6;0.0;;;;;
58;Emi Buendía;MF;Aston Villa;24;35.0;22;1899.0;21.1;4.0;6.0;1.0;0.0;66b76d44;Emi BuendíaMFFWAston Villa;44;13;29.5;711.0;902.0;78.8;83.0;38.0;18;41.2;21.0;3.0;18.0;9;47.0;11.0;0.0;1146.0;62.5;42.0;41.0;17;3;34;35.2;;;;;
59;Dan Burn;DF;Newcastle Utd;29;16.0;16;1440.0;16.0;0.0;1.0;4.0;0.0;b2d31e83;Dan BurnDFNewcastle Utd;11;1;9.1;459.0;587.0;78.2;6.0;16.0;11;63.6;22.0;14.0;8.0;20;36.0;101.0;0.0;782.0;;4.0;3.0;11;5;0;68.7;;;;;
60;Dan Burn;DF;Brighton;29;13.0;12;1022.0;11.4;1.0;0.0;4.0;0.0;b2d31e83;Dan BurnDFBrighton;7;3;42.9;523.0;645.0;81.1;7.0;22.0;12;40.0;14.0;10.0;4.0;24;46.0;51.0;0.0;797.0;0.0;7.0;1.0;15;0;1;60.4;;;;;
61;Jack Butland;GK;Crystal Palace;28;9.0;8;765.0;8.5;0.0;0.0;0.0;0.0;cc70a1d5;Jack ButlandGKCrystal Palace;0;0;;214.0;287.0;74.6;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;1.0;0.0;296.0;;0.0;0.0;0;0;0;33.3;53.6;12.5;7.9;;
62;Sam Byram;DF;Norwich City;27;15.0;11;1027.0;11.4;0.0;0.0;3.0;0.0;1bf811d4;Sam ByramDFNorwich City;7;1;14.3;393.0;515.0;76.3;11.0;24.0;15;70.4;21.0;11.0;10.0;22;46.0;48.0;0.0;669.0;37.5;8.0;4.0;12;0;9;50.0;;;;;
63;Willy Caballero;GK;Southampton;39;2.0;2;180.0;2.0;0.0;0.0;1.0;0.0;a179d516;Willy CaballeroGKSouthampton;0;0;;37.0;60.0;61.7;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;2.0;1.0;69.0;;0.0;0.0;0;0;0;0.0;54.5;0.0;3.0;;
64;Moisés Caicedo;DM;Brighton;19;8.0;8;660.0;7.3;1.0;1.0;2.0;0.0;16264a81;Moisés CaicedoMFBrighton;10;4;40.0;225.0;275.0;81.8;13.0;16.0;10;41.7;18.0;4.0;14.0;10;26.0;7.0;0.0;358.0;70.0;10.0;10.0;7;1;0;69.2;;;;Moisés Caicedo;1.0
65;Dominic Calvert-Lewin;FW;Everton;24;17.0;15;1283.0;14.3;5.0;2.0;2.0;0.0;59e6e5bf;Dominic Calvert-LewinFWEverton;30;11;36.7;167.0;280.0;59.6;30.0;11.0;8;37.5;5.0;2.0;3.0;3;14.0;12.0;0.0;448.0;18.2;50.0;13.0;17;4;2;50.3;;;;;
66;Chem Campbell;MF;Wolves;18;1.0;0;13.0;0.1;0.0;0.0;0.0;0.0;6f711f67;Chem CampbellMFWolves;0;0;;9.0;10.0;90.0;1.0;1.0;1;;0.0;0.0;0.0;0;1.0;0.0;0.0;11.0;;0.0;0.0;0;0;0;0.0;;;;;
67;João Cancelo;DF;Manchester City;27;36.0;36;3227.0;35.9;1.0;7.0;7.0;0.0;bd6351cd;João CanceloDFManchester City;81;23;28.4;2809.0;3365.0;83.5;126.0;83.0;54;50.5;25.0;3.0;22.0;59;142.0;45.0;1.0;3769.0;52.8;45.0;24.0;34;2;124;52.8;;;;;
68;Sergi Canós;MF;Brentford;24;31.0;25;2083.0;23.1;3.0;2.0;8.0;1.0;1137759d;Sergi CanósDFFWBrentford;33;12;36.4;449.0;774.0;58.0;37.0;56.0;25;55.0;32.0;3.0;29.0;22;78.0;38.0;0.0;1070.0;46.0;47.0;25.0;28;5;87;25.0;;;;;
69;Todd Cantwell;MF;Norwich City;23;8.0;5;441.0;4.9;0.0;0.0;2.0;0.0;f63d8a4b;Todd CantwellFWMFNorwich City;5;0;0.0;130.0;157.0;82.8;10.0;15.0;13;35.3;2.0;0.0;2.0;3;18.0;2.0;0.0;205.0;50.0;15.0;8.0;4;2;3;42.9;;;;;
70;Matty Cash;DF;Aston Villa;23;38.0;38;3377.0;37.5;4.0;3.0;8.0;0.0;2389cdc2;Matty CashDFAston Villa;37;13;35.1;1113.0;1627.0;68.4;65.0;89.0;50;60.3;54.0;16.0;38.0;49;138.0;100.0;2.0;2093.0;55.9;56.0;31.0;38;2;98;48.3;;;;;
71;Timothy Castagne;DF;Leicester City;25;27.0;22;2127.0;23.6;1.0;0.0;1.0;0.0;197640fd;Timothy CastagneDFLeicester City;7;3;42.9;1077.0;1330.0;81.0;27.0;67.0;31;62.8;28.0;9.0;19.0;29;96.0;54.0;1.0;1600.0;31.6;27.0;11.0;15;1;40;50.6;;;;;
72;Jonny Castro;DF;Wolves;27;13.0;10;1024.0;11.4;2.0;0.0;1.0;0.0;e28868f3;Jonny CastroDFWolves;10;5;50.0;509.0;610.0;83.4;27.0;25.0;15;55.0;14.0;3.0;11.0;13;38.0;11.0;0.0;735.0;56.0;21.0;20.0;10;0;14;61.1;;;;;
73;Craig Cathcart;DF;Watford;32;31.0;27;2396.0;26.6;0.0;1.0;3.0;0.0;89e4b358;Craig CathcartDFWatford;3;0;0.0;767.0;953.0;80.5;6.0;32.0;15;53.3;39.0;29.0;10.0;28;60.0;132.0;3.0;1209.0;0.0;6.0;2.0;13;0;4;58.5;;;;;
74;Edinson Cavani;FW;Manchester Utd;34;15.0;7;766.0;8.5;2.0;1.0;0.0;0.0;527f063d;Edinson CavaniFWManchester Utd;18;6;33.3;176.0;233.0;75.5;11.0;4.0;1;25.0;6.0;0.0;6.0;2;6.0;8.0;0.0;298.0;80.0;12.0;4.0;7;6;2;29.2;;;;;
75;Kayky Chagas;FW;Manchester City;18;1.0;0;7.0;0.1;0.0;0.0;0.0;0.0;17734ea0;Kayky ChagasFWManchester City;0;0;;2.0;2.0;100.0;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;3.0;;1.0;0.0;1;0;0;;;;;;
76;Trevoh Chalobah;DF;Chelsea;22;20.0;17;1449.0;16.1;3.0;1.0;2.0;0.0;5515376c;Trevoh ChalobahDFChelsea;9;7;77.8;1158.0;1283.0;90.3;14.0;40.0;27;77.4;16.0;6.0;10.0;19;59.0;43.0;2.0;1442.0;83.3;10.0;7.0;19;0;4;53.3;;;;;
77;Calum Chambers;DF;Arsenal;26;2.0;2;170.0;1.9;0.0;0.0;0.0;0.0;dc6f5bdd;Calum ChambersDFArsenal;2;0;0.0;77.0;97.0;79.4;1.0;5.0;3;75.0;6.0;3.0;3.0;0;5.0;10.0;0.0;123.0;;1.0;1.0;2;0;3;66.7;;;;;
78;Calum Chambers;DF;Aston Villa;26;11.0;9;831.0;9.2;1.0;0.0;1.0;0.0;dc6f5bdd;Calum ChambersDFAston Villa;3;1;33.3;399.0;483.0;82.6;11.0;16.0;8;66.7;14.0;8.0;6.0;5;21.0;42.0;0.0;573.0;0.0;3.0;1.0;12;0;2;51.0;;;;;
79;Daniel Chesters;MF;West Ham;19;1.0;0;1.0;0.0;0.0;0.0;0.0;0.0;240c8ab6;Daniel ChestersMFWest Ham;0;0;;0.0;0.0;;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;;0.0;0.0;0;0;0;;;;;;
80;Ben Chilwell;DM;Chelsea;24;7.0;6;542.0;6.0;3.0;1.0;0.0;0.0;d2424d1b;Ben ChilwellDFChelsea;13;6;46.2;268.0;347.0;77.2;18.0;8.0;3;40.0;7.0;0.0;7.0;4;12.0;14.0;1.0;420.0;50.0;13.0;3.0;10;2;32;41.2;;;;Ben Chilwell;1.0
81;Chiquinho;MF;Wolves;21;8.0;1;208.0;2.3;0.0;3.0;0.0;0.0;dc6c2f02;ChiquinhoDFFWWolves;5;2;40.0;70.0;108.0;64.8;10.0;9.0;6;80.0;5.0;0.0;5.0;2;11.0;1.0;0.0;147.0;58.8;9.0;6.0;9;0;25;44.4;;;;;
82;Hamza Choudhury;DM;Leicester City;23;6.0;4;285.0;3.2;0.0;0.0;1.0;0.0;7d2d3329;Hamza ChoudhuryDFMFLeicester City;1;0;0.0;128.0;156.0;82.1;3.0;9.0;3;60.0;0.0;0.0;0.0;12;21.0;10.0;0.0;206.0;66.7;8.0;2.0;4;0;0;83.3;;;;Hamza Choudhury;1.0
83;Andreas Christensen;DF;Chelsea;25;19.0;17;1496.0;16.6;0.0;0.0;2.0;0.0;1cb49278;Andreas ChristensenDFChelsea;5;0;0.0;1201.0;1336.0;89.9;9.0;14.0;8;57.1;14.0;6.0;8.0;29;43.0;57.0;1.0;1477.0;100.0;3.0;1.0;11;0;1;55.8;;;;;
84;Carney Chukwuemeka;MF;Aston Villa;17;12.0;2;301.0;3.3;0.0;1.0;0.0;0.0;b2f9c73e;Carney ChukwuemekaMFFWAston Villa;4;1;25.0;98.0;121.0;81.0;5.0;7.0;1;60.0;3.0;0.0;3.0;1;8.0;2.0;1.0;167.0;60.0;9.0;6.0;3;0;0;43.8;;;;;
85;Ciaran Clark;DF;Newcastle Utd;31;13.0;12;1014.0;11.3;0.0;1.0;2.0;1.0;2b91cf8e;Ciaran ClarkDFNewcastle Utd;7;1;14.3;290.0;370.0;78.4;8.0;13.0;10;64.3;14.0;11.0;3.0;13;26.0;43.0;1.0;464.0;80.0;3.0;2.0;6;1;1;63.4;;;;;
86;Tom Cleverley;MF;Watford;31;28.0;20;1616.0;18.0;0.0;2.0;2.0;0.0;6cdd8245;Tom CleverleyMFWatford;12;7;58.3;479.0;658.0;72.8;36.0;37.0;20;54.5;23.0;6.0;17.0;18;55.0;19.0;3.0;803.0;50.0;16.0;16.0;28;2;54;32.6;;;;;
87;Nathaniel Clyne;DF;Crystal Palace;30;16.0;15;1351.0;15.0;0.0;1.0;1.0;0.0;0442183b;Nathaniel ClyneDFCrystal Palace;3;2;66.7;561.0;727.0;77.2;12.0;21.0;10;50.0;7.0;2.0;5.0;15;36.0;32.0;0.0;827.0;66.7;10.0;4.0;3;0;17;58.8;;;;;
88;Conor Coady;DF;Wolves;28;38.0;38;3361.0;37.3;4.0;0.0;4.0;0.0;2928dca2;Conor CoadyDFWolves;12;4;33.3;1514.0;1692.0;89.5;8.0;31.0;14;57.1;46.0;40.0;6.0;28;59.0;140.0;0.0;1971.0;100.0;6.0;1.0;20;2;2;57.1;;;;;
89;Séamus Coleman;DF;Everton;32;30.0;30;2656.0;29.5;1.0;0.0;4.0;0.0;0420d84f;Séamus ColemanDFEverton;8;1;12.5;914.0;1255.0;72.8;47.0;61.0;36;64.7;30.0;11.0;19.0;32;93.0;80.0;2.0;1549.0;69.4;30.0;20.0;14;2;41;52.1;;;;;
90;Nathan Collins;DF;Burnley;20;19.0;18;1670.0;18.6;2.0;0.0;2.0;1.0;a8c19eb8;Nathan CollinsDFBurnley;15;5;33.3;448.0;652.0;68.7;18.0;37.0;15;63.0;38.0;25.0;13.0;24;61.0;83.0;2.0;882.0;62.5;10.0;4.0;20;4;3;64.8;;;;;
91;Aaron Connolly;MF;Brighton;21;4.0;1;156.0;1.7;0.0;0.0;0.0;0.0;27c01749;Aaron ConnollyFWMFBrighton;2;0;0.0;14.0;19.0;73.7;2.0;0.0;0;0.0;2.0;0.0;2.0;0;0.0;0.0;0.0;33.0;0.0;2.0;2.0;0;0;0;28.6;;;;;
92;Liam Cooper;DF;Leeds United;29;21.0;21;1814.0;20.2;0.0;1.0;5.0;0.0;dc64b8b3;Liam CooperDFLeeds United;6;1;16.7;981.0;1183.0;82.9;13.0;41.0;23;69.7;29.0;18.0;11.0;43;84.0;72.0;2.0;1405.0;75.0;9.0;1.0;19;2;1;65.1;;;;;
93;Jack Cork;MF;Burnley;32;20.0;20;1670.0;18.6;1.0;0.0;4.0;0.0;74e12f1e;Jack CorkMFBurnley;7;1;14.3;423.0;577.0;73.3;11.0;20.0;6;35.0;17.0;4.0;13.0;17;37.0;29.0;1.0;740.0;53.8;18.0;20.0;31;1;8;55.3;;;;;
94;Maxwel Cornet;MF;Burnley;24;26.0;21;1766.0;19.6;9.0;1.0;2.0;0.0;beb391dd;Maxwel CornetFWMFBurnley;46;22;47.8;281.0;437.0;64.3;34.0;16.0;9;46.7;13.0;4.0;9.0;10;26.0;14.0;0.0;664.0;34.2;61.0;33.0;20;26;55;34.8;;;;;
95;Hélder Costa;MF;Leeds United;27;1.0;0;22.0;0.2;0.0;0.0;0.0;0.0;f13d02a6;Hélder CostaMFLeeds United;1;0;0.0;5.0;5.0;100.0;1.0;0.0;0;;1.0;0.0;1.0;0;0.0;0.0;0.0;9.0;;1.0;0.0;1;0;0;0.0;;;;;
96;Vladimír Coufal;DF;West Ham;28;28.0;25;2209.0;24.5;0.0;4.0;5.0;1.0;fdf3cb77;Vladimír CoufalDFWest Ham;11;4;36.4;990.0;1439.0;68.8;51.0;45.0;25;50.0;31.0;9.0;22.0;22;67.0;64.0;1.0;1681.0;65.2;30.0;15.0;29;2;107;49.3;;;;;
97;Philippe Coutinho;MF;Aston Villa;29;19.0;16;1329.0;14.8;5.0;3.0;0.0;0.0;0ef89a37;Philippe CoutinhoMFFWAston Villa;43;16;37.2;531.0;655.0;81.1;62.0;17.0;12;28.6;11.0;1.0;10.0;7;24.0;4.0;0.0;815.0;48.8;35.0;20.0;8;4;18;22.7;;;;;
98;Aaron Cresswell;DF;West Ham;31;31.0;31;2726.0;30.3;2.0;3.0;3.0;0.0;4f974391;Aaron CresswellDFWest Ham;18;3;16.7;1656.0;2096.0;79.0;53.0;28.0;18;52.0;31.0;18.0;13.0;35;63.0;66.0;0.0;2312.0;47.1;14.0;4.0;14;2;145;57.1;;;;;
99;Charlie Cresswell;DF;Leeds United;18;5.0;1;141.0;1.6;0.0;0.0;1.0;0.0;4654e5f5;Charlie CresswellDFLeeds United;1;0;0.0;75.0;106.0;70.8;2.0;5.0;2;100.0;1.0;1.0;0.0;2;7.0;6.0;0.0;124.0;;1.0;0.0;3;1;1;66.7;;;;;
100;Cucho;MF;Watford;22;25.0;11;1147.0;12.7;5.0;2.0;3.0;0.0;71b47ab9;CuchoFWMFWatford;34;10;29.4;239.0;394.0;60.7;44.0;13.0;5;18.5;13.0;1.0;12.0;5;18.0;9.0;0.0;545.0;46.2;23.0;14.0;13;1;52;37.8;;;;;
101;Marc Cucurella;DF;Brighton;23;35.0;35;3089.0;34.3;1.0;1.0;6.0;0.0;1daec722;Marc CucurellaDFBrighton;18;3;16.7;1890.0;2356.0;80.2;101.0;93.0;62;62.0;42.0;14.0;28.0;30;123.0;74.0;0.0;2717.0;50.9;40.0;15.0;28;3;115;52.6;;;;;
102;Luke Cundle;MF;Wolves;19;4.0;2;180.0;2.0;0.0;0.0;0.0;0.0;cc3b8e78;Luke CundleMFWolves;0;0;;96.0;105.0;91.4;3.0;4.0;3;100.0;0.0;0.0;0.0;1;5.0;1.0;0.0;116.0;0.0;2.0;1.0;3;0;2;0.0;;;;;
103;Patson Daka;FW;Leicester City;22;23.0;13;1159.0;12.9;5.0;3.0;2.0;0.0;ca45605e;Patson DakaFWLeicester City;26;15;57.7;165.0;223.0;74.0;30.0;15.0;10;10.5;7.0;0.0;7.0;2;17.0;8.0;0.0;370.0;18.8;42.0;18.0;17;7;1;27.9;;;;;
104;Stuart Dallas;MF;Leeds United;30;34.0;34;2919.0;32.4;1.0;1.0;5.0;0.0;67ca8566;Stuart DallasDFMFLeeds United;30;8;26.7;1306.0;1685.0;77.5;74.0;93.0;55;53.3;45.0;14.0;31.0;57;150.0;63.0;2.0;2056.0;67.4;39.0;25.0;33;2;101;48.5;;;;;
105;Diogo Dalot;DF;Manchester Utd;22;24.0;19;1801.0;20.0;0.0;0.0;4.0;0.0;d9565625;Diogo DalotDFManchester Utd;13;4;30.8;934.0;1193.0;78.3;42.0;55.0;41;54.4;24.0;13.0;11.0;29;84.0;59.0;0.0;1422.0;68.0;25.0;8.0;18;1;58;63.0;;;;;
106;Karl Darlow;GK;Newcastle Utd;30;8.0;8;720.0;8.0;0.0;0.0;1.0;0.0;cde3309f;Karl DarlowGKNewcastle Utd;0;0;;155.0;250.0;62.0;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;5.0;1.0;266.0;;0.0;0.0;1;0;0;100.0;64.9;0.0;4.7;;
107;Josh Dasilva;MF;Brentford;22;9.0;2;257.0;2.9;0.0;0.0;0.0;1.0;60344e4f;Josh DasilvaMFFWBrentford;1;0;0.0;75.0;93.0;80.6;8.0;2.0;1;50.0;3.0;0.0;3.0;1;3.0;7.0;0.0;123.0;63.6;5.0;5.0;4;0;4;75.0;;;;;
108;Ben Davies;DF;Tottenham;28;29.0;28;2538.0;28.2;1.0;1.0;6.0;0.0;44781702;Ben DaviesDFTottenham;18;7;38.9;1391.0;1648.0;84.4;30.0;36.0;21;50.0;32.0;19.0;13.0;30;66.0;75.0;1.0;1888.0;63.6;22.0;10.0;31;5;19;56.3;;;;;
109;Tom Davies;MF;Everton;23;6.0;2;234.0;2.6;1.0;0.0;1.0;0.0;9228b07c;Tom DaviesMFEverton;6;2;33.3;60.0;82.0;73.2;5.0;3.0;1;40.0;2.0;1.0;1.0;2;5.0;9.0;0.0;124.0;66.7;6.0;1.0;4;0;0;60.0;;;;;
110;Keinan Davis;FW;Aston Villa;23;1.0;0;12.0;0.1;0.0;0.0;0.0;0.0;9deaf2c8;Keinan DavisFWAston Villa;0;0;;3.0;3.0;100.0;1.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;5.0;;2.0;1.0;0;0;0;0.0;;;;;
111;Craig Dawson;DF;West Ham;31;34.0;30;2754.0;30.6;2.0;2.0;5.0;1.0;3e9e06cb;Craig DawsonDFWest Ham;25;5;20.0;1035.0;1285.0;80.5;18.0;29.0;17;56.0;59.0;52.0;7.0;29;58.0;139.0;0.0;1606.0;100.0;10.0;5.0;39;1;1;62.8;;;;;
112;Kevin De Bruyne;MF;Manchester City;30;30.0;25;2201.0;24.5;15.0;8.0;2.0;0.0;e46012d4;Kevin De BruyneMFManchester City;78;31;39.7;1170.0;1568.0;74.6;152.0;32.0;16;32.4;32.0;2.0;30.0;6;38.0;16.0;0.0;1821.0;56.4;40.0;20.0;21;4;180;37.9;;;;;
113;Troy Deeney;FW;Watford;33;2.0;0;25.0;0.3;0.0;0.0;0.0;0.0;82e34b69;Troy DeeneyFWWatford;2;0;0.0;3.0;7.0;42.9;1.0;0.0;0;0.0;0.0;0.0;0.0;0;0.0;2.0;0.0;12.0;;1.0;0.0;0;0;0;66.7;;;;;
114;Liam Delap;FW;Manchester City;18;1.0;0;10.0;0.1;0.0;0.0;0.0;0.0;dd897ee7;Liam DelapFWManchester City;0;0;;1.0;1.0;100.0;1.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;1.0;;0.0;0.0;1;0;0;;;;;;
115;Fabian Delph;MF;Everton;31;11.0;8;662.0;7.4;0.0;0.0;2.0;0.0;111c3236;Fabian DelphMFEverton;2;0;0.0;259.0;309.0;83.8;6.0;18.0;15;38.1;12.0;5.0;7.0;14;32.0;10.0;0.0;382.0;71.4;8.0;0.0;8;0;1;55.6;;;;;
116;Leander Dendoncker;MF;Wolves;26;30.0;21;1950.0;21.7;2.0;2.0;4.0;0.0;5a7301ae;Leander DendonckerMFWolves;23;10;43.5;709.0;822.0;86.3;27.0;42.0;17;44.0;37.0;10.0;27.0;9;51.0;38.0;1.0;1024.0;50.0;25.0;9.0;13;0;5;47.6;;;;;
117;Emmanuel Dennis;MF;Watford;23;33.0;30;2581.0;28.7;10.0;6.0;9.0;1.0;2c44a35d;Emmanuel DennisFWMFWatford;60;26;43.3;411.0;628.0;65.4;85.0;51.0;35;32.7;36.0;2.0;34.0;15;66.0;13.0;0.0;1078.0;43.6;107.0;63.0;59;12;39;36.6;;;;;
