Player,Pos,Squad,Age,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,-9999
Francesco Caputo,FW,Sassuolo,33,1,0,0,0,3,0,0,0,0,0,0,0,2,2,1,66.7,5bd72174
Andrea Carboni,DF,Cagliari,20,6,0,0,18,9,0,25,27,24,0,0,1,110,41,38,51.9,f7e2af2c
Nicolò Casale,DF,Hellas Verona,23,10,0,0,43,24,0,15,49,30,0,0,0,197,69,61,53.1,3f5f38fb
Francesco Cassata,MF,Genoa,24,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,,96960855
Samu Castillejo,FWMF,Milan,26,1,0,0,2,2,0,8,2,2,1,0,0,5,2,2,50.0,130a7a3f
Gaetano Castrovilli,MF,Fiorentina,24,4,0,0,21,36,1,40,11,17,0,0,0,85,8,12,40.0,0728bebe
Danilo Cataldi,MF,Lazio,26,8,0,0,18,19,0,66,17,17,0,1,0,165,6,7,46.2,ba3d3bea
Pietro Ceccaroni,DF,Venezia,25,7,1,0,26,26,0,12,30,31,0,3,0,194,38,31,55.1,4d1efb48
Federico Ceccherini,DF,Hellas Verona,29,12,1,1,57,25,3,5,50,16,0,0,0,175,62,49,55.9,d9624b51
Emil Ceide,FWMF,Sassuolo,19,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,66.7,98a84572
Luca Ceppitelli,DF,Cagliari,31,3,0,0,18,12,1,7,25,12,0,0,0,87,40,22,64.5,7d50454d
Damir Ceter,FW,Cagliari,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,eade5337
Julian Chabot,DF,Sampdoria,23,5,0,0,10,11,0,1,9,10,0,0,0,32,20,11,64.5,ae7058f9
Giorgio Chiellini,DF,Juventus,36,2,0,0,15,22,2,1,22,13,0,0,0,78,37,21,63.8,e85fb9b8
Federico Chiesa,MFFW,Juventus,23,0,0,0,9,16,1,32,4,19,1,0,0,47,0,8,0.0,b0f7e36c
Vlad Chiricheș,DF,Sassuolo,31,4,0,0,28,13,1,0,41,15,0,3,0,165,34,53,39.1,c316607a
Riccardo Ciervo,MFDF,Sampdoria,19,0,0,0,3,1,0,9,2,3,0,0,0,17,0,3,0.0,da77b60b
Moustapha Cissé,FW,Atalanta,17,0,0,0,2,1,2,0,0,0,0,0,0,1,4,2,66.7,ee3c4b3f
Giorgio Cittadini,DF,Atalanta,19,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,,e4ba67f2
Ebrima Colley,FWMF,Spezia,21,1,0,0,10,12,2,18,3,1,0,0,0,15,2,5,28.6,bf356094
Omar Colley,DF,Sampdoria,28,6,1,0,25,31,1,1,80,36,0,1,0,182,56,38,59.6,8b95acda
Andrea Consigli,GK,Sassuolo,34,2,0,0,2,7,0,0,0,0,0,2,0,41,7,1,87.5,8cabdc1e
Andrea Conti,DFMF,Sampdoria,27,1,0,0,5,4,0,0,7,2,0,0,0,5,0,3,0.0,8fef5412
Andrea Conti,DF,Milan,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,8fef5412
Diego Coppola,DF,Hellas Verona,17,0,0,0,2,1,0,0,4,4,0,0,0,18,11,4,73.3,22ae86f9
Joaquín Correa,FW,Inter,26,2,0,0,15,16,1,1,3,5,0,0,0,32,8,11,42.1,45b9b619
Lassana Coulibaly,MF,Salernitana,25,3,0,0,34,49,0,13,22,32,0,0,0,171,22,23,48.9,85a44ecc
Mamadou Coulibaly,MF,Salernitana,22,1,0,0,16,9,0,8,11,12,1,0,0,74,9,8,52.9,c976160c
Alessio Cragno,GK,Cagliari,27,3,0,0,1,8,0,0,1,3,0,1,0,39,3,3,50.0,f554e29b
Domenico Criscito,DF,Genoa,34,4,0,0,21,27,0,50,39,21,0,0,0,126,18,17,51.4,35dd6d80
Bryan Cristante,MF,Roma,26,9,0,0,40,14,1,14,40,39,0,1,1,190,87,61,58.8,16657b95
Domen Črnigoj,MF,Venezia,25,3,0,0,26,12,1,30,24,13,0,1,0,106,25,43,36.8,22cd43d2
Giovanni Crociata,FW,Empoli,23,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,8c964914
Juan Cuadrado,DFMF,Juventus,33,9,0,0,19,52,1,134,29,23,0,0,0,162,20,14,58.8,0ab1f153
Mickaël Cuisance,MF,Venezia,21,2,0,0,12,9,1,18,12,9,0,1,0,57,9,9,50.0,5722eced
Patrick Cutrone,FW,Empoli,23,1,0,0,13,16,20,21,5,2,1,0,0,40,9,30,23.1,a4fe8cda
Danilo D'Ambrosio,DF,Inter,32,2,0,0,13,5,1,7,8,15,0,0,0,63,18,16,52.9,44eb9093
Mikkel Damsgaard,MFFW,Sampdoria,21,1,0,0,10,8,0,5,7,13,0,0,0,41,7,5,58.3,215f3907
Danilo,DFMF,Juventus,30,6,0,0,19,11,0,13,32,26,0,0,0,121,37,24,60.7,94b2001f
Ebrima Darboe,MF,Roma,20,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,,cf043a33
Matteo Darmian,DF,Inter,31,4,0,0,23,18,0,37,19,16,1,0,0,54,18,5,78.3,96e0490d
Paweł Dawidowicz,DF,Hellas Verona,26,3,0,0,26,14,0,6,21,18,0,1,0,70,22,25,46.8,16bb656a
Sebastien De Maio,DF,Udinese,34,0,0,0,3,0,0,0,1,1,0,0,0,16,2,3,40.0,952a03fe
Tommaso De Nipoti,FW,Atalanta,18,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,100.0,7f9d956a
Mattia De Sciglio,DF,Juventus,28,2,1,0,15,7,0,52,10,12,0,1,0,75,16,8,66.7,ae4e2852
Lorenzo De Silvestri,DF,Bologna,33,7,0,0,28,28,3,57,26,14,1,0,0,97,75,46,62.0,e74f0e59
Grégoire Defrel,FW,Sassuolo,30,3,0,0,16,18,3,1,4,9,0,0,0,43,9,36,20.0,854ee61a
Alessandro Deiola,MF,Cagliari,25,5,0,0,45,21,1,12,26,22,0,0,0,149,40,42,48.8,7f267d66
Filippo Delli Carri,DF,Salernitana,22,1,0,0,2,2,0,3,4,4,0,0,0,18,4,3,57.1,d2e8fd9b
Merih Demiral,DF,Atalanta,23,8,0,0,29,16,3,0,58,17,0,1,0,122,85,37,69.7,e3cceee6
Diego Demme,MF,Napoli,29,4,0,0,28,8,0,7,9,12,0,0,0,52,4,5,44.4,dc3fa3b5
