Player,Pos,Squad,Age,90s,Sh,SoT,SoT%,-9999
Douglas Costa,MFFW,Juventus,29,0.5,0,0,,4fa7cb9b
Angelo da Costa Júnior,GK,Bologna,36,6.0,0,0,,18736214
Mamadou Coulibaly,MF,Udinese,21,2.0,2,0,0.0,c976160c
Alessio Cragno,GK,Cagliari,26,34.0,0,0,,f554e29b
Gian Crespi,GK,Crotone,19,1.0,0,0,,4dea2f2c
Domenico Criscito,DF,Genoa,33,19.2,5,1,20.0,35dd6d80
Bryan Cristante,DFMF,Roma,25,23.9,28,8,28.6,16657b95
Giovanni Crociata,DF,Crotone,22,0.3,0,0,,8c964914
Juan Cuadrado,DFMF,Juventus,32,24.2,18,6,33.3,0ab1f153
Giuseppe Cuomo,DF,Crotone,22,8.9,2,0,0.0,ae5b04fe
Patrick Cutrone,FW,Fiorentina,22,2.2,3,1,33.3,a4fe8cda
Wylan Cyprien,MF,Parma,25,4.6,6,1,16.7,3e092724
Lennart-Marten Czyborra,DF,Genoa,21,13.0,5,2,40.0,7ba1f1ef
Danilo D'Ambrosio,DF,Inter,31,7.8,8,6,75.0,44eb9093
Bryan Dabo,MF,Benevento,28,12.4,12,2,16.7,c53083ad
Diogo Dalot,DF,Milan,21,12.1,10,5,50.0,d9565625
Mikkel Damsgaard,MFFW,Sampdoria,20,19.7,25,8,32.0,215f3907
Danilo,DFMF,Juventus,29,32.4,19,2,10.5,94b2001f
Andrea Danzi,DF,Hellas Verona,21,1.2,1,0,0.0,263b855a
Ebrima Darboe,MF,Roma,19,3.6,3,0,0.0,cf043a33
Matteo Darmian,DF,Inter,30,12.9,9,4,44.4,96e0490d
Matteo Darmian,DF,Parma,30,2.3,0,0,,96e0490d
Paweł Dawidowicz,DF,Hellas Verona,25,20.7,15,4,26.7,16bb656a
Sebastien De Maio,DF,Udinese,33,9.5,6,1,16.7,952a03fe
Rodrigo De Paul,MF,Udinese,26,35.6,79,19,24.1,162efffd
Mattia De Sciglio,DF,Juventus,27,0.3,1,0,0.0,ae4e2852
Lorenzo De Silvestri,DF,Bologna,32,23.8,11,6,54.5,e74f0e59
Grégoire Defrel,MFFW,Sassuolo,29,14.8,22,9,40.9,854ee61a
Alessandro Deiola,MF,Spezia,24,4.0,5,1,20.0,7f267d66
Alessandro Deiola,MF,Cagliari,24,6.8,6,1,16.7,7f267d66
Lorenzo Del Pinto,MF,Benevento,30,0.1,0,0,,081b6080
Cristian Dell'Orco,DF,Spezia,26,2.9,1,0,0.0,b0243215
Merih Demiral,DF,Juventus,22,10.4,6,2,33.3,e3cceee6
Diego Demme,MF,Napoli,28,17.7,14,6,42.9,dc3fa3b5
Stefano Denswil,DF,Bologna,27,1.3,0,0,,5832ebfe
Fabio Depaoli,DF,Benevento,23,12.4,8,2,25.0,d97f2e8d
Fabio Depaoli,MF,Sampdoria,23,0.9,2,1,50.0,d97f2e8d
Fabio Depaoli,DF,Atalanta,23,2.1,0,0,,d97f2e8d
Kastriot Dermaku,DFMF,Parma,28,1.1,0,0,,2990c466
Kiril Despodov,FW,Cagliari,23,0.1,0,0,,13c8e5f6
Mattia Destro,FW,Genoa,29,17.8,37,22,59.5,d7d32194
Gerard Deulofeu,FWMF,Udinese,26,6.6,17,9,52.9,39583cfd
Jacopo Dezi,FWMF,Parma,28,0.9,1,0,0.0,e921b9db
Samuel Di Carmine,FW,Hellas Verona,31,5.6,9,2,22.2,ef94dc2f
Samuel Di Carmine,FW,Crotone,31,5.3,6,1,16.7,ef94dc2f
Giovanni Di Lorenzo,DF,Napoli,26,36.0,28,12,42.9,230a2fac
Alessandro Di Pardo,FWDF,Juventus,21,0.2,0,0,,e0ce7038
Giuseppe Di Serio,FWMF,Benevento,19,3.2,4,2,50.0,5048486b
Amad Diallo,MF,Atalanta,18,0.2,1,0,0.0,9dc96f10
Amadou Diambo,FW,Benevento,19,0.0,0,0,,c3a847c7
Amadou Diawara,MF,Roma,23,7.3,7,4,57.1,bf309d24
Brahim Díaz,MFFW,Milan,20,13.6,26,8,30.8,407feb71
Daan Dierckx,DF,Parma,17,5.2,0,0,,3a35db3d
Mitchell Dijks,DF,Bologna,27,16.5,2,0,0.0,0a3065c8
Federico Dimarco,DF,Hellas Verona,22,29.0,38,12,31.6,970b8574
Koffi Djidji,DF,Crotone,27,16.9,4,2,50.0,933d3b51
Berat Djimsiti,DF,Atalanta,27,29.2,20,1,5.0,6eee05f1
Nicolás Domínguez,MF,Bologna,22,13.9,18,5,27.8,20b3a502
Gianluigi Donnarumma,GK,Milan,21,37.0,0,0,,08f5afaa
Bartłomiej Drągowski,GK,Fiorentina,22,35.0,0,0,,085e71a7
Denis Drăguș,FWMF,Crotone,21,2.0,4,0,0.0,0e490f6e
Radu Drăgușin,DF,Juventus,18,0.0,0,0,,620922ed
Léo Duarte,DF,Milan,24,0.2,0,0,,73ddc40c
Alfred Duncan,MF,Fiorentina,27,1.8,1,0,0.0,528492ea
Alfred Duncan,MF,Cagliari,27,11.9,7,0,0.0,528492ea
