Player,Pos,Squad,Age,Att,Succ,Succ%,Mis,Dis,-9999
Karim Azamoum,DF,Troyes,31,3,1,33.3,3,2,eaf71a5e
Loïc Bade,DF,Rennes,21,5,4,80.0,4,1,114bbdee
Benoît Badiashile,DF,Monaco,20,4,2,50.0,7,5,06df8256
Youssouph Badji,FWMF,Brest,19,0,0,,4,1,6a2b9aee
Stéphane Bahoken,FW,Angers,29,14,7,50.0,40,17,5046b7d4
Dénys Bain,DF,Brest,28,0,0,,0,0,5065d67d
Stefan Bajic,GK,Saint-Étienne,19,0,0,,0,0,be13e5a8
Cédric Bakambu,FW,Marseille,30,2,1,50.0,10,1,0af4dcf0
Abdoulaye Bakayoko,DF,Saint-Étienne,18,5,4,80.0,6,2,ee95585f
Dilane Bakwa,FWMF,Bordeaux,18,3,1,33.3,1,1,2b5a35e5
Ibrahima Baldé,FWMF,Lens,18,2,0,0.0,3,0,a30cb0d4
Leonardo Balerdi,DF,Marseille,22,13,11,84.6,8,6,7c3ed041
Abdoulaye Bamba,DFFW,Angers,31,1,0,0.0,10,1,7fecbcdb
Jonathan Bamba,MFFW,Lille,25,103,34,33.0,76,57,b2bd0f6c
Simon Banza,FW,Lens,24,6,4,66.7,2,3,be47b750
Danilo Barbosa,DF,Nice,25,0,0,,4,0,0557ff4f
Bradley Barcola,FWMF,Lyon,18,8,2,25.0,6,3,a0d55a09
Melvin Bard,DF,Nice,20,37,22,59.5,41,17,1ddbc7ca
Toma Bašić,MF,Bordeaux,24,4,1,25.0,4,0,80556f08
Amine Bassi,MFFW,Metz,23,4,3,75.0,5,3,ced1d98f
Paul Baysse,MFDF,Bordeaux,33,0,0,,0,0,2515040a
Youcef Belaïli,MFFW,Brest,29,49,24,49.0,21,16,1a248246
Haris Belkebla,MF,Brest,27,41,30,73.2,33,18,2b1bed19
Jean-Ricner Bellegarde,MF,Strasbourg,23,63,38,60.3,60,33,10f0fdd3
Jeanöel Belocian,DF,Rennes,16,0,0,,0,0,c678ddd7
Hatem Ben Arfa,FWMF,Lille,34,15,7,46.7,12,10,74dc806c
Salim Ben Seghir,MF,Marseille,18,0,0,,0,0,1f6298f2
Wissam Ben Yedder,FW,Monaco,30,57,25,43.9,62,45,942b4f90
Darío Benedetto,FWMF,Marseille,31,2,0,0.0,1,0,bef0a7ac
Walter Benítez,GK,Nice,28,0,0,,0,0,8a2248b4
Loris Benito,DF,Bordeaux,29,0,0,,1,1,f5b6fb78
Nabil Bentaleb,MF,Angers,26,31,20,64.5,33,9,3189f61a
Patrick Berg,MF,Lens,23,1,0,0.0,2,0,e4114f5d
Mitchell van Bergen,FWMF,Reims,21,23,14,60.9,35,7,0b2c9aec
Valon Berisha,MFFW,Reims,28,5,3,60.0,11,7,d5575935
Paul Bernardoni,GK,Angers,24,0,0,,1,0,28dabd43
Paul Bernardoni,GK,Saint-Étienne,24,0,0,,0,0,28dabd43
Juan Bernat,DFMF,Paris S-G,28,23,14,60.9,7,5,433dc9a2
Dimitry Bertaud,GK,Montpellier,23,0,0,,0,0,380a15e2
Jason Berthomier,MF,Clermont Foot,31,31,22,71.0,38,18,03e91055
Giulian Biancone,DFMF,Troyes,21,27,12,44.4,30,10,de40e38c
El Bilal Touré,FW,Reims,19,19,8,42.1,31,13,47c609d5
Jean-Claude Billong,DF,Clermont Foot,27,3,2,66.7,4,1,a3e1d20d
Nathan Bitu Mazala,DF,Paris S-G,18,1,0,0.0,0,0,0f697e02
Marco Bizot,GK,Brest,30,0,0,,0,0,3d214e5f
Ludovic Blas,MFFW,Nantes,23,148,60,40.5,96,79,6191093d
Myron Boadu,FW,Monaco,20,16,8,50.0,46,12,5b479568
Jérôme Boateng,DF,Lyon,32,4,2,50.0,4,0,2db2fd7b
Antonin Bobichon,MFFW,Angers,25,1,0,0.0,0,1,7d937aa1
Quentin Boisgard,MFFW,Lorient,24,23,11,47.8,33,20,f6496133
Charles Boli,MFDF,Lens,22,0,0,,0,0,bbdd999a
Sven Botman,DF,Lille,21,5,5,100.0,9,2,ccce7025
