Player,Pos,Squad,Age,Att,Succ,Succ%,Mis,Dis,-9999
Dion Lopy,MF,Reims,19,30,18,60.0,38,27,64c14d49
Samuel Loric,DF,Lorient,21,11,3,27.3,5,1,9004f318
Jordan Lotomba,DF,Nice,22,41,22,53.7,30,17,fc4cf6a7
Johaneko Louisjean,DF,Bordeaux,17,0,0,,1,1,9af3613f
Jean Lucas,MF,Monaco,23,43,28,65.1,45,24,a99138af
Castello Lukeba,DF,Lyon,18,14,13,92.9,16,6,5b9512c5
Levi Lumeka,MFFW,Troyes,22,3,2,66.7,4,1,199ff86e
Yannis M'Bemba,DFFW,Nantes,20,0,0,,1,0,080de72a
Deiver Machado,DFMF,Lens,27,16,8,50.0,12,9,b3f8bdef
Yvann Macon,DF,Saint-Étienne,22,49,19,38.8,40,13,0bb6e193
Louis Mafouta,FW,Metz,27,4,2,50.0,23,6,bec3d251
Hugo Magnetti,MF,Brest,23,25,14,56.0,26,14,d4d35152
Yohann Magnin,MFDF,Clermont Foot,24,15,8,53.3,27,14,caa7aaea
Habib Maïga,MF,Metz,25,16,13,81.3,19,20,e768de1f
Josh Maja,FW,Bordeaux,22,0,0,,3,0,bc0bfc64
Abdul Majeed Waris,FWMF,Strasbourg,29,18,12,66.7,10,4,46907171
Lovro Majer,MFFW,Rennes,23,56,29,51.8,47,27,fc46aab1
Béni Makouana,FWMF,Montpellier,18,6,2,33.3,15,7,654f49ca
Hianga Mananga Mbock,MF,Brest,21,14,10,71.4,6,9,0f86995c
Vincent Manceau,DF,Angers,32,4,3,75.0,12,6,c26a3918
Steve Mandanda,GK,Marseille,36,0,0,,0,0,1d2d5cc8
Reinildo Mandava,DF,Lille,27,27,14,51.9,16,9,c20bdcd7
Anthony Mandrea,GK,Angers,24,0,0,,0,0,f7d3a773
Eliaquim Mangala,DF,Saint-Étienne,30,4,4,100.0,10,3,f520049f
Thomas Mangani,MF,Angers,34,8,4,50.0,21,13,c801616a
Ricardo Mangas,DF,Bordeaux,23,43,21,48.8,34,13,eef2d8ce
Myziane Maolida,MF,Nice,22,3,2,66.7,1,0,706a60e1
Sekou Mara,FWMF,Bordeaux,19,31,10,32.3,35,16,3544641e
Marcelo,DF,Bordeaux,34,2,2,100.0,8,1,e3d0b0c4
Marcelo,DF,Lyon,34,1,1,100.0,0,1,e3d0b0c4
Guillermo Maripán,DF,Monaco,27,5,4,80.0,10,1,d9764034
Marquinhos,DF,Paris S-G,27,6,4,66.7,10,4,d5f2f82b
Jonas Martin,MF,Rennes,31,11,8,72.7,18,10,468fdbad
Gelson Martins,MFFW,Monaco,26,113,62,54.9,77,23,3ef0fa48
Pape Matar Sarr,MF,Metz,18,55,30,54.5,46,25,feb5d972
Eliot Matazo,MF,Monaco,19,17,9,52.9,13,5,15944afd
Chrislain Matsima,DF,Monaco,19,0,0,,2,1,cf1ef7ec
Azor Matusiwa,MF,Reims,23,17,14,82.4,27,9,a17a94d6
Stephy Mavididi,FWMF,Montpellier,23,96,40,41.7,77,61,30144daa
Derek Mazou-Sacko,FWDF,Troyes,16,0,0,,0,0,810edef9
Kylian Mbappé,FW,Paris S-G,22,205,112,54.6,112,57,42fd9c7f
Amadou Mbengue,DFMF,Metz,19,6,2,33.3,5,2,14d2670e
Jason Mbock,FW,Angers,21,0,0,,0,1,890bc029
Moustapha Mbow,DF,Reims,21,1,1,100.0,0,0,3f3a2cba
Nathanael Mbuku,FWMF,Reims,19,42,26,61.9,37,25,46750e9c
Facundo Medina,DF,Lens,22,21,16,76.2,24,13,6f5ec8bb
Farid El Melali,FW,Angers,24,0,0,,0,1,d21e361a
Birger Meling,DF,Rennes,26,10,5,50.0,26,5,70c52749
Houboulang Mendes,DF,Lorient,23,38,13,34.2,43,8,1545cf15
Nuno Mendes,DF,Paris S-G,19,59,28,47.5,26,19,f20e4cc9
Pedro Mendes,DF,Montpellier,30,0,0,,0,0,6690ef25
Thiago Mendes,MFDF,Lyon,29,8,4,50.0,18,14,c6e5d20f
Arial Mendy,DFFW,Clermont Foot,26,20,5,25.0,16,4,9f0f4b49
Batista Mendy,MFDF,Angers,21,29,20,69.0,18,21,e472a6f6
Gideon Mensah,DF,Bordeaux,23,34,22,64.7,23,15,9bdd8118
Quentin Merlin,DFMF,Nantes,19,29,18,62.1,26,10,0bfca6a1
Lionel Messi,FWMF,Paris S-G,34,99,64,64.6,47,41,d70ce98e
Mexer,DF,Bordeaux,32,5,3,60.0,6,4,ce492295
Edouard Michut,MF,Paris S-G,18,1,0,0.0,1,1,fe6c1add
Georges Mikautadze,FW,Metz,20,0,0,,0,0,4788cb6b
William Mikelbrencis,DF,Metz,17,15,4,26.7,14,5,14df1d7f
Arkadiusz Milik,FW,Marseille,27,9,2,22.2,36,14,85613cf0
Terem Moffi,FW,Lorient,22,63,33,52.4,100,43,065dc209
Dion Moise Sahi,FWMF,Strasbourg,19,7,3,42.9,5,2,cdc4458b
Florent Mollet,FWMF,Montpellier,29,42,15,35.7,61,30,7e82a78f
Thomas Monconduit,MF,Lorient,30,44,26,59.1,32,13,84d94b91
Jérémy Morel,DF,Lorient,37,4,2,50.0,4,2,e97150c0
Lebo Mothiba,FWMF,Troyes,25,5,2,40.0,20,8,3eaf8817
Lebo Mothiba,FW,Strasbourg,25,0,0,,0,0,3eaf8817
Baptiste Mouazan,MF,Lorient,19,0,0,,2,0,81ac108d
Aimen Moueffek,MF,Saint-Étienne,20,18,8,44.4,13,6,2591b066
Harold Moukoudi,DF,Saint-Étienne,23,11,9,81.8,7,4,5f26e0c5
Jessy Moulin,GK,Troyes,35,0,0,,1,0,28a65a2c
Steve Mounié,FW,Brest,26,25,8,32.0,89,22,19ba6c6d
Samuel Moutoussamy,MF,Nantes,24,20,10,50.0,22,8,af0c835b
Marshall Munetsi,MFDF,Reims,25,18,8,44.4,43,10,2acf0cd7
Junior Mwanga,DF,Bordeaux,18,1,1,100.0,0,0,ee158be5
Kévin N'Doram,MF,Metz,25,10,5,50.0,14,7,e50623a0
Eric N'Jo,DF,Troyes,17,1,1,100.0,2,1,b85e57bb
Vital N'Simba,DF,Clermont Foot,28,62,43,69.4,49,40,249ac66d
Mickael Nade,DF,Saint-Étienne,22,15,10,66.7,14,10,a6b6fa6e
Paul Nardi,GK,Lorient,27,1,1,100.0,1,0,2d70dbe5
Keylor Navas,GK,Paris S-G,34,0,0,,0,0,ecada4fc
Papa Ndiaga Yade,DFFW,Metz,21,31,18,58.1,27,7,87e9c7cd
Tanguy Ndombele,MF,Lyon,24,24,16,66.7,20,12,5cdddffa
Dan Ndoye,FWMF,Nice,20,7,6,85.7,10,3,8e697a8f
Neymar,FWMF,Paris S-G,29,126,58,46.0,81,65,69384e5d
Yvan Neyou,MF,Saint-Étienne,24,11,7,63.6,10,8,0ad37003
Opa Nguette,FWMF,Metz,27,48,25,52.1,56,39,75a63397
Sikou Niakaté,DF,Metz,22,6,4,66.7,2,4,8eef18aa
Ibrahima Niane,FW,Metz,22,21,9,42.9,63,15,46faabfa
M'Baye Niang,FW,Bordeaux,26,15,5,33.3,38,15,2054d037
Cheikh Niasse,FWMF,Lille,21,1,0,0.0,1,3,ff20acfe
Casimir Ninga,FW,Angers,28,13,6,46.2,27,11,91f2da4c
Arnaud Nordin,FWMF,Saint-Étienne,23,60,27,45.0,66,29,7b9a9e25
Alexander Nübel,GK,Monaco,24,0,0,,1,0,afb0c500
Gerzino Nyamsi,DF,Strasbourg,24,7,6,85.7,19,7,6043997c
Florent Ogier,DF,Clermont Foot,32,4,3,75.0,9,0,6993927b
Warmed Omari,DF,Rennes,21,6,5,83.3,18,8,4534a352
Jonas Omlin,GK,Montpellier,27,1,1,100.0,1,1,c631f952
Amadou Onana,MF,Lille,19,21,13,61.9,18,9,828657ff
Jean Onana,MF,Bordeaux,21,23,17,73.9,45,21,b5bb8188
Otávio,MF,Bordeaux,27,10,6,60.0,9,3,243f4a0b
Dango Ouattara,MFFW,Lorient,19,20,8,40.0,19,9,2f9e4435
Remi Oudin,MFFW,Bordeaux,24,30,19,63.3,31,14,ea02beaf
Alexandre Oukidja,GK,Metz,33,0,0,,1,1,ae7d0ecd
Azzedine Ounahi,MF,Angers,21,56,26,46.4,52,33,83299cc0
Ambroise Oyongo,DF,Montpellier,30,4,4,100.0,11,4,e3e05edf
Vincent Pajot,MF,Metz,30,19,13,68.4,30,7,f86ca403
Nicolas Pallois,DF,Nantes,33,9,9,100.0,10,1,779847d6
Erik Palmer-Brown,DF,Troyes,24,7,4,57.1,9,5,e5c1e0ca
Emerson Palmieri,DF,Lyon,26,47,30,63.8,40,6,e0bc6fdc
Lucas Paquetá,MFFW,Lyon,23,118,81,68.6,111,78,9b6f7fd5
Rubén Pardo,MF,Bordeaux,28,0,0,,0,0,2306bfde
Leandro Paredes,MF,Paris S-G,27,7,6,85.7,5,2,dff153a4
Strahinja Pavlović,DF,Monaco,20,3,3,100.0,6,1,25146df0
Dimitri Payet,FWMF,Marseille,34,54,29,53.7,43,34,58ae47b2
Timothee Pembele,DF,Bordeaux,18,81,41,50.6,65,20,f8ce97ca
Brayann Pereira,DFMF,Lens,18,0,0,,0,0,5c42e7ce
Danilo Pereira,MF,Paris S-G,29,14,7,50.0,18,6,8fd9996f
Mathias Pereira Lage,DF,Angers,24,20,13,65.0,21,8,8846a40f
Luan Peres Petroni,DF,Marseille,27,18,13,72.2,26,12,a5549ec1
Lucas Perrin,DF,Strasbourg,22,10,6,60.0,15,5,49070d66
Danijel Petković,GK,Angers,28,0,0,,1,0,b98cea65
Léo Pétrot,DF,Lorient,24,2,1,50.0,9,2,00638016
Romain Philippoteaux,MF,Brest,33,0,0,,2,0,f98b15f0
Jérôme Phojo,DF,Clermont Foot,28,0,0,,0,0,ff44d058
Jérémy Pied,DFFW,Lille,32,0,0,,0,0,a634b9d2
Ronaël Pierre-Gabriel,DF,Brest,23,56,33,58.9,30,20,64ba07c0
Julian Pollersbeck,GK,Lyon,26,0,0,,0,0,d6f6ce93
Gaëtan Poussin,GK,Bordeaux,22,0,0,,1,0,c252c705
Sanjin Prcić,MF,Strasbourg,27,15,8,53.3,20,9,51c30111
Nicolas de Préville,FWMF,Metz,30,80,45,56.3,78,51,b0547a87
Nemanja Radonjić,FW,Marseille,25,3,1,33.3,1,0,0630eb63
Rafinha,FWMF,Paris S-G,28,9,6,66.7,5,2,0c2ac3cb
Predrag Rajković,GK,Reims,25,1,1,100.0,3,0,58ad9383
Adil Rami,DF,Troyes,35,5,3,60.0,9,3,8dbff17c
Sergio Ramos,DF,Paris S-G,35,4,4,100.0,2,1,08511d65
Elba Rashani,FWMF,Clermont Foot,28,35,19,54.3,53,30,25749008
Jeff Reine-Adélaïde,MFDF,Lyon,23,11,5,45.5,2,5,d504b3e1
Tiago Ribeiro,FW,Monaco,19,0,0,,0,0,507d7569
Sergio Rico,GK,Paris S-G,27,0,0,,0,0,5f0241b2
Renaud Ripart,MFFW,Troyes,28,48,23,47.9,53,35,beae3a73
Mihailo Ristić,DF,Montpellier,25,41,28,68.3,28,20,ea0aa7e0
Maxence Rivera,FW,Saint-Étienne,19,0,0,,0,0,46a7b605
Patrick Roberts,MF,Troyes,24,0,0,,2,1,59d93937
Stian Rode Gregersen,DF,Bordeaux,26,7,5,71.4,8,7,5f011e05
Gerson Rodrigues,FWMF,Troyes,26,30,8,26.7,46,36,3814b753
Valentin Rongier,MFDF,Marseille,26,47,30,63.8,28,15,ed45c4a5
Pablo Rosario,MF,Nice,24,30,19,63.3,35,19,1a6b7ea4
Roli Pereira de Sa,MF,Nantes,24,17,15,88.2,9,7,60f58477
Mathys Saban,FWMF,Saint-Étienne,19,2,1,50.0,7,3,7d9f3d69
Falaye Sacko,DF,Saint-Étienne,26,0,0,,8,1,6388e356
Rafiki Said Ahamada,MFFW,Brest,21,13,6,46.2,7,6,c2e5f306
Wesley Saïd,FWMF,Lens,26,13,10,76.9,18,5,90fcf472
Mamadou Sakho,DF,Montpellier,31,5,4,80.0,19,5,87935cf3
Bakary Sako,FWMF,Saint-Étienne,33,4,3,75.0,10,3,381d7d54
William Saliba,DF,Marseille,20,41,31,75.6,25,16,972aeb2a
Romain Salin,GK,Rennes,37,0,0,,0,0,74733221
Yoann Salmier,DF,Troyes,28,17,13,76.5,12,12,c3725db2
Mama Samba Baldé,MFFW,Troyes,25,78,34,43.6,89,39,fb14aa28
Junior Sambia,DFFW,Montpellier,24,46,26,56.5,32,19,24eb7ed6
Renato Sanches,MFFW,Lille,23,61,43,70.5,42,30,032f894e
Philippe Sandler,DF,Troyes,24,0,0,,0,0,60740e70
Baptiste Santamaria,MFDF,Rennes,26,39,18,46.2,32,18,5e22e2a4
Pablo Sarabia,FW,Paris S-G,29,1,1,100.0,2,0,9744ff80
Martin Satriano,FW,Brest,20,17,9,52.9,26,13,86383d0e
Téji Savanier,MF,Montpellier,29,116,76,65.5,84,36,6bde367b
Morgan Schneiderlin,MF,Nice,31,4,4,100.0,7,5,51b41c5c
Alidu Seidu,DF,Clermont Foot,21,15,9,60.0,9,12,cea59f02
Matz Sels,GK,Strasbourg,29,0,0,,1,0,834b5c4c
Xherdan Shaqiri,FWMF,Lyon,29,9,6,66.7,9,11,6421ec64
Mahame Siby,DF,Strasbourg,25,0,0,,0,0,6d075c67
Aboubakar Sidibé,DF,Clermont Foot,25,0,0,,0,0,ae5b93a0
Djibril Sidibé,DF,Monaco,29,9,4,44.4,12,7,4c5b714f
Kaj Sierhuis,FW,Reims,23,1,0,0.0,1,0,9c2b1f11
Caio Henrique Oliveira Silva,DF,Monaco,24,32,12,37.5,36,6,30af8b93
Gabriel Silva,DFMF,Saint-Étienne,30,4,0,0.0,8,3,4914ed4a
Moses Simon,FWMF,Nantes,26,93,41,44.1,77,52,5f3eaaf5
Xavi Simons,MFFW,Paris S-G,18,1,0,0.0,5,5,da4d670f
Issouf Sissokho,MF,Bordeaux,19,9,5,55.6,14,7,792a9d41
Ibrahima Sissoko,MFDF,Strasbourg,23,47,25,53.2,46,32,0f8418aa
Nelson Sissoko,DF,Saint-Étienne,24,0,0,,0,1,12bd0579
Sambou Sissoko,MFDF,Reims,22,3,2,66.7,6,2,e4bb1f08
Islam Slimani,FW,Lyon,33,2,0,0.0,12,7,ffec9769
Florian Sotoca,FWMF,Lens,30,50,30,60.0,65,26,7a42d0df
Sambou Soumano,FWMF,Lorient,20,14,11,78.6,21,13,7cc00776
Arnaud Souquet,DF,Montpellier,29,37,20,54.1,43,17,4e0afc5d
Saidou Sow,DF,Saint-Étienne,19,8,5,62.5,8,3,f6b94e8d
Calvin Stengs,MF,Nice,22,41,19,46.3,43,30,8f7e6783
Kamaldeen Sulemana,MFFW,Rennes,19,92,54,58.7,37,25,a62f8bf1
Abdoulaye Sylla,DF,Nantes,21,0,0,,0,0,2aeb43f1
Waniss Taibi,MFFW,Angers,19,4,2,50.0,4,1,95192fe4
Flavien Tait,MF,Rennes,28,48,29,60.4,46,32,a0f9b535
Florian Tardieu,MF,Troyes,29,30,20,66.7,19,19,ed39121c
Oussama Targhalline,FW,Marseille,19,0,0,,0,0,abd56820
Loum Tchaouna,FWMF,Rennes,17,1,1,100.0,3,2,a3c8b4d3
Warren Tchimbembé,MF,Metz,23,2,0,0.0,5,4,93b8f9f4
Aurélien Tchouaméni,MF,Monaco,21,51,38,74.5,19,30,4f255115
Mathys Tel,FWMF,Rennes,16,0,0,,2,2,829aa60c
Jordan Tell,FW,Clermont Foot,24,5,1,20.0,13,6,4f093689
Martin Terrier,FWMF,Rennes,24,59,28,47.5,60,23,5148dcc5
Tetê,FWMF,Lyon,21,35,23,65.7,14,11,7120a04d
Sada Thioub,FW,Angers,26,0,0,,0,1,f4bc42b1
Sada Thioub,DFMF,Saint-Étienne,26,22,12,54.5,14,10,f4bc42b1
Romain Thomas,DF,Angers,33,3,2,66.7,4,5,275e2c51
Adrien Thomasson,MF,Strasbourg,27,55,31,56.4,62,34,c76b7567
Thuler,DF,Montpellier,22,0,0,,3,3,db23d9fc
Khéphren Thuram-Ulie,MF,Nice,20,43,32,74.4,34,23,7d9397f8
Cheikh Tidiane Sabaly,FWMF,Metz,22,4,3,75.0,8,8,9ddf7fae
Jean-Clair Todibo,DF,Nice,21,19,14,73.7,22,7,88f130ed
Karl Toko Ekambi,FW,Lyon,28,84,44,52.4,65,39,5ceba7fc
Yoann Touzghar,FW,Troyes,34,12,6,50.0,29,11,4e47507a
Amadou Traore,FW,Bordeaux,19,0,0,,0,1,4eb0686f
Boubacar Traoré,MF,Metz,19,42,28,66.7,43,25,999ceb5f
Charles Traore,DF,Nantes,29,7,4,57.1,9,2,de488e56
Hamari Traoré,DF,Rennes,29,22,10,45.5,30,6,a4b1028a
Ismaël Traoré,DF,Angers,34,12,5,41.7,21,5,b666421b
Miguel Trauco,DFMF,Saint-Étienne,28,16,6,37.5,8,5,e4b72e34
Adrien Truffert,DF,Rennes,19,29,17,58.6,35,14,5d0e0a1f
Matthieu Udol,DF,Metz,25,13,9,69.2,7,3,cc41f558
Ike Ugbo,FW,Troyes,22,8,3,37.5,19,9,8a53d24b
Chimuanya Ugochukwu,MF,Rennes,17,2,2,100.0,7,4,1df4a109
Hwang Ui-jo,FW,Bordeaux,28,34,11,32.4,70,22,a2d873dd
Cengiz Ünder,FWMF,Marseille,24,68,25,36.8,64,26,1880614f
Jere Uronen,DF,Brest,27,6,3,50.0,7,1,d75f3980
Vanderson,FWDF,Monaco,20,45,17,37.8,45,19,ee45fd85
Jonathan Varane,MF,Lens,19,0,0,,0,0,4ade359f
Marco Verratti,MF,Paris S-G,28,57,46,80.7,28,21,1467af0d
Kevin Volland,MFFW,Monaco,29,38,18,47.4,65,34,64f69877
Timothy Weah,MFFW,Lille,21,37,19,51.4,34,21,8eec784d
Georginio Wijnaldum,MF,Paris S-G,30,24,12,50.0,29,21,eb58eef0
Christopher Wooh,DF,Lens,19,15,11,73.3,13,2,b003239d
Xeka,MF,Lille,26,12,5,41.7,31,17,f3600c02
Sekou Yansané,FW,Paris S-G,18,0,0,,0,0,bce37ac0
Yusuf Yazıcı,MFFW,Lille,24,13,9,69.2,16,5,f5c8b425
Burak Yılmaz,FW,Lille,36,21,5,23.8,70,24,165a2e40
Leny Yoro,MF,Lille,15,0,0,,1,0,6763f716
Zaydou Youssouf,MF,Saint-Étienne,22,38,34,89.5,43,31,e2f9bb5f
Akim Zedadka,DF,Clermont Foot,26,71,32,45.1,67,52,0ff630d0
Arber Zeneli,FW,Reims,26,16,11,68.8,20,9,095e4199
Mehdi Zerkane,MFDF,Bordeaux,22,5,4,80.0,2,2,53f6306f
Edon Zhegrova,MFFW,Lille,22,33,15,45.5,14,10,34a88e3e
Banhie Zoukrou,DF,Troyes,18,0,0,,2,0,aefa3050
