Player,Pos,Squad,Age,Tkl,TklW,Tkl%,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
Alessandro Bastoni,DF,Inter,23-348,35,17,52.6,18,6,12,20,55,35,0,75b86fb3
Simone Bastoni,MFDF,Spezia,26-142,37,18,45.0,16,4,12,7,44,9,0,1ac232b8
Brian Bayeye,DF,Torino,22-270,3,0,100.0,1,1,0,1,4,2,0,78e6bf2c
Rodrigo Becão,DF,Udinese,27-067,62,30,80.4,37,21,16,16,78,53,1,19e4eab9
Julius Beck,MF,Spezia,17-334,2,1,,0,0,0,0,2,0,0,e892c325
Raoul Bellanova,DFMF,Inter,22-314,5,2,66.7,2,1,1,3,8,5,0,e3756e72
Andrea Belotti,FW,Roma,29-097,9,5,42.9,7,1,6,3,12,2,0,d705ba44
Marco Benassi,DF,Fiorentina,28-200,3,3,75.0,0,0,0,1,4,1,0,0000acda
Marco Benassi,MF,Cremonese,28-200,14,9,55.6,11,0,11,9,23,8,0,0000acda
Ismaël Bennacer,MF,Milan,25-116,51,29,62.2,19,7,12,21,72,14,1,db092d3b
Domenico Berardi,FW,Sassuolo,28-238,16,11,25.9,9,0,9,12,28,12,0,53a0e358
Bartosz Bereszyński,DF,Sampdoria,30-258,28,18,65.4,18,4,14,21,49,25,0,61b3978f
Beto,FW,Udinese,25-055,15,9,26.7,14,1,13,3,18,23,0,ed5c0319
Matteo Bianchetti,DF,Cremonese,30-010,25,14,59.3,25,15,10,16,41,91,0,b3a20f18
Alessandro Bianco,MF,Fiorentina,20-177,3,1,100.0,1,0,1,0,3,0,0,d65cf468
Jaka Bijol,DF,Udinese,24-050,22,15,56.3,31,17,14,22,44,132,0,6fdac234
Cristiano Biraghi,DF,Fiorentina,30-207,50,29,56.3,21,6,15,11,61,32,1,9e1577aa
Samuele Birindelli,DF,Monza,23-251,25,13,69.6,21,7,14,13,38,23,0,204ac005
Kristijan Bistrović,MF,Lecce,24-352,3,1,0.0,3,0,3,0,3,4,0,79370f8c
Alexis Blin,MFDF,Lecce,26-192,49,25,58.7,37,11,26,24,73,63,0,c69ef855
Jeremie Boga,MFFW,Atalanta,26-083,5,3,33.3,5,0,5,1,6,1,0,fe012aca
Emil Bohinen,MF,Salernitana,24-015,17,10,72.7,11,4,7,10,27,12,0,c83c203f
Giacomo Bonaventura,MF,Fiorentina,33-217,32,20,63.6,10,0,10,15,47,4,1,d995ed27
Federico Bonazzoli,FWMF,Salernitana,25-310,3,1,0.0,9,1,8,3,6,0,0,bf57eaab
Warren Bondo,MF,Monza,19-193,1,0,,1,0,1,0,1,0,0,0def2376
Kevin Bonifazi,DF,Bologna,26-312,6,4,50.0,6,4,2,6,12,21,0,fb77bfef
Leonardo Bonucci,DF,Juventus,35-330,5,4,50.0,10,7,3,9,14,24,0,52ec54d0
Erik Botheim,FW,Salernitana,23-076,4,3,100.0,1,0,1,0,4,1,0,3d13d9e4
Mehdi Bourabia,MF,Spezia,31-232,34,15,48.5,32,12,20,26,60,42,0,0d077b88
Edoardo Bove,MF,Roma,20-315,12,5,40.0,6,1,5,2,14,6,0,ae94a6c5
Jayden Braaf,MF,Hellas Verona,20-208,5,3,,1,0,1,2,7,0,0,c609e90e
Domagoj Bradarić,DF,Salernitana,23-107,16,11,53.8,13,3,10,14,30,33,0,8bbe2df5
Josip Brekalo,FW,Fiorentina,24-277,0,0,0.0,0,0,0,0,0,0,0,d4a2533d
Gleison Bremer,DF,Juventus,26-009,20,14,76.5,37,21,16,33,53,97,2,5fd5ed86
Dylan Bronn,DF,Salernitana,27-281,31,16,65.5,30,19,11,18,49,49,1,edd81e2a
Marcelo Brozović,MF,Inter,30-131,18,11,27.8,14,4,10,16,34,17,0,33b8d077
Cristian Buonaiuto,MFFW,Cremonese,30-088,12,6,41.7,8,0,8,9,21,4,0,f3a9fa26
Alessandro Buongiorno,DF,Torino,23-294,26,15,63.2,26,14,12,40,66,62,2,4ae67f27
Juan Cabal,DF,Hellas Verona,22-078,2,2,100.0,5,4,1,3,5,5,0,ef6eef89
Liberato Cacace,DF,Empoli,22-181,19,7,66.7,10,5,5,4,23,11,0,dd86e8e4
Davide Calabria,DF,Milan,26-111,50,26,62.2,14,4,10,18,68,20,0,2146785a
Mattia Caldara,DF,Spezia,28-326,23,14,45.0,20,13,7,15,38,77,2,ac7e640b
Luca Caldirola,DF,Monza,32-054,17,8,38.9,18,9,9,18,35,42,0,226008f1
Hakan Çalhanoğlu,MF,Inter,29-047,40,22,36.4,25,4,21,22,62,9,1,cd0fa27b
Mohamed Camara,MF,Roma,26-027,10,9,44.4,2,0,2,7,17,4,0,13ea2544
Nicolò Cambiaghi,FWMF,Empoli,22-089,15,11,42.9,9,1,8,4,19,5,0,91ff775f
Andrea Cambiaso,DF,Bologna,23-035,43,24,41.9,20,2,18,21,64,27,1,247ed022
Matteo Cancellieri,FW,Lazio,21-043,9,4,50.0,4,0,4,1,10,2,0,b6a1cdf9
Antonio Candreva,DFMF,Salernitana,36-027,12,3,31.3,6,2,4,15,27,27,0,356c9002
Gianluca Caprari,MFFW,Monza,29-240,14,6,36.8,16,1,15,7,21,3,0,54e53b7e
Francesco Caputo,FW,Sampdoria,35-233,3,1,0.0,0,0,0,1,4,3,0,5bd72174
Francesco Caputo,FW,Empoli,35-233,2,2,,5,2,3,1,3,4,0,5bd72174
Andrea Carboni,DF,Monza,22-051,3,2,40.0,3,2,1,3,6,2,1,f7e2af2c
Franco Carboni,DF,Monza,19-357,1,1,0.0,2,0,2,1,2,0,0,b033f803
Valentin Carboni,MFDF,Inter,18-022,1,1,33.3,1,0,1,0,1,0,0,707b98f1
Carlos,DF,Monza,24-079,38,19,58.6,14,4,10,14,52,55,1,8d3cd59d
Marco Carnesecchi,GK,Cremonese,22-269,0,0,0.0,0,0,0,0,0,7,1,8ec56e62
Nicolò Casale,DF,Lazio,25-041,34,16,65.4,16,9,7,12,46,47,0,3f5f38fb
Tommaso Cassandro,DF,Lecce,23-077,1,1,,1,1,0,0,1,0,0,6c4307ee
Michele Castagnetti,MF,Cremonese,33-090,23,12,40.9,8,2,6,9,32,12,0,ad92526f
Gaetano Castrovilli,MF,Fiorentina,26-038,5,4,33.3,1,0,1,1,6,1,0,0728bebe
Danilo Cataldi,MF,Lazio,28-233,20,12,29.7,19,8,11,20,40,27,0,ba3d3bea
Pietro Ceccaroni,DF,Lecce,27-096,0,0,,1,1,0,3,3,1,0,4d1efb48
Federico Ceccherini,DF,Hellas Verona,30-320,18,14,69.2,11,4,7,10,28,37,0,d9624b51
Assan Ceesay,FW,Lecce,29-010,20,16,58.3,10,1,9,2,22,21,0,07f8bcc8
Emil Ceide,FW,Sassuolo,21-205,4,1,75.0,2,0,2,1,5,0,0,98a84572
Zeki Çelik,DF,Roma,26-038,33,16,71.4,25,5,20,13,46,29,1,31a62dc7
Federico Chiesa,DFMF,Juventus,25-153,12,5,57.1,4,1,3,0,12,1,0,b0f7e36c
Vlad Chiricheș,DF,Cremonese,33-133,27,15,58.8,21,12,9,16,43,30,0,c316607a
Daniel Ciofani,FW,Cremonese,37-239,5,3,60.0,3,0,3,0,5,3,0,b09a3ecc
Tio Cipot,FWDF,Spezia,19-341,5,4,50.0,0,0,0,0,5,1,0,039a4fb6
Patrick Ciurria,DFMF,Monza,28-046,25,14,48.0,19,2,17,3,28,24,0,5de3866c
Omar Colley,DF,Sampdoria,30-154,17,10,75.0,9,5,4,22,39,69,1,8b95acda
Lorenzo Colombo,FW,Lecce,21-019,12,4,42.9,19,0,19,2,14,5,0,04df29a5
Andrea Colpani,MF,Monza,23-320,7,5,55.6,12,2,10,3,10,3,0,6499048c
Andrea Consigli,GK,Sassuolo,36-059,1,0,0.0,0,0,0,0,1,11,1,8cabdc1e
Andrea Conti,DF,Sampdoria,29-025,0,0,,0,0,0,0,0,0,0,8fef5412
Diego Coppola,DF,Hellas Verona,19-089,20,14,58.8,18,6,12,12,32,33,0,22ae86f9
Joaquín Correa,FW,Inter,28-226,7,4,66.7,2,0,2,0,7,0,0,45b9b619
Alessandro Cortinovis,MF,Hellas Verona,22-061,1,0,,1,0,1,0,1,0,0,bfc359ed
Lassana Coulibaly,MF,Salernitana,26-351,56,31,42.2,24,3,21,14,70,22,2,85a44ecc
Alessio Cragno,GK,Monza,28-272,0,0,0.0,0,0,0,0,0,0,0,f554e29b
Bryan Cristante,MF,Roma,28-024,86,45,62.9,34,8,26,9,95,35,0,16657b95
Domen Črnigoj,MF,Salernitana,27-129,8,3,50.0,9,1,8,9,17,6,0,22cd43d2
Juan Cuadrado,DFFW,Juventus,34-305,35,23,44.7,11,1,10,15,50,19,0,0ab1f153
Mickaël Cuisance,MF,Sampdoria,23-223,9,6,18.8,8,0,8,4,13,1,0,5722eced
Marco D'Alessandro,DFFW,Monza,32-038,4,4,50.0,2,0,2,1,5,3,0,060606ec
Danilo D'Ambrosio,DF,Inter,34-199,13,7,57.1,7,3,4,6,19,7,0,44eb9093
Luca D'Andrea,FW,Sassuolo,18-202,4,0,25.0,2,0,2,1,5,1,0,f778fe3f
Flavius Daniliuc,DF,Salernitana,21-334,38,19,59.3,25,11,14,18,56,62,0,7ef972c3
Danilo,DF,Juventus,31-255,60,39,66.7,25,15,10,35,95,84,1,94b2001f
Matteo Darmian,DF,Inter,33-115,43,23,67.6,24,5,19,15,58,24,0,96e0490d
Paweł Dawidowicz,DF,Hellas Verona,27-311,35,23,78.3,12,8,4,14,49,45,0,16bb656a
Charles De Ketelaere,MF,Milan,22-017,18,9,45.5,12,2,10,3,21,7,0,2ef7c612
Manuel De Luca,FWMF,Sampdoria,24-253,0,0,,0,0,0,0,0,0,0,60e3603d
Mattia De Sciglio,DF,Juventus,30-158,11,6,66.7,7,3,4,4,15,17,0,ae4e2852
Lorenzo De Silvestri,DF,Bologna,34-308,2,2,40.0,5,5,0,2,4,16,0,e74f0e59
Koni De Winter,DF,Empoli,20-288,13,8,44.4,10,10,0,6,19,51,0,f4797849
Grégoire Defrel,FW,Sassuolo,31-283,7,6,50.0,4,0,4,1,8,4,0,854ee61a
Duccio Degli Innocenti,MF,Empoli,19-333,0,0,,0,0,0,1,1,0,0,0e0d6c53
Merih Demiral,DF,Atalanta,25-022,37,25,76.7,23,7,16,22,59,55,1,e3cceee6
Diego Demme,MF,Napoli,31-126,0,0,0.0,1,0,1,0,0,0,0,dc3fa3b5
Fabio Depaoli,DF,Hellas Verona,25-337,32,17,57.7,21,5,16,10,42,23,2,d97f2e8d
Fabio Depaoli,DFMF,Sampdoria,25-337,5,3,75.0,1,0,1,1,6,4,0,d97f2e8d
Kastriot Dermaku,DF,Lecce,31-071,0,0,,0,0,0,0,0,0,0,2990c466
Cyriel Dessers,FW,Cremonese,28-109,9,3,50.0,13,2,11,3,12,5,0,dcb38abe
Sergiño Dest,DF,Milan,22-144,12,6,75.0,1,0,1,4,16,2,0,5976f83e
Mattia Destro,FW,Empoli,32-007,1,1,,2,0,2,1,2,4,0,d7d32194
Gerard Deulofeu,FW,Udinese,29-014,8,5,33.3,8,1,7,2,10,1,0,39583cfd
Samuel Di Carmine,FWMF,Cremonese,34-179,0,0,,0,0,0,0,0,0,0,ef94dc2f
Federico Di Francesco,FWMF,Lecce,28-286,21,13,42.9,11,0,11,6,27,11,0,1fca9171
Michele Di Gregorio,GK,Monza,25-243,0,0,0.0,0,0,0,3,3,14,2,4e0c8d66
Giovanni Di Lorenzo,DF,Napoli,29-235,44,21,48.6,23,6,17,22,66,47,0,230a2fac
Ángel Di María,FWMF,Juventus,35-041,6,3,13.3,7,0,7,4,10,0,0,19cda00b
Boulaye Dia,FW,Salernitana,26-131,9,4,0.0,4,0,4,4,13,16,1,244bc2c8
Brahim Díaz,MF,Milan,23-236,21,9,37.5,9,0,9,5,26,4,0,407feb71
Federico Dimarco,DF,Inter,25-137,25,19,56.3,15,4,11,14,39,20,0,970b8574
Koffi Djidji,DF,Torino,30-117,37,19,61.9,18,10,8,27,64,56,0,933d3b51
Berat Djimsiti,DF,Atalanta,30-036,21,12,78.6,9,4,5,19,40,37,1,6eee05f1
Dodô,DF,Fiorentina,24-130,27,16,55.2,17,1,16,18,45,26,0,b5f7d10b
Josh Doig,DF,Hellas Verona,20-313,19,7,41.7,22,6,16,9,28,11,1,2f69d881
Nicolás Domínguez,MF,Bologna,24-272,56,35,50.0,19,2,17,12,68,17,1,20b3a502
Giulio Donati,DF,Monza,33-050,3,1,40.0,3,1,2,4,7,6,0,22051fbe
Bartłomiej Drągowski,GK,Spezia,25-220,1,0,20.0,0,0,0,0,1,14,3,085e71a7
Ondrej Duda,MF,Hellas Verona,28-112,14,11,63.6,9,0,9,8,22,5,0,79ca3e23
Denzel Dumfries,DF,Inter,26-343,18,8,52.6,23,5,18,10,28,21,0,481c9ece
Alfred Duncan,MF,Fiorentina,30-017,12,7,57.1,5,0,5,4,16,4,0,528492ea
Paulo Dybala,MFFW,Roma,29-132,13,3,38.9,10,0,10,7,20,3,0,e0921a4f
Edin Džeko,FW,Inter,37-010,2,2,0.0,14,1,13,3,5,23,0,3bb7f478
Festy Ebosele,DFFW,Udinese,20-237,9,7,33.3,3,0,3,1,10,4,0,dbfa4f16
Enzo Ebosse,DF,Udinese,24-016,15,9,69.2,27,6,21,11,26,29,0,9ba7b4fa
Tyronne Ebuehi,DF,Empoli,27-101,13,8,71.4,16,9,7,6,19,39,1,6af30900
Éderson,MF,Atalanta,23-263,49,27,48.8,36,4,32,22,71,19,0,a9202def
Kingsley Ehizibue,DF,Udinese,27-306,32,22,65.7,12,1,11,5,37,30,1,76b2817e
Albin Ekdal,MF,Spezia,33-242,24,17,34.5,15,1,14,16,40,23,0,f503ea63
Emmanuel Ekong,FWMF,Empoli,20-275,0,0,,0,0,0,0,0,0,0,c20892ee
Mikael Ellertsson,MFDF,Spezia,21-016,4,2,0.0,2,1,1,2,6,0,0,c55967eb
Elif Elmas,FWMF,Napoli,23-184,13,7,70.0,5,0,5,10,23,4,0,cf007308
Martin Erlic,DF,Sassuolo,25-062,20,10,56.3,29,18,11,25,45,85,1,0fee6bda
Gonzalo Escalante,MF,Cremonese,30-000,16,8,76.9,7,1,6,10,26,4,0,3f79a1c8
Salvatore Esposito,MF,Spezia,22-171,3,3,22.2,2,0,2,3,6,3,0,5cf5c9ad
Nicolò Fagioli,MF,Juventus,22-043,16,10,33.3,8,2,6,7,23,5,0,366be751
Wladimiro Falcone,GK,Lecce,27-349,2,0,100.0,0,0,0,2,4,16,2,9f5a610b
Davide Faraoni,DF,Hellas Verona,31-153,18,12,37.5,15,4,11,9,27,17,0,aae9d04a
Federico Fazio,DF,Salernitana,36-010,15,12,36.4,9,4,5,28,43,61,0,4e358a2d
Jacopo Fazzini,MF,Empoli,20-011,17,9,60.0,10,2,8,5,22,8,0,06b08c45
Lewis Ferguson,MF,Bologna,23-215,27,17,50.0,13,5,8,16,43,14,0,ee64a822
Alex Ferrari,DF,Sampdoria,28-269,9,5,50.0,21,10,11,19,28,25,0,d0dbca9f
Alex Ferrari,DF,Cremonese,28-269,30,18,80.8,10,3,7,17,47,30,1,d0dbca9f
Salvador Ferrer,DF,Spezia,25-065,2,1,100.0,1,1,0,1,3,2,0,eb76987d
Alessandro Florenzi,DF,Milan,32-016,3,2,66.7,0,0,0,1,4,1,0,e288d4b3
Davide Frattesi,MF,Sassuolo,23-156,49,26,56.7,18,3,15,9,58,30,0,2a7d27c1
Matteo Gabbia,DF,Milan,23-157,17,10,75.0,8,3,5,5,22,28,0,c235e803
Manolo Gabbiadini,FWMF,Sampdoria,31-121,10,5,18.2,9,1,8,2,12,19,0,8f866fe8
Gianluca Gaetano,MF,Napoli,22-326,3,2,,1,0,1,0,3,0,0,3b387cc7
Roberto Gagliardini,MF,Inter,28-354,14,5,50.0,7,2,5,1,15,8,0,ce30bfc8
Adolfo Gaich,FW,Hellas Verona,24-029,5,3,33.3,2,1,1,1,6,5,0,8dfed6e9
Pablo Galdames Millán,MFDF,Cremonese,26-087,8,6,25.0,7,1,6,3,11,2,0,dd403465
Antonino Gallo,DF,Lecce,23-081,45,28,73.2,24,3,21,11,56,45,0,c74d63ac
Federico Gatti,DF,Juventus,24-276,8,5,100.0,8,6,2,12,20,33,1,18dd3219
Valentin Gendrey,DF,Lecce,22-279,68,43,56.0,36,4,32,34,102,62,0,822ed0ec
Paolo Ghiglione,DF,Cremonese,26-053,11,7,46.7,9,4,5,3,14,10,0,71dc23da
Mario Gila,DF,Lazio,22-210,3,1,0.0,0,0,0,3,6,3,0,9c435456
Gvidas Gineitis,MF,Torino,18-346,0,0,0.0,0,0,0,0,0,0,0,548bd0de
Olivier Giroud,FW,Milan,36-178,7,5,14.3,10,3,7,2,9,16,0,16ceb862
Pierluigi Gollini,GK,Fiorentina,28-009,1,0,100.0,0,0,0,0,1,2,0,f0f7f62f
Pierluigi Gollini,GK,Napoli,28-009,0,0,,0,0,0,0,0,0,0,f0f7f62f
Joan Gonzàlez,MF,Lecce,21-054,39,21,32.6,30,6,24,14,53,26,0,f025eade
Nicolás González,FWMF,Fiorentina,24-355,9,4,14.3,10,0,10,2,11,4,0,2374aaca
Robin Gosens,DFFW,Inter,28-265,25,14,77.8,11,0,11,14,39,7,0,2d970560
Alberto Grassi,MF,Empoli,28-020,17,15,76.9,12,8,4,17,34,25,0,6cc97b6a
Andrew Gravillon,DF,Torino,25-047,1,1,,2,1,1,8,9,6,0,49136c42
Koray Günter,DF,Hellas Verona,28-223,10,6,57.1,24,15,9,30,40,46,0,f1f1f238
Koray Günter,DFMF,Sampdoria,28-223,5,4,80.0,4,2,2,3,8,16,0,f1f1f238
Emmanuel Gyasi,FWDF,Spezia,29-075,14,8,25.0,19,5,14,7,21,18,0,f9758dae
Norbert Gyömbér,DF,Salernitana,30-267,24,18,68.8,23,17,6,23,47,56,0,0be276c6
Christian Gytkjær,FW,Monza,32-325,6,2,50.0,3,1,2,0,6,1,0,9250bcff
Nicolas Haas,MF,Empoli,27-063,22,11,45.0,13,4,9,7,29,22,0,fa449bba
Samir Handanović,GK,Inter,38-256,0,0,,0,0,0,0,0,3,0,74419746
Abdou Harroui,MF,Sassuolo,25-073,8,1,16.7,3,1,2,0,8,6,0,65fd099c
Hans Hateboer,DF,Atalanta,29-077,21,13,40.7,23,4,19,12,33,25,0,3b333ac3
Liam Henderson,MF,Empoli,26-336,9,8,23.5,8,2,6,8,17,8,0,d7918b13
Jack Hendry,DF,Cremonese,27-324,0,0,0.0,2,1,1,1,1,7,0,ffed43e3
Matheus Henrique,MF,Sassuolo,25-098,14,8,40.0,11,3,8,10,24,6,0,a2d9f138
Thomas Henry,FW,Hellas Verona,28-188,5,3,25.0,6,2,4,0,5,14,0,9ef42479
Theo Hernández,DF,Milan,25-172,37,21,64.3,29,6,23,11,48,22,1,d4c9725f
Isak Hien,DF,Hellas Verona,24-073,50,24,59.5,27,10,17,20,70,57,1,12806697
Morten Hjulmand,MF,Lecce,23-275,65,35,53.5,29,7,22,56,121,46,0,d4456fb3
Emil Holm,DF,Spezia,22-318,26,15,51.6,21,6,15,9,35,41,0,c2357b65
Martin Hongla,MF,Hellas Verona,25-011,8,5,100.0,7,1,6,6,14,9,0,b85bf253
Petko Hristov,DF,Spezia,24-026,6,4,62.5,4,2,2,4,10,12,0,d8800a46
Ajdin Hrustic,MF,Hellas Verona,26-265,2,1,50.0,2,0,2,0,2,2,1,1f2d714c
Elseid Hysaj,DF,Lazio,29-035,26,14,52.0,19,6,13,11,37,29,0,2f3452eb
Rasmus Højlund,FW,Atalanta,20-051,4,3,33.3,6,0,6,0,4,4,0,491a433d
Roger Ibanez,DF,Roma,24-124,58,28,69.2,22,8,14,53,111,85,1,82efe6fa
Zlatan Ibrahimović,FW,Milan,41-175,0,0,,1,1,0,0,0,2,0,4cde5509
Igor,DF,Fiorentina,25-048,29,18,68.8,28,13,15,18,47,35,2,a4e85758
Jonathan Ikone,FW,Fiorentina,24-329,11,4,42.9,15,1,14,4,15,3,0,42eaa028
Ivan Ilić,MF,Hellas Verona,22-010,16,10,54.5,10,1,9,8,24,14,0,bb376bed
Ivan Ilić,MF,Torino,22-010,6,3,33.3,6,1,5,3,9,4,0,bb376bed
Samuel Iling-Junior,DFFW,Juventus,19-174,2,1,66.7,1,0,1,1,3,3,0,ba492306
Emirhan İlkhan,MF,Torino,18-299,1,1,100.0,3,1,2,2,3,2,0,a47c6309
Emirhan İlkhan,MF,Sampdoria,18-299,2,1,50.0,1,0,1,0,2,1,0,a47c6309
Ciro Immobile,FW,Lazio,33-035,8,5,75.0,9,1,8,1,9,9,0,4431aed2
Ardian Ismajli,DF,Empoli,26-178,36,28,76.2,40,26,14,23,59,104,0,6b635f5c
Armando Izzo,DF,Monza,31-025,56,38,69.0,16,7,9,32,88,59,0,89976232
Mato Jajalo,MF,Udinese,34-306,0,0,0.0,0,0,0,0,0,2,0,8c65eb5f
Jesé,FW,Sampdoria,30-029,1,0,,1,0,1,0,1,1,0,4a537185
Juan Jesus,DF,Napoli,31-290,10,6,71.4,14,7,7,6,16,22,0,79083382
Þórir Jóhann Helgason,MF,Lecce,22-180,1,1,50.0,2,1,1,3,4,3,0,dc765618
Luka Jović,FW,Fiorentina,25-094,5,2,25.0,7,2,5,2,7,8,0,4d8cd038
Hamed Junior Traorè,MFFW,Sassuolo,23-039,11,6,36.4,4,0,4,2,13,0,1,570bb4b9
Yayah Kallon,MFFW,Hellas Verona,21-270,14,10,63.6,9,0,9,8,22,4,0,f95f49d2
Pierre Kalulu,DF,Milan,22-295,48,33,66.7,38,15,23,35,83,46,1,85f7d1be
Yann Karamoh,MFFW,Torino,24-262,5,2,25.0,3,0,3,0,5,2,0,8b66d9cc
Rick Karsdorp,DF,Roma,28-044,21,13,59.1,0,0,0,7,28,15,1,9f84febe
Denso Kasius,DF,Bologna,20-172,12,6,80.0,6,3,3,3,15,6,0,7ae36711
Grigoris Kastanos,MF,Salernitana,25-056,18,11,21.4,10,3,7,4,22,3,0,2a82aa85
Moise Kean,FW,Juventus,23-027,8,6,50.0,2,0,2,4,12,2,0,3d50bcdb
Jakub Kiwior,DF,Spezia,23-040,22,17,25.0,26,18,8,24,46,71,1,dc3e663e
Simon Kjær,DF,Milan,34-001,8,4,66.7,8,6,2,7,15,19,1,8b8a56ce
Teun Koopmeiners,MF,Atalanta,25-027,33,19,52.6,30,4,26,16,49,31,1,a26fb8aa
Filip Kostić,DFFW,Juventus,30-146,35,22,47.5,21,2,19,10,45,19,0,b1cd37e6
Christian Kouamé,FW,Fiorentina,25-111,21,16,50.0,14,3,11,12,33,4,0,58e933d2
Viktor Kovalenko,MF,Spezia,27-041,8,4,80.0,11,2,9,3,11,7,0,9d60028d
Julian Kristoffersen,FW,Salernitana,25-321,0,0,,1,0,1,0,0,0,0,b804c280
Raimonds Krollis,FW,Spezia,21-150,1,1,,0,0,0,0,1,0,0,b4101c2e
