Player,Pos,Squad,Age,Cmp,Att,Cmp%,-9999
Mohamed Salah,FW,Liverpool,29,875,1136,77.0,e342ad68
Mohammed Salisu,DF,Southampton,22,1388,1851,75.0,0b33f6ad
Albert Sambi Lokonga,MF,Arsenal,21,727,824,88.2,1b4f1169
Davinson Sánchez,DF,Tottenham,25,994,1133,87.7,da7b447d
Robert Sánchez,GK,Brighton,23,1082,1525,71.0,6a713852
Jadon Sancho,FWMF,Manchester Utd,21,805,984,81.8,dbf053da
Morgan Sanson,MF,Aston Villa,26,123,162,75.9,6e7f1353
Samir Santos,DF,Watford,26,538,669,80.4,92b4758e
Josh Sargent,FWMF,Norwich City,21,292,410,71.2,a8d4428b
Jeremy Sarmiento,FWMF,Brighton,19,14,20,70.0,ac0d576d
Ismaila Sarr,FWMF,Watford,23,332,478,69.5,bfdb33aa
Malang Sarr,DF,Chelsea,22,432,493,87.6,4315f30d
Dane Scarlett,MF,Tottenham,17,1,1,100.0,21945a9e
Fabian Schär,DF,Newcastle Utd,29,698,1012,69.0,c8aa95da
Jeffrey Schlupp,MFFW,Crystal Palace,28,493,668,73.8,3312f911
Kasper Schmeichel,GK,Leicester City,34,945,1294,73.0,53af52f3
Ken Sema,MFFW,Watford,27,140,224,62.5,1770bd68
Nélson Semedo,MFDF,Wolves,27,916,1169,78.4,d04b94db
Ryan Sessegnon,DFMF,Tottenham,21,315,428,73.6,6aa3e78b
Jamie Shackleton,DFMF,Leeds United,21,353,409,86.3,8d03ca5a
Luke Shaw,DF,Manchester Utd,26,944,1193,79.1,9c94165b
Jonjo Shelvey,MF,Newcastle Utd,29,743,948,78.4,3727dd3c
Shola Shoretire,MF,Manchester Utd,17,5,5,100.0,00f0482f
Francisco Sierralta,DF,Watford,24,142,183,77.6,0f933743
Bernardo Silva,MFFW,Manchester City,26,1728,1977,87.4,3eb22ec9
Fábio Silva,FW,Wolves,19,93,138,67.4,e7aa9d7c
Thiago Silva,DF,Chelsea,36,2436,2634,92.5,86e7deaf
Ellis Simms,FW,Everton,20,7,12,58.3,26d3b5be
Moussa Sissoko,MF,Watford,31,922,1188,77.6,2acd49b9
Oliver Skipp,MF,Tottenham,20,763,851,89.7,6250083a
William Smallbone,MFFW,Southampton,21,20,39,51.3,5e105217
Emile Smith Rowe,MFFW,Arsenal,21,682,823,82.9,17695062
Cédric Soares,DF,Arsenal,29,873,1112,78.5,839c14e1
Tomáš Souček,MF,West Ham,26,1036,1361,76.1,6613c819
Boubakary Soumaré,MF,Leicester City,22,444,542,81.9,ae59b359
Çağlar Söyüncü,DF,Leicester City,25,1630,1935,84.2,21166ff4
Tony Springett,MFFW,Norwich City,18,25,38,65.8,35be8087
Jason Steele,GK,Brighton,30,34,38,89.5,28300a16
Jed Steer,GK,Aston Villa,28,30,38,78.9,a8a3d139
Zack Steffen,GK,Manchester City,26,34,39,87.2,42130443
Dale Stephens,MF,Burnley,32,46,57,80.7,653ee42d
Jack Stephens,DF,Southampton,27,361,474,76.2,6adbc307
Raheem Sterling,FW,Manchester City,26,714,880,81.1,b400bde0
Finley Stevens,DF,Brentford,18,5,7,71.4,7e003182
John Stones,DF,Manchester City,27,911,1001,91.0,5eecec3d
Pascal Struijk,DFMF,Leeds United,21,1089,1278,85.2,f4d296e4
Crysencio Summerville,MFFW,Leeds United,19,51,70,72.9,df04eb4b
Jakob Sørensen,MFDF,Norwich City,23,251,309,81.2,953c30b0
Japhet Tanganga,DF,Tottenham,22,333,407,81.8,e9971f2d
Matt Targett,DF,Aston Villa,25,592,823,71.9,e514ab62
Matt Targett,DF,Newcastle Utd,25,566,789,71.7,e514ab62
James Tarkowski,DF,Burnley,28,816,1190,68.6,15ea812b
Nuno Tavares,DF,Arsenal,21,581,727,79.9,a65c844b
Charlie Taylor,DF,Burnley,27,968,1375,70.4,cc2d7ad5
Nathan Tella,MFFW,Southampton,22,103,177,58.2,f1e94cd6
Alex Telles,DF,Manchester Utd,28,898,1205,74.5,e73c9bb2
Luke Thomas,DF,Leicester City,20,1007,1272,79.2,fc027d02
Dominic Thompson,DF,Brentford,21,21,41,51.2,235a62f8
Youri Tielemans,MF,Leicester City,24,1451,1785,81.3,56f7a928
Kieran Tierney,DF,Arsenal,24,900,1165,77.3,fce2302c
Takehiro Tomiyasu,DF,Arsenal,22,888,1098,80.9,b3af9be1
James Tomkins,DF,Crystal Palace,32,277,320,86.6,e7ca0439
Ivan Toney,FW,Brentford,25,440,779,56.5,e09f279b
Ferrán Torres,FW,Manchester City,21,54,74,73.0,9e1035f8
Cenk Tosun,MF,Everton,30,1,1,100.0,9a104dee
Andros Townsend,MFFW,Everton,30,342,497,68.8,b28bbd58
