,,,,Play,Play,Play,Play,Perf,Perf,Perf,Perf,-additional
Player,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,-9999
,,,,,,,,,,,,-9999
Ludovic Blas,MFFW,Nantes,23,35,35,2961,32.9,10,5,10,0,6191093d
Myron Boadu,FW,Monaco,20,31,7,960,10.7,4,1,0,0,5b479568
Jérôme Boateng,DF,Lyon,32,24,19,1622,18.0,0,1,6,0,2db2fd7b
Antonin Bobichon,MFFW,Angers,25,4,0,38,0.4,0,0,0,0,7d937aa1
Quentin Boisgard,MFFW,Lorient,24,25,9,958,10.6,1,1,3,0,f6496133
Charles Boli,MFDF,Lens,22,4,0,32,0.4,0,0,0,0,bbdd999a
Sven Botman,DF,Lille,21,25,25,2250,25.0,3,1,4,0,ccce7025
Denis Bouanga,FWMF,Saint-Étienne,26,34,28,2436,27.1,9,6,4,1,0b0cbe5b
Hicham Boudaoui,MF,Nice,21,29,21,1621,18.0,3,2,7,0,f9d5908e
Ryad Boudebouz,MFFW,Saint-Étienne,31,30,27,2252,25.0,3,4,2,0,1001ae82
Sofiane Boufal,FWMF,Angers,27,29,28,2330,25.9,8,4,6,0,b0c71810
Farid Boulaya,MFFW,Metz,28,24,18,1526,17.0,4,2,1,1,a0791826
Ismaëlben Boura,DF,Lens,20,5,1,95,1.1,0,0,0,0,62e02107
Benjamin Bourigeaud,FWMF,Rennes,27,38,38,3193,35.5,11,12,2,0,20e73fac
Redwan Bourles,MFFW,Lorient,18,4,0,16,0.2,0,0,0,0,5c7895a0
Domagoj Bradarić,DF,Lille,21,15,2,417,4.6,0,0,2,0,8bbe2df5
Bilal Brahimi,MF,Nice,21,11,2,378,4.2,0,0,1,0,02bcaf8e
Bilal Brahimi,FW,Angers,21,9,3,338,3.8,0,1,0,0,02bcaf8e
Lilian Brassier,DF,Brest,21,31,23,2263,25.1,1,0,4,0,5b146df3
Jimmy Briand,FWMF,Bordeaux,35,17,1,226,2.5,2,1,1,0,f83c8d6c
Dylan Bronn,DF,Metz,26,30,28,2545,28.3,1,2,10,1,edd81e2a
Osman Bukari,FWMF,Nantes,22,24,10,1012,11.2,2,4,1,0,eab85789
Maxime Busi,DF,Reims,21,18,13,1296,14.4,1,0,3,0,7b082ec2
Oriol Busquets,MF,Clermont Foot,22,9,2,201,2.2,0,0,0,0,49712367
Marcin Bułka,GK,Nice,21,1,1,90,1.0,0,0,0,0,db87a2c4
Rémy Cabella,MFFW,Montpellier,31,5,3,313,3.5,0,0,0,0,148e136f
Jimmy Cabot,DF,Angers,27,24,24,2008,22.3,0,5,4,0,46359159
Anthony Caci,DF,Strasbourg,24,37,26,2395,26.6,1,3,4,0,0118c54c
