Player,Pos,Squad,Age,Tkl,TklW,Tkl%,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
Alan Empereur,DF,Hellas Verona,26,0,0,,1,1,0,6,6,7,1,825b8997
Christian Eriksen,MF,Inter,28,12,6,35.0,16,1,15,9,21,13,1,980522ec
Martin Erlic,DF,Spezia,22,23,14,55.0,22,16,6,41,64,71,2,0fee6bda
Gonzalo Escalante,MF,Lazio,27,26,13,28.6,10,3,7,19,45,13,0,3f79a1c8
Nahuel Estévez,MF,Spezia,24,13,5,15.6,23,5,18,20,33,22,1,cec60a2f
Valentin Eysseric,MFFW,Fiorentina,28,14,8,45.5,11,0,11,7,21,8,0,ae82fa48
Nicolò Fagioli,MF,Juventus,19,0,0,,0,0,0,0,0,1,0,366be751
Iago Falque,MFFW,Benevento,30,4,2,16.7,4,1,3,0,4,1,0,440c84ed
Andri Fannar Baldursson,MF,Bologna,18,6,6,33.3,3,1,2,3,9,7,0,61f2f56a
Paolo Faragò,DF,Bologna,27,1,1,50.0,1,0,1,0,1,0,0,9085dd7c
Paolo Faragò,DF,Cagliari,27,13,9,45.0,3,2,1,6,19,15,0,9085dd7c
Davide Faraoni,DF,Hellas Verona,28,62,33,54.9,48,17,31,49,111,83,1,aae9d04a
Mohamed Fares,DF,Lazio,24,20,15,57.9,14,1,13,16,36,21,0,b7a5bc86
Diego Farias,FW,Spezia,30,9,5,19.0,12,0,12,13,22,3,0,157d29b6
Andrea Favilli,FW,Hellas Verona,23,3,1,66.7,2,0,2,0,3,2,0,44510fde
Federico Fazio,DF,Roma,33,3,2,75.0,3,3,0,7,10,18,1,4e358a2d
Luiz Felipe,DF,Lazio,23,32,20,66.7,20,9,11,21,53,29,1,15d0c248
Alex Ferrari,DF,Sampdoria,26,27,15,62.5,18,6,12,23,50,26,0,d0dbca9f
Salvador Ferrer,DF,Spezia,22,20,10,36.4,13,4,9,24,44,37,1,eb76987d
