Player,Pos,Squad,Age,90s,Sh,SoT,SoT%,-9999
Benoît Costil,GK,Bordeaux,34,25.0,0,0,,2434f24a
Kalifa Coulibaly,FW,Nantes,29,9.4,26,10,38.5,9980269a
Nicolas Cozza,DF,Montpellier,22,30.8,6,3,50.0,8f325097
Enzo Crivelli,FWMF,Saint-Étienne,26,1.1,3,1,33.3,06f33dc8
Wylan Cyprien,MF,Nantes,26,16.6,20,8,40.0,3e092724
Lucas Da Cunha,MF,Nice,20,4.4,10,3,30.0,007faf7a
Lucas Da Cunha,FWMF,Clermont Foot,20,9.3,18,6,33.3,007faf7a
Damien Da Silva,DF,Lyon,33,12.5,12,1,8.3,1ec7e1c5
Colin Dagba,DF,Paris S-G,22,1.8,0,0,,29c02c9f
Flavius Daniliuc,DF,Nice,20,14.4,4,0,0.0,7ef972c3
Kevin Danso,DF,Lens,22,31.0,13,4,30.8,6e33125f
Dante,DF,Nice,37,31.9,12,2,16.7,fd2bc67d
Jonathan David,FW,Lille,21,31.2,67,30,44.8,ce50fd99
Konrad De La Fuente,FWMF,Marseille,20,8.7,15,4,26.7,4b77bb89
Romain Del Castillo,MFFW,Rennes,25,0.3,1,0,0.0,0be95d34
Romain Del Castillo,MFFW,Brest,25,10.8,12,3,25.0,0be95d34
Thomas Delaine,DF,Metz,29,25.7,18,5,27.8,8332db56
Sacha Delaye,MFFW,Montpellier,19,2.9,3,0,0.0,e4448c8c
Andy Delort,FW,Nice,29,27.2,95,37,38.9,d33c706e
Andy Delort,FW,Montpellier,29,3.0,14,5,35.7,d33c706e
Moussa Dembélé,FW,Lyon,25,24.5,83,37,44.6,e7986081
Jason Denayer,DF,Lyon,26,11.1,6,4,66.7,47af88b8
Arthur Desmas,GK,Clermont Foot,27,14.5,0,0,,e8c5dd4d
Ángel Di María,FW,Paris S-G,33,18.3,51,22,43.1,19cda00b
Yadaly Diaby,FWMF,Clermont Foot,20,0.7,2,0,0.0,5630a6e0
Ibrahim Diakité,MF,Reims,17,0.0,0,0,,d8c19a60
Abdou Diallo,DF,Paris S-G,25,9.7,2,1,50.0,fc62f087
Habib Diallo,FW,Strasbourg,26,17.1,49,21,42.9,6605d143
Mouhamadou Diarra,MF,Strasbourg,17,1.2,0,0,,6d0fe035
Stéphane Diarra,MFFW,Lorient,22,5.8,13,4,30.8,29939a1d
Krépin Diatta,MFDF,Monaco,22,3.2,3,3,100.0,8104e41e
Bamba Dieng,FW,Marseille,21,10.8,36,18,50.0,40774c6b
Elhadji Dieye,FWMF,Saint-Étienne,19,0.4,2,0,0.0,6a04bb7c
Javairô Dilrosun,MFFW,Bordeaux,23,19.2,40,10,25.0,34a0f5ff
Junior Dina Ebimbe,MF,Paris S-G,20,3.5,4,1,25.0,95bb6ddc
Tristan Dingomé,MFFW,Troyes,30,12.0,20,4,20.0,92b56413
Sinaly Diomande,DF,Lyon,20,6.4,3,0,0.0,6de23ab0
Sofiane Diop,MFFW,Monaco,21,21.6,37,13,35.1,19053e31
Andy Diouf,MF,Rennes,18,0.2,0,0,,9b5237b1
Assane Dioussé,MF,Saint-Étienne,23,0.3,0,0,,7f622eef
Axel Disasi,DF,Monaco,23,30.2,20,2,10.0,ad82197c
Tiago Djaló,DF,Lille,21,25.9,12,5,41.7,b2336681
Alexander Djiku,DF,Strasbourg,26,29.9,15,7,46.7,43e7a164
Bryan Djile Nokoué,DFMF,Saint-Étienne,19,0.6,0,0,,75186a6a
Ouparine Djoco,GK,Clermont Foot,23,23.5,0,0,,62124972
Jeremy Doku,FWMF,Rennes,19,5.2,5,2,40.0,fffea3e5
Kasper Dolberg,FW,Nice,23,16.6,38,13,34.2,cc83b74d
Brandon Domingues,MFFW,Troyes,21,2.6,4,2,50.0,2a00c6c0
Anastasios Donis,FWMF,Reims,24,4.1,10,0,0.0,0f26fd24
Gianluigi Donnarumma,GK,Paris S-G,22,17.0,0,0,,08f5afaa
Jodel Dossou,FW,Clermont Foot,29,22.3,52,17,32.7,a1dbfcb1
Lohann Doucet,MFDF,Nantes,18,0.1,0,0,,dff0c299
Cheick Doucouré,MF,Lens,21,32.7,31,11,35.5,ce4f40c7
Fodé Doucouré,DFFW,Reims,20,1.7,0,0,,1bfe34dc
Ismaël Doukouré,DF,Strasbourg,18,0.2,0,0,,0512a60a
Kamory Doumbia,MFFW,Reims,18,3.9,4,2,50.0,9226aa22
Moussa Doumbia,FW,Reims,26,1.0,3,2,66.7,6481421d
Souleyman Doumbia,DFFW,Angers,24,24.7,14,3,21.4,9daeac61
Julian Draxler,FWMF,Paris S-G,27,6.1,9,3,33.3,1a992676
Matthieu Dreyer,GK,Lorient,32,16.0,0,0,,fbf83734
