Player,Pos,Squad,Age,90s,Sh,SoT,SoT%,-9999
Issa Diop,DF,West Ham,24,10.7,2,2,100.0,a712ca2b
Moussa Djenepo,MF,Southampton,23,5.1,11,1,9.1,254147d4
Lewis Dobbin,FWMF,Everton,18,0.4,0,0,,e814e1cf
Matt Doherty,DF,Tottenham,29,9.7,16,6,37.5,d557d734
Gabriel Dos Santos,DF,Arsenal,23,34.0,29,12,41.4,67ac5bb8
Abdoulaye Doucouré,MF,Everton,28,28.2,34,11,32.4,02b29014
Kieran Dowell,FWMF,Norwich City,23,10.1,8,2,25.0,2f6ec02a
Cody Drameh,DFMF,Leeds United,19,1.4,0,0,,e0d1510a
Martin Dúbravka,GK,Newcastle Utd,32,26.0,0,0,,3a949a25
Shane Duffy,DF,Brighton,29,16.0,22,5,22.7,7314bba4
Paul Dummett,DF,Newcastle Utd,29,2.2,0,0,,3fe6bd8c
Lewis Dunk,DF,Brighton,29,28.6,19,7,36.8,282f75f3
Ederson,GK,Manchester City,27,37.0,0,0,,3bb7b8b4
Odsonne Édouard,FW,Crystal Palace,23,17.4,39,17,43.6,0562b7f1
CJ Egan-Riley,DF,Manchester City,18,0.0,0,0,,d313e8ff
Anthony Elanga,FW,Manchester Utd,19,13.5,21,7,33.3,2fba6108
Harvey Elliott,MF,Liverpool,18,3.8,10,1,10.0,c8387671
Mohamed Elneny,MF,Arsenal,29,9.0,8,2,25.0,47a34c4f
Mohamed Elyounoussi,MFFW,Southampton,26,22.7,43,17,39.5,68dc0dac
Emerson,DFMF,Tottenham,22,25.4,15,4,26.7,df8b52a5
Christian Eriksen,MF,Brentford,29,10.4,22,8,36.4,980522ec
Oghenekaro Etebo,MF,Watford,25,4.5,3,0,0.0,b579e83d
Jonny Evans,DF,Leicester City,33,15.0,3,2,66.7,f8fcd2a5
Eberechi Eze,MFFW,Crystal Palace,23,6.7,10,1,10.0,ae4fc6a4
Łukasz Fabiański,GK,West Ham,36,37.0,0,0,,9328b835
Fabinho,MF,Liverpool,27,25.7,19,7,36.8,7f3b388c
Kiko Femenía,DF,Watford,30,23.8,3,1,33.3,e5d01ecf
Evan Ferguson,MF,Brighton,16,0.3,0,0,,4596da74
Nathan Ferguson,DF,Crystal Palace,20,0.1,0,0,,2f8d27bc
Bruno Fernandes,MF,Manchester Utd,26,34.6,87,29,33.3,507c7bdf
Álvaro Fernández,GK,Brentford,23,12.0,0,0,,f127d782
Federico Fernández,DF,Newcastle Utd,32,5.8,6,1,16.7,f25b010f
Fernandinho,MFDF,Manchester City,36,10.7,18,3,16.7,101da2b5
Roberto Firmino,FW,Liverpool,29,11.0,30,11,36.7,4c370d81
Junior Firpo,DFMF,Leeds United,24,19.0,11,1,9.1,24f59bb2
Ashley Fletcher,FW,Watford,25,0.3,2,1,50.0,eeb6551f
Phil Foden,FW,Manchester City,21,23.6,57,22,38.6,ed1e53f3
Wesley Fofana,DF,Leicester City,20,7.0,3,1,33.3,132a82f1
Pablo Fornals,FWMF,West Ham,25,31.1,43,11,25.6,82927de4
Adam Forshaw,MF,Leeds United,29,17.0,14,4,28.6,9f1938ab
Marcus Forss,FWMF,Brentford,22,2.3,5,0,0.0,82c215a0
Fraser Forster,GK,Southampton,33,19.0,0,0,,c3e39f12
Ben Foster,GK,Watford,38,26.0,0,0,,d0b3ceb9
Tariqe Fosu,DF,Brentford,25,0.2,1,1,100.0,3dcef539
Ryan Fraser,FWMF,Newcastle Utd,27,16.3,24,7,29.2,d56543a0
Fred,MF,Manchester Utd,28,22.5,15,9,60.0,b853e0ad
Ryan Fredericks,DF,West Ham,28,3.4,0,0,,c067631c
Leo Fuhr Hjelde,MFDF,Leeds United,17,1.7,0,0,,d102b8a2
Conor Gallagher,MF,Crystal Palace,21,31.6,52,22,42.3,c2731c10
Alejandro Garnacho,FWMF,Manchester Utd,17,0.1,0,0,,7aa8adfe
Dwight Gayle,FWDF,Newcastle Utd,30,0.4,2,0,0.0,e58a03c6
Jean-Philippe Gbamin,MF,Everton,25,0.7,0,0,,6bd603db
David de Gea,GK,Manchester Utd,30,38.0,0,0,,7ba6d84e
Joe Gelhardt,FWMF,Leeds United,19,8.3,23,9,39.1,01962d0d
Anwar El Ghazi,FWMF,Aston Villa,26,4.3,7,2,28.6,ffa90327
Anwar El Ghazi,FWMF,Everton,26,0.1,0,0,,ffa90327
Saman Ghoddos,MFDF,Brentford,27,6.0,8,3,37.5,f7b1d4e0
Dimitris Giannoulis,DF,Norwich City,25,13.0,2,1,50.0,112c495e
Morgan Gibbs-White,DFFW,Wolves,21,0.1,2,0,0.0,32f60ed8
