Player,Pos,Squad,Age,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,-9999
Matty Cash,DF,Aston Villa,23,8,0,0,38,38,2,98,49,50,0,1,0,190,42,45,48.3,2389cdc2
Timothy Castagne,DF,Leicester City,25,1,0,0,15,7,1,40,29,31,0,0,0,102,39,38,50.6,197640fd
Jonny Castro,DF,Wolves,27,1,0,0,10,16,0,14,13,15,0,0,0,49,11,7,61.1,e28868f3
Craig Cathcart,DF,Watford,32,3,0,0,13,4,0,4,28,15,0,0,0,127,48,34,58.5,89e4b358
Edinson Cavani,FW,Manchester Utd,34,0,0,0,7,5,6,2,2,1,0,0,0,22,7,17,29.2,527f063d
Kayky Chagas,FW,Manchester City,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,17734ea0
Trevoh Chalobah,DF,Chelsea,22,2,0,0,19,14,0,4,19,27,0,1,0,74,32,28,53.3,5515376c
Calum Chambers,DF,Arsenal,26,0,0,0,2,1,0,3,0,3,0,0,0,14,2,1,66.7,dc6f5bdd
Calum Chambers,DF,Aston Villa,26,1,0,0,12,2,0,2,5,8,0,0,0,49,26,25,51.0,dc6f5bdd
Daniel Chesters,MF,West Ham,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,240c8ab6
Ben Chilwell,DF,Chelsea,24,0,0,0,10,15,2,32,4,3,0,1,0,32,7,10,41.2,d2424d1b
Chiquinho,DFFW,Wolves,21,0,0,0,9,8,0,25,2,6,0,0,0,17,4,5,44.4,dc6c2f02
Hamza Choudhury,DFMF,Leicester City,23,1,0,0,4,5,0,0,12,3,0,0,0,15,10,2,83.3,7d2d3329
Andreas Christensen,DF,Chelsea,25,2,0,0,11,7,0,1,29,8,0,0,0,110,48,38,55.8,1cb49278
Carney Chukwuemeka,MFFW,Aston Villa,17,0,0,0,3,9,0,0,1,1,0,0,0,16,7,9,43.8,b2f9c73e
Ciaran Clark,DF,Newcastle Utd,31,2,1,0,6,5,1,1,13,10,0,1,0,49,26,15,63.4,2b91cf8e
