,,,,Play,Play,Play,Play,Perf,Perf,Perf,Perf,-additional
Kevin Bonifazi,DF,Bologna,25,22,14,1210,13.4,0,0,4,1,fb77bfef
Leonardo Bonucci,DF,Juventus,34,24,22,2005,22.3,5,0,1,0,52ec54d0
Mehdi Bourabia,MF,Spezia,29,8,2,282,3.1,1,0,0,0,0d077b88
Edoardo Bove,MFDF,Roma,19,11,0,68,0.8,1,0,0,0,ae94a6c5
Josip Brekalo,MF,Torino,23,32,26,2286,25.4,7,2,1,0,d4a2533d
Gleison Bremer,DF,Torino,24,33,33,2890,32.1,3,1,7,0,5fd5ed86
Marcelo Brozović,MF,Inter,28,35,35,2937,32.6,2,1,7,0,33b8d077
Aleksander Buksa,FW,Genoa,18,4,0,63,0.7,0,0,0,0,59f2d958
Alessandro Buongiorno,DF,Torino,22,23,12,1181,13.1,0,1,5,0,4ae67f27
Gianluca Busio,MF,Venezia,19,29,23,1950,21.7,1,1,8,0,4a0b7f07
Jovane Cabral,FW,Lazio,23,3,2,190,2.1,1,0,0,0,e34e086c
Liberato Cacace,DF,Empoli,20,10,5,466,5.2,0,0,1,0,dd86e8e4
Martín Cáceres,DF,Cagliari,34,14,9,832,9.2,1,1,3,1,e94d79e3
Felipe Caicedo,FW,Genoa,32,9,1,284,3.2,1,2,1,0,93b891d1
Felipe Caicedo,FWDF,Inter,32,3,0,23,0.3,0,0,0,0,93b891d1
Davide Calabria,DF,Milan,24,26,24,2119,23.5,2,2,2,0,2146785a
Riccardo Calafiori,DF,Genoa,19,3,1,82,0.9,0,0,1,0,aded8e6f
Riccardo Calafiori,DF,Roma,19,6,2,174,1.9,0,1,2,0,aded8e6f
Mattia Caldara,DF,Venezia,27,31,30,2704,30.0,1,0,9,0,ac7e640b
Hakan Çalhanoğlu,MF,Inter,27,34,33,2480,27.6,7,12,11,0,cd0fa27b
José Callejón,FW,Fiorentina,34,30,16,1298,14.4,1,2,0,0,78841da9
Andrea Cambiaso,DF,Genoa,21,26,21,1790,19.9,1,4,5,1,247ed022
Matteo Cancellieri,MFDF,Hellas Verona,19,12,1,227,2.5,1,0,1,0,b6a1cdf9
Antonio Candreva,MFFW,Sampdoria,34,36,36,3119,34.7,7,10,6,1,356c9002
Leonardo Capezzi,MF,Salernitana,26,5,2,175,1.9,0,0,0,0,07ea0ef2
Gianluca Caprari,MFFW,Hellas Verona,28,35,33,2739,30.4,12,7,4,0,54e53b7e
Francesco Caputo,FW,Sampdoria,33,36,31,2790,31.0,11,3,0,0,5bd72174
Francesco Caputo,FW,Sassuolo,33,2,2,156,1.7,0,1,1,0,5bd72174
Andrea Carboni,DF,Cagliari,20,30,25,2215,24.6,0,0,6,0,f7e2af2c
Nicolò Casale,DF,Hellas Verona,23,36,30,2586,28.7,0,1,10,0,3f5f38fb
Francesco Cassata,MF,Genoa,24,1,0,7,0.1,0,0,0,0,96960855
Samu Castillejo,FWMF,Milan,26,5,1,125,1.4,0,0,1,0,130a7a3f
Gaetano Castrovilli,MF,Fiorentina,24,23,16,1391,15.5,1,1,4,0,0728bebe
Danilo Cataldi,MF,Lazio,26,32,19,1707,19.0,1,2,8,0,ba3d3bea
Pietro Ceccaroni,DF,Venezia,25,35,35,3122,34.7,2,1,7,1,4d1efb48
Federico Ceccherini,DF,Hellas Verona,29,34,29,2358,26.2,1,0,12,1,d9624b51
Emil Ceide,FWMF,Sassuolo,19,6,0,53,0.6,0,0,0,0,98a84572
Luca Ceppitelli,DF,Cagliari,31,24,16,1445,16.1,1,1,3,0,7d50454d
Damir Ceter,FW,Cagliari,23,1,0,6,0.1,0,0,0,0,eade5337
Julian Chabot,DF,Sampdoria,23,11,4,490,5.4,0,0,5,0,ae7058f9
Giorgio Chiellini,DF,Juventus,36,21,16,1354,15.0,0,0,2,0,e85fb9b8
Federico Chiesa,MFFW,Juventus,23,14,11,863,9.6,2,2,0,0,b0f7e36c
Vlad Chiricheș,DF,Sassuolo,31,29,27,2300,25.6,0,0,4,0,c316607a
Riccardo Ciervo,MFDF,Sampdoria,19,10,1,227,2.5,0,1,0,0,da77b60b
Moustapha Cissé,FW,Atalanta,17,3,0,38,0.4,1,0,0,0,ee3c4b3f
Giorgio Cittadini,DF,Atalanta,19,2,0,4,0.0,0,0,0,0,e4ba67f2
Ebrima Colley,FWMF,Spezia,21,11,3,394,4.4,0,0,1,0,bf356094
Omar Colley,DF,Sampdoria,28,32,31,2745,30.5,0,0,6,1,8b95acda
Andrea Consigli,GK,Sassuolo,34,37,37,3322,36.9,0,0,2,0,8cabdc1e
Andrea Conti,DFMF,Sampdoria,27,7,2,234,2.6,1,0,1,0,8fef5412
Andrea Conti,DF,Milan,27,1,0,13,0.1,0,0,0,0,8fef5412
Diego Coppola,DF,Hellas Verona,17,4,3,249,2.8,0,0,0,0,22ae86f9
Joaquín Correa,FW,Inter,26,26,12,1025,11.4,6,1,2,0,45b9b619
Lassana Coulibaly,MF,Salernitana,25,31,29,2332,25.9,0,0,3,0,85a44ecc
Mamadou Coulibaly,MF,Salernitana,22,12,9,808,9.0,2,0,1,0,c976160c
Alessio Cragno,GK,Cagliari,27,35,35,3150,35.0,0,0,3,0,f554e29b
Domenico Criscito,DF,Genoa,34,20,18,1618,18.0,6,1,4,0,35dd6d80
Bryan Cristante,MF,Roma,26,34,29,2678,29.8,2,0,9,0,16657b95
Domen Črnigoj,MF,Venezia,25,34,22,1881,20.9,3,1,3,0,22cd43d2
Giovanni Crociata,FW,Empoli,23,1,0,15,0.2,0,0,0,0,8c964914
Juan Cuadrado,DFMF,Juventus,33,33,28,2487,27.6,4,3,9,0,0ab1f153
Mickaël Cuisance,MF,Venezia,21,13,13,918,10.2,0,0,2,0,5722eced
Patrick Cutrone,FW,Empoli,23,28,15,1401,15.6,3,0,1,0,a4fe8cda
Danilo D'Ambrosio,DF,Inter,32,20,9,1000,11.1,1,1,2,0,44eb9093
Mikkel Damsgaard,MFFW,Sampdoria,21,11,6,578,6.4,0,0,1,0,215f3907
Danilo,DFMF,Juventus,30,22,22,1893,21.0,1,2,6,0,94b2001f
Ebrima Darboe,MF,Roma,20,1,1,63,0.7,0,0,0,0,cf043a33
Matteo Darmian,DF,Inter,31,25,18,1507,16.7,2,1,4,0,96e0490d
Paweł Dawidowicz,DF,Hellas Verona,26,17,13,1198,13.3,0,0,3,0,16bb656a
Sebastien De Maio,DF,Udinese,34,2,2,180,2.0,0,0,0,0,952a03fe
Tommaso De Nipoti,FW,Atalanta,18,1,0,6,0.1,0,0,0,0,7f9d956a
Mattia De Sciglio,DF,Juventus,28,20,13,1168,13.0,1,2,2,1,ae4e2852
Lorenzo De Silvestri,DF,Bologna,33,31,27,2294,25.5,3,2,7,0,e74f0e59
Grégoire Defrel,FW,Sassuolo,30,38,11,1362,15.1,2,2,3,0,854ee61a
Alessandro Deiola,MF,Cagliari,25,33,28,2129,23.7,4,1,5,0,7f267d66
Filippo Delli Carri,DF,Salernitana,22,5,3,334,3.7,0,0,1,0,d2e8fd9b
Merih Demiral,DF,Atalanta,23,28,22,1917,21.3,1,2,8,0,e3cceee6
Diego Demme,MF,Napoli,29,19,7,692,7.7,1,0,4,0,dc3fa3b5
Fabio Depaoli,DF,Hellas Verona,24,18,7,703,7.8,1,1,3,0,d97f2e8d
Fabio Depaoli,MFDF,Sampdoria,24,6,1,112,1.2,0,0,1,0,d97f2e8d
Mattia Destro,FW,Genoa,30,27,21,1744,19.4,9,1,4,0,d7d32194
Gerard Deulofeu,FWMF,Udinese,27,34,31,2616,29.1,13,5,9,0,39583cfd
Jacopo Dezi,MF,Venezia,29,1,0,16,0.2,0,0,0,0,e921b9db
Samuel Di Carmine,FW,Hellas Verona,32,1,0,36,0.4,0,0,1,0,ef94dc2f
Federico Di Francesco,FWMF,Empoli,27,26,17,1367,15.2,5,0,2,0,1fca9171
Giovanni Di Lorenzo,DF,Napoli,27,33,33,2869,31.9,1,4,3,0,230a2fac
Francesco Di Mariano,FW,Venezia,25,1,1,62,0.7,0,0,0,0,35a2557c
Francesco Di Tacchio,MF,Salernitana,31,18,14,1255,13.9,0,0,3,0,b5c3ff9f
Amadou Diawara,MF,Roma,24,4,2,170,1.9,0,0,0,0,bf309d24
Brahim Díaz,MF,Milan,21,31,25,1855,20.6,3,3,4,0,407feb71
Mitchell Dijks,DFFW,Bologna,28,16,7,694,7.7,0,2,2,0,0a3065c8
Federico Dimarco,DF,Inter,23,32,13,1430,15.9,2,3,1,0,970b8574
Filippo Distefano,FW,Fiorentina,17,1,0,2,0.0,0,0,0,0,2110f96c
Koffi Djidji,DF,Torino,28,25,21,1735,19.3,0,0,6,1,933d3b51
Berat Djimsiti,DF,Atalanta,28,31,25,2256,25.1,1,1,6,0,6eee05f1
Nicolás Domínguez,MF,Bologna,23,28,23,2015,22.4,0,3,8,0,20b3a502
Bartłomiej Drągowski,GK,Fiorentina,23,7,7,556,6.2,0,0,0,1,085e71a7
Radu Drăgușin,DF,Sampdoria,19,13,4,620,6.9,0,0,1,0,620922ed
Radu Drăgușin,DF,Salernitana,19,7,5,488,5.4,0,0,1,0,620922ed
Denzel Dumfries,DF,Inter,25,33,21,2028,22.5,5,4,3,0,481c9ece
Alfred Duncan,MF,Fiorentina,28,33,21,1931,21.5,2,2,3,0,528492ea
Paulo Dybala,FWMF,Juventus,27,29,26,2061,22.9,10,5,3,0,e0921a4f
Edin Džeko,FW,Inter,35,36,27,2469,27.4,13,6,2,0,3bb7f478
Tyronne Ebuehi,DF,Venezia,25,19,12,1138,12.6,0,0,1,1,6af30900
Éderson,MF,Salernitana,22,15,13,1147,12.7,2,1,5,0,a9202def
Albin Ekdal,MF,Sampdoria,32,26,19,1637,18.2,1,0,11,1,f503ea63
Caleb Ekuban,FWMF,Genoa,27,30,18,1716,19.1,1,2,2,0,7afbd2c3
Elif Elmas,FWMF,Napoli,21,37,12,1620,18.0,3,4,3,0,cf007308
Martin Erlic,DF,Spezia,23,30,30,2576,28.6,2,0,5,0,0fee6bda
Gonzalo Escalante,MF,Lazio,28,1,0,9,0.1,0,0,0,0,3f79a1c8
Diego Falcinelli,FW,Bologna,30,6,0,66,0.7,0,0,0,0,a39b9ef6
Wladimiro Falcone,GK,Sampdoria,26,10,9,855,9.5,0,0,2,0,9f5a610b
Paolo Faragò,MF,Cagliari,28,1,0,16,0.2,0,0,0,0,9085dd7c
Davide Faraoni,DF,Hellas Verona,29,32,30,2572,28.6,4,5,8,1,aae9d04a
Mohamed Fares,DFFW,Genoa,25,9,6,587,6.5,2,1,2,0,b7a5bc86
Diego Farias,MFFW,Cagliari,31,4,0,66,0.7,0,0,0,0,157d29b6
Andrea Favilli,FW,Genoa,24,1,0,36,0.4,0,0,0,0,44510fde
Federico Fazio,DF,Salernitana,34,16,16,1434,15.9,1,0,3,1,4e358a2d
Luiz Felipe,DF,Lazio,24,31,28,2491,27.7,0,0,9,1,15d0c248
Alex Ferrari,DF,Sampdoria,27,23,20,1643,18.3,1,0,4,0,d0dbca9f
Salvador Ferrer,DFMF,Spezia,23,27,14,1495,16.6,0,3,3,0,eb76987d
Riccardo Fiamozzi,DF,Empoli,28,10,7,620,6.9,0,1,1,0,9f9b9269
Luca Fiordilino,MF,Venezia,25,15,5,661,7.3,0,0,2,0,9bb1ad91
Vincenzo Fiorillo,GK,Salernitana,31,1,1,90,1.0,0,0,0,0,a2565f79
Alessandro Florenzi,DFFW,Milan,30,24,12,1152,12.8,2,0,2,0,e288d4b3
Fernando Forestieri,FWMF,Udinese,31,4,0,58,0.6,2,1,1,0,d60c26fc
Francesco Forte,FW,Venezia,28,12,4,422,4.7,1,0,3,0,69e11a01
Gianluca Frabotta,DFMF,Hellas Verona,22,2,0,20,0.2,0,0,0,0,d80b1835
Davide Frattesi,MF,Sassuolo,21,36,35,2854,31.7,4,3,6,0,2a7d27c1
Morten Frendrup,DFMF,Genoa,20,10,6,695,7.7,0,0,1,0,f4d60499
Remo Freuler,MF,Atalanta,29,29,28,2369,26.3,1,3,10,0,98d2c2c4
Matteo Gabbia,DF,Milan,21,8,6,537,6.0,0,0,3,0,c235e803
Manolo Gabbiadini,FWMF,Sampdoria,29,18,15,1140,12.7,6,2,3,0,8f866fe8
Gianluca Gaetano,MF,Napoli,21,2,0,20,0.2,0,0,0,0,3b387cc7
Luca Gagliano,FWDF,Cagliari,21,2,0,13,0.1,0,0,0,0,1d00a56c
Roberto Gagliardini,MF,Inter,27,18,6,649,7.2,2,2,2,0,ce30bfc8
Riccardo Gagliolo,DF,Salernitana,31,17,12,1138,12.6,0,1,2,0,173061c0
Nicolas Galazzi,MF,Venezia,20,1,0,16,0.2,0,0,0,0,a796492f
Pablo Galdames Millán,MF,Genoa,24,19,11,1028,11.4,0,0,2,0,dd403465
Luca Gemello,GK,Torino,21,1,1,90,1.0,0,0,0,0,53e494ec
Paolo Ghiglione,DF,Genoa,24,13,6,603,6.7,0,1,3,0,71dc23da
Faouzi Ghoulam,DF,Napoli,30,14,3,332,3.7,0,0,1,0,c5adc293
Sebastian Giovinco,MF,Sampdoria,34,2,0,39,0.4,0,0,0,0,2b7c18ae
Olivier Giroud,FW,Milan,34,29,22,1892,21.0,11,3,4,0,16ceb862
Diego Godín,DF,Cagliari,35,11,9,818,9.1,0,1,3,0,fc4f85b1
Edoardo Goldaniga,DF,Cagliari,27,11,11,934,10.4,0,0,3,0,4b029b31
Edoardo Goldaniga,DFMF,Sassuolo,27,1,0,1,0.0,0,0,0,0,4b029b31
Cedric Gondo,FW,Salernitana,24,14,10,699,7.8,1,0,1,0,ff37d2ef
Nicolás González,FW,Fiorentina,23,33,26,2357,26.2,7,6,4,1,2374aaca
Robin Gosens,DF,Atalanta,27,6,5,460,5.1,1,0,2,0,2d970560
Robin Gosens,DF,Inter,27,7,0,169,1.9,0,1,1,0,2d970560
Alberto Grassi,MF,Cagliari,26,30,26,2174,24.2,0,1,6,1,6cc97b6a
Koray Günter,DF,Hellas Verona,26,30,29,2411,26.8,0,0,10,0,f1f1f238
Albert Guðmundsson,FWMF,Genoa,24,12,6,607,6.7,1,0,3,0,b79858d5
Emmanuel Gyasi,FWMF,Spezia,27,36,35,3035,33.7,6,0,10,0,f9758dae
Norbert Gyömbér,DF,Salernitana,29,31,30,2563,28.5,0,0,9,0,0be276c6
Nicolas Haas,MF,Empoli,25,16,11,1001,11.1,0,2,3,0,fa449bba
Samir Handanović,GK,Inter,37,37,37,3330,37.0,0,0,1,0,74419746
Ridgeciano Haps,DF,Venezia,28,25,24,2056,22.8,1,1,6,0,c8d7131c
Abdou Harroui,MF,Sassuolo,23,22,3,452,5.0,0,0,2,0,65fd099c
Hans Hateboer,DFMF,Atalanta,27,21,16,1386,15.4,0,0,2,0,3b333ac3
Silvan Hefti,DF,Genoa,23,16,14,1288,14.3,0,0,1,0,f8342731
Liam Henderson,MF,Empoli,25,38,23,2020,22.4,2,3,4,0,d7918b13
Dalbert Henrique,DFMF,Cagliari,27,28,27,2081,23.1,0,2,9,0,f45f9427
Matheus Henrique,MF,Sassuolo,23,25,10,1078,12.0,0,1,3,0,a2d9f138
Thomas Henry,FW,Venezia,26,33,23,2115,23.5,9,2,6,1,9ef42479
Theo Hernández,DF,Milan,23,32,30,2711,30.1,5,5,7,2,d4c9725f
Hernani,MFFW,Genoa,27,18,7,682,7.6,0,0,0,0,6f5ead86
Daan Heymans,MFFW,Venezia,22,7,2,256,2.8,0,1,4,0,6d70c771
Aaron Hickey,DF,Bologna,19,36,34,2820,31.3,5,1,7,0,1780bb4a
Martin Hongla,MF,Hellas Verona,23,18,7,651,7.2,1,0,3,0,b85bf253
Sydney van Hooijdonk,FWMF,Bologna,21,4,0,38,0.4,0,0,0,0,5b418e15
Petko Hristov,DF,Spezia,22,17,13,1248,13.9,1,1,3,0,d8800a46
Elseid Hysaj,DF,Lazio,27,29,24,2027,22.5,1,0,3,0,2f3452eb
Roger Ibanez,DF,Roma,22,34,32,2889,32.1,3,0,9,0,82efe6fa
Zlatan Ibrahimović,FW,Milan,39,23,11,1016,11.3,8,2,2,0,4cde5509
Igor,DF,Fiorentina,23,30,23,2242,24.9,0,0,3,0,a4e85758
Jonathan Ikone,FW,Fiorentina,23,17,7,649,7.2,1,1,1,0,42eaa028
Ivan Ilić,MF,Hellas Verona,20,32,30,2526,28.1,1,3,5,1,bb376bed
Josip Iličić,MFFW,Atalanta,33,20,8,841,9.3,3,3,1,0,68252d6d
Ciro Immobile,FW,Lazio,31,31,31,2711,30.1,27,2,4,0,4431aed2
Lorenzo Insigne,FW,Napoli,30,32,28,2290,25.4,11,8,2,0,2f557579
Ardian Ismajli,DF,Empoli,24,20,13,1272,14.1,0,0,7,0,6b635f5c
Armando Izzo,DF,Torino,29,11,6,526,5.8,0,0,4,0,89976232
Mato Jajalo,MF,Udinese,33,22,6,629,7.0,0,1,2,0,8c65eb5f
Paweł Jaroszyński,DF,Salernitana,26,13,4,516,5.7,0,0,2,0,958a601f
Juan Jesus,DF,Napoli,30,21,14,1278,14.2,1,0,1,0,79083382
Dennis Johnsen,FWMF,Venezia,23,26,17,1445,16.1,1,2,2,0,66784dee
Kaio Jorge,MFFW,Juventus,19,9,0,121,1.3,0,0,0,0,0cf465f2
Flavio Junior Bianchi,FWMF,Genoa,21,7,4,314,3.5,1,0,0,0,3ef965c1
Hamed Junior Traorè,FWMF,Sassuolo,21,31,21,1775,19.7,7,2,3,0,570bb4b9
Nikola Kalinić,FW,Hellas Verona,33,14,4,406,4.5,4,1,5,1,d4931a5a
Yayah Kallon,FWMF,Genoa,20,15,5,636,7.1,0,1,3,0,f95f49d2
Pierre Kalulu,DF,Milan,21,28,21,1944,21.6,1,2,4,0,85f7d1be
Dimitrije Kamenović,DF,Lazio,21,1,0,45,0.5,0,0,0,0,d3e0c826
Rick Karsdorp,DFFW,Roma,26,36,32,2883,32.0,0,2,9,1,9f84febe
Denso Kasius,DFFW,Bologna,18,7,1,180,2.0,0,0,0,0,7ae36711
Grigoris Kastanos,MFFW,Salernitana,23,27,16,1348,15.0,1,1,4,1,2a82aa85
Moise Kean,FW,Juventus,21,32,12,1098,12.2,5,2,5,0,3d50bcdb
Wajdi Kechrida,DFMF,Salernitana,25,17,10,952,10.6,0,1,0,0,11962fe7
Dimitrios Keramitsis,MF,Roma,17,1,0,1,0.0,0,0,0,0,6f30a1d5
Franck Kessié,MF,Milan,24,31,25,2308,25.6,6,0,2,0,05e19d6a
Jakub Kiwior,MF,Spezia,21,22,21,1964,21.8,0,0,6,0,dc3e663e
Sofian Kiyine,MFFW,Venezia,23,26,14,1239,13.8,1,0,8,1,ce1806be
Simon Kjær,DF,Milan,32,11,10,802,8.9,0,0,2,0,8b8a56ce
Aleksandr Kokorin,FWMF,Fiorentina,30,6,0,55,0.6,0,0,1,0,fec5accc
Aleksandar Kolarov,DF,Inter,35,3,0,42,0.5,0,0,0,0,eda40760
Teun Koopmeiners,MF,Atalanta,23,30,23,2126,23.6,4,1,4,0,a26fb8aa
Kalidou Koulibaly,DF,Napoli,30,27,27,2405,26.7,3,1,5,1,da974c7b
Christos Kourfalidis,MFFW,Cagliari,18,2,0,18,0.2,0,0,0,0,5c522c88
Viktor Kovalenko,MF,Spezia,25,26,16,1325,14.7,1,3,4,0,9d60028d
Julian Kristoffersen,FW,Salernitana,24,1,0,7,0.1,0,0,0,0,b804c280
Rade Krunić,MFFW,Milan,27,28,15,1416,15.7,0,1,2,0,817c6964
Dejan Kulusevski,FWMF,Juventus,21,20,5,772,8.6,1,3,1,0,df3cda47
Marash Kumbulla,DF,Roma,21,17,13,1025,11.4,0,0,6,0,a40819d9
Giorgos Kyriakopoulos,DFFW,Sassuolo,25,29,22,1975,21.9,0,5,6,1,0a483542
Andrea La Mantia,FWMF,Empoli,30,18,3,488,5.4,2,0,0,0,c375dfa5
Sam Lammers,FWMF,Atalanta,24,2,0,38,0.4,0,0,0,0,c283ddef
Kevin Lasagna,MFFW,Hellas Verona,28,28,11,1184,13.2,2,4,1,0,09538fdb
Darko Lazović,DF,Hellas Verona,30,34,32,2766,30.7,1,7,2,0,5128bde4
Manuel Lazzari,DF,Lazio,27,31,16,1665,18.5,3,3,3,0,02caf6e0
Patrick Leal,FW,Venezia,18,1,0,2,0.0,0,0,0,0,d97ec0d1
Rafael Leão,FW,Milan,22,34,31,2605,28.9,11,10,4,0,20730eae
Lucas Leiva,MF,Lazio,34,35,19,1697,18.9,0,0,9,0,4c78b5ed
Luca Lezzerini,GK,Venezia,26,6,6,495,5.5,0,0,2,0,c9c32262
Ben Lhassine Kone,MF,Torino,21,1,0,81,0.9,0,0,0,0,7452c7a8
Matthijs de Ligt,DF,Juventus,21,31,29,2674,29.7,3,1,4,1,d6e53a3a
