Player,Pos,Squad,Age,SCA,-9999
Valon Berisha,MFFW,Reims,28,10,d5575935
Paul Bernardoni,GK,Angers,24,1,28dabd43
Paul Bernardoni,GK,Saint-Étienne,24,0,28dabd43
Juan Bernat,DFMF,Paris S-G,28,10,433dc9a2
Dimitry Bertaud,GK,Montpellier,23,2,380a15e2
Jason Berthomier,MF,Clermont Foot,31,89,03e91055
Giulian Biancone,DFMF,Troyes,21,45,de40e38c
El Bilal Touré,FW,Reims,19,28,47c609d5
Jean-Claude Billong,DF,Clermont Foot,27,4,a3e1d20d
Nathan Bitu Mazala,DF,Paris S-G,18,0,0f697e02
Marco Bizot,GK,Brest,30,6,3d214e5f
Ludovic Blas,MFFW,Nantes,23,107,6191093d
Myron Boadu,FW,Monaco,20,22,5b479568
Jérôme Boateng,DF,Lyon,32,23,2db2fd7b
Antonin Bobichon,MFFW,Angers,25,2,7d937aa1
Quentin Boisgard,MFFW,Lorient,24,27,f6496133
Charles Boli,MFDF,Lens,22,1,bbdd999a
Sven Botman,DF,Lille,21,18,ccce7025
Denis Bouanga,FWMF,Saint-Étienne,26,87,0b0cbe5b
Hicham Boudaoui,MF,Nice,21,32,f9d5908e
Ryad Boudebouz,MFFW,Saint-Étienne,31,96,1001ae82
Sofiane Boufal,FWMF,Angers,27,137,b0c71810
Farid Boulaya,MFFW,Metz,28,46,a0791826
Ismaëlben Boura,DF,Lens,20,0,62e02107
Benjamin Bourigeaud,FWMF,Rennes,27,176,20e73fac
Redwan Bourles,MFFW,Lorient,18,0,5c7895a0
Domagoj Bradarić,DF,Lille,21,10,8bbe2df5
Bilal Brahimi,MF,Nice,21,18,02bcaf8e
Bilal Brahimi,FW,Angers,21,14,02bcaf8e
Lilian Brassier,DF,Brest,21,20,5b146df3
Jimmy Briand,FWMF,Bordeaux,35,18,f83c8d6c
Dylan Bronn,DF,Metz,26,15,edd81e2a
Osman Bukari,FWMF,Nantes,22,34,eab85789
Maxime Busi,DF,Reims,21,30,7b082ec2
Oriol Busquets,MF,Clermont Foot,22,4,49712367
Marcin Bułka,GK,Nice,21,0,db87a2c4
Rémy Cabella,MFFW,Montpellier,31,16,148e136f
Jimmy Cabot,DF,Angers,27,36,46359159
Anthony Caci,DF,Strasbourg,24,55,0118c54c
Mathieu Cafaro,MFFW,Reims,24,4,2a657da0
Yannick Cahuzac,MF,Lens,36,3,677ee102
Marc-Aurèle Caillard,GK,Metz,27,0,5ee6e943
Jens Cajuste,MFFW,Reims,21,7,928a4a61
Duje Ćaleta-Car,DF,Marseille,24,11,94f8d10c
Lucas Calodat,DF,Saint-Étienne,19,0,7a72e960
Mahdi Camara,MFDF,Saint-Étienne,23,79,8577e60a
Mamadou Camara,FW,Troyes,20,1,316e70c7
Eduardo Camavinga,MF,Rennes,18,4,7b9c2d84
Fali Candé,DF,Metz,23,17,3cc4bb19
Pierrick Capelle,MFDF,Angers,34,32,79b2399c
Maxence Caqueret,MF,Lyon,21,63,f81ef10d
Irvin Cardona,FWMF,Brest,23,27,5e080f73
Igor Carioca,DF,Lorient,24,31,e3e32fbb
Moreto Cassamã,MF,Reims,23,25,f54d2149
Jean-Charles Castelletto,DF,Nantes,26,17,e0f3a1f6
Zeki Çelik,DF,Lille,24,52,31a62dc7
Fabien Centonze,DF,Metz,25,27,3c6bbbab
Leonardo César Jardim,GK,Lille,26,,f5dfc256
El Chadaille Bitshiabu,DF,Paris S-G,16,0,2180c761
Nassim Chadli,MFDF,Troyes,20,3,5c61496e
Mehdi Chahiri,DF,Strasbourg,25,1,1787195f
Dylan Chambost,MFFW,Troyes,23,21,dbde4959
Brendan Chardonnet,DF,Brest,26,19,16aa7d4c
Xavier Chavalerin,MF,Troyes,30,57,279ddf6a
Xavier Chavalerin,MF,Reims,30,5,279ddf6a
Rayan Cherki,FWMF,Lyon,17,22,b34c63a5
Pedro Chirivella,MF,Nantes,24,61,68a26d51
Joris Chotard,MF,Montpellier,19,37,7909ffa4
Alexis Claude-Maurice,MF,Nice,23,12,741418c3
Jonathan Clauss,DF,Lens,28,142,5219ab4a
Marcus Coco,MFFW,Nantes,25,17,3010aefb
Abdu Conté,DF,Troyes,23,23,cfa49cc1
Sébastien Corchia,DF,Nantes,30,27,0e7ccfc4
Maxwel Cornet,DF,Lyon,24,2,beb391dd
David Pereira da Costa,MFFW,Lens,20,70,59948ef7
Benoît Costil,GK,Bordeaux,34,6,2434f24a
Kalifa Coulibaly,FW,Nantes,29,15,9980269a
Nicolas Cozza,DF,Montpellier,22,32,8f325097
Enzo Crivelli,FWMF,Saint-Étienne,26,0,06f33dc8
Wylan Cyprien,MF,Nantes,26,61,3e092724
Lucas Da Cunha,MF,Nice,20,23,007faf7a
Lucas Da Cunha,FWMF,Clermont Foot,20,22,007faf7a
Damien Da Silva,DF,Lyon,33,9,1ec7e1c5
Colin Dagba,DF,Paris S-G,22,4,29c02c9f
Flavius Daniliuc,DF,Nice,20,11,7ef972c3
Kevin Danso,DF,Lens,22,25,6e33125f
Dante,DF,Nice,37,27,fd2bc67d
Jonathan David,FW,Lille,21,77,ce50fd99
Konrad De La Fuente,FWMF,Marseille,20,22,4b77bb89
Romain Del Castillo,MFFW,Rennes,25,2,0be95d34
Romain Del Castillo,MFFW,Brest,25,34,0be95d34
Thomas Delaine,DF,Metz,29,50,8332db56
Sacha Delaye,MFFW,Montpellier,19,7,e4448c8c
Andy Delort,FW,Nice,29,65,d33c706e
Andy Delort,FW,Montpellier,29,12,d33c706e
Moussa Dembélé,FW,Lyon,25,63,e7986081
Jason Denayer,DF,Lyon,26,4,47af88b8
Arthur Desmas,GK,Clermont Foot,27,0,e8c5dd4d
Ángel Di María,FW,Paris S-G,33,104,19cda00b
Yadaly Diaby,FWMF,Clermont Foot,20,1,5630a6e0
Ibrahim Diakité,MF,Reims,17,0,d8c19a60
Abdou Diallo,DF,Paris S-G,25,6,fc62f087
Habib Diallo,FW,Strasbourg,26,33,6605d143
Mouhamadou Diarra,MF,Strasbourg,17,0,6d0fe035
Stéphane Diarra,MFFW,Lorient,22,31,29939a1d
Krépin Diatta,MFDF,Monaco,22,4,8104e41e
Bamba Dieng,FW,Marseille,21,20,40774c6b
Elhadji Dieye,FWMF,Saint-Étienne,19,0,6a04bb7c
Javairô Dilrosun,MFFW,Bordeaux,23,83,34a0f5ff
Junior Dina Ebimbe,MF,Paris S-G,20,4,95bb6ddc
Tristan Dingomé,MFFW,Troyes,30,40,92b56413
Sinaly Diomande,DF,Lyon,20,4,6de23ab0
Sofiane Diop,MFFW,Monaco,21,78,19053e31
Andy Diouf,MF,Rennes,18,1,9b5237b1
Assane Dioussé,MF,Saint-Étienne,23,0,7f622eef
Axel Disasi,DF,Monaco,23,13,ad82197c
Tiago Djaló,DF,Lille,21,24,b2336681
Alexander Djiku,DF,Strasbourg,26,34,43e7a164
Bryan Djile Nokoué,DFMF,Saint-Étienne,19,0,75186a6a
Ouparine Djoco,GK,Clermont Foot,23,2,62124972
Jeremy Doku,FWMF,Rennes,19,24,fffea3e5
Kasper Dolberg,FW,Nice,23,31,cc83b74d
Brandon Domingues,MFFW,Troyes,21,6,2a00c6c0
Anastasios Donis,FWMF,Reims,24,5,0f26fd24
Gianluigi Donnarumma,GK,Paris S-G,22,0,08f5afaa
Jodel Dossou,FW,Clermont Foot,29,66,a1dbfcb1
Lohann Doucet,MFDF,Nantes,18,1,dff0c299
Cheick Doucouré,MF,Lens,21,96,ce4f40c7
Fodé Doucouré,DFFW,Reims,20,4,1bfe34dc
Ismaël Doukouré,DF,Strasbourg,18,0,0512a60a
Kamory Doumbia,MFFW,Reims,18,11,9226aa22
Moussa Doumbia,FW,Reims,26,3,6481421d
Souleyman Doumbia,DFFW,Angers,24,42,9daeac61
Julian Draxler,FWMF,Paris S-G,27,15,1a992676
Matthieu Dreyer,GK,Lorient,32,0,fbf83734
Leo Dubois,DF,Lyon,26,45,ff0ab48c
Jean-Kevin Duverne,DF,Brest,24,58,0cbc8baa
Enzo Ebosse,DF,Angers,22,26,9ba7b4fa
Hugo Ekitike,FW,Reims,19,40,5b92d896
Alberth Elis,FWMF,Bordeaux,25,38,104b4ad3
Sepe Elye Wahi,FW,Montpellier,18,24,0d7b6576
Renaud Emond,FWMF,Nantes,29,0,5c9ac7f0
Maxime Estève,DF,Montpellier,19,8,1a066e69
Fábio,DF,Nantes,31,28,bc7b4580
Cesc Fàbregas,MF,Monaco,34,3,33508c78
Wout Faes,DF,Reims,23,23,9c221d14
Romain Faivre,FWMF,Lyon,23,52,745ca0a3
Romain Faivre,MF,Brest,23,82,745ca0a3
Wuilker Faríñez,GK,Lens,23,1,2c127b6f
Noah Fatar,DFMF,Angers,19,0,2693f6bc
Julien Faussurier,MFDF,Brest,34,20,767212e6
Jordan Ferri,MF,Montpellier,29,89,375622c5
Karol Fila,DF,Strasbourg,23,8,50ac8941
