Player,Pos,Squad,Age,Touches,Att,Succ,Succ%,Mis,Dis,-9999
Freddie Woodman,GK,Newcastle Utd,24,128,0,0,,0,0,19e50035
Granit Xhaka,MFDF,Arsenal,28,1786,26,19,73.1,23,23,e61b8aee
Andriy Yarmolenko,FWMF,West Ham,31,147,8,3,37.5,4,1,849c826a
Ashley Young,DFFW,Aston Villa,36,756,16,9,56.3,11,3,be927d03
Nathan Young-Coombes,MF,Brentford,18,1,0,0,,1,0,f9682888
Wilfried Zaha,FW,Crystal Palace,28,1443,152,75,49.3,124,110,b2bc3b1f
Christoph Zimmermann,DF,Norwich City,28,77,1,1,100.0,0,0,2d5f03bf
Oleksandr Zinchenko,DF,Manchester City,24,1169,12,7,58.3,10,6,51cf8561
Hakim Ziyech,MFFW,Chelsea,28,968,65,28,43.1,45,24,6622454d
Kurt Zouma,DF,West Ham,26,1247,3,1,33.3,6,0,ce4246f5
Martin Ødegaard,MFFW,Arsenal,22,1867,46,25,54.3,39,48,79300479
