Player,Pos,Squad,Age,Touches,Att,Succ,Succ%,Mis,Dis,-9999
Tiemoué Bakayoko,MF,Napoli,25,1449,29,25,86.2,27,20,59bf127b
Keita Baldé,FW,Sampdoria,25,473,26,16,61.5,45,15,509a4ccb
Botond Balogh,DF,Parma,18,105,1,1,100.0,1,0,348bafd4
Mattia Bani,DF,Genoa,26,650,1,0,0.0,2,5,0821331c
Mattia Bani,DF,Parma,26,846,0,0,,3,1,0821331c
Antonín Barák,MF,Hellas Verona,25,1598,41,27,65.9,44,28,01efac19
Federico Barba,DF,Benevento,26,1672,8,5,62.5,14,6,c010b898
Nicolò Barella,MF,Inter,23,2236,52,35,67.3,63,28,6928979a
Antonio Barreca,DF,Fiorentina,25,56,0,0,,1,0,6a189491
Musa Barrow,FWMF,Bologna,21,1559,71,34,47.9,103,53,e5bf73f3
Paolo Bartolomei,MF,Spezia,30,150,6,4,66.7,6,3,6029a945
Daniele Baselli,MF,Torino,28,273,7,4,57.1,4,2,ea06dd97
Alessandro Bastoni,DF,Inter,21,2547,15,12,80.0,19,6,75b86fb3
Simone Bastoni,DF,Spezia,23,1272,40,25,62.5,28,19,1ac232b8
Bastos,DF,Lazio,29,52,4,2,50.0,0,3,c01c66d9
Rodrigo Becão,DF,Udinese,24,1693,4,3,75.0,12,9,19e4eab9
Valon Behrami,MF,Genoa,35,310,3,1,33.3,7,2,d3d758d8
Andrea Belotti,FW,Torino,26,1142,81,47,58.0,107,41,d705ba44
Ahmad Benali,MF,Crotone,28,899,20,9,45.0,22,11,a128b07e
Ismaël Bennacer,MF,Milan,22,1140,36,29,80.6,21,15,db092d3b
Rodrigo Bentancur,MF,Juventus,23,2127,51,35,68.6,29,16,3b8674e6
Alessandro Berardi,GK,Hellas Verona,29,12,0,0,,0,0,ec1f737d
Domenico Berardi,FW,Sassuolo,25,1660,63,30,47.6,54,31,53a0e358
Álex Berenguer,MF,Torino,25,63,2,2,100.0,3,2,dc1c2fce
Bartosz Bereszyński,DF,Sampdoria,28,1788,33,18,54.5,27,15,61b3978f
Federico Bernardeschi,MFDF,Juventus,26,707,32,22,68.8,27,12,ee93c1a9
Marco Bertini,MF,Lazio,17,4,1,1,100.0,0,0,4b520f96
Daniel Bessa,MF,Hellas Verona,27,368,5,3,60.0,18,12,88895312
Cristiano Biraghi,DF,Fiorentina,27,1966,29,13,44.8,32,5,9e1577aa
Davide Biraschi,DF,Genoa,26,626,15,6,40.0,12,5,64cd167d
Jeremie Boga,FWMF,Sassuolo,23,1017,153,87,56.9,57,31,fe012aca
Giacomo Bonaventura,MF,Fiorentina,30,1208,60,40,66.7,36,30,d995ed27
Federico Bonazzoli,FW,Torino,23,223,15,8,53.3,15,8,bf57eaab
Federico Bonazzoli,FW,Sampdoria,23,35,2,2,100.0,3,3,bf57eaab
Kevin Bonifazi,DF,Udinese,24,1613,16,13,81.3,19,3,fb77bfef
Leonardo Bonucci,DF,Juventus,33,1702,5,4,80.0,5,2,52ec54d0
Mehdi Bourabia,MF,Sassuolo,28,444,15,8,53.3,9,4,0d077b88
Edoardo Bove,MF,Roma,18,12,0,0,,0,0,ae94a6c5
Jayden Braaf,FW,Udinese,17,41,5,4,80.0,6,1,c609e90e
Gleison Bremer,DF,Torino,23,2059,12,6,50.0,24,8,5fd5ed86
Marcelo Brozović,MF,Inter,27,2549,12,10,83.3,26,17,33b8d077
Gastón Brugman,MF,Parma,27,1288,19,16,84.2,20,9,e947ee4a
Juan Brunetta,FWMF,Parma,23,255,25,13,52.0,17,8,d60099bc
Gianluigi Buffon,GK,Juventus,42,321,0,0,,0,0,e40d028b
Alessandro Buongiorno,DF,Torino,21,550,3,3,100.0,13,2,4ae67f27
Maxime Busi,DF,Parma,20,937,28,12,42.9,21,5,7b082ec2
Martín Cáceres,DF,Fiorentina,33,1224,8,3,37.5,14,10,e94d79e3
Felipe Caicedo,FW,Lazio,31,376,19,9,47.4,27,6,93b891d1
Arturo Calabresi,DFFW,Bologna,24,7,0,0,,0,0,34bb6fbd
Arturo Calabresi,DF,Cagliari,24,21,1,1,100.0,0,0,34bb6fbd
Davide Calabria,DF,Milan,23,2139,35,20,57.1,29,14,2146785a
Riccardo Calafiori,DF,Roma,18,55,1,0,0.0,2,1,aded8e6f
Mattia Caldara,DF,Atalanta,26,77,0,0,,1,1,ac7e640b
Luca Caldirola,DF,Benevento,29,956,0,0,,3,3,226008f1
Hakan Çalhanoğlu,MFFW,Milan,26,1936,59,36,61.0,76,35,cd0fa27b
Fabrizio Caligara,MFFW,Cagliari,20,87,3,1,33.3,5,3,22ca11f1
José Callejón,FWMF,Fiorentina,33,336,9,6,66.7,10,6,78841da9
Drissa Camara,MF,Parma,18,12,2,1,50.0,0,0,543d9d2b
Antonio Candreva,MF,Sampdoria,33,1891,51,29,56.9,48,11,356c9002
Elio Capradossi,DF,Spezia,24,59,0,0,,1,0,174944a3
Gianluca Caprari,MFFW,Benevento,27,1000,95,52,54.7,71,50,54e53b7e
Francesco Caputo,FW,Sassuolo,32,533,14,6,42.9,37,12,5bd72174
Andrea Carboni,DF,Cagliari,19,749,6,3,50.0,4,2,f7e2af2c
Giuseppe Caso,DFFW,Genoa,21,28,4,2,50.0,4,0,099a2de5
Francesco Cassata,DFFW,Genoa,23,120,3,3,100.0,4,3,96960855
Samu Castillejo,FW,Milan,25,614,47,30,63.8,21,23,130a7a3f
Gaetano Castrovilli,MF,Fiorentina,23,1076,65,30,46.2,67,51,0728bebe
Danilo Cataldi,MF,Lazio,25,466,9,8,88.9,6,2,ba3d3bea
Federico Ceccherini,DF,Hellas Verona,28,1110,15,11,73.3,15,6,d9624b51
Federico Ceccherini,DF,Fiorentina,28,153,0,0,,2,0,d9624b51
Luca Ceppitelli,DF,Cagliari,30,989,2,2,100.0,9,2,7d50454d
Alberto Cerri,FW,Cagliari,24,216,13,8,61.5,15,11,1079c685
Julian Chabot,DF,Spezia,22,1268,11,11,100.0,11,4,ae7058f9
Giorgio Chiellini,DF,Juventus,35,1262,4,2,50.0,5,1,e85fb9b8
Federico Chiesa,DF,Fiorentina,22,158,13,6,46.2,5,5,b0f7e36c
Federico Chiesa,MFDF,Juventus,22,1085,84,48,57.1,40,23,b0f7e36c
Vlad Chiricheș,DF,Sassuolo,30,1828,15,11,73.3,11,5,c316607a
Luca Cigarini,MF,Crotone,34,858,12,8,66.7,10,10,ae64d449
Antonio Cioffi,FW,Napoli,17,13,1,1,100.0,1,0,3f1107d5
Ebrima Colley,MFFW,Hellas Verona,20,371,31,18,58.1,34,19,bf356094
Omar Colley,DF,Sampdoria,27,1679,3,2,66.7,8,1,8b95acda
Simone Colombi,GK,Parma,29,58,0,0,,0,0,72be9309
Lorenzo Colombo,FW,Milan,18,26,2,1,50.0,2,1,04df29a5
Andrea Consigli,GK,Sassuolo,33,1464,0,0,,1,0,8cabdc1e
Andrea Conti,DF,Milan,26,29,2,2,100.0,2,0,8fef5412
Andrea Conti,DF,Parma,26,556,5,2,40.0,6,4,8fef5412
Alex Cordaz,GK,Crotone,37,1529,1,1,100.0,1,0,e66ebabb
Andreas Cornelius,FW,Parma,27,781,19,11,57.9,56,34,c693347d
Joaquín Correa,FW,Lazio,25,999,84,35,41.7,65,37,45b9b619
Félix Correia,MF,Juventus,19,9,0,0,,0,0,c803c92a
Douglas Costa,MFFW,Juventus,29,31,0,0,,2,1,4fa7cb9b
Angelo da Costa Júnior,GK,Bologna,36,298,0,0,,1,0,18736214
Mamadou Coulibaly,MF,Udinese,21,110,3,2,66.7,6,4,c976160c
Alessio Cragno,GK,Cagliari,26,1048,0,0,,1,0,f554e29b
Gian Crespi,GK,Crotone,19,40,0,0,,0,0,4dea2f2c
Domenico Criscito,DF,Genoa,33,1279,8,4,50.0,10,4,35dd6d80
Bryan Cristante,DFMF,Roma,25,1694,27,23,85.2,19,5,16657b95
Giovanni Crociata,DF,Crotone,22,21,2,2,100.0,3,1,8c964914
Juan Cuadrado,DFMF,Juventus,32,2028,68,45,66.2,47,20,0ab1f153
Giuseppe Cuomo,DF,Crotone,22,623,9,3,33.3,6,7,ae5b04fe
Patrick Cutrone,FW,Fiorentina,22,75,0,0,,4,7,a4fe8cda
Wylan Cyprien,MF,Parma,25,345,5,2,40.0,5,4,3e092724
Lennart-Marten Czyborra,DF,Genoa,21,685,12,5,41.7,15,7,7ba1f1ef
Danilo D'Ambrosio,DF,Inter,31,544,7,4,57.1,9,3,44eb9093
Bryan Dabo,MF,Benevento,28,703,29,19,65.5,29,8,c53083ad
Diogo Dalot,DF,Milan,21,773,12,9,75.0,16,4,d9565625
Mikkel Damsgaard,MFFW,Sampdoria,20,1033,87,51,58.6,54,29,215f3907
Danilo,DFMF,Juventus,29,2744,25,22,88.0,18,9,94b2001f
Andrea Danzi,DF,Hellas Verona,21,7,0,0,,0,0,263b855a
Ebrima Darboe,MF,Roma,19,289,4,3,75.0,3,1,cf043a33
Matteo Darmian,DF,Inter,30,634,9,2,22.2,7,5,96e0490d
Matteo Darmian,DF,Parma,30,125,1,1,100.0,1,1,96e0490d
Paweł Dawidowicz,DF,Hellas Verona,25,1111,9,7,77.8,14,3,16bb656a
Sebastien De Maio,DF,Udinese,33,471,0,0,,5,2,952a03fe
Rodrigo De Paul,MF,Udinese,26,2548,182,122,67.0,93,56,162efffd
Mattia De Sciglio,DF,Juventus,27,14,0,0,,0,0,ae4e2852
Lorenzo De Silvestri,DF,Bologna,32,1506,4,3,75.0,13,13,e74f0e59
Grégoire Defrel,MFFW,Sassuolo,29,549,26,14,53.8,33,14,854ee61a
Alessandro Deiola,MF,Spezia,24,184,2,2,100.0,6,2,7f267d66
Alessandro Deiola,MF,Cagliari,24,310,1,1,100.0,7,4,7f267d66
Lorenzo Del Pinto,MF,Benevento,30,8,0,0,,0,1,081b6080
Cristian Dell'Orco,DF,Spezia,26,171,0,0,,3,1,b0243215
Merih Demiral,DF,Juventus,22,735,4,2,50.0,3,2,e3cceee6
Diego Demme,MF,Napoli,28,1412,14,7,50.0,14,18,dc3fa3b5
Stefano Denswil,DF,Bologna,27,89,0,0,,0,0,5832ebfe
Fabio Depaoli,DF,Benevento,23,544,9,5,55.6,10,7,d97f2e8d
Fabio Depaoli,MF,Sampdoria,23,25,1,1,100.0,4,0,d97f2e8d
Fabio Depaoli,DF,Atalanta,23,125,2,1,50.0,5,3,d97f2e8d
Kastriot Dermaku,DFMF,Parma,28,53,0,0,,0,0,2990c466
Kiril Despodov,FW,Cagliari,23,4,0,0,,1,0,13c8e5f6
Mattia Destro,FW,Genoa,29,456,52,24,46.2,44,20,d7d32194
Gerard Deulofeu,FWMF,Udinese,26,322,21,9,42.9,21,10,39583cfd
Jacopo Dezi,FWMF,Parma,28,55,0,0,,3,1,e921b9db
Samuel Di Carmine,FW,Hellas Verona,31,169,3,2,66.7,14,13,ef94dc2f
Samuel Di Carmine,FW,Crotone,31,140,2,0,0.0,8,5,ef94dc2f
Giovanni Di Lorenzo,DF,Napoli,26,2917,54,30,55.6,31,16,230a2fac
Alessandro Di Pardo,FWDF,Juventus,21,9,2,2,100.0,0,0,e0ce7038
Giuseppe Di Serio,FWMF,Benevento,19,106,6,6,100.0,10,12,5048486b
Amad Diallo,MF,Atalanta,18,14,2,0,0.0,0,0,9dc96f10
Amadou Diambo,FW,Benevento,19,8,2,2,100.0,0,1,c3a847c7
Amadou Diawara,MF,Roma,23,457,5,5,100.0,8,2,bf309d24
Brahim Díaz,MFFW,Milan,20,650,50,25,50.0,43,24,407feb71
Daan Dierckx,DF,Parma,17,262,0,0,,2,0,3a35db3d
Mitchell Dijks,DF,Bologna,27,983,57,19,33.3,17,7,0a3065c8
Federico Dimarco,DF,Hellas Verona,22,2068,19,10,52.6,26,9,970b8574
Koffi Djidji,DF,Crotone,27,963,11,7,63.6,13,10,933d3b51
Berat Djimsiti,DF,Atalanta,27,2093,13,10,76.9,25,9,6eee05f1
Nicolás Domínguez,MF,Bologna,22,893,9,9,100.0,24,14,20b3a502
Gianluigi Donnarumma,GK,Milan,21,1321,1,1,100.0,0,0,08f5afaa
Bartłomiej Drągowski,GK,Fiorentina,22,1149,0,0,,0,0,085e71a7
Denis Drăguș,FWMF,Crotone,21,97,8,5,62.5,9,6,0e490f6e
Radu Drăgușin,DF,Juventus,18,2,0,0,,0,0,620922ed
Léo Duarte,DF,Milan,24,14,0,0,,0,0,73ddc40c
Alfred Duncan,MF,Fiorentina,27,105,1,1,100.0,2,2,528492ea
Alfred Duncan,MF,Cagliari,27,706,27,18,66.7,22,8,528492ea
Paulo Dybala,FW,Juventus,26,880,47,27,57.4,35,18,e0921a4f
Edin Džeko,FW,Roma,34,731,55,27,49.1,56,31,3bb7f478
Steeve-Mike Ebongue,MF,Genoa,19,33,0,0,,2,1,9d5ab351
Simone Edera,DFMF,Torino,23,34,2,2,100.0,2,0,8697c095
Albin Ekdal,MF,Sampdoria,31,1326,24,20,83.3,22,18,f503ea63
Elif Elmas,MFFW,Napoli,20,446,16,12,75.0,18,9,cf007308
Alan Empereur,DF,Hellas Verona,26,129,0,0,,0,2,825b8997
Christian Eriksen,MF,Inter,28,1185,15,11,73.3,18,19,980522ec
Martin Erlic,DF,Spezia,22,1267,5,3,60.0,9,1,0fee6bda
Gonzalo Escalante,MF,Lazio,27,573,9,8,88.9,6,2,3f79a1c8
Nahuel Estévez,MF,Spezia,24,1093,19,11,57.9,31,13,cec60a2f
Valentin Eysseric,MFFW,Fiorentina,28,444,6,3,50.0,11,7,ae82fa48
Nicolò Fagioli,MF,Juventus,19,23,2,2,100.0,0,0,366be751
Iago Falque,MFFW,Benevento,30,266,17,7,41.2,11,6,440c84ed
Andri Fannar Baldursson,MF,Bologna,18,106,2,1,50.0,6,4,61f2f56a
Paolo Faragò,DF,Bologna,27,16,0,0,,0,0,9085dd7c
Paolo Faragò,DF,Cagliari,27,280,5,2,40.0,5,1,9085dd7c
Davide Faraoni,DF,Hellas Verona,28,1845,45,17,37.8,46,15,aae9d04a
Mohamed Fares,DF,Lazio,24,685,18,6,33.3,19,6,b7a5bc86
Diego Farias,FW,Spezia,30,784,26,18,69.2,26,11,157d29b6
Andrea Favilli,FW,Hellas Verona,23,143,7,3,42.9,22,15,44510fde
Federico Fazio,DF,Roma,33,361,3,3,100.0,2,1,4e358a2d
Luiz Felipe,DF,Lazio,23,669,5,2,40.0,7,2,15d0c248
Alex Ferrari,DF,Sampdoria,26,602,2,1,50.0,9,4,d0dbca9f
Salvador Ferrer,DF,Spezia,22,1037,8,5,62.5,12,7,eb76987d
Marco Festa,GK,Crotone,28,39,0,0,,0,0,c195ae4a
Fernando Forestieri,FWMF,Udinese,30,259,20,10,50.0,15,7,d60c26fc
Daam Foulon,DF,Benevento,21,556,14,6,42.9,11,4,658d44be
Gianluca Frabotta,DFMF,Juventus,21,544,8,3,37.5,8,6,d80b1835
Remo Freuler,MF,Atalanta,28,2431,55,39,70.9,51,30,98d2c2c4
Daniel Fuzato,GK,Roma,23,167,0,0,,0,0,82328faf
Matteo Gabbia,DF,Milan,20,415,0,0,,2,0,c235e803
Manolo Gabbiadini,FW,Sampdoria,28,296,7,3,42.9,18,5,8f866fe8
Roberto Gagliardini,MF,Inter,26,733,7,4,57.1,19,6,ce30bfc8
Riccardo Gagliolo,DF,Parma,30,1579,16,10,62.5,15,6,173061c0
Adolfo Gaich,FW,Benevento,21,251,24,9,37.5,26,13,8dfed6e9
Andrey Galabinov,FW,Spezia,31,139,2,2,100.0,9,17,0a1efd3c
Manuel Gasparini,GK,Udinese,18,2,0,0,,0,0,7033ca08
Gervinho,FW,Parma,33,721,98,56,57.1,45,24,e468c053
Paolo Ghiglione,DFMF,Genoa,23,763,21,8,38.1,14,7,71dc23da
Faouzi Ghoulam,DFFW,Napoli,29,279,0,0,,3,3,c5adc293
Kamil Glik,DF,Benevento,32,1663,4,2,50.0,14,4,c6056d58
Diego Godín,DF,Cagliari,34,1862,17,16,94.1,7,4,fc4f85b1
Amer Gojak,MFFW,Torino,23,285,14,9,64.3,8,4,51ffa295
Edoardo Goldaniga,DF,Genoa,26,1075,11,6,54.5,10,3,4b029b31
Vladimir Golemić,DF,Crotone,29,1554,5,4,80.0,11,5,1db295e5
Pierluigi Gollini,GK,Atalanta,25,717,1,1,100.0,1,0,f0f7f62f
Tomislav Gomelt,MF,Crotone,25,21,0,0,,0,2,a5055b1b
Papu Gómez,MFFW,Atalanta,32,511,22,15,68.2,11,10,6e4df551
Robin Gosens,DF,Atalanta,26,1955,40,26,65.0,41,16,2d970560
Alberto Grassi,MFDF,Parma,25,637,14,7,50.0,24,4,6cc97b6a
Koray Günter,DF,Hellas Verona,25,1329,7,7,100.0,5,1,f1f1f238
Manu Gyabuaa,MF,Atalanta,18,2,0,0,,0,0,a69eb5fd
Emmanuel Gyasi,FW,Spezia,26,1196,69,41,59.4,75,44,f9758dae
Achraf Hakimi,DF,Inter,21,1847,64,33,51.6,57,17,e42d61c7
Samir Handanović,GK,Inter,36,1131,0,0,,0,0,74419746
Lukáš Haraslín,FWMF,Sassuolo,24,195,13,5,38.5,11,3,5c397195
Hans Hateboer,DF,Atalanta,26,1147,13,5,38.5,28,12,3b333ac3
Eduardo Henrique,MF,Crotone,25,479,20,13,65.0,9,17,1bd5fc78
Theo Hernández,DF,Milan,22,2287,119,73,61.3,62,27,d4c9725f
Hernani,MF,Parma,26,1384,53,36,67.9,39,27,6f5ead86
Përparim Hetemaj,MF,Benevento,33,1122,34,18,52.9,35,28,90b70194
Aaron Hickey,DF,Bologna,18,495,16,7,43.8,16,8,1780bb4a
Wesley Hoedt,DF,Lazio,26,796,4,3,75.0,4,1,875898c7
Elseid Hysaj,DF,Napoli,26,1407,33,22,66.7,24,6,2f3452eb
Simone Iacoponi,DF,Parma,33,853,4,3,75.0,8,0,63071a3f
Roger Ibanez,DF,Roma,21,1960,23,16,69.6,21,8,82efe6fa
Zlatan Ibrahimović,FW,Milan,38,742,22,11,50.0,32,11,4cde5509
Igor,DF,Fiorentina,22,924,8,7,87.5,6,6,a4e85758
Ivan Ilić,MF,Hellas Verona,19,1327,40,30,75.0,26,13,bb376bed
Josip Iličić,MFFW,Atalanta,32,1269,100,57,57.0,74,45,68252d6d
Ciro Immobile,FW,Lazio,30,1218,47,27,57.4,71,34,4431aed2
Riccardo Improta,DFMF,Benevento,26,1205,38,24,63.2,35,19,f6dfa5b8
Roberto Inglese,FW,Parma,28,197,15,8,53.3,39,12,6c1f7328
Lorenzo Insigne,FW,Napoli,29,2280,105,65,61.9,63,34,2f557579
Roberto Insigne,MFFW,Benevento,26,775,29,19,65.5,37,14,8faf7b3c
Artur Ioniță,MF,Benevento,29,1017,25,17,68.0,27,22,cedb3e36
Ardian Ismajli,DF,Spezia,23,855,0,0,,2,2,6b635f5c
Armando Izzo,DF,Torino,28,1429,18,12,66.7,17,8,89976232
Mato Jajalo,MF,Udinese,32,35,0,0,,0,0,8c65eb5f
Jakub Jankto,MF,Sampdoria,24,1175,26,10,38.5,39,34,1ea5f91c
Juan Jesus,DF,Roma,29,143,1,1,100.0,0,0,79083382
Hamed Junior Traorè,MFFW,Sassuolo,20,1100,76,52,68.4,55,26,570bb4b9
Musa Juwara,MFDF,Bologna,18,41,3,2,66.7,3,2,7737dee2
Nikola Kalinić,FW,Hellas Verona,32,332,9,5,55.6,35,13,d4931a5a
Yayah Kallon,FW,Genoa,19,15,3,1,33.3,0,4,f95f49d2
Pierre Kalulu,DF,Milan,20,579,4,3,75.0,4,1,85f7d1be
Yann Karamoh,FWMF,Parma,22,522,55,38,69.1,44,22,8b66d9cc
Isaac Karamoko,DF,Sassuolo,18,2,0,0,,0,1,4c7919df
Augustus Kargbo,FW,Crotone,20,16,2,1,50.0,5,3,0c8f27b5
Rick Karsdorp,DF,Roma,25,1462,23,18,78.3,19,12,9f84febe
Franck Kessié,MF,Milan,23,2425,54,43,79.6,53,40,05e19d6a
Omar Khailoti,DF,Bologna,18,22,0,0,,0,0,19d1c41f
Simon Kjær,DF,Milan,31,1781,0,0,,10,0,8b8a56ce
Ragnar Klavan,DF,Cagliari,34,492,0,0,,8,0,008a6e6d
Justin Kluivert,MF,Roma,21,10,0,0,,1,0,4c3a6744
Aleksandr Kokorin,FWMF,Fiorentina,29,33,0,0,,0,1,fec5accc
Aleksandar Kolarov,DF,Inter,34,398,3,0,0.0,3,0,eda40760
Márk Kosznovszky,MF,Parma,18,49,0,0,,0,0,185bf610
Christian Kouamé,FW,Fiorentina,22,467,27,16,59.3,50,24,58e933d2
Kalidou Koulibaly,DF,Napoli,29,1981,22,19,86.4,8,6,da974c7b
Viktor Kovalenko,FW,Atalanta,24,4,0,0,,1,0,9d60028d
Rade Krunić,MFFW,Milan,26,362,10,5,50.0,11,5,817c6964
Juraj Kucka,MFFW,Parma,33,1250,59,31,52.5,48,30,5aaef9ef
Dejan Kulusevski,MFFW,Juventus,20,1022,72,43,59.7,66,45,df3cda47
Marash Kumbulla,DF,Roma,20,907,4,4,100.0,7,3,a40819d9
Jasmin Kurtić,MF,Parma,31,1703,19,14,73.7,29,14,144607cc
Giorgos Kyriakopoulos,DF,Sassuolo,24,1205,44,28,63.6,23,19,0a483542
Antonino La Gumina,FW,Sampdoria,24,120,6,5,83.3,19,5,822a7761
Sam Lammers,FWMF,Atalanta,23,170,18,13,72.2,17,13,c283ddef
Gianluca Lapadula,FW,Benevento,30,742,22,16,72.7,64,37,2ead2809
Danilo Larangeira,DF,Bologna,36,2083,3,2,66.7,9,0,fed5f993
Kevin Lasagna,FW,Udinese,27,347,15,5,33.3,30,12,09538fdb
Kevin Lasagna,FW,Hellas Verona,27,422,18,8,44.4,51,18,09538fdb
Vincent Laurini,DF,Parma,31,581,3,2,66.7,9,1,3535098b
Darko Lazović,DFMF,Hellas Verona,29,1606,39,20,51.3,31,16,5128bde4
Manuel Lazzari,DF,Lazio,26,1398,58,31,53.4,41,22,02caf6e0
Rafael Leão,FW,Milan,21,713,65,40,61.5,53,16,20730eae
Lucas Leiva,MF,Lazio,33,1710,14,9,64.3,14,12,4c78b5ed
Lukas Lerager,MF,Genoa,27,622,12,5,41.7,22,8,1b82f8df
Mehdi Léris,DFMF,Sampdoria,22,305,14,6,42.9,9,4,7d3cbc67
Karlo Letica,GK,Sampdoria,23,36,0,0,,0,0,4a6914ff
Gaetano Letizia,DF,Benevento,30,1044,19,13,68.4,18,12,3dd45b70
Matthijs de Ligt,DF,Juventus,20,1958,7,6,85.7,11,3,d6e53a3a
Karol Linetty,MF,Torino,25,926,33,20,60.6,42,25,d023d70f
Pol Lirola,DFFW,Fiorentina,22,337,16,10,62.5,6,4,ff800ed8
Fernando Llorente,FW,Udinese,35,311,4,3,75.0,28,7,82dbf623
Fernando Llorente,FWMF,Napoli,35,32,1,0,0.0,4,2,82dbf623
Stanislav Lobotka,MF,Napoli,25,136,3,2,66.7,0,1,e1cbb531
Manuel Locatelli,MF,Sassuolo,22,3164,36,27,75.0,45,33,a8a874f1
Maxime Lopez,MF,Sassuolo,22,1817,25,18,72.0,16,11,20094685
Pau López,GK,Roma,25,715,0,0,,1,0,20b9f052
Matteo Lovato,DF,Hellas Verona,20,762,2,1,50.0,14,2,5fa57166
Hirving Lozano,FW,Napoli,25,925,70,29,41.4,55,22,a69e4806
José Luis Palomino,DF,Atalanta,30,1831,2,2,100.0,13,5,921f6058
Romelu Lukaku,FW,Inter,27,1126,93,53,57.0,93,49,5eae500a
Saša Lukić,MF,Torino,23,1019,37,23,62.2,36,21,c6e8cf1f
Senad Lulić,DF,Lazio,34,420,9,5,55.6,12,9,7fd58fe3
Sebastiano Luperto,DF,Crotone,23,1197,5,5,100.0,11,2,997fff07
Lyanco,DF,Torino,23,1484,20,18,90.0,9,4,b5bf1770
Charalambos Lykogiannis,DF,Cagliari,26,1495,24,13,54.2,34,9,5efc5389
Lisandro Magallán,DF,Crotone,26,1359,9,7,77.8,17,5,01a49bd2
Christian Maggio,DF,Benevento,38,169,6,3,50.0,1,2,31d7f557
Giulio Maggiore,MF,Spezia,22,1111,40,18,45.0,55,14,957e4c87
Francesco Magnanelli,MF,Sassuolo,35,466,1,1,100.0,6,0,07767f42
Giangiacomo Magnani,DF,Hellas Verona,24,845,2,2,100.0,16,1,cce9f582
Jean-Victor Makengo,MF,Udinese,22,262,10,6,60.0,14,11,22bfb57e
Nikola Maksimović,DF,Napoli,28,1095,3,3,100.0,5,3,16b9d5cf
Kévin Malcuit,DF,Fiorentina,29,131,8,4,50.0,3,3,d6a889ea
Kévin Malcuit,FWMF,Napoli,29,32,2,1,50.0,2,0,d6a889ea
Daniel Maldini,FWDF,Milan,18,19,2,2,100.0,2,0,801831fe
Ruslan Malinovskyi,MFFW,Atalanta,27,1396,88,51,58.0,64,47,48d5bd33
Dennis Man,FWMF,Parma,21,345,18,13,72.2,20,10,2079b3cc
Gianluca Mancini,DF,Roma,24,2261,19,15,78.9,11,8,5aa53281
Rolando Mandragora,MF,Udinese,23,216,4,2,50.0,5,5,c7259b83
Rolando Mandragora,MF,Torino,23,887,17,11,64.7,20,6,c7259b83
Mario Mandžukić,FW,Milan,34,71,0,0,,1,1,afa0d4e0
Niccolò Manfredini,GK,Benevento,32,36,0,0,,0,0,e4b39692
Kostas Manolas,DF,Napoli,29,1735,3,2,66.7,1,1,c707411f
Juan Manuel Ramos,DF,Spezia,23,197,2,1,50.0,9,2,36d7971a
Federico Marchetti,GK,Genoa,37,143,0,0,,0,0,f794b426
Riccardo Marchizza,DF,Spezia,22,1101,18,6,33.3,23,8,91d0fabf
Gian Marco Ferrari,DF,Sassuolo,28,3045,12,6,50.0,17,7,8650af85
Răzvan Marin,MF,Cagliari,24,1984,73,34,46.6,49,25,7fac99d4
