Player,Pos,Squad,Age,90s,Sh,SoT,SoT%,-9999
Kristoffer Askildsen,MF,Lecce,22-077,6.9,9,3,33.3,a69cc629
Kristjan Asllani,MF,Inter,21-018,3.3,6,0,0.0,0fdcef0e
Emil Audero,GK,Sampdoria,26-068,25.0,0,0,,649b01d8
Tommaso Augello,DF,Sampdoria,28-209,23.0,8,3,37.5,3cd3b384
Kaan Ayhan,DF,Sassuolo,28-137,6.1,1,1,100.0,2200181e
Jaime Báez,DF,Cremonese,27-336,1.1,2,0,0.0,dfd24c07
Nedim Bajrami,MFFW,Empoli,24-027,10.4,21,7,33.3,f42d6c13
Nedim Bajrami,FW,Sassuolo,24-027,3.5,9,5,55.6,f42d6c13
Tiemoué Bakayoko,MF,Milan,28-222,0.4,0,0,,59bf127b
Tommaso Baldanzi,MF,Empoli,20-004,12.9,17,9,52.9,102e2599
Fodé Ballo-Touré,DF,Milan,26-083,3.2,2,2,100.0,f449640d
Lameck Banda,FWMF,Lecce,22-057,13.1,25,7,28.0,8a6de8c7
Filippo Bandinelli,MF,Empoli,27-363,19.3,19,5,26.3,d44360be
Antonín Barák,MF,Hellas Verona,28-114,0.3,0,0,,01efac19
Antonín Barák,MF,Fiorentina,28-114,14.6,26,5,19.2,01efac19
Andrea Barberis,MF,Monza,29-106,3.5,2,0,0.0,32ebfe1e
Nicolò Barella,MF,Inter,26-048,22.3,24,10,41.7,6928979a
Enzo Barrenechea,MF,Juventus,21-309,1.3,2,0,0.0,6caffe81
Musa Barrow,FWMF,Bologna,24-133,13.3,43,10,23.3,e5bf73f3
Federico Baschirotto,DF,Lecce,26-188,26.0,13,3,23.1,5a08ee41
Toma Bašić,MF,Lazio,26-122,4.7,7,4,57.1,80556f08
Alessandro Bastoni,DF,Inter,23-348,18.1,12,3,25.0,75b86fb3
Simone Bastoni,MFDF,Spezia,26-142,10.5,20,6,30.0,1ac232b8
Brian Bayeye,DF,Torino,22-270,0.6,0,0,,78e6bf2c
Rodrigo Becão,DF,Udinese,27-067,20.7,14,4,28.6,19e4eab9
Julius Beck,MF,Spezia,17-334,0.1,0,0,,e892c325
Raoul Bellanova,DFMF,Inter,22-314,1.9,2,0,0.0,e3756e72
Andrea Belotti,FW,Roma,29-097,6.8,10,6,60.0,d705ba44
Marco Benassi,DF,Fiorentina,28-200,1.0,0,0,,0000acda
Marco Benassi,MF,Cremonese,28-200,7.4,11,5,45.5,0000acda
Ismaël Bennacer,MF,Milan,25-116,18.1,11,2,18.2,db092d3b
Domenico Berardi,FW,Sassuolo,28-238,13.0,53,11,20.8,53a0e358
Bartosz Bereszyński,DF,Sampdoria,30-258,13.3,3,0,0.0,61b3978f
Beto,FW,Udinese,25-055,19.0,44,16,36.4,ed5c0319
Matteo Bianchetti,DF,Cremonese,30-010,18.8,6,4,66.7,b3a20f18
Alessandro Bianco,MF,Fiorentina,20-177,1.2,2,1,50.0,d65cf468
Jaka Bijol,DF,Udinese,24-050,20.4,13,4,30.8,6fdac234
Cristiano Biraghi,DF,Fiorentina,30-207,22.0,16,2,12.5,9e1577aa
Samuele Birindelli,DF,Monza,23-251,12.1,13,4,30.8,204ac005
Kristijan Bistrović,MF,Lecce,24-352,5.1,8,1,12.5,79370f8c
Alexis Blin,MFDF,Lecce,26-192,17.9,9,2,22.2,c69ef855
Jeremie Boga,MFFW,Atalanta,26-083,6.5,11,2,18.2,fe012aca
Emil Bohinen,MF,Salernitana,24-015,5.5,2,0,0.0,c83c203f
Giacomo Bonaventura,MF,Fiorentina,33-217,17.3,43,11,25.6,d995ed27
Federico Bonazzoli,FWMF,Salernitana,25-310,11.9,31,7,22.6,bf57eaab
Warren Bondo,MF,Monza,19-193,0.7,1,0,0.0,0def2376
Kevin Bonifazi,DF,Bologna,26-312,4.6,2,0,0.0,fb77bfef
Leonardo Bonucci,DF,Juventus,35-330,7.7,2,1,50.0,52ec54d0
Erik Botheim,FW,Salernitana,23-076,3.9,4,1,25.0,3d13d9e4
Mehdi Bourabia,MF,Spezia,31-232,23.2,21,2,9.5,0d077b88
Edoardo Bove,MF,Roma,20-315,3.7,5,1,20.0,ae94a6c5
Jayden Braaf,MF,Hellas Verona,20-208,2.5,5,2,40.0,c609e90e
Domagoj Bradarić,DF,Salernitana,23-107,17.1,5,0,0.0,8bbe2df5
Josip Brekalo,FW,Fiorentina,24-277,0.7,1,0,0.0,d4a2533d
Gleison Bremer,DF,Juventus,26-009,22.4,20,4,20.0,5fd5ed86
Dylan Bronn,DF,Salernitana,27-281,15.8,8,1,12.5,edd81e2a
Marcelo Brozović,MF,Inter,30-131,11.3,16,4,25.0,33b8d077
Cristian Buonaiuto,MFFW,Cremonese,30-088,6.6,27,8,29.6,f3a9fa26
Alessandro Buongiorno,DF,Torino,23-294,19.4,15,0,0.0,4ae67f27
Juan Cabal,DF,Hellas Verona,22-078,1.6,0,0,,ef6eef89
Liberato Cacace,DF,Empoli,22-181,4.3,4,0,0.0,dd86e8e4
Davide Calabria,DF,Milan,26-111,11.3,7,1,14.3,2146785a
Mattia Caldara,DF,Spezia,28-326,12.9,10,3,30.0,ac7e640b
Luca Caldirola,DF,Monza,32-054,18.4,6,1,16.7,226008f1
Hakan Çalhanoğlu,MF,Inter,29-047,21.4,44,11,25.0,cd0fa27b
Mohamed Camara,MF,Roma,26-027,4.6,7,1,14.3,13ea2544
Nicolò Cambiaghi,FWMF,Empoli,22-089,6.4,18,7,38.9,91ff775f
Andrea Cambiaso,DF,Bologna,23-035,18.0,10,3,30.0,247ed022
Matteo Cancellieri,FW,Lazio,21-043,2.7,6,1,16.7,b6a1cdf9
Antonio Candreva,DFMF,Salernitana,36-027,23.1,32,14,43.8,356c9002
Gianluca Caprari,MFFW,Monza,29-240,20.1,40,9,22.5,54e53b7e
Francesco Caputo,FW,Sampdoria,35-233,12.2,19,5,26.3,5bd72174
Francesco Caputo,FW,Empoli,35-233,10.7,23,8,34.8,5bd72174
Andrea Carboni,DF,Monza,22-051,1.9,1,1,100.0,f7e2af2c
Franco Carboni,DF,Monza,19-357,0.6,1,0,0.0,b033f803
Valentin Carboni,MFDF,Inter,18-022,0.3,0,0,,707b98f1
Carlos,DF,Monza,24-079,23.3,28,11,39.3,8d3cd59d
Marco Carnesecchi,GK,Cremonese,22-269,18.0,0,0,,8ec56e62
Nicolò Casale,DF,Lazio,25-041,18.6,8,2,25.0,3f5f38fb
Tommaso Cassandro,DF,Lecce,23-077,0.1,0,0,,6c4307ee
Michele Castagnetti,MF,Cremonese,33-090,8.4,7,1,14.3,ad92526f
Gaetano Castrovilli,MF,Fiorentina,26-038,1.4,3,1,33.3,0728bebe
Danilo Cataldi,MF,Lazio,28-233,18.2,7,1,14.3,ba3d3bea
Pietro Ceccaroni,DF,Lecce,27-096,0.3,0,0,,4d1efb48
Federico Ceccherini,DF,Hellas Verona,30-320,11.5,5,1,20.0,d9624b51
Assan Ceesay,FW,Lecce,29-010,13.1,29,6,20.7,07f8bcc8
Emil Ceide,FW,Sassuolo,21-205,3.7,4,0,0.0,98a84572
Zeki Çelik,DF,Roma,26-038,11.3,4,1,25.0,31a62dc7
Federico Chiesa,DFMF,Juventus,25-153,4.4,11,1,9.1,b0f7e36c
Vlad Chiricheș,DF,Cremonese,33-133,8.1,0,0,,c316607a
Daniel Ciofani,FW,Cremonese,37-239,7.0,22,8,36.4,b09a3ecc
Tio Cipot,FWDF,Spezia,19-341,0.7,2,1,50.0,039a4fb6
Patrick Ciurria,DFMF,Monza,28-046,19.8,35,16,45.7,5de3866c
Omar Colley,DF,Sampdoria,30-154,15.4,6,4,66.7,8b95acda
Lorenzo Colombo,FW,Lecce,21-019,13.2,34,9,26.5,04df29a5
Andrea Colpani,MF,Monza,23-320,6.0,17,4,23.5,6499048c
Andrea Consigli,GK,Sassuolo,36-059,25.0,0,0,,8cabdc1e
Andrea Conti,DF,Sampdoria,29-025,0.3,0,0,,8fef5412
Diego Coppola,DF,Hellas Verona,19-089,11.4,3,0,0.0,22ae86f9
Joaquín Correa,FW,Inter,28-226,5.0,10,5,50.0,45b9b619
Alessandro Cortinovis,MF,Hellas Verona,22-061,0.1,0,0,,bfc359ed
Lassana Coulibaly,MF,Salernitana,26-351,22.8,10,4,40.0,85a44ecc
Alessio Cragno,GK,Monza,28-272,1.0,0,0,,f554e29b
Bryan Cristante,MF,Roma,28-024,24.1,18,3,16.7,16657b95
Domen Črnigoj,MF,Salernitana,27-129,3.3,1,0,0.0,22cd43d2
Juan Cuadrado,DFFW,Juventus,34-305,14.7,23,7,30.4,0ab1f153
Mickaël Cuisance,MF,Sampdoria,23-223,4.2,6,1,16.7,5722eced
Marco D'Alessandro,DFFW,Monza,32-038,3.2,4,1,25.0,060606ec
Danilo D'Ambrosio,DF,Inter,34-199,3.1,0,0,,44eb9093
Luca D'Andrea,FW,Sassuolo,18-202,3.5,7,3,42.9,f778fe3f
Flavius Daniliuc,DF,Salernitana,21-334,16.5,7,3,42.9,7ef972c3
Danilo,DF,Juventus,31-255,26.1,19,4,21.1,94b2001f
Matteo Darmian,DF,Inter,33-115,16.0,6,1,16.7,96e0490d
Paweł Dawidowicz,DF,Hellas Verona,27-311,12.6,11,2,18.2,16bb656a
Charles De Ketelaere,MF,Milan,22-017,9.7,15,3,20.0,2ef7c612
Manuel De Luca,FWMF,Sampdoria,24-253,0.5,0,0,,60e3603d
Mattia De Sciglio,DF,Juventus,30-158,10.2,4,0,0.0,ae4e2852
Lorenzo De Silvestri,DF,Bologna,34-308,5.8,4,2,50.0,e74f0e59
Koni De Winter,DF,Empoli,20-288,9.9,0,0,,f4797849
Grégoire Defrel,FW,Sassuolo,31-283,7.6,10,7,70.0,854ee61a
Duccio Degli Innocenti,MF,Empoli,19-333,0.0,0,0,,0e0d6c53
Merih Demiral,DF,Atalanta,25-022,16.0,6,1,16.7,e3cceee6
Diego Demme,MF,Napoli,31-126,0.3,0,0,,dc3fa3b5
Fabio Depaoli,DF,Hellas Verona,25-337,16.6,14,4,28.6,d97f2e8d
Fabio Depaoli,DFMF,Sampdoria,25-337,1.5,2,0,0.0,d97f2e8d
Kastriot Dermaku,DF,Lecce,31-071,0.4,0,0,,2990c466
Cyriel Dessers,FW,Cremonese,28-109,14.8,41,10,24.4,dcb38abe
Sergiño Dest,DF,Milan,22-144,3.7,2,1,50.0,5976f83e
Mattia Destro,FW,Empoli,32-007,5.1,18,6,33.3,d7d32194
Gerard Deulofeu,FW,Udinese,29-014,13.5,44,12,27.3,39583cfd
Samuel Di Carmine,FWMF,Cremonese,34-179,0.3,1,0,0.0,ef94dc2f
Federico Di Francesco,FWMF,Lecce,28-286,15.7,27,12,44.4,1fca9171
Michele Di Gregorio,GK,Monza,25-243,26.0,0,0,,4e0c8d66
Giovanni Di Lorenzo,DF,Napoli,29-235,26.9,20,7,35.0,230a2fac
Ángel Di María,FWMF,Juventus,35-041,9.7,25,8,32.0,19cda00b
Boulaye Dia,FW,Salernitana,26-131,19.6,33,15,45.5,244bc2c8
Brahim Díaz,MF,Milan,23-236,14.5,24,10,41.7,407feb71
Federico Dimarco,DF,Inter,25-137,18.6,36,9,25.0,970b8574
Koffi Djidji,DF,Torino,30-117,20.3,8,4,50.0,933d3b51
Berat Djimsiti,DF,Atalanta,30-036,10.4,3,0,0.0,6eee05f1
Dodô,DF,Fiorentina,24-130,18.5,7,3,42.9,b5f7d10b
Josh Doig,DF,Hellas Verona,20-313,13.8,18,6,33.3,2f69d881
Nicolás Domínguez,MF,Bologna,24-272,17.6,24,8,33.3,20b3a502
Giulio Donati,DF,Monza,33-050,3.4,2,1,50.0,22051fbe
Bartłomiej Drągowski,GK,Spezia,25-220,23.7,0,0,,085e71a7
Ondrej Duda,MF,Hellas Verona,28-112,6.9,9,3,33.3,79ca3e23
Denzel Dumfries,DF,Inter,26-343,17.3,26,10,38.5,481c9ece
Alfred Duncan,MF,Fiorentina,30-017,6.8,3,1,33.3,528492ea
Paulo Dybala,MFFW,Roma,29-132,15.9,46,17,37.0,e0921a4f
Edin Džeko,FW,Inter,37-010,17.4,63,21,33.3,3bb7f478
Festy Ebosele,DFFW,Udinese,20-237,1.7,3,1,33.3,dbfa4f16
Enzo Ebosse,DF,Udinese,24-016,10.3,3,0,0.0,9ba7b4fa
Tyronne Ebuehi,DF,Empoli,27-101,11.9,12,4,33.3,6af30900
Éderson,MF,Atalanta,23-263,16.1,25,6,24.0,a9202def
Kingsley Ehizibue,DF,Udinese,27-306,11.7,7,3,42.9,76b2817e
Albin Ekdal,MF,Spezia,33-242,10.6,10,1,10.0,f503ea63
Emmanuel Ekong,FWMF,Empoli,20-275,0.2,1,0,0.0,c20892ee
Mikael Ellertsson,MFDF,Spezia,21-016,1.9,2,0,0.0,c55967eb
Elif Elmas,FWMF,Napoli,23-184,11.3,21,8,38.1,cf007308
Martin Erlic,DF,Sassuolo,25-062,18.9,1,0,0.0,0fee6bda
Gonzalo Escalante,MF,Cremonese,30-000,6.2,6,1,16.7,3f79a1c8
Salvatore Esposito,MF,Spezia,22-171,2.4,1,0,0.0,5cf5c9ad
Nicolò Fagioli,MF,Juventus,22-043,10.6,8,5,62.5,366be751
Wladimiro Falcone,GK,Lecce,27-349,27.0,0,0,,9f5a610b
Davide Faraoni,DF,Hellas Verona,31-153,8.8,12,4,33.3,aae9d04a
Federico Fazio,DF,Salernitana,36-010,11.8,11,2,18.2,4e358a2d
Jacopo Fazzini,MF,Empoli,20-011,4.1,5,0,0.0,06b08c45
Lewis Ferguson,MF,Bologna,23-215,17.1,30,11,36.7,ee64a822
Alex Ferrari,DF,Sampdoria,28-269,9.6,5,0,0.0,d0dbca9f
Alex Ferrari,DF,Cremonese,28-269,7.6,0,0,,d0dbca9f
Salvador Ferrer,DF,Spezia,25-065,1.1,0,0,,eb76987d
Alessandro Florenzi,DF,Milan,32-016,1.2,1,0,0.0,e288d4b3
Davide Frattesi,MF,Sassuolo,23-156,23.9,45,20,44.4,2a7d27c1
Matteo Gabbia,DF,Milan,23-157,6.7,1,0,0.0,c235e803
Manolo Gabbiadini,FWMF,Sampdoria,31-121,16.1,55,22,40.0,8f866fe8
Gianluca Gaetano,MF,Napoli,22-326,0.4,3,1,33.3,3b387cc7
Roberto Gagliardini,MF,Inter,28-354,4.6,10,2,20.0,ce30bfc8
Adolfo Gaich,FW,Hellas Verona,24-029,4.1,11,2,18.2,8dfed6e9
Pablo Galdames Millán,MFDF,Cremonese,26-087,2.0,1,0,0.0,dd403465
Antonino Gallo,DF,Lecce,23-081,18.8,5,1,20.0,c74d63ac
Federico Gatti,DF,Juventus,24-276,7.0,6,1,16.7,18dd3219
Valentin Gendrey,DF,Lecce,22-279,25.0,8,0,0.0,822ed0ec
Paolo Ghiglione,DF,Cremonese,26-053,5.9,3,0,0.0,71dc23da
Mario Gila,DF,Lazio,22-210,1.0,0,0,,9c435456
Gvidas Gineitis,MF,Torino,18-346,0.5,0,0,,548bd0de
Olivier Giroud,FW,Milan,36-178,17.5,63,22,34.9,16ceb862
Pierluigi Gollini,GK,Fiorentina,28-009,3.0,0,0,,f0f7f62f
Pierluigi Gollini,GK,Napoli,28-009,1.0,0,0,,f0f7f62f
Joan Gonzàlez,MF,Lecce,21-054,20.6,16,3,18.8,f025eade
Nicolás González,FWMF,Fiorentina,24-355,10.1,33,10,30.3,2374aaca
Robin Gosens,DFFW,Inter,28-265,7.4,14,2,14.3,2d970560
Alberto Grassi,MF,Empoli,28-020,6.3,6,2,33.3,6cc97b6a
Andrew Gravillon,DF,Torino,25-047,1.7,0,0,,49136c42
Koray Günter,DF,Hellas Verona,28-223,11.1,9,1,11.1,f1f1f238
Koray Günter,DFMF,Sampdoria,28-223,2.6,0,0,,f1f1f238
Emmanuel Gyasi,FWDF,Spezia,29-075,21.9,27,10,37.0,f9758dae
Norbert Gyömbér,DF,Salernitana,30-267,12.8,2,0,0.0,0be276c6
Christian Gytkjær,FW,Monza,32-325,5.6,11,5,45.5,9250bcff
Nicolas Haas,MF,Empoli,27-063,10.6,7,3,42.9,fa449bba
Samir Handanović,GK,Inter,38-256,10.0,0,0,,74419746
Abdou Harroui,MF,Sassuolo,25-073,3.8,10,3,30.0,65fd099c
Hans Hateboer,DF,Atalanta,29-077,15.5,12,4,33.3,3b333ac3
Liam Henderson,MF,Empoli,26-336,8.7,9,5,55.6,d7918b13
Jack Hendry,DF,Cremonese,27-324,2.4,0,0,,ffed43e3
Matheus Henrique,MF,Sassuolo,25-098,13.3,15,9,60.0,a2d9f138
Thomas Henry,FW,Hellas Verona,28-188,11.4,18,5,27.8,9ef42479
Theo Hernández,DF,Milan,25-172,22.3,41,8,19.5,d4c9725f
Isak Hien,DF,Hellas Verona,24-073,19.3,1,0,0.0,12806697
Morten Hjulmand,MF,Lecce,23-275,23.6,9,1,11.1,d4456fb3
Emil Holm,DF,Spezia,22-318,15.5,15,5,33.3,c2357b65
Martin Hongla,MF,Hellas Verona,25-011,5.8,5,2,40.0,b85bf253
Petko Hristov,DF,Spezia,24-026,4.1,1,0,0.0,d8800a46
Ajdin Hrustic,MF,Hellas Verona,26-265,2.5,3,0,0.0,1f2d714c
Elseid Hysaj,DF,Lazio,29-035,13.0,3,1,33.3,2f3452eb
Rasmus Højlund,FW,Atalanta,20-051,14.2,35,19,54.3,491a433d
Roger Ibanez,DF,Roma,24-124,25.3,20,6,30.0,82efe6fa
Zlatan Ibrahimović,FW,Milan,41-175,1.6,5,2,40.0,4cde5509
Igor,DF,Fiorentina,25-048,16.1,6,0,0.0,a4e85758
Jonathan Ikone,FW,Fiorentina,24-329,16.8,37,6,16.2,42eaa028
Ivan Ilić,MF,Hellas Verona,22-010,9.5,9,2,22.2,bb376bed
Ivan Ilić,MF,Torino,22-010,4.4,2,0,0.0,bb376bed
Samuel Iling-Junior,DFFW,Juventus,19-174,1.3,1,0,0.0,ba492306
Emirhan İlkhan,MF,Torino,18-299,1.0,2,0,0.0,a47c6309
Emirhan İlkhan,MF,Sampdoria,18-299,0.5,0,0,,a47c6309
Ciro Immobile,FW,Lazio,33-035,16.1,47,18,38.3,4431aed2
Ardian Ismajli,DF,Empoli,26-178,18.6,9,2,22.2,6b635f5c
Armando Izzo,DF,Monza,31-025,18.0,10,3,30.0,89976232
Mato Jajalo,MF,Udinese,34-306,0.7,2,0,0.0,8c65eb5f
Jesé,FW,Sampdoria,30-029,1.3,1,0,0.0,4a537185
Juan Jesus,DF,Napoli,31-290,6.8,4,1,25.0,79083382
Þórir Jóhann Helgason,MF,Lecce,22-180,1.9,2,0,0.0,dc765618
Luka Jović,FW,Fiorentina,25-094,12.9,40,13,32.5,4d8cd038
Hamed Junior Traorè,MFFW,Sassuolo,23-039,6.6,8,4,50.0,570bb4b9
Yayah Kallon,MFFW,Hellas Verona,21-270,8.6,17,6,35.3,f95f49d2
Pierre Kalulu,DF,Milan,22-295,23.6,10,2,20.0,85f7d1be
Yann Karamoh,MFFW,Torino,24-262,4.7,14,7,50.0,8b66d9cc
Rick Karsdorp,DF,Roma,28-044,7.9,2,0,0.0,9f84febe
Denso Kasius,DF,Bologna,20-172,3.8,4,0,0.0,7ae36711
Grigoris Kastanos,MF,Salernitana,25-056,6.5,14,4,28.6,2a82aa85
Moise Kean,FW,Juventus,23-027,9.0,33,12,36.4,3d50bcdb
Jakub Kiwior,DF,Spezia,23-040,16.0,10,2,20.0,dc3e663e
Simon Kjær,DF,Milan,34-001,7.4,0,0,,8b8a56ce
Teun Koopmeiners,MF,Atalanta,25-027,22.8,39,16,41.0,a26fb8aa
Filip Kostić,DFFW,Juventus,30-146,22.2,31,9,29.0,b1cd37e6
Christian Kouamé,FW,Fiorentina,25-111,16.7,35,11,31.4,58e933d2
Viktor Kovalenko,MF,Spezia,27-041,4.8,7,0,0.0,9d60028d
Julian Kristoffersen,FW,Salernitana,25-321,0.2,0,0,,b804c280
Raimonds Krollis,FW,Spezia,21-150,0.2,1,1,100.0,b4101c2e
Rade Krunić,MFFW,Milan,29-171,11.2,8,1,12.5,817c6964
Marash Kumbulla,DF,Roma,23-047,2.7,1,0,0.0,a40819d9
Khvicha Kvaratskhelia,FW,Napoli,22-043,19.2,64,24,37.5,dea88efd
Giorgos Kyriakopoulos,FWDF,Bologna,27-050,3.1,4,1,25.0,0a483542
Giorgos Kyriakopoulos,FWDF,Sassuolo,27-050,8.5,13,4,30.8,0a483542
Sam Lammers,FW,Sampdoria,25-331,7.8,12,3,25.0,c283ddef
Sam Lammers,FW,Empoli,25-331,9.8,28,7,25.0,c283ddef
Kevin Lasagna,FWMF,Hellas Verona,30-229,14.2,46,9,19.6,09538fdb
Armand Lauriente,FW,Sassuolo,24-113,18.2,45,20,44.4,2d22cea7
Valentino Lazaro,DF,Torino,27-003,11.8,7,2,28.6,016ff750
Marko Lazetić,FW,Milan,19-064,0.1,1,0,0.0,93088fbb
Darko Lazović,MFDF,Hellas Verona,32-193,19.9,37,12,32.4,5128bde4
Manuel Lazzari,DF,Lazio,29-118,15.5,3,1,33.3,02caf6e0
Rafael Leão,FWMF,Milan,23-290,20.4,74,21,28.4,20730eae
Mehdi Léris,MFDF,Sampdoria,24-308,20.0,21,8,38.1,7d3cbc67
Karol Linetty,MF,Torino,28-053,17.8,14,4,28.6,d023d70f
Marcin Listkowski,MFFW,Lecce,25-045,0.9,1,0,0.0,a3695ac2
Diego Llorente,DF,Roma,29-223,0.4,0,0,,bba30585
Stanislav Lobotka,MF,Napoli,28-122,25.2,8,3,37.5,e1cbb531
Manuel Locatelli,MF,Juventus,25-078,19.9,22,10,45.5,a8a874f1
Luka Lochoshvili,DF,Cremonese,24-302,13.3,4,1,25.0,c8ad0857
Ademola Lookman,FWMF,Atalanta,25-158,17.1,44,19,43.2,7c104bb7
Maxime Lopez,MF,Sassuolo,25-113,16.8,8,2,25.0,20094685
Matteo Lovato,DF,Salernitana,23-041,4.8,1,0,0.0,5fa57166
Sandi Lovrić,MF,Udinese,24-364,16.2,46,8,17.4,966eea58
Hirving Lozano,FW,Napoli,27-240,14.2,33,11,33.3,a69e4806
Jhon Lucumí,DF,Bologna,24-274,22.2,9,2,22.2,80490d7f
José Luis Palomino,DF,Atalanta,33-081,5.6,4,2,50.0,921f6058
Romelu Lukaku,FW,Inter,29-318,8.6,17,6,35.3,5eae500a
Saša Lukić,MF,Torino,26-226,13.3,15,3,20.0,c6e8cf1f
Sebastiano Luperto,DF,Empoli,26-202,24.0,12,3,25.0,997fff07
Charalambos Lykogiannis,DF,Bologna,29-156,11.7,18,6,33.3,5efc5389
Giulio Maggiore,MF,Salernitana,25-015,8.0,5,0,0.0,957e4c87
Giangiacomo Magnani,DF,Hellas Verona,27-174,9.0,4,1,25.0,cce9f582
Mike Maignan,GK,Milan,27-267,11.0,0,0,,fcb38f57
Jordan Majchrzak,FW,Roma,18-170,0.2,0,0,,2e7dafe5
Jean-Victor Makengo,MF,Udinese,24-288,8.9,7,0,0.0,22bfb57e
Lorenzo Malagrida,DFMF,Sampdoria,19-154,0.5,1,1,100.0,2bffcbf2
Daniel Maldini,FWMF,Spezia,21-167,5.1,11,5,45.5,801831fe
Youssef Maleh,MF,Fiorentina,24-217,3.3,7,0,0.0,4c8845f7
Youssef Maleh,MF,Lecce,24-217,4.9,4,0,0.0,4c8845f7
Ruslan Malinovskyi,MFFW,Atalanta,29-327,6.1,19,6,31.6,48d5bd33
Gianluca Mancini,DF,Roma,26-344,24.2,16,4,25.0,5aa53281
Rolando Mandragora,MF,Fiorentina,25-271,15.0,30,5,16.7,c7259b83
Federico Marchetti,GK,Spezia,40-048,0.7,0,0,,f794b426
Riccardo Marchizza,DF,Sassuolo,25-001,2.0,0,0,,91d0fabf
Gian Marco Ferrari,DF,Sassuolo,31-040,19.0,6,1,16.7,8650af85
Pablo Marí,DF,Monza,29-208,18.6,8,2,25.0,aa54ec6f
Răzvan Marin,MF,Empoli,26-308,20.5,26,7,26.9,7fac99d4
Marlon,DF,Monza,27-201,13.5,3,1,33.3,cdf65d12
Luca Marrone,DF,Monza,32-364,1.5,1,0,0.0,ea468ea8
Lautaro Martínez,FW,Inter,25-217,23.7,97,37,38.1,f7036e1c
Lucas Martínez Quarta,DF,Fiorentina,26-321,17.1,21,9,42.9,3ec3c1c9
Adam Marušić,DF,Lazio,30-161,25.3,15,7,46.7,d4535821
Adam Masina,DF,Udinese,29-084,5.3,1,1,100.0,de0f152c
Nemanja Matić,MF,Roma,34-238,15.8,8,3,37.5,eb7822d7
Luís Maximiano,GK,Lazio,24-081,0.1,0,0,,3318286e
Pasquale Mazzocchi,DF,Salernitana,27-243,15.8,14,5,35.7,eb0ec070
Weston McKennie,MFDF,Juventus,24-211,11.7,8,4,50.0,01c3aff5
Gary Medel,MFDF,Bologna,35-236,14.7,2,0,0.0,563a68ad
Soualiho Meïté,MF,Cremonese,29-010,15.4,11,1,9.1,5cec2c74
Alex Meret,GK,Napoli,26-005,26.0,0,0,,9413b19f
Yıldırım Mert Çetin,DF,Lecce,26-085,0.2,0,0,,c730da00
Junior Messias,FWDF,Milan,31-318,12.3,24,9,37.5,f49c4ae9
Tommaso Milanese,MF,Cremonese,20-239,0.3,0,0,,b2561711
Nikola Milenković,DF,Fiorentina,25-166,17.7,14,4,28.6,bee704fc
Arkadiusz Milik,FW,Juventus,29-027,11.0,29,16,55.2,85613cf0
Sergej Milinković-Savić,MF,Lazio,28-028,23.3,38,9,23.7,4e6dbac4
Vanja Milinković-Savić,GK,Torino,26-035,27.0,0,0,,9fa26bc2
Kim Min-jae,DF,Napoli,26-132,25.3,8,3,37.5,e0f8151c
