Player,Pos,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,-9999
Daniele Padelli,GK,Udinese,35,3,3,270,3.0,8,2.67,21,13,61.9,1,33.3,0,0,0,0,,cf1c23d8
Ivor Pandur,GK,Hellas Verona,21,3,3,270,3.0,6,2.00,15,9,66.7,0,0.0,1,1,0,0,0.0,457cb02f
Rui Patrício,GK,Roma,33,38,38,3420,38.0,43,1.13,146,104,74.0,15,39.5,6,5,1,0,16.7,79b0d6a0
Gianluca Pegolo,GK,Sassuolo,40,1,1,90,1.0,3,3.00,5,2,40.0,0,0.0,0,0,0,0,,f058ed1f
Mattia Perin,GK,Juventus,28,5,5,405,4.5,7,1.56,16,10,56.3,1,20.0,0,0,0,0,,4c62d0c8
Carlo Pinsoglio,GK,Juventus,31,1,0,45,0.5,1,2.00,2,1,100.0,0,,1,1,0,0,0.0,f6a06749
Ivan Provedel,GK,Spezia,27,31,31,2761,30.7,52,1.70,165,116,73.9,7,22.6,11,9,0,2,0.0,277da414
Ionuț Radu,GK,Inter,24,1,1,90,1.0,2,2.00,3,1,33.3,0,0.0,0,0,0,0,,67f649be
Boris Radunović,GK,Cagliari,25,3,3,270,3.0,5,1.67,17,11,76.5,1,33.3,2,1,1,0,50.0,0dfce079
Nicola Ravaglia,GK,Sampdoria,32,1,0,5,0.1,1,18.00,1,0,100.0,0,,1,1,0,0,0.0,d7a35008
Pepe Reina,GK,Lazio,38,15,15,1350,15.0,29,1.93,60,31,58.3,2,13.3,5,4,0,1,0.0,e358587b
Sergio Romero,GK,Venezia,34,16,16,1440,16.0,33,2.06,105,74,74.3,3,18.8,6,6,0,0,0.0,1e26e376
Francesco Rossi,GK,Atalanta,30,1,0,37,0.4,1,2.43,2,1,50.0,0,,0,0,0,0,,7b5f516f
Giacomo Satalino,GK,Sassuolo,22,1,0,8,0.1,0,0.00,1,1,100.0,0,,0,0,0,0,,b1f0b916
Adrian Šemper,GK,Genoa,23,1,1,90,1.0,1,1.00,4,3,75.0,0,0.0,0,0,0,0,,f02dde20
Luigi Sepe,GK,Salernitana,30,16,16,1392,15.5,24,1.55,78,54,73.1,1,6.3,3,3,0,0,0.0,343f753a
Marco Silvestri,GK,Udinese,30,35,35,3150,35.0,50,1.43,141,92,68.1,7,20.0,7,5,0,2,0.0,0d422df7
Salvatore Sirigu,GK,Genoa,34,37,37,3330,37.0,59,1.59,180,122,69.4,10,27.0,5,4,1,0,20.0,10dc46f0
Łukasz Skorupski,GK,Bologna,30,36,36,3240,36.0,53,1.47,174,122,74.1,12,33.3,9,8,1,0,11.1,ab4449d6
Marco Sportiello,GK,Atalanta,29,5,5,450,5.0,5,1.00,18,13,83.3,2,40.0,2,2,0,0,0.0,ac4003af
Thomas Strakosha,GK,Lazio,26,23,23,2070,23.0,29,1.26,86,58,67.4,7,30.4,1,1,0,0,0.0,339fe0e8
Wojciech Szczęsny,GK,Juventus,31,33,33,2970,33.0,29,0.88,105,73,75.2,12,36.4,6,3,3,0,50.0,01b8a2b2
Ciprian Tătărușanu,GK,Milan,35,6,6,540,6.0,10,1.67,24,14,66.7,1,16.7,3,2,1,0,33.3,b056e3da
Pietro Terracciano,GK,Fiorentina,31,32,31,2862,31.8,43,1.35,100,58,59.0,9,29.0,3,2,1,0,33.3,e1b0a70d
Guglielmo Vicario,GK,Empoli,24,38,38,3420,38.0,70,1.84,216,150,69.9,7,18.4,10,5,2,3,28.6,77d6fd4d
Jeroen Zoet,GK,Spezia,30,7,7,630,7.0,19,2.71,43,23,58.1,0,0.0,2,1,1,0,50.0,cc1a0c57
Petar Zovko,GK,Spezia,19,1,0,29,0.3,0,0.00,0,0,,0,,0,0,0,0,,54f6afe3
