,,,,Play,Play,Play,Play,Perf,Perf,Perf,Perf,-additional
Player,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,-9999
Gabriel Dos Santos,DF,Arsenal,23,35,35,3063,34.0,5,0,8,1,67ac5bb8
Abdoulaye Doucouré,MF,Everton,28,30,29,2537,28.2,2,4,6,0,02b29014
Kieran Dowell,FWMF,Norwich City,23,19,11,912,10.1,1,1,0,0,2f6ec02a
Cody Drameh,DFMF,Leeds United,19,3,1,128,1.4,0,0,1,0,e0d1510a
Martin Dúbravka,GK,Newcastle Utd,32,26,26,2340,26.0,0,0,1,0,3a949a25
Shane Duffy,DF,Brighton,29,18,15,1436,16.0,1,0,7,0,7314bba4
Paul Dummett,DF,Newcastle Utd,29,3,2,198,2.2,0,0,2,0,3fe6bd8c
Lewis Dunk,DF,Brighton,29,29,29,2573,28.6,1,0,3,1,282f75f3
Ederson,GK,Manchester City,27,37,37,3330,37.0,0,0,3,0,3bb7b8b4
Odsonne Édouard,FW,Crystal Palace,23,28,18,1564,17.4,6,3,4,0,0562b7f1
CJ Egan-Riley,DF,Manchester City,18,1,0,4,0.0,0,0,0,0,d313e8ff
Anthony Elanga,FW,Manchester Utd,19,21,14,1214,13.5,2,2,0,0,2fba6108
Harvey Elliott,MF,Liverpool,18,6,4,346,3.8,0,0,0,0,c8387671
Mohamed Elneny,MF,Arsenal,29,14,8,806,9.0,0,2,1,0,47a34c4f
Mohamed Elyounoussi,MFFW,Southampton,26,30,23,2042,22.7,4,2,4,0,68dc0dac
Emerson,DFMF,Tottenham,22,31,26,2286,25.4,1,1,5,0,df8b52a5
Christian Eriksen,MF,Brentford,29,11,10,939,10.4,1,4,1,0,980522ec
Oghenekaro Etebo,MF,Watford,25,9,4,401,4.5,0,0,3,0,b579e83d
Jonny Evans,DF,Leicester City,33,18,16,1348,15.0,1,1,3,0,f8fcd2a5
Eberechi Eze,MFFW,Crystal Palace,23,13,6,605,6.7,1,1,1,0,ae4fc6a4
Łukasz Fabiański,GK,West Ham,36,37,37,3330,37.0,0,0,2,0,9328b835
Fabinho,MF,Liverpool,27,29,26,2314,25.7,5,1,7,0,7f3b388c
Kiko Femenía,DF,Watford,30,27,26,2142,23.8,0,5,2,0,e5d01ecf
Evan Ferguson,MF,Brighton,16,1,0,23,0.3,0,0,0,0,4596da74
Nathan Ferguson,DF,Crystal Palace,20,1,0,9,0.1,0,0,0,0,2f8d27bc
Bruno Fernandes,MF,Manchester Utd,26,36,35,3111,34.6,10,6,10,0,507c7bdf
Álvaro Fernández,GK,Brentford,23,12,12,1080,12.0,0,0,0,0,f127d782
Federico Fernández,DF,Newcastle Utd,32,7,5,523,5.8,0,0,0,0,f25b010f
Fernandinho,MFDF,Manchester City,36,19,10,964,10.7,2,1,1,0,101da2b5
Roberto Firmino,FW,Liverpool,29,20,10,990,11.0,5,4,3,0,4c370d81
Junior Firpo,DFMF,Leeds United,24,24,19,1711,19.0,0,2,11,0,24f59bb2
Ashley Fletcher,FW,Watford,25,3,0,30,0.3,0,0,0,0,eeb6551f
Phil Foden,FW,Manchester City,21,28,24,2128,23.6,9,5,1,0,ed1e53f3
Wesley Fofana,DF,Leicester City,20,7,7,630,7.0,0,0,2,0,132a82f1
Pablo Fornals,FWMF,West Ham,25,36,32,2795,31.1,6,3,4,0,82927de4
Adam Forshaw,MF,Leeds United,29,22,17,1530,17.0,0,1,5,0,9f1938ab
Marcus Forss,FWMF,Brentford,22,7,1,209,2.3,0,1,0,0,82c215a0
Fraser Forster,GK,Southampton,33,19,19,1710,19.0,0,0,1,0,c3e39f12
Ben Foster,GK,Watford,38,26,26,2340,26.0,0,1,0,0,d0b3ceb9
Tariqe Fosu,DF,Brentford,25,1,0,17,0.2,0,0,0,0,3dcef539
Ryan Fraser,FWMF,Newcastle Utd,27,27,18,1465,16.3,2,3,3,0,d56543a0
Fred,MF,Manchester Utd,28,28,24,2028,22.5,4,4,5,0,b853e0ad
Ryan Fredericks,DF,West Ham,28,7,3,307,3.4,0,0,1,0,c067631c
Leo Fuhr Hjelde,MFDF,Leeds United,17,2,0,150,1.7,0,0,0,0,d102b8a2
Conor Gallagher,MF,Crystal Palace,21,34,33,2845,31.6,8,3,10,0,c2731c10
Alejandro Garnacho,FWMF,Manchester Utd,17,2,0,13,0.1,0,0,0,0,7aa8adfe
Dwight Gayle,FWDF,Newcastle Utd,30,8,0,38,0.4,0,0,1,0,e58a03c6
Jean-Philippe Gbamin,MF,Everton,25,3,1,67,0.7,0,0,0,0,6bd603db
David de Gea,GK,Manchester Utd,30,38,38,3420,38.0,0,0,0,0,7ba6d84e
Joe Gelhardt,FWMF,Leeds United,19,20,5,746,8.3,2,2,4,0,01962d0d
Anwar El Ghazi,FWMF,Aston Villa,26,9,4,386,4.3,1,1,2,0,ffa90327
Anwar El Ghazi,FWMF,Everton,26,2,0,13,0.1,0,0,0,0,ffa90327
Saman Ghoddos,MFDF,Brentford,27,17,4,536,6.0,1,1,2,0,f7b1d4e0
Dimitris Giannoulis,DF,Norwich City,25,18,14,1169,13.0,0,1,2,0,112c495e
Morgan Gibbs-White,DFFW,Wolves,21,2,0,9,0.1,0,0,1,0,32f60ed8
Ben Gibson,DF,Norwich City,28,28,28,2494,27.7,0,0,5,1,bcfb0142
Billy Gilmour,MF,Norwich City,20,24,21,1855,20.6,0,1,2,0,df10e27c
Ben Godfrey,DF,Everton,23,23,23,2029,22.5,0,0,6,0,9f7c837d
André Gomes,MF,Everton,28,14,7,619,6.9,0,1,3,0,1961b2aa
Toti Gomes,DF,Wolves,22,4,4,360,4.0,0,0,1,0,f0caab96
Joe Gomez,DF,Liverpool,24,8,4,331,3.7,0,1,2,0,7a11550b
Charlie Goode,DF,Brentford,25,6,4,450,5.0,0,0,3,0,7aee4dd3
Anthony Gordon,MFFW,Everton,20,35,25,2285,25.4,4,2,4,0,2bd83368
Kaide Gordon,FW,Liverpool,16,1,0,9,0.1,0,0,0,0,19a9cb70
Dan Gosling,MF,Watford,31,4,2,166,1.8,1,0,0,0,7fec31a0
Demarai Gray,MFFW,Everton,25,34,28,2338,26.0,5,4,3,0,4468ec10
Jack Grealish,FW,Manchester City,25,26,22,1914,21.3,3,3,3,0,b0b4fd3e
Mason Greenwood,FWMF,Manchester Utd,19,18,16,1271,14.1,5,1,1,0,58eee997
Sam Greenwood,MFFW,Leeds United,19,7,1,237,2.6,0,2,0,0,f3354c07
Pascal Groß,MFDF,Brighton,30,29,24,2038,22.6,2,4,1,0,8aec0537
Vicente Guaita,GK,Crystal Palace,34,30,30,2655,29.5,0,0,2,0,ab13a5aa
Marc Guéhi,DF,Crystal Palace,21,36,36,3222,35.8,2,1,4,0,d0706b27
Bruno Guimarães,MF,Newcastle Utd,23,17,11,1034,11.5,5,1,4,0,82518f62
İlkay Gündoğan,MF,Manchester City,30,27,20,1857,20.6,8,4,1,0,819b3158
Angus Gunn,GK,Norwich City,25,9,9,810,9.0,0,0,0,0,e082af5b
Grant Hanley,DF,Norwich City,29,33,33,2897,32.2,1,0,2,0,e9254eec
Jack Harrison,FWMF,Leeds United,24,35,32,2639,29.3,8,1,3,0,aa849a12
Kortney Hause,DF,Aston Villa,26,7,4,397,4.4,1,0,0,0,bf8fad51
Kai Havertz,FWMF,Chelsea,22,29,22,1809,20.1,8,3,3,0,fed7cb61
Isaac Hayden,MFDF,Newcastle Utd,26,14,12,1002,11.1,1,0,5,0,c951a6df
Hwang Hee-chan,FWMF,Wolves,25,30,20,1816,20.2,5,1,2,0,169fd162
Jordan Henderson,MF,Liverpool,31,35,29,2597,28.9,2,5,3,0,935e6b8f
Jeff Hendrick,MF,Newcastle Utd,29,3,0,72,0.8,1,0,0,0,989d5705
Wayne Hennessey,GK,Burnley,34,2,2,180,2.0,0,0,0,0,76eca7e2
Rico Henry,DF,Brentford,24,34,33,2776,30.8,3,0,2,0,8a3c1dc7
Son Heung-min,MFFW,Tottenham,29,35,35,3006,33.4,23,7,2,0,92e7e919
Ki-Jana Hoever,DFMF,Wolves,19,8,4,308,3.4,0,0,1,0,9a71e978
Rob Holding,DF,Arsenal,25,15,9,845,9.4,1,0,4,1,d79a8c87
Mason Holgate,DF,Everton,24,25,23,2134,23.7,2,1,7,1,d0042ab9
Callum Hudson-Odoi,MFFW,Chelsea,20,15,11,962,10.7,1,2,1,0,15f3ec41
Will Hughes,MF,Crystal Palace,26,16,13,1053,11.7,0,1,6,0,a0666d3e
Pierre Højbjerg,MF,Tottenham,25,36,36,3196,35.5,2,2,3,0,8b04d6c1
Adam Idah,FWMF,Norwich City,20,17,6,625,6.9,1,1,0,0,291e3ec3
Kelechi Iheanacho,FW,Leicester City,24,26,13,1264,14.0,4,5,1,0,c92e1a31
Danny Ings,FW,Aston Villa,29,30,22,1898,21.1,7,6,4,0,07802f7f
Tim Iroegbunam,MF,Aston Villa,18,3,1,92,1.0,0,0,1,0,84c5ceea
Alex Iwobi,MFDF,Everton,25,28,22,2035,22.6,2,2,1,0,6ca5ec4b
Daniel James,FW,Manchester Utd,23,2,2,126,1.4,0,0,0,0,c931d9f9
Daniel James,FWMF,Leeds United,23,32,29,2366,26.3,4,4,7,1,c931d9f9
Reece James,DF,Chelsea,21,26,22,1864,20.7,5,9,4,1,1265a93a
Vitaly Janelt,MF,Brentford,23,31,27,2298,25.5,4,0,3,0,8449d35e
