Player,Pos,Squad,Age,Tkl,TklW,Tkl%,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
Jean-Kévin Augustin,FWMF,Nantes,24,1,0,0.0,1,0,1,0,1,0,0,97bfa797
Karim Azamoum,DF,Troyes,31,6,5,60.0,4,2,2,1,7,10,0,eaf71a5e
Loïc Bade,DF,Rennes,21,6,5,60.0,12,10,2,12,18,48,0,114bbdee
Benoît Badiashile,DF,Monaco,20,36,19,60.9,18,12,6,28,64,68,1,06df8256
Youssouph Badji,FWMF,Brest,19,1,0,0.0,0,0,0,0,1,0,0,6a2b9aee
Stéphane Bahoken,FW,Angers,29,13,8,11.1,15,0,15,3,16,3,0,5046b7d4
Dénys Bain,DF,Brest,28,3,3,100.0,3,1,2,3,6,5,0,5065d67d
Stefan Bajic,GK,Saint-Étienne,19,0,0,,0,0,0,0,0,4,0,be13e5a8
Cédric Bakambu,FW,Marseille,30,2,0,0.0,2,0,2,0,2,1,0,0af4dcf0
Abdoulaye Bakayoko,DF,Saint-Étienne,18,15,9,66.7,5,4,1,12,27,15,0,ee95585f
Dilane Bakwa,FWMF,Bordeaux,18,1,1,50.0,0,0,0,0,1,1,0,2b5a35e5
Ibrahima Baldé,FWMF,Lens,18,0,0,,0,0,0,0,0,0,0,a30cb0d4
Leonardo Balerdi,DF,Marseille,22,9,6,35.7,11,4,7,19,28,30,0,7c3ed041
Abdoulaye Bamba,DFFW,Angers,31,6,5,36.4,5,1,4,9,15,13,0,7fecbcdb
Jonathan Bamba,MFFW,Lille,25,30,12,36.1,24,1,23,21,51,10,0,b2bd0f6c
Simon Banza,FW,Lens,24,2,1,0.0,1,0,1,1,3,2,0,be47b750
Danilo Barbosa,DF,Nice,25,0,0,,1,1,0,2,2,10,0,0557ff4f
Bradley Barcola,FWMF,Lyon,18,7,4,12.5,7,1,6,2,9,1,0,a0d55a09
Melvin Bard,DF,Nice,20,59,37,65.1,33,10,23,51,110,56,0,1ddbc7ca
Toma Bašić,MF,Bordeaux,24,2,2,0.0,4,1,3,2,4,0,0,80556f08
Amine Bassi,MFFW,Metz,23,6,3,33.3,5,0,5,0,6,0,0,ced1d98f
Paul Baysse,MFDF,Bordeaux,33,1,1,,0,0,0,0,1,1,0,2515040a
Youcef Belaïli,MFFW,Brest,29,2,1,22.2,5,1,4,7,9,4,0,1a248246
Haris Belkebla,MF,Brest,27,46,23,46.2,26,6,20,48,94,30,1,2b1bed19
Jean-Ricner Bellegarde,MF,Strasbourg,23,51,32,41.5,29,4,25,27,78,19,0,10f0fdd3
Jeanöel Belocian,DF,Rennes,16,0,0,,0,0,0,0,0,0,0,c678ddd7
Hatem Ben Arfa,FWMF,Lille,34,4,2,50.0,3,0,3,0,4,1,0,74dc806c
Salim Ben Seghir,MF,Marseille,18,0,0,,0,0,0,0,0,0,0,1f6298f2
Wissam Ben Yedder,FW,Monaco,30,18,8,40.0,12,1,11,0,18,1,0,942b4f90
Darío Benedetto,FWMF,Marseille,31,0,0,,2,0,2,0,0,0,0,bef0a7ac
Walter Benítez,GK,Nice,28,0,0,0.0,1,0,1,0,0,12,2,8a2248b4
Loris Benito,DF,Bordeaux,29,0,0,,0,0,0,1,1,3,1,f5b6fb78
Nabil Bentaleb,MF,Angers,26,42,24,55.2,24,9,15,28,70,13,0,3189f61a
Patrick Berg,MF,Lens,23,14,6,0.0,2,1,1,4,18,3,0,e4114f5d
Mitchell van Bergen,FWMF,Reims,21,8,5,40.0,9,0,9,4,12,7,0,0b2c9aec
Valon Berisha,MFFW,Reims,28,10,7,20.0,9,0,9,4,14,3,0,d5575935
Paul Bernardoni,GK,Angers,24,3,2,75.0,0,0,0,0,3,8,1,28dabd43
Paul Bernardoni,GK,Saint-Étienne,24,0,0,,0,0,0,0,0,14,2,28dabd43
Juan Bernat,DFMF,Paris S-G,28,24,14,72.2,8,0,8,8,32,16,0,433dc9a2
Dimitry Bertaud,GK,Montpellier,23,0,0,0.0,0,0,0,0,0,5,1,380a15e2
Jason Berthomier,MF,Clermont Foot,31,29,14,35.3,14,2,12,8,37,4,1,03e91055
Giulian Biancone,DFMF,Troyes,21,70,42,58.0,23,8,15,53,123,71,1,de40e38c
El Bilal Touré,FW,Reims,19,13,6,28.6,10,3,7,6,19,19,0,47c609d5
Jean-Claude Billong,DF,Clermont Foot,27,17,8,72.7,9,1,8,10,27,35,0,a3e1d20d
Nathan Bitu Mazala,DF,Paris S-G,18,0,0,,1,0,1,0,0,0,0,0f697e02
Marco Bizot,GK,Brest,30,3,1,60.0,1,0,1,0,3,24,1,3d214e5f
Ludovic Blas,MFFW,Nantes,23,33,18,34.1,33,3,30,31,64,6,1,6191093d
Myron Boadu,FW,Monaco,20,9,7,20.0,6,0,6,2,11,1,0,5b479568
Jérôme Boateng,DF,Lyon,32,20,15,52.9,20,10,10,20,40,73,0,2db2fd7b
Antonin Bobichon,MFFW,Angers,25,1,0,,0,0,0,1,2,0,0,7d937aa1
Quentin Boisgard,MFFW,Lorient,24,19,11,47.1,15,0,15,6,25,5,0,f6496133
Charles Boli,MFDF,Lens,22,2,1,,0,0,0,0,2,0,0,bbdd999a
Sven Botman,DF,Lille,21,24,11,66.7,32,21,11,26,50,116,0,ccce7025
Denis Bouanga,FWMF,Saint-Étienne,26,46,25,34.9,30,0,30,8,54,34,1,0b0cbe5b
Hicham Boudaoui,MF,Nice,21,31,18,36.1,17,4,13,18,49,15,0,f9d5908e
Ryad Boudebouz,MFFW,Saint-Étienne,31,27,15,41.4,17,2,15,10,37,5,0,1001ae82
Sofiane Boufal,FWMF,Angers,27,44,29,47.4,19,2,17,7,51,1,0,b0c71810
