Player,Pos,Squad,Age,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,-9999
Leonardo Balerdi,DF,Marseille,22,4,1,0,10,5,0,0,19,6,0,0,0,78,17,13,56.7,7c3ed041
Abdoulaye Bamba,DFFW,Angers,31,1,0,0,5,6,0,10,9,5,0,0,1,19,6,5,54.5,7fecbcdb
Jonathan Bamba,MFFW,Lille,25,3,0,0,11,56,14,115,21,12,0,0,0,169,16,19,45.7,b2bd0f6c
Simon Banza,FW,Lens,24,0,0,0,3,7,0,1,1,1,0,0,0,5,6,5,54.5,be47b750
Danilo Barbosa,DF,Nice,25,0,0,0,0,0,0,0,2,0,0,0,0,2,4,5,44.4,0557ff4f
Bradley Barcola,FWMF,Lyon,18,0,0,0,5,0,1,4,2,4,0,0,0,16,5,5,50.0,a0d55a09
Melvin Bard,DF,Nice,20,3,0,0,21,30,1,87,51,37,0,0,0,226,41,31,56.9,1ddbc7ca
Toma Bašić,MF,Bordeaux,24,0,0,0,6,2,0,18,2,2,0,0,0,4,0,1,0.0,80556f08
Amine Bassi,MFFW,Metz,23,0,0,0,4,4,0,16,0,3,0,0,0,12,1,4,20.0,ced1d98f
Paul Baysse,MFDF,Bordeaux,33,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,2515040a
Youcef Belaïli,MFFW,Brest,29,2,0,0,12,19,2,50,7,1,0,1,0,49,5,7,41.7,1a248246
Haris Belkebla,MF,Brest,27,2,0,0,27,39,0,11,48,23,0,0,0,171,21,17,55.3,2b1bed19
Jean-Ricner Bellegarde,MF,Strasbourg,23,5,0,0,36,68,0,54,27,32,0,0,0,177,18,19,48.6,10f0fdd3
Jeanöel Belocian,DF,Rennes,16,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,c678ddd7
Hatem Ben Arfa,FWMF,Lille,34,1,0,0,7,4,2,7,0,2,0,0,0,13,0,5,0.0,74dc806c
Salim Ben Seghir,MF,Marseille,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1f6298f2
Wissam Ben Yedder,FW,Monaco,30,3,0,0,19,22,24,14,0,8,1,0,0,74,21,46,31.3,942b4f90
Darío Benedetto,FWMF,Marseille,31,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,100.0,bef0a7ac
Walter Benítez,GK,Nice,28,2,0,0,0,6,0,0,0,0,0,0,0,43,12,0,100.0,8a2248b4
Loris Benito,DF,Bordeaux,29,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,,f5b6fb78
Nabil Bentaleb,MF,Angers,26,4,0,0,29,13,0,3,28,24,0,0,0,131,18,12,60.0,3189f61a
Patrick Berg,MF,Lens,23,0,0,0,5,1,0,2,4,6,0,0,0,28,3,1,75.0,e4114f5d
Mitchell van Bergen,FWMF,Reims,21,1,0,0,8,4,10,49,4,5,0,0,0,49,3,17,15.0,0b2c9aec
Valon Berisha,MFFW,Reims,28,2,1,1,13,2,2,27,4,7,0,0,0,24,4,3,57.1,d5575935
Paul Bernardoni,GK,Angers,24,0,0,0,0,2,0,0,0,2,0,0,0,9,7,1,87.5,28dabd43
Paul Bernardoni,GK,Saint-Étienne,24,0,0,0,0,3,0,0,0,0,0,0,0,29,3,1,75.0,28dabd43
Juan Bernat,DFMF,Paris S-G,28,2,0,0,4,9,1,12,8,14,0,0,0,37,8,8,50.0,433dc9a2
Dimitry Bertaud,GK,Montpellier,23,0,0,0,0,1,0,0,0,0,0,0,0,10,2,1,66.7,380a15e2
Jason Berthomier,MF,Clermont Foot,31,0,0,0,14,15,2,133,8,14,0,0,0,98,11,16,40.7,03e91055
Giulian Biancone,DFMF,Troyes,21,10,0,0,34,32,4,87,53,42,0,2,0,147,48,34,58.5,de40e38c
El Bilal Touré,FW,Reims,19,2,0,0,20,14,6,4,6,6,0,0,0,37,59,58,50.4,47c609d5
Jean-Claude Billong,DF,Clermont Foot,27,2,0,0,7,9,0,1,10,8,0,0,0,57,29,9,76.3,a3e1d20d
Nathan Bitu Mazala,DF,Paris S-G,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0f697e02
Marco Bizot,GK,Brest,30,1,0,0,0,4,0,0,0,1,0,0,0,34,4,1,80.0,3d214e5f
Ludovic Blas,MFFW,Nantes,23,10,0,0,45,55,4,37,31,18,1,0,0,172,17,29,37.0,6191093d
Myron Boadu,FW,Monaco,20,0,0,0,17,11,12,0,2,7,0,0,0,20,15,29,34.1,5b479568
Jérôme Boateng,DF,Lyon,32,6,0,0,13,3,0,5,20,15,0,0,0,107,18,7,72.0,2db2fd7b
Antonin Bobichon,MFFW,Angers,25,0,0,0,0,0,0,2,1,0,0,0,0,5,0,2,0.0,7d937aa1
Quentin Boisgard,MFFW,Lorient,24,3,0,0,11,9,0,46,6,11,0,0,0,70,9,17,34.6,f6496133
Charles Boli,MFDF,Lens,22,0,0,0,0,2,0,2,0,1,0,0,0,2,1,0,100.0,bbdd999a
Sven Botman,DF,Lille,21,4,0,0,16,13,1,0,26,11,0,2,0,113,57,28,67.1,ccce7025
Denis Bouanga,FWMF,Saint-Étienne,26,4,1,0,50,48,5,67,8,25,0,0,0,141,67,95,41.4,0b0cbe5b
Hicham Boudaoui,MF,Nice,21,7,0,0,30,21,4,49,18,18,0,0,0,103,13,16,44.8,f9d5908e
Ryad Boudebouz,MFFW,Saint-Étienne,31,2,0,0,14,29,0,106,10,15,0,0,0,132,12,64,15.8,1001ae82
Sofiane Boufal,FWMF,Angers,27,6,0,0,44,80,15,108,7,29,2,0,0,85,12,37,24.5,b0c71810
Farid Boulaya,MFFW,Metz,28,1,1,0,7,17,1,71,12,10,0,0,0,100,9,19,32.1,a0791826
Ismaëlben Boura,DF,Lens,20,0,0,0,0,0,0,1,2,2,0,0,0,2,1,0,100.0,62e02107
Benjamin Bourigeaud,FWMF,Rennes,27,2,0,0,25,8,4,294,30,24,0,0,0,144,14,45,23.7,20e73fac
Redwan Bourles,MFFW,Lorient,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0,5c7895a0
Domagoj Bradarić,DF,Lille,21,2,0,0,5,7,0,21,10,9,0,0,0,27,5,15,25.0,8bbe2df5
Bilal Brahimi,MF,Nice,21,1,0,0,4,10,2,45,2,1,0,0,0,24,2,1,66.7,02bcaf8e
Bilal Brahimi,FW,Angers,21,0,0,0,2,9,1,11,1,1,1,0,0,13,2,5,28.6,02bcaf8e
Lilian Brassier,DF,Brest,21,4,0,0,24,17,0,17,32,24,0,1,1,153,42,19,68.9,5b146df3
Jimmy Briand,FWMF,Bordeaux,35,1,0,0,5,0,1,2,1,0,0,0,0,13,6,12,33.3,f83c8d6c
