Player,Pos,Squad,Age,Touches,Att,Succ,Succ%,Mis,Dis,-9999
Federico Di Francesco,FWMF,Lecce,28-286,547,31,10,32.3,41,21,1fca9171
Michele Di Gregorio,GK,Monza,25-243,1092,2,2,100.0,0,0,4e0c8d66
Giovanni Di Lorenzo,DF,Napoli,29-235,2178,24,7,29.2,15,15,230a2fac
Ángel Di María,FWMF,Juventus,35-041,535,46,17,37.0,19,22,19cda00b
Boulaye Dia,FW,Salernitana,26-131,616,62,25,40.3,53,43,244bc2c8
Brahim Díaz,MF,Milan,23-236,673,52,25,48.1,48,41,407feb71
Federico Dimarco,DF,Inter,25-137,1203,16,4,25.0,16,10,970b8574
Koffi Djidji,DF,Torino,30-117,1231,3,3,100.0,5,5,933d3b51
Berat Djimsiti,DF,Atalanta,30-036,725,4,3,75.0,6,5,6eee05f1
Dodô,DF,Fiorentina,24-130,1219,29,15,51.7,29,9,b5f7d10b
Josh Doig,DF,Hellas Verona,20-313,645,54,23,42.6,31,15,2f69d881
Nicolás Domínguez,MF,Bologna,24-272,1088,26,16,61.5,39,17,20b3a502
Giulio Donati,DF,Monza,33-050,231,2,0,0.0,1,0,22051fbe
Bartłomiej Drągowski,GK,Spezia,25-220,909,0,0,,0,0,085e71a7
Ondrej Duda,MF,Hellas Verona,28-112,366,27,16,59.3,12,9,79ca3e23
Denzel Dumfries,DF,Inter,26-343,855,33,12,36.4,28,15,481c9ece
Alfred Duncan,MF,Fiorentina,30-017,370,12,5,41.7,10,10,528492ea
Paulo Dybala,MFFW,Roma,29-132,857,48,19,39.6,50,27,e0921a4f
Edin Džeko,FW,Inter,37-010,655,23,7,30.4,43,15,3bb7f478
Festy Ebosele,DFFW,Udinese,20-237,89,12,4,33.3,7,3,dbfa4f16
Enzo Ebosse,DF,Udinese,24-016,667,7,4,57.1,8,3,9ba7b4fa
Tyronne Ebuehi,DF,Empoli,27-101,596,13,4,30.8,7,7,6af30900
Éderson,MF,Atalanta,23-263,981,40,17,42.5,33,17,a9202def
Kingsley Ehizibue,DF,Udinese,27-306,546,24,6,25.0,15,8,76b2817e
Albin Ekdal,MF,Spezia,33-242,558,7,5,71.4,17,7,f503ea63
Emmanuel Ekong,FWMF,Empoli,20-275,6,1,0,0.0,0,0,c20892ee
Mikael Ellertsson,MFDF,Spezia,21-016,60,3,1,33.3,2,2,c55967eb
Elif Elmas,FWMF,Napoli,23-184,703,37,16,43.2,22,16,cf007308
Martin Erlic,DF,Sassuolo,25-062,1145,2,1,50.0,11,1,0fee6bda
Gonzalo Escalante,MF,Cremonese,30-000,352,5,1,20.0,7,7,3f79a1c8
Salvatore Esposito,MF,Spezia,22-171,175,6,2,33.3,4,3,5cf5c9ad
Nicolò Fagioli,MF,Juventus,22-043,491,15,6,40.0,25,17,366be751
Wladimiro Falcone,GK,Lecce,27-349,962,0,0,,1,0,9f5a610b
Davide Faraoni,DF,Hellas Verona,31-153,417,8,3,37.5,5,2,aae9d04a
Federico Fazio,DF,Salernitana,36-010,673,8,4,50.0,11,5,4e358a2d
Jacopo Fazzini,MF,Empoli,20-011,241,14,5,35.7,11,15,06b08c45
Lewis Ferguson,MF,Bologna,23-215,888,17,9,52.9,25,14,ee64a822
Alex Ferrari,DF,Sampdoria,28-269,560,6,3,50.0,10,3,d0dbca9f
Alex Ferrari,DF,Cremonese,28-269,429,4,1,25.0,3,1,d0dbca9f
Salvador Ferrer,DF,Spezia,25-065,76,0,0,,2,1,eb76987d
Alessandro Florenzi,DF,Milan,32-016,96,0,0,,2,0,e288d4b3
Davide Frattesi,MF,Sassuolo,23-156,1055,59,28,47.5,41,31,2a7d27c1
Matteo Gabbia,DF,Milan,23-157,418,0,0,,1,0,c235e803
Manolo Gabbiadini,FWMF,Sampdoria,31-121,586,18,2,11.1,41,18,8f866fe8
Gianluca Gaetano,MF,Napoli,22-326,40,2,2,100.0,0,4,3b387cc7
Roberto Gagliardini,MF,Inter,28-354,246,4,0,0.0,3,2,ce30bfc8
Adolfo Gaich,FW,Hellas Verona,24-029,152,10,6,60.0,12,7,8dfed6e9
Pablo Galdames Millán,MFDF,Cremonese,26-087,119,1,0,0.0,2,0,dd403465
Antonino Gallo,DF,Lecce,23-081,1085,20,13,65.0,17,7,c74d63ac
Federico Gatti,DF,Juventus,24-276,486,1,1,100.0,3,3,18dd3219
Valentin Gendrey,DF,Lecce,22-279,1355,26,10,38.5,37,11,822ed0ec
Paolo Ghiglione,DF,Cremonese,26-053,277,7,0,0.0,5,4,71dc23da
Mario Gila,DF,Lazio,22-210,71,0,0,,1,1,9c435456
Gvidas Gineitis,MF,Torino,18-346,34,2,0,0.0,1,1,548bd0de
Olivier Giroud,FW,Milan,36-178,602,11,5,45.5,50,11,16ceb862
Pierluigi Gollini,GK,Fiorentina,28-009,131,0,0,,0,0,f0f7f62f
Pierluigi Gollini,GK,Napoli,28-009,38,0,0,,0,0,f0f7f62f
Joan Gonzàlez,MF,Lecce,21-054,900,42,14,33.3,39,22,f025eade
Nicolás González,FWMF,Fiorentina,24-355,535,45,13,28.9,35,10,2374aaca
Robin Gosens,DFFW,Inter,28-265,530,13,6,46.2,14,2,2d970560
Alberto Grassi,MF,Empoli,28-020,357,3,0,0.0,9,6,6cc97b6a
Andrew Gravillon,DF,Torino,25-047,92,2,1,50.0,0,1,49136c42
Koray Günter,DF,Hellas Verona,28-223,557,4,3,75.0,3,1,f1f1f238
Koray Günter,DFMF,Sampdoria,28-223,166,0,0,,0,0,f1f1f238
Emmanuel Gyasi,FWDF,Spezia,29-075,794,27,7,25.9,52,33,f9758dae
Norbert Gyömbér,DF,Salernitana,30-267,642,1,0,0.0,1,1,0be276c6
Christian Gytkjær,FW,Monza,32-325,143,5,3,60.0,14,5,9250bcff
Nicolas Haas,MF,Empoli,27-063,448,6,1,16.7,17,7,fa449bba
Samir Handanović,GK,Inter,38-256,385,0,0,,1,0,74419746
Abdou Harroui,MF,Sassuolo,25-073,207,6,3,50.0,6,8,65fd099c
Hans Hateboer,DF,Atalanta,29-077,823,9,4,44.4,8,7,3b333ac3
Liam Henderson,MF,Empoli,26-336,460,5,0,0.0,11,3,d7918b13
Jack Hendry,DF,Cremonese,27-324,148,1,0,0.0,0,0,ffed43e3
Matheus Henrique,MF,Sassuolo,25-098,661,35,19,54.3,15,8,a2d9f138
Thomas Henry,FW,Hellas Verona,28-188,374,14,3,21.4,52,25,9ef42479
Theo Hernández,DF,Milan,25-172,1385,51,15,29.4,34,12,d4c9725f
Isak Hien,DF,Hellas Verona,24-073,953,20,9,45.0,19,10,12806697
Morten Hjulmand,MF,Lecce,23-275,1169,13,8,61.5,22,17,d4456fb3
Emil Holm,DF,Spezia,22-318,804,44,18,40.9,47,22,c2357b65
Martin Hongla,MF,Hellas Verona,25-011,258,14,8,57.1,4,3,b85bf253
Petko Hristov,DF,Spezia,24-026,251,3,0,0.0,3,0,d8800a46
Ajdin Hrustic,MF,Hellas Verona,26-265,121,12,4,33.3,8,3,1f2d714c
Elseid Hysaj,DF,Lazio,29-035,942,13,3,23.1,13,9,2f3452eb
Rasmus Højlund,FW,Atalanta,20-051,495,47,16,34.0,61,41,491a433d
Roger Ibanez,DF,Roma,24-124,1681,17,10,58.8,21,15,82efe6fa
Zlatan Ibrahimović,FW,Milan,41-175,72,3,0,0.0,5,2,4cde5509
Igor,DF,Fiorentina,25-048,1117,12,8,66.7,6,7,a4e85758
Jonathan Ikone,FW,Fiorentina,24-329,724,66,33,50.0,48,34,42eaa028
Ivan Ilić,MF,Hellas Verona,22-010,490,16,6,37.5,17,5,bb376bed
Ivan Ilić,MF,Torino,22-010,297,8,3,37.5,4,2,bb376bed
Samuel Iling-Junior,DFFW,Juventus,19-174,61,5,1,20.0,5,2,ba492306
Emirhan İlkhan,MF,Torino,18-299,58,2,1,50.0,2,2,a47c6309
Emirhan İlkhan,MF,Sampdoria,18-299,23,2,1,50.0,0,0,a47c6309
Ciro Immobile,FW,Lazio,33-035,604,33,13,39.4,41,17,4431aed2
Ardian Ismajli,DF,Empoli,26-178,1026,1,1,100.0,2,1,6b635f5c
Armando Izzo,DF,Monza,31-025,1272,12,4,33.3,8,7,89976232
Mato Jajalo,MF,Udinese,34-306,36,2,1,50.0,1,0,8c65eb5f
