,,,,Play,Play,Play,Play,Perf,Perf,Perf,Perf,-additional
Player,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,-9999
Federico Dimarco,DF,Hellas Verona,22,35,29,2613,29.0,5,3,6,0,970b8574
Koffi Djidji,DF,Crotone,27,20,16,1524,16.9,1,0,4,0,933d3b51
Berat Djimsiti,DF,Atalanta,27,33,28,2625,29.2,0,3,8,0,6eee05f1
Nicolás Domínguez,MF,Bologna,22,28,15,1255,13.9,1,0,8,0,20b3a502
Gianluigi Donnarumma,GK,Milan,21,37,37,3330,37.0,0,0,1,0,08f5afaa
Bartłomiej Drągowski,GK,Fiorentina,22,36,36,3148,35.0,0,1,0,1,085e71a7
Denis Drăguș,FWMF,Crotone,21,9,1,177,2.0,0,0,1,0,0e490f6e
Radu Drăgușin,DF,Juventus,18,1,0,1,0.0,0,0,0,0,620922ed
Léo Duarte,DF,Milan,24,1,0,19,0.2,0,0,0,0,73ddc40c
Alfred Duncan,MF,Fiorentina,27,4,2,162,1.8,0,0,0,0,528492ea
Alfred Duncan,MF,Cagliari,27,19,12,1068,11.9,0,1,2,0,528492ea
Paulo Dybala,FW,Juventus,26,20,14,1132,12.6,4,3,0,0,e0921a4f
Edin Džeko,FW,Roma,34,27,20,1824,20.3,7,3,2,0,3bb7f478
Steeve-Mike Ebongue,MF,Genoa,19,3,0,52,0.6,0,1,0,0,9d5ab351
Simone Edera,DFMF,Torino,23,2,0,52,0.6,0,0,0,0,8697c095
Albin Ekdal,MF,Sampdoria,31,32,26,2299,25.5,2,1,9,0,f503ea63
Elif Elmas,MFFW,Napoli,20,33,3,740,8.2,2,1,3,0,cf007308
Alan Empereur,DF,Hellas Verona,26,4,4,219,2.4,0,0,1,0,825b8997
Christian Eriksen,MF,Inter,28,26,17,1385,15.4,3,0,1,0,980522ec
Martin Erlic,DF,Spezia,22,27,19,1798,20.0,3,1,6,0,0fee6bda
Gonzalo Escalante,MF,Lazio,27,24,4,733,8.1,0,1,5,0,3f79a1c8
Nahuel Estévez,MF,Spezia,24,27,19,1768,19.6,0,3,7,0,cec60a2f
Valentin Eysseric,MFFW,Fiorentina,28,16,6,729,8.1,2,0,2,0,ae82fa48
Nicolò Fagioli,MF,Juventus,19,1,0,21,0.2,0,0,0,0,366be751
Iago Falque,MFFW,Benevento,30,11,4,358,4.0,1,1,0,0,440c84ed
Andri Fannar Baldursson,MF,Bologna,18,8,1,217,2.4,0,0,2,0,61f2f56a
Paolo Faragò,DF,Bologna,27,1,0,23,0.3,0,0,0,0,9085dd7c
Paolo Faragò,DF,Cagliari,27,8,4,369,4.1,0,0,2,0,9085dd7c
Davide Faraoni,DF,Hellas Verona,28,34,33,2891,32.1,4,7,8,0,aae9d04a
Mohamed Fares,DF,Lazio,24,21,12,1139,12.7,0,1,5,0,b7a5bc86
