Player,Pos,Squad,Age,Cmp,Att,Cmp%,-9999
Yoann Salmier,DF,Troyes,28,1120,1347,83.1,c3725db2
Mama Samba Baldé,MFFW,Troyes,25,289,425,68.0,fb14aa28
Junior Sambia,DFFW,Montpellier,24,551,725,76.0,24eb7ed6
Renato Sanches,MFFW,Lille,23,986,1208,81.6,032f894e
Philippe Sandler,DF,Troyes,24,21,27,77.8,60740e70
Baptiste Santamaria,MFDF,Rennes,26,1336,1551,86.1,5e22e2a4
Pablo Sarabia,FW,Paris S-G,29,13,20,65.0,9744ff80
Martin Satriano,FW,Brest,20,124,177,70.1,86383d0e
Téji Savanier,MF,Montpellier,29,1070,1617,66.2,6bde367b
Morgan Schneiderlin,MF,Nice,31,344,404,85.1,51b41c5c
Alidu Seidu,DF,Clermont Foot,21,560,648,86.4,cea59f02
Matz Sels,GK,Strasbourg,29,696,960,72.5,834b5c4c
Xherdan Shaqiri,FWMF,Lyon,29,259,349,74.2,6421ec64
Mahame Siby,DF,Strasbourg,25,1,2,50.0,6d075c67
Aboubakar Sidibé,DF,Clermont Foot,25,4,5,80.0,ae5b93a0
Djibril Sidibé,DF,Monaco,29,588,755,77.9,4c5b714f
Kaj Sierhuis,FW,Reims,23,19,23,82.6,9c2b1f11
Caio Henrique Oliveira Silva,DF,Monaco,24,1405,1873,75.0,30af8b93
Gabriel Silva,DFMF,Saint-Étienne,30,237,332,71.4,4914ed4a
Moses Simon,FWMF,Nantes,26,521,829,62.8,5f3eaaf5
Xavi Simons,MFFW,Paris S-G,18,48,60,80.0,da4d670f
Issouf Sissokho,MF,Bordeaux,19,183,217,84.3,792a9d41
Ibrahima Sissoko,MFDF,Strasbourg,23,826,1040,79.4,0f8418aa
Nelson Sissoko,DF,Saint-Étienne,24,9,12,75.0,12bd0579
Sambou Sissoko,MFDF,Reims,22,71,101,70.3,e4bb1f08
Islam Slimani,FW,Lyon,33,144,186,77.4,ffec9769
Florian Sotoca,FWMF,Lens,30,911,1206,75.5,7a42d0df
Sambou Soumano,FWMF,Lorient,20,55,93,59.1,7cc00776
Arnaud Souquet,DF,Montpellier,29,846,1190,71.1,4e0afc5d
Saidou Sow,DF,Saint-Étienne,19,476,573,83.1,f6b94e8d
Calvin Stengs,MF,Nice,22,295,411,71.8,8f7e6783
Kamaldeen Sulemana,MFFW,Rennes,19,266,350,76.0,a62f8bf1
Abdoulaye Sylla,DF,Nantes,21,54,77,70.1,2aeb43f1
Waniss Taibi,MFFW,Angers,19,55,72,76.4,95192fe4
Flavien Tait,MF,Rennes,28,1075,1253,85.8,a0f9b535
Florian Tardieu,MF,Troyes,29,1689,2048,82.5,ed39121c
Oussama Targhalline,FW,Marseille,19,7,7,100.0,abd56820
Loum Tchaouna,FWMF,Rennes,17,24,38,63.2,a3c8b4d3
Warren Tchimbembé,MF,Metz,23,84,96,87.5,93b8f9f4
Aurélien Tchouaméni,MF,Monaco,21,1795,2091,85.8,4f255115
Mathys Tel,FWMF,Rennes,16,16,26,61.5,829aa60c
Jordan Tell,FW,Clermont Foot,24,75,89,84.3,4f093689
Martin Terrier,FWMF,Rennes,24,757,959,78.9,5148dcc5
Tetê,FWMF,Lyon,21,189,242,78.1,7120a04d
Sada Thioub,FW,Angers,26,2,3,66.7,f4bc42b1
Sada Thioub,DFMF,Saint-Étienne,26,408,524,77.9,f4bc42b1
Romain Thomas,DF,Angers,33,1471,1706,86.2,275e2c51
Adrien Thomasson,MF,Strasbourg,27,991,1305,75.9,c76b7567
Thuler,DF,Montpellier,22,275,332,82.8,db23d9fc
Khéphren Thuram-Ulie,MF,Nice,20,971,1134,85.6,7d9397f8
Cheikh Tidiane Sabaly,FWMF,Metz,22,31,35,88.6,9ddf7fae
