Player,Pos,Squad,Age,SCA,-9999
Dimitris Giannoulis,DF,Norwich City,25,22,112c495e
Morgan Gibbs-White,DFFW,Wolves,21,1,32f60ed8
Ben Gibson,DF,Norwich City,28,14,bcfb0142
Billy Gilmour,MF,Norwich City,20,55,df10e27c
Ben Godfrey,DF,Everton,23,32,9f7c837d
André Gomes,MF,Everton,28,21,1961b2aa
Toti Gomes,DF,Wolves,22,0,f0caab96
Joe Gomez,DF,Liverpool,24,7,7a11550b
Charlie Goode,DF,Brentford,25,12,7aee4dd3
Anthony Gordon,MFFW,Everton,20,77,2bd83368
Kaide Gordon,FW,Liverpool,16,0,19a9cb70
Dan Gosling,MF,Watford,31,2,7fec31a0
Demarai Gray,MFFW,Everton,25,88,4468ec10
Jack Grealish,FW,Manchester City,25,119,b0b4fd3e
Mason Greenwood,FWMF,Manchester Utd,19,52,58eee997
Sam Greenwood,MFFW,Leeds United,19,5,f3354c07
Pascal Groß,MFDF,Brighton,30,100,8aec0537
Vicente Guaita,GK,Crystal Palace,34,1,ab13a5aa
Marc Guéhi,DF,Crystal Palace,21,25,d0706b27
Bruno Guimarães,MF,Newcastle Utd,23,31,82518f62
İlkay Gündoğan,MF,Manchester City,30,84,819b3158
Angus Gunn,GK,Norwich City,25,0,e082af5b
Grant Hanley,DF,Norwich City,29,14,e9254eec
Jack Harrison,FWMF,Leeds United,24,86,aa849a12
Kortney Hause,DF,Aston Villa,26,2,bf8fad51
Kai Havertz,FWMF,Chelsea,22,61,fed7cb61
Isaac Hayden,MFDF,Newcastle Utd,26,6,c951a6df
Hwang Hee-chan,FWMF,Wolves,25,37,169fd162
Jordan Henderson,MF,Liverpool,31,96,935e6b8f
Jeff Hendrick,MF,Newcastle Utd,29,1,989d5705
Wayne Hennessey,GK,Burnley,34,3,76eca7e2
Rico Henry,DF,Brentford,24,50,8a3c1dc7
Son Heung-min,MFFW,Tottenham,29,135,92e7e919
Ki-Jana Hoever,DFMF,Wolves,19,3,9a71e978
Rob Holding,DF,Arsenal,25,3,d79a8c87
Mason Holgate,DF,Everton,24,5,d0042ab9
Callum Hudson-Odoi,MFFW,Chelsea,20,55,15f3ec41
Will Hughes,MF,Crystal Palace,26,23,a0666d3e
Pierre Højbjerg,MF,Tottenham,25,86,8b04d6c1
Adam Idah,FWMF,Norwich City,20,17,291e3ec3
Kelechi Iheanacho,FW,Leicester City,24,38,c92e1a31
Danny Ings,FW,Aston Villa,29,32,07802f7f
Tim Iroegbunam,MF,Aston Villa,18,0,84c5ceea
Alex Iwobi,MFDF,Everton,25,66,6ca5ec4b
Daniel James,FW,Manchester Utd,23,3,c931d9f9
Daniel James,FWMF,Leeds United,23,54,c931d9f9
Reece James,DF,Chelsea,21,88,1265a93a
Vitaly Janelt,MF,Brentford,23,57,8449d35e
Pontus Jansson,DF,Brentford,30,14,172e52d8
Mathias Jensen,MF,Brentford,25,66,0f134faf
Gabriel Jesus,FW,Manchester City,24,85,b66315ae
Raúl Jiménez,FW,Wolves,30,71,b561db50
João Pedro,FWMF,Watford,19,60,e8832875
Joelinton,MFFW,Newcastle Utd,24,67,c17bfb65
Ben Johnson,DF,West Ham,21,24,9319781b
Curtis Jones,MF,Liverpool,20,28,4fb9c88f
Phil Jones,DF,Manchester Utd,29,1,def899bd
Jorginho,MF,Chelsea,29,70,45db685d
Diogo Jota,FW,Liverpool,24,98,178ae8f8
James Justin,DF,Leicester City,23,17,fb614c44
Mathias Jørgensen,DF,Brentford,31,7,0db5d2c8
Ozan Kabak,DF,Norwich City,21,10,2d61d13a
Christian Kabasele,DF,Watford,30,4,914ab9a1
Samuel Kalu,FW,Watford,23,7,b8d22478
Hassane Kamara,DF,Watford,27,18,19a12bed
Harry Kane,FW,Tottenham,28,128,21a66f6a
N'Golo Kanté,MF,Chelsea,30,69,b9fbae28
Edo Kayembe,MF,Watford,23,16,f99b71de
Moise Kean,FW,Everton,21,0,3d50bcdb
Michael Keane,DF,Everton,28,19,c5b7c315
Naby Keïta,MF,Liverpool,26,46,f25c8e3a
Caoimhín Kelleher,GK,Liverpool,22,0,62d7ef38
Kenedy,DF,Chelsea,25,2,5eebbfdf
Jonjoe Kenny,DF,Everton,24,21,099e666f
Max Kilman,DF,Wolves,24,10,d0f72bf1
Joshua King,FW,Watford,29,63,43458538
Kristoffer Klaesson,GK,Leeds United,20,0,3f70db80
Mateusz Klich,MF,Leeds United,31,77,282679b4
Robin Koch,MFDF,Leeds United,25,24,ea6bc03a
Sead Kolašinac,DF,Arsenal,28,0,3935e52e
Ibrahima Konaté,DF,Liverpool,22,6,5ed9b537
Ezri Konsa,DF,Aston Villa,23,13,0313a347
Cheikhou Kouyaté,MF,Crystal Palace,31,15,8d3c902d
Mateo Kovačić,MF,Chelsea,27,69,79c0821a
Emil Krafth,DF,Newcastle Utd,26,19,77cf6852
Alex Král,MF,West Ham,23,0,e717705a
Tim Krul,GK,Norwich City,33,6,f23f9d20
Juraj Kucka,MF,Watford,34,42,5aaef9ef
Dejan Kulusevski,MFFW,Tottenham,21,51,df3cda47
Alexandre Lacazette,FW,Arsenal,30,71,9dbb75ca
Adam Lallana,MF,Brighton,33,28,99813635
Tariq Lamptey,DFFW,Brighton,20,54,f4e433d4
Manuel Lanzini,MFFW,West Ham,28,60,26f6dca8
Aymeric Laporte,DF,Manchester City,27,40,119b9a8e
Jamaal Lascelles,DF,Newcastle Utd,27,10,450ab6fc
Pierre Lees-Melou,MF,Norwich City,28,55,f5044e54
Aaron Lennon,MFFW,Burnley,34,33,2ff964a0
Bernd Leno,GK,Arsenal,29,0,2628fd2b
Jamal Lewis,DF,Newcastle Utd,23,2,efb9215a
Victor Lindelöf,DF,Manchester Utd,27,13,f5deef4c
Jesse Lingard,FWMF,Manchester Utd,28,16,810e3c74
Valentino Livramento,DF,Southampton,18,44,afed6722
Diego Llorente,DF,Leeds United,27,9,bba30585
Hugo Lloris,GK,Tottenham,34,6,8f62b6ee
Giovani Lo Celso,MFFW,Tottenham,25,10,d7553721
Jürgen Locadia,MFFW,Brighton,27,0,6cc47ae1
Ruben Loftus-Cheek,MFDF,Chelsea,25,56,e97fd090
Kevin Long,DF,Burnley,30,1,5a4280b1
Shane Long,FW,Southampton,34,5,9f472354
Sean Longstaff,MF,Newcastle Utd,23,26,a2b105e0
Ademola Lookman,FWMF,Leicester City,23,46,7c104bb7
Jonas Lössl,GK,Brentford,32,0,939bc634
Imran Louza,MF,Watford,22,34,e1df6989
Matthew Lowton,DF,Burnley,32,34,9a9c05db
Douglas Luiz,MF,Aston Villa,23,89,6f7d826d
Romelu Lukaku,FW,Chelsea,28,50,5eae500a
Lyanco,DF,Southampton,24,10,b5bf1770
Alexis Mac Allister,MFFW,Brighton,22,83,83d074ff
James Maddison,MFFW,Leicester City,24,106,ee38d9c5
Harry Maguire,DF,Manchester Utd,28,24,d8931174
Riyad Mahrez,FW,Manchester City,30,73,892d5bb1
Ainsley Maitland-Niles,MF,Arsenal,23,7,e3a5814e
Sadio Mané,FW,Liverpool,29,114,c691bfe2
Javier Manquillo,DF,Newcastle Utd,27,13,758dd7f0
Fernando Marçal,MFDF,Wolves,32,22,9ae9eaea
Solly March,DFFW,Brighton,27,71,bb5fbd2b
Pablo Marí,DF,Arsenal,27,2,aa54ec6f
Anthony Martial,FW,Manchester Utd,25,5,8b788c01
Martinelli,FWMF,Arsenal,20,72,48a5a5d6
Emiliano Martínez,GK,Aston Villa,28,5,7956236f
Adam Masina,DF,Watford,27,13,de0f152c
Arthur Masuaku,DFFW,West Ham,27,7,57df7a11
Juan Mata,MF,Manchester Utd,33,9,29733c72
Jean-Philippe Mateta,FW,Crystal Palace,24,20,50e6dc35
Nemanja Matić,MF,Manchester Utd,32,30,eb7822d7
Joël Matip,DF,Liverpool,29,42,b217ef29
Neal Maupay,FW,Brighton,24,59,4bcf39f6
Bryan Mbeumo,FW,Brentford,21,86,6afaebf2
James McArthur,MF,Crystal Palace,33,35,cee31595
James Mcatee,MFFW,Manchester City,18,0,96593e89
Kasey McAteer,FW,Leicester City,19,0,b2c66859
Liam McCarron,FW,Leeds United,20,0,076bb352
Alex McCarthy,GK,Southampton,31,2,36c2ca73
John McGinn,MF,Aston Villa,26,103,90f91999
Stuart McKinstry,MF,Leeds United,18,0,1000a059
Kenny McLean,MF,Norwich City,29,41,471f16b3
Dwight McNeil,MF,Burnley,21,112,fc15fb84
Scott McTominay,MF,Manchester Utd,24,51,d93c2511
Ben Mee,DF,Burnley,31,13,8df7a2fb
Hannibal Mejbri,FW,Manchester Utd,18,0,ca22ccb0
Benjamin Mendy,DF,Manchester City,27,5,5271c8f1
Edouard Mendy,GK,Chelsea,29,1,33887998
Nampalys Mendy,MF,Leicester City,29,5,1598599e
Illan Meslier,GK,Leeds United,21,3,6b625ac2
Luka Milivojević,MF,Crystal Palace,30,20,2ce2508a
James Milner,MFDF,Liverpool,35,40,2f90f6b8
Yerry Mina,DF,Everton,26,2,6d5701f2
Takumi Minamino,FWMF,Liverpool,26,8,f833a830
Tyrone Mings,DF,Aston Villa,28,30,8397a50c
Tyrick Mitchell,DF,Crystal Palace,21,51,5cbd1eb0
Jakub Moder,MF,Brighton,22,41,f230bc30
Wesley Moraes,FW,Aston Villa,24,0,bfae110f
Tyler Morton,MF,Liverpool,18,1,2bc28bb9
Mason Mount,MF,Chelsea,22,119,9674002f
Lucas Moura,FWMF,Tottenham,28,67,2b622f01
João Moutinho,MF,Wolves,34,82,f5a00fa4
Bali Mumba,DF,Norwich City,19,0,2d760d7b
